state,district,year,bank_branches,loan_amount,deposit_amount,digital_transactions,financial_inclusion,credit_growth,atm_count
Meghalaya,East Garo Hills,2018,23.38,33.13,97.32,16.55,29.88,82.56,75.39
Karnataka,Kalaburagi,2015,78.99,96.9,98.15,81.1,65.87,50.3,22.72
Maharashtra,Raigad,2023,15.76,24.95,14.38,17.98,38.69,72.06,62.09
Tamil Nadu,Tenkasi,2025,47.96,48.41,51.77,96.18,59.98,74.28,87.36
Himachal Pradesh,Kinnaur,2018,91.97,43.41,88.05,76.63,32.51,34.24,73.72
Arunachal Pradesh,Dibang Valley,2021,21.48,33.17,70.87,54.91,48.36,73.46,44.76
Madhya Pradesh,Dindori,2016,34.65,27.41,58.95,92.16,46.63,80.52,76.02
Bihar,Sheikhpura,2019,68.13,34.18,41.17,70.52,32.18,70.06,54.63
Madhya Pradesh,Sidhi,2017,29.31,60.86,40.08,33.8,97.82,84.04,68.25
Tamil Nadu,Pudukkottai,2015,91.14,81.05,46.82,76.4,65.47,37.53,62.27
Haryana,Panchkula,2017,44.4,45.83,22.7,19.96,99.78,31.68,64.74
Karnataka,Bengaluru Urban,2023,42.6,51.98,87.8,11.78,52.64,31.46,96.58
Chhattisgarh,Sukma,2022,31.9,30.54,40.0,76.5,43.5,81.6,50.62
Nagaland,Chümoukedima,2018,13.21,68.93,26.96,37.63,78.57,14.2,92.98
Odisha,Jajpur,2021,49.25,53.86,49.16,24.38,96.34,25.95,96.64
Gujarat,Mehsana,2019,70.52,44.1,31.93,24.3,78.63,94.25,37.25
Karnataka,Bengaluru Urban,2019,62.0,53.61,99.26,87.38,21.97,91.18,42.46
Rajasthan,Phalodi,2025,29.43,57.87,70.79,21.84,60.5,34.94,19.11
Telangana,Jogulamba Gadwal,2023,42.1,38.09,10.66,23.52,92.69,12.86,65.18
Karnataka,Vijayanagara,2017,39.54,90.32,11.91,40.68,41.06,78.65,42.75
Karnataka,Ramanagara,2017,27.92,20.44,84.83,40.69,45.98,32.9,69.12
Chhattisgarh,Jashpur,2018,15.17,55.98,62.52,76.4,30.95,39.24,54.54
Meghalaya,East Jaintia Hills,2017,41.5,13.77,41.12,85.63,91.38,67.23,99.69
Maharashtra,Wardha,2019,46.17,49.85,34.81,32.12,20.18,96.46,17.55
Telangana,Ranga Reddy,2015,76.96,45.66,20.28,46.8,73.25,42.08,91.56
Uttar Pradesh,Pilibhit,2017,60.13,89.36,15.06,43.48,84.55,12.88,84.1
Odisha,Dhenkanal,2020,94.34,81.2,91.48,76.15,90.27,63.59,32.87
Punjab,Fazilka,2015,88.29,58.02,10.84,79.08,66.41,20.48,89.74
Maharashtra,Chandrapur,2021,30.09,99.78,21.86,80.15,39.2,50.78,61.91
Chhattisgarh,Bastar,2023,24.25,97.4,71.27,11.17,12.71,24.32,92.07
Uttar Pradesh,Saharanpur,2024,65.47,33.07,62.38,72.01,72.49,71.28,38.86
Punjab,Amritsar,2023,70.03,48.55,68.94,85.66,41.03,18.01,80.1
Bihar,Vaishali,2019,46.53,82.69,98.73,17.71,76.25,20.07,97.71
Haryana,Gurugram,2015,92.98,15.18,26.24,54.98,50.11,63.29,49.35
Arunachal Pradesh,Changlang,2019,81.83,33.81,55.73,74.78,78.25,47.68,82.97
Telangana,Hyderabad,2024,99.63,76.19,34.18,60.87,59.01,14.83,44.59
Madhya Pradesh,Jabalpur,2016,30.43,22.73,28.7,22.52,60.04,91.19,73.1
Maharashtra,Solapur,2019,38.53,30.76,66.34,31.8,33.95,79.87,57.68
Rajasthan,Jaisalmer,2025,73.09,63.37,69.96,41.08,87.59,78.25,20.27
Uttar Pradesh,Saharanpur,2019,70.07,15.55,36.19,94.71,24.41,45.78,41.28
Uttar Pradesh,Mathura,2015,19.13,20.15,15.43,87.73,20.42,34.51,47.1
Punjab,Rupnagar,2020,40.6,91.59,65.86,60.55,22.27,21.76,17.51
Rajasthan,Neem Ka Thana,2025,93.06,38.29,90.1,43.44,33.9,13.66,53.91
Tamil Nadu,Tenkasi,2017,61.66,68.8,54.46,45.07,85.91,48.12,21.66
Telangana,Mancherial,2022,57.14,54.0,26.41,30.87,78.8,17.57,66.19
Rajasthan,Sri Ganganagar,2019,43.21,32.08,66.36,38.28,68.51,36.7,22.7
Nagaland,Kohima,2022,92.07,96.62,23.56,70.92,95.98,82.76,22.29
Maharashtra,Parbhani,2024,43.73,63.09,55.31,55.54,63.77,85.26,56.05
Chhattisgarh,Janjgir-Champa,2021,23.11,71.59,66.7,33.7,55.27,95.59,13.2
Assam,Morigaon,2018,23.61,27.18,64.64,29.12,23.97,93.61,62.32
Andhra Pradesh,Visakhapatnam,2024,83.87,63.5,27.73,25.42,88.37,34.36,15.57
Uttar Pradesh,Ghaziabad,2016,29.07,23.61,59.37,24.3,65.73,68.36,78.57
Karnataka,Davanagere,2020,64.59,38.54,32.11,87.22,29.02,32.46,61.97
Maharashtra,Nagpur,2017,49.69,24.24,89.5,45.5,66.03,86.25,60.49
Jharkhand,Dumka,2023,12.26,42.59,86.73,13.43,80.14,65.27,93.61
Gujarat,Valsad,2020,20.44,36.79,47.14,55.84,61.61,83.99,91.44
Karnataka,Bidar,2016,29.1,76.52,57.44,45.58,31.57,29.56,42.36
Punjab,Ferozepur,2019,26.0,95.85,10.28,60.14,27.4,27.98,57.44
Maharashtra,Sindhudurg,2018,97.42,16.88,54.14,41.96,93.7,58.22,59.12
Tamil Nadu,Pudukkottai,2025,95.64,94.88,52.47,94.36,10.04,14.63,49.42
Odisha,Nabarangpur,2018,27.73,71.69,88.02,68.63,77.86,73.18,21.21
Madhya Pradesh,Singrauli,2025,96.03,15.61,89.23,93.19,70.62,19.52,21.96
West Bengal,Darjeeling,2015,48.59,31.75,41.81,20.85,29.48,87.08,11.3
Madhya Pradesh,Vidisha,2016,40.46,18.34,77.9,69.3,82.61,90.15,77.27
Arunachal Pradesh,Leparada,2015,11.4,11.43,13.85,38.27,63.77,39.13,99.71
West Bengal,Nadia,2024,60.09,33.44,14.91,28.22,37.02,88.18,93.9
Uttar Pradesh,Aligarh,2024,28.43,73.67,52.51,24.74,50.62,84.32,74.88
Telangana,Sangareddy,2024,62.23,42.65,72.56,67.47,87.16,10.5,43.94
Maharashtra,Nandurbar,2016,94.46,40.41,28.88,84.35,76.29,97.85,93.65
Madhya Pradesh,Sidhi,2017,26.08,83.03,99.18,30.33,30.0,87.34,75.82
Uttar Pradesh,Auraiya,2019,42.55,87.69,81.94,71.32,89.7,72.69,87.24
Tamil Nadu,Nilgiris,2025,92.45,35.74,38.04,24.84,32.76,82.26,25.58
Uttarakhand,Champawat,2025,49.7,82.14,60.67,90.39,12.57,56.42,83.6
Punjab,Sri Muktsar Sahib,2015,68.09,25.79,24.76,69.31,38.0,30.72,46.7
Kerala,Thrissur,2021,27.6,24.85,81.91,20.7,26.4,81.83,42.05
Telangana,Medak,2023,50.58,28.3,30.01,29.76,36.6,48.05,89.03
Chhattisgarh,Surajpur,2015,36.4,19.82,82.35,84.82,60.63,92.84,75.91
Arunachal Pradesh,Changlang,2019,81.63,56.02,47.98,92.13,45.98,14.99,48.97
Assam,Dima Hasao,2020,47.11,41.24,54.31,83.96,74.86,67.52,53.46
Maharashtra,Kolhapur,2015,11.27,86.55,72.63,48.05,59.42,77.13,31.74
Bihar,Bhagalpur,2015,27.28,49.76,11.82,19.14,88.54,88.84,22.11
Nagaland,Kohima,2022,75.61,87.88,29.53,40.57,44.95,28.89,18.33
Tamil Nadu,Virudhunagar,2016,38.35,82.32,10.05,13.2,58.53,17.21,81.78
Tamil Nadu,Thoothukudi,2021,11.26,33.89,39.63,52.45,45.24,84.21,72.2
Haryana,Karnal,2017,40.88,76.87,71.45,89.57,52.5,98.7,41.54
Tamil Nadu,Chengalpattu,2016,45.12,15.6,74.48,80.91,26.53,45.55,86.06
Nagaland,Mon,2025,98.15,13.12,64.12,79.97,12.3,22.68,55.56
Kerala,Kozhikode,2022,26.08,66.34,28.21,43.69,57.71,69.75,72.07
Uttar Pradesh,Sonbhadra,2025,75.72,88.31,90.53,26.91,62.19,88.92,80.97
Madhya Pradesh,Indore,2023,88.47,58.87,91.18,16.76,67.58,28.6,63.52
Uttar Pradesh,Etawah,2017,27.03,65.13,13.8,86.59,50.71,41.82,60.84
Arunachal Pradesh,Upper Siang,2023,22.62,63.33,81.56,74.56,37.32,71.12,82.95
Arunachal Pradesh,Namsai,2017,42.61,42.12,20.0,93.72,81.65,98.17,57.58
Uttarakhand,Uttarkashi,2023,47.61,85.06,98.81,56.88,16.16,14.24,18.12
Telangana,Ranga Reddy,2019,58.81,22.78,52.62,79.24,94.81,97.55,90.46
Karnataka,Haveri,2025,96.24,35.66,56.44,88.3,98.39,93.61,37.35
Uttar Pradesh,Ayodhya,2025,64.8,34.57,71.52,77.44,33.68,36.67,34.8
Uttar Pradesh,Lakhimpur Kheri,2022,26.57,61.14,29.33,97.13,56.05,87.66,69.52
Mizoram,Saitual,2020,54.88,36.07,24.67,59.26,45.67,78.67,42.71
West Bengal,Howrah,2025,44.71,84.49,44.78,32.22,59.8,46.72,48.08
Rajasthan,Jhunjhunu,2025,31.51,68.01,66.46,37.94,55.54,81.86,34.08
Tamil Nadu,Salem,2020,43.8,35.56,70.43,60.61,94.75,21.89,49.36
Bihar,Vaishali,2024,68.61,10.83,46.83,56.2,94.5,84.12,51.79
Andhra Pradesh,Annamayya,2023,49.35,25.64,97.9,83.02,26.22,80.19,58.77
Maharashtra,Wardha,2020,11.62,21.01,40.53,61.14,51.99,64.7,11.0
Madhya Pradesh,Satna,2024,28.21,85.07,20.57,47.72,51.05,79.94,90.45
West Bengal,Murshidabad,2024,16.96,86.54,41.12,17.59,83.94,87.9,80.37
Arunachal Pradesh,East Kameng,2023,64.25,94.07,57.46,76.94,45.02,16.59,10.61
Haryana,Nuh,2016,20.78,39.77,42.43,94.64,87.87,44.21,99.17
Gujarat,Amreli,2025,78.89,37.81,17.63,63.5,75.3,81.93,15.63
Telangana,Karimnagar,2021,16.02,27.81,67.3,74.74,25.07,89.18,73.86
Uttar Pradesh,Kaushambi,2016,11.15,46.47,18.17,63.45,18.79,55.79,19.31
Uttarakhand,Udham Singh Nagar,2021,90.68,17.97,38.03,93.32,61.29,60.13,16.84
Haryana,Rohtak,2025,12.24,97.3,26.24,94.05,44.52,51.65,85.01
Maharashtra,Thane,2018,17.05,28.24,53.4,90.89,91.85,44.38,99.19
Rajasthan,Balotra,2025,47.8,81.16,99.71,95.18,99.56,16.91,40.15
Madhya Pradesh,Neemuch,2016,52.13,24.14,98.33,98.43,33.38,10.38,15.32
Arunachal Pradesh,Namsai,2025,40.51,96.41,61.17,87.33,93.19,78.5,63.79
Uttar Pradesh,Mathura,2022,57.6,23.49,52.9,15.11,41.01,34.04,39.88
Maharashtra,Palghar,2024,64.55,40.21,99.51,38.03,37.89,27.84,18.29
Telangana,Jangaon,2025,20.31,24.52,49.05,11.78,90.27,77.67,23.15
Andhra Pradesh,West Godavari,2025,48.24,68.55,21.83,52.76,25.97,30.71,39.46
Karnataka,Belagavi,2024,62.71,96.72,18.44,19.09,40.77,85.75,90.38
Uttarakhand,Nainital,2025,38.99,74.07,75.85,51.94,13.29,13.33,88.59
Bihar,East Champaran,2023,39.0,60.1,38.27,78.56,81.37,62.46,91.59
Kerala,Kannur,2021,80.53,72.65,93.68,69.4,94.4,72.19,98.93
Jharkhand,Jamtara,2025,41.06,17.49,39.93,12.98,52.16,41.36,13.57
Bihar,Bhagalpur,2017,61.08,50.22,18.79,10.54,85.23,18.79,11.83
Jharkhand,Simdega,2019,54.89,61.62,33.5,48.45,89.25,87.4,65.43
Rajasthan,Kotputli-Behror,2022,16.44,95.47,85.41,31.53,61.43,37.68,77.03
Telangana,Mahabubnagar,2024,34.38,25.01,41.15,37.38,93.94,44.87,71.67
Himachal Pradesh,Kangra,2018,87.06,59.34,85.81,85.2,86.21,41.06,46.13
Odisha,Cuttack,2022,20.41,19.08,69.52,15.37,23.65,62.0,32.95
Arunachal Pradesh,Leparada,2016,17.34,57.0,54.0,48.76,70.32,35.56,29.63
Uttar Pradesh,Sonbhadra,2015,31.09,11.4,75.58,67.21,44.48,45.25,37.99
Haryana,Jhajjar,2015,98.81,78.81,69.55,75.31,32.96,21.6,92.52
Odisha,Bargarh,2015,13.51,92.34,66.92,19.83,59.81,13.54,27.6
Madhya Pradesh,Shajapur,2022,32.03,98.56,33.53,66.03,95.72,50.46,64.99
Gujarat,Jamnagar,2018,12.72,13.08,18.03,77.0,31.66,68.13,83.03
Madhya Pradesh,Rewa,2019,71.99,71.22,50.97,85.36,97.06,53.71,37.21
Assam,Golaghat,2024,72.79,18.23,18.1,44.88,96.49,98.34,15.49
Odisha,Sonepur,2019,65.6,73.82,27.66,66.16,60.0,14.71,69.29
Gujarat,Gandhinagar,2022,58.98,87.53,66.86,64.1,84.89,68.22,64.09
Tripura,Dhalai,2016,96.45,52.24,13.18,56.03,22.93,25.92,48.78
Tripura,Khowai,2015,47.65,27.53,41.93,40.29,52.52,47.38,63.36
Jharkhand,Deoghar,2017,33.26,39.49,89.58,56.85,12.92,92.14,59.65
Maharashtra,Gadchiroli,2018,38.29,14.06,39.24,65.3,69.67,16.85,64.87
Rajasthan,Ajmer,2020,74.82,96.57,62.19,79.39,22.71,40.26,89.15
Gujarat,Botad,2018,12.59,92.39,79.93,63.2,80.67,23.04,24.09
Assam,South Salmara-Mankachar,2020,47.43,37.57,87.51,65.02,36.42,41.75,64.25
West Bengal,Purba Bardhaman,2019,34.87,77.38,67.82,39.55,72.1,61.88,57.14
Madhya Pradesh,Umaria,2017,17.13,52.94,57.95,91.04,58.22,46.9,97.37
Madhya Pradesh,Shahdol,2018,97.37,38.16,64.86,25.22,97.38,26.9,45.06
Uttar Pradesh,Hamirpur,2018,60.99,79.3,51.83,68.27,42.76,77.68,43.67
Chhattisgarh,Gariaband,2025,53.84,31.26,60.38,54.73,39.45,84.57,12.5
Jharkhand,Sahebganj,2023,46.02,58.57,11.63,89.95,76.04,88.66,35.4
Telangana,Suryapet,2024,24.21,81.78,95.2,87.43,66.97,85.18,19.95
Jharkhand,Ranchi,2023,94.7,34.64,64.83,98.21,90.01,28.34,28.04
West Bengal,South 24 Parganas,2024,49.29,11.29,12.35,49.82,65.11,45.23,55.93
Kerala,Thrissur,2023,17.19,41.35,82.36,25.34,35.68,83.67,83.77
Arunachal Pradesh,Leparada,2020,22.19,81.45,52.94,12.68,39.94,78.26,61.13
Jharkhand,Jamtara,2016,75.54,56.24,61.44,14.88,81.88,32.58,71.51
Maharashtra,Nagpur,2021,28.57,17.6,41.74,64.18,69.98,77.74,55.41
Odisha,Sonepur,2022,90.16,69.21,56.96,68.82,51.3,26.26,55.32
Telangana,Peddapalli,2024,99.56,44.75,13.54,66.03,10.96,18.97,89.73
Assam,Chirang,2022,66.8,12.71,41.09,87.76,92.63,24.24,61.0
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2015,31.85,88.84,65.94,93.27,81.6,44.5,89.71
Uttar Pradesh,Jhansi,2024,21.61,69.34,13.62,40.74,23.47,34.96,82.69
Punjab,Amritsar,2025,53.02,61.14,22.24,23.09,73.23,58.01,32.91
Tamil Nadu,Thoothukudi,2018,97.23,22.41,52.46,97.24,23.8,62.83,88.75
Tamil Nadu,Salem,2021,58.08,80.83,34.35,67.24,68.46,77.12,89.77
Rajasthan,Sikar,2015,46.36,63.7,36.81,90.56,54.01,53.01,85.44
Tripura,Dhalai,2015,42.33,45.3,47.46,56.27,72.57,90.98,50.43
Uttar Pradesh,Amethi,2022,92.93,30.1,58.71,54.87,43.29,80.93,50.74
Andhra Pradesh,Srikakulam,2025,85.78,46.09,28.22,93.26,33.25,29.84,60.97
Andhra Pradesh,Kakinada,2018,29.84,76.58,90.56,23.51,80.15,92.39,49.61
Maharashtra,Latur,2024,73.19,58.53,64.91,23.98,35.29,20.66,17.8
Uttarakhand,Udham Singh Nagar,2021,64.48,93.13,72.2,51.62,19.54,42.86,97.7
Karnataka,Vijayapura,2025,15.69,98.67,28.05,58.24,70.04,40.44,42.58
Telangana,Hyderabad,2022,60.58,96.23,49.52,12.3,77.62,89.83,41.43
Bihar,Saran,2019,29.86,71.71,38.6,49.19,92.76,89.24,52.34
Madhya Pradesh,Jabalpur,2016,84.8,18.97,62.45,29.75,44.49,69.98,73.54
Assam,Chirang,2017,22.57,86.27,66.03,98.96,61.14,15.75,39.49
Madhya Pradesh,Satna,2017,99.8,70.8,76.23,21.17,23.94,10.24,77.69
Bihar,Saharsa,2021,42.08,99.03,59.17,62.58,78.24,57.43,39.41
Chhattisgarh,Durg,2017,66.85,19.72,30.94,68.38,13.25,80.55,72.42
Mizoram,Lunglei,2020,26.14,23.35,97.37,57.41,84.05,98.27,14.69
Punjab,Moga,2025,79.23,60.75,61.79,50.06,50.54,74.49,55.68
Telangana,Mahabubnagar,2016,15.82,16.19,34.84,80.65,30.65,69.42,37.38
Madhya Pradesh,Ujjain,2020,28.88,64.51,93.1,50.5,38.19,12.01,87.91
Tripura,Gomati,2022,20.69,17.91,61.21,36.04,94.5,66.89,35.8
Haryana,Jind,2016,73.75,67.08,30.29,39.34,96.56,88.52,95.33
Chhattisgarh,Bijapur,2021,41.68,19.42,28.41,15.27,77.13,12.7,58.32
Madhya Pradesh,Barwani,2019,79.41,57.5,76.1,46.58,29.88,79.75,94.26
Telangana,Nizamabad,2020,53.89,93.92,59.38,65.86,34.7,56.56,84.79
Gujarat,Vadodara,2015,26.42,11.81,16.56,48.59,77.95,70.23,36.6
Maharashtra,Sangli,2016,58.0,55.83,30.11,23.0,95.37,54.54,68.05
Punjab,Jalandhar,2022,70.38,96.77,12.79,20.7,84.0,28.68,21.64
Jharkhand,Lohardaga,2020,18.8,73.03,99.44,25.3,49.47,49.69,24.99
Uttar Pradesh,Barabanki,2022,77.16,65.17,50.19,29.75,71.07,69.05,49.82
Assam,West Karbi Anglong,2016,25.46,61.19,68.8,27.44,45.15,31.25,76.64
Uttar Pradesh,Hamirpur,2018,63.39,31.42,36.04,17.68,47.11,61.92,36.81
Karnataka,Mandya,2018,58.45,72.08,65.24,26.36,56.88,14.27,58.68
Arunachal Pradesh,Tawang,2016,33.75,69.76,24.23,25.62,25.55,79.33,51.59
Manipur,Imphal West,2025,75.8,51.78,49.09,72.78,88.44,33.12,58.6
Chhattisgarh,Sukma,2015,84.76,11.53,20.75,89.97,70.33,81.82,87.51
Arunachal Pradesh,East Kameng,2018,30.24,39.21,94.33,60.98,15.81,54.26,67.18
Odisha,Bargarh,2021,44.76,11.34,46.1,59.51,11.42,25.86,18.37
Tamil Nadu,Tiruvannamalai,2019,31.17,86.32,20.55,67.02,39.45,56.15,34.57
Bihar,Gopalganj,2017,60.43,27.04,97.63,59.48,49.81,25.36,81.76
Manipur,Kamjong,2016,19.28,62.37,51.8,85.57,64.79,93.32,78.78
Maharashtra,Nagpur,2025,52.74,58.46,46.32,45.45,56.12,47.1,71.13
Madhya Pradesh,Gwalior,2021,90.45,81.67,45.87,34.68,26.75,35.16,62.4
Uttar Pradesh,Prayagraj,2021,92.08,20.96,41.38,53.09,38.86,14.93,49.61
Arunachal Pradesh,Leparada,2016,41.79,49.55,39.2,80.99,98.95,11.33,14.0
Assam,Nagaon,2016,87.66,51.37,34.84,62.58,58.42,83.52,53.82
Karnataka,Dharwad,2016,11.77,14.55,58.0,98.95,24.36,79.15,52.86
Gujarat,Navsari,2020,28.48,97.54,18.83,75.53,68.28,85.18,95.8
Uttar Pradesh,Pilibhit,2024,59.36,72.35,92.76,85.16,40.67,20.83,70.76
Punjab,Hoshiarpur,2024,37.41,39.55,50.27,47.02,67.27,24.15,73.17
Punjab,Barnala,2025,74.19,84.61,75.55,38.04,21.04,65.64,20.85
Chhattisgarh,Bemetara,2020,13.63,81.93,74.62,68.55,23.61,74.24,66.64
Bihar,Kaimur,2015,72.31,67.15,97.35,68.26,44.25,94.18,72.15
Madhya Pradesh,Sidhi,2025,42.57,57.18,74.22,45.37,20.05,70.21,24.59
Bihar,West Champaran,2023,58.42,58.28,90.7,92.62,89.65,34.22,71.07
Rajasthan,Bundi,2020,50.56,80.08,42.34,60.58,44.24,69.27,57.05
Himachal Pradesh,Shimla,2015,61.73,28.78,49.55,95.93,42.61,47.98,71.7
Maharashtra,Ratnagiri,2017,14.45,69.23,22.64,12.77,98.82,92.31,71.58
Assam,Jorhat,2019,57.41,39.53,33.41,70.03,45.59,92.42,37.23
Uttarakhand,Haridwar,2025,66.58,65.81,90.75,31.47,82.09,52.0,93.22
Jharkhand,Lohardaga,2023,26.84,53.32,58.0,63.98,54.28,96.69,58.61
Telangana,Ranga Reddy,2022,60.41,88.01,61.53,81.48,78.44,45.58,28.31
Himachal Pradesh,Chamba,2022,21.21,78.91,23.54,79.52,83.1,58.81,58.64
Rajasthan,Dholpur,2025,48.99,76.92,26.02,14.69,94.28,69.43,49.18
Uttar Pradesh,Ballia,2023,25.05,66.83,40.89,99.97,34.58,43.84,72.24
Tamil Nadu,Tirunelveli,2015,18.35,43.78,41.86,85.66,49.11,32.65,28.72
Bihar,Munger,2017,19.53,25.23,81.61,51.73,25.53,91.63,49.28
Assam,South Salmara-Mankachar,2025,17.34,45.57,18.25,89.83,10.56,71.2,56.59
Tripura,North Tripura,2019,55.5,82.55,15.29,75.64,51.92,74.58,33.27
Madhya Pradesh,Shahdol,2016,17.37,67.99,57.2,22.52,59.36,38.59,41.49
Assam,Karimganj,2015,78.09,81.1,43.32,33.38,18.07,65.98,49.14
Sikkim,Soreng,2015,39.56,90.39,92.0,43.29,36.18,78.17,82.44
Assam,Karbi Anglong,2020,79.02,99.77,18.4,12.55,25.6,57.24,44.78
Madhya Pradesh,Guna,2015,39.1,86.74,99.77,22.48,35.44,82.1,43.4
West Bengal,Kolkata,2019,62.67,51.43,27.11,83.25,14.89,92.86,86.41
Telangana,Jayashankar Bhupalpally,2016,34.73,65.54,72.56,61.98,38.53,20.48,74.53
Telangana,Mancherial,2019,77.54,79.17,24.14,13.24,87.0,30.7,60.06
Gujarat,Aravalli,2022,93.7,13.6,49.07,17.27,67.18,64.05,17.55
Uttar Pradesh,Pratapgarh,2019,67.88,86.52,81.66,27.14,59.4,73.49,71.0
Kerala,Kottayam,2021,45.55,35.21,80.04,16.33,85.91,85.55,41.01
Assam,Goalpara,2020,44.22,34.53,48.62,98.57,82.72,19.79,23.33
Tamil Nadu,Thanjavur,2015,37.95,94.73,78.36,58.3,95.91,95.26,87.99
Haryana,Jhajjar,2023,36.58,92.84,46.43,70.01,64.2,46.96,94.22
Tamil Nadu,Thiruvarur,2020,62.27,28.06,30.97,83.64,96.21,23.65,28.75
Uttar Pradesh,Kanpur Nagar,2022,61.62,73.02,27.22,16.06,98.39,58.46,63.76
Goa,North Goa,2015,89.6,24.01,45.6,34.78,55.03,84.79,88.1
Andhra Pradesh,Kakinada,2022,56.82,42.04,89.44,41.89,46.13,24.4,40.72
Haryana,Charkhi Dadri,2017,30.7,35.69,87.55,55.4,76.48,28.61,33.6
Telangana,Jayashankar Bhupalpally,2021,12.33,43.19,15.14,62.46,62.74,47.72,21.61
Karnataka,Yadgir,2015,71.45,60.82,13.72,36.05,32.33,65.4,36.28
Uttar Pradesh,Chitrakoot,2020,65.95,22.42,23.01,39.36,88.56,59.51,58.69
Arunachal Pradesh,East Kameng,2022,43.83,57.33,70.67,34.61,37.27,99.89,96.79
Meghalaya,West Jaintia Hills,2015,23.53,63.62,28.81,93.99,42.0,42.97,43.83
Andhra Pradesh,Chittoor,2018,57.43,52.1,51.95,46.35,32.53,40.19,74.19
Assam,Kamrup,2017,49.43,39.47,54.25,42.68,57.43,52.93,59.4
Chhattisgarh,Mahasamund,2016,67.75,97.08,23.89,86.35,88.79,11.14,24.47
Tamil Nadu,Chennai,2019,34.25,63.61,14.33,72.43,85.21,59.11,89.42
Haryana,Bhiwani,2021,74.53,41.82,86.41,72.89,80.22,32.62,28.41
Uttar Pradesh,Sonbhadra,2023,72.2,33.97,76.36,52.73,83.66,30.66,59.13
Haryana,Kurukshetra,2020,58.02,38.97,81.74,17.34,45.27,27.21,14.77
Uttar Pradesh,Banda,2019,40.44,60.21,12.02,57.21,22.15,56.41,81.85
Uttar Pradesh,Jaunpur,2025,31.57,70.71,23.74,85.36,29.25,73.59,86.55
Uttar Pradesh,Banda,2018,30.48,62.84,99.62,10.48,62.06,92.25,85.42
Madhya Pradesh,Alirajpur,2018,48.39,24.14,55.16,13.92,24.82,95.33,18.91
Assam,Dibrugarh,2017,55.77,30.65,56.98,21.45,55.23,11.49,76.77
Tamil Nadu,Sivaganga,2025,43.06,73.65,75.72,60.17,90.74,57.37,13.51
Karnataka,Gadag,2025,10.32,84.5,80.02,44.55,49.0,50.95,66.72
Uttar Pradesh,Ghaziabad,2025,52.55,51.81,58.7,73.01,91.36,84.3,37.46
Kerala,Kollam,2025,38.21,55.77,65.88,52.18,81.05,15.13,80.09
Madhya Pradesh,Neemuch,2016,19.64,41.37,25.83,32.08,41.31,45.75,49.87
Bihar,Katihar,2020,45.68,82.3,93.07,21.56,84.19,89.41,94.41
Assam,Sivasagar,2016,22.32,90.46,42.88,94.88,36.1,67.35,92.66
Uttar Pradesh,Banda,2018,23.86,37.15,59.27,39.47,15.61,52.0,36.45
Uttar Pradesh,Gautam Buddha Nagar,2015,99.95,59.6,67.89,44.15,95.61,40.3,16.09
Assam,Chirang,2017,80.19,30.01,11.09,72.82,70.97,45.88,29.49
Nagaland,Mokokchung,2022,13.94,10.19,37.24,19.09,67.44,85.16,78.01
Uttar Pradesh,Pilibhit,2016,63.98,86.01,43.87,77.15,46.02,64.51,22.47
Rajasthan,Jalore,2024,28.89,32.57,48.48,84.44,27.42,33.86,74.22
Bihar,Jamui,2021,32.07,46.17,39.21,37.03,98.63,14.22,47.48
Chhattisgarh,Kabirdham,2025,68.63,69.4,59.87,66.72,76.28,60.39,54.01
Jharkhand,Palamu,2023,99.68,61.05,86.1,84.61,47.33,42.78,68.39
Andhra Pradesh,Palnadu,2024,57.42,79.22,44.12,57.92,77.55,68.37,88.39
Uttar Pradesh,Aligarh,2022,33.29,78.67,82.36,70.22,81.56,34.66,65.21
West Bengal,Howrah,2025,28.87,38.23,97.94,58.97,45.77,62.51,84.23
Uttarakhand,Almora,2021,27.29,79.86,86.1,30.11,95.13,13.83,75.49
Chhattisgarh,Bijapur,2020,90.97,41.43,41.25,20.38,63.0,91.97,44.43
West Bengal,Hooghly,2022,33.13,45.0,15.57,29.71,90.27,91.05,15.07
Arunachal Pradesh,Tawang,2019,96.08,73.45,50.23,42.43,52.73,66.24,66.84
Andhra Pradesh,Anakapalli,2022,37.34,15.28,10.91,16.86,72.94,30.85,17.87
Bihar,Nalanda,2017,96.73,40.59,94.21,26.41,87.96,99.13,93.43
West Bengal,Hooghly,2016,63.02,57.9,18.28,38.83,37.16,61.4,39.49
Maharashtra,Beed,2020,61.3,49.46,85.2,82.1,46.52,43.94,31.8
Tripura,Gomati,2015,56.5,87.18,45.4,40.35,50.42,82.32,83.9
Madhya Pradesh,Shajapur,2016,23.3,38.46,70.84,27.47,19.44,85.58,59.69
Uttar Pradesh,Varanasi,2025,36.49,56.7,83.5,45.9,55.34,24.62,69.57
Manipur,Kakching,2021,50.35,29.94,91.51,95.22,12.95,10.06,92.98
Meghalaya,East Khasi Hills,2025,44.75,90.1,75.08,35.31,54.71,71.35,32.66
Jharkhand,Seraikela-Kharsawan,2018,95.78,61.87,53.33,18.98,22.42,67.88,14.06
Meghalaya,East Jaintia Hills,2025,11.53,21.12,97.47,10.7,64.57,64.47,89.59
Kerala,Kollam,2022,41.73,31.69,86.67,61.79,46.81,92.89,21.86
