state,district,year,literacy_rate,schools,colleges,teachers,students,dropout_rate,digital_classrooms
Chhattisgarh,Balod,2019,78.53,1443,73,2836,46076,9.6,237
Chhattisgarh,Balod,2020,71.43,1472,123,469,14966,9.49,244
Chhattisgarh,Balod,2021,57.28,573,16,3299,120236,8.39,112
Chhattisgarh,Balod,2022,85.83,381,128,4845,185886,5.43,45
Chhattisgarh,Balod,2023,85.01,1997,62,1967,8318,10.2,241
Chhattisgarh,Balod,2024,76.57,1345,56,2415,87021,1.84,139
Chhattisgarh,Balod,2025,80.91,281,132,4371,108110,1.7,163
Chhattisgarh,Baloda Bazar,2015,89.32,160,149,3527,162920,11.43,98
Chhattisgarh,Baloda Bazar,2016,56.29,734,136,1585,46160,13.72,416
Chhattisgarh,Baloda Bazar,2017,56.87,1274,58,6494,57359,1.55,227
Chhattisgarh,Baloda Bazar,2018,79.0,883,167,1736,49032,4.28,490
Chhattisgarh,Baloda Bazar,2019,86.28,481,7,487,66349,12.43,129
Chhattisgarh,Baloda Bazar,2020,75.83,597,22,964,142328,5.34,227
Chhattisgarh,Baloda Bazar,2021,79.69,427,79,3447,120385,13.91,10
Chhattisgarh,Baloda Bazar,2022,67.16,1082,70,7873,91251,2.4,13
Chhattisgarh,Baloda Bazar,2023,70.26,554,141,6357,87024,5.25,117
Chhattisgarh,Baloda Bazar,2024,83.49,1682,93,5749,180630,8.34,464
Chhattisgarh,Baloda Bazar,2025,55.83,1402,188,3276,153864,2.4,152
Chhattisgarh,Balrampur,2015,76.21,1034,68,5696,177659,6.73,344
Chhattisgarh,Balrampur,2016,80.06,331,195,4492,162515,3.59,494
Chhattisgarh,Balrampur,2017,55.84,1355,77,5117,160069,5.06,203
Chhattisgarh,Balrampur,2018,61.65,1130,167,313,111111,11.46,205
Chhattisgarh,Balrampur,2019,73.02,288,33,1621,70638,14.94,416
Chhattisgarh,Balrampur,2020,83.35,1346,21,1498,107153,6.32,128
Chhattisgarh,Balrampur,2021,83.52,1545,81,6627,193039,7.86,71
Chhattisgarh,Balrampur,2022,60.62,79,79,5419,30603,4.56,375
Chhattisgarh,Balrampur,2023,77.46,1485,87,4089,57203,9.45,46
Chhattisgarh,Balrampur,2024,62.97,529,73,2429,117177,6.53,460
Chhattisgarh,Balrampur,2025,64.24,1280,116,2622,69260,1.88,67
Chhattisgarh,Bastar,2015,93.78,917,177,620,195772,3.73,296
Chhattisgarh,Bastar,2016,88.66,263,149,5896,151423,12.13,494
Chhattisgarh,Bastar,2017,80.07,843,103,4303,196814,10.88,281
Chhattisgarh,Bastar,2018,63.42,707,200,3162,119767,13.47,197
Chhattisgarh,Bastar,2019,60.74,545,94,4838,150956,12.27,81
Chhattisgarh,Bastar,2020,63.14,1515,196,4622,116734,12.26,109
Chhattisgarh,Bastar,2021,57.67,1655,9,7275,110952,6.24,91
Chhattisgarh,Bastar,2022,92.6,1218,119,2103,20411,2.61,190
Chhattisgarh,Bastar,2023,81.52,650,131,1113,114653,8.23,374
Chhattisgarh,Bastar,2024,88.36,851,96,4501,42615,11.73,104
Chhattisgarh,Bastar,2025,77.96,78,183,3783,188726,8.11,30
Chhattisgarh,Bemetara,2015,76.22,319,79,5880,53218,11.07,62
Chhattisgarh,Bemetara,2016,70.53,319,33,4126,18848,5.97,203
Chhattisgarh,Bemetara,2017,67.19,1895,98,3709,90417,10.67,300
Chhattisgarh,Bemetara,2018,76.54,65,146,6448,107635,4.53,251
Chhattisgarh,Bemetara,2019,66.32,1323,12,462,11765,11.54,487
Chhattisgarh,Bemetara,2020,73.02,1952,25,4619,110828,3.66,373
Chhattisgarh,Bemetara,2021,74.82,1546,185,3099,58361,14.67,495
Chhattisgarh,Bemetara,2022,68.69,1124,92,7350,31662,1.54,476
Chhattisgarh,Bemetara,2023,94.33,334,89,1383,148975,12.69,108
Chhattisgarh,Bemetara,2024,87.94,845,71,2642,15814,8.69,385
Chhattisgarh,Bemetara,2025,89.21,1897,65,5596,60824,7.01,487
Chhattisgarh,Bijapur,2015,77.05,1605,194,7639,24808,5.08,86
Chhattisgarh,Bijapur,2016,82.59,131,45,4233,51175,6.99,409
Chhattisgarh,Bijapur,2017,64.42,1547,19,1975,86845,12.78,21
Chhattisgarh,Bijapur,2018,72.68,850,182,1255,6948,7.11,360
Chhattisgarh,Bijapur,2019,89.68,1709,40,3787,12546,12.27,341
Chhattisgarh,Bijapur,2020,88.5,1306,55,2776,169023,1.43,481
Chhattisgarh,Bijapur,2021,70.51,561,164,2036,87888,4.97,231
Chhattisgarh,Bijapur,2022,86.86,1500,7,3396,29036,6.8,295
Chhattisgarh,Bijapur,2023,94.46,1941,114,1272,46380,10.84,119
Chhattisgarh,Bijapur,2024,64.68,433,78,1251,147667,3.94,427
Chhattisgarh,Bijapur,2025,81.57,1711,78,4533,50514,3.87,262
Chhattisgarh,Bilaspur,2015,72.31,454,21,5724,35134,12.67,153
Chhattisgarh,Bilaspur,2016,77.38,146,139,4924,109196,13.66,403
Chhattisgarh,Bilaspur,2017,82.36,1020,175,7275,47040,10.96,254
Chhattisgarh,Bilaspur,2018,57.11,962,197,1527,108632,13.73,209
Chhattisgarh,Bilaspur,2019,64.84,1567,7,6151,91322,4.98,358
Chhattisgarh,Bilaspur,2020,55.52,494,181,4694,168485,10.98,459
Chhattisgarh,Bilaspur,2021,89.01,1805,92,5056,62433,8.65,192
Chhattisgarh,Bilaspur,2022,68.72,1403,174,3312,101348,4.99,325
Chhattisgarh,Bilaspur,2023,55.42,373,184,7000,101970,2.67,495
Chhattisgarh,Bilaspur,2024,65.25,304,138,5344,129870,6.54,315
Chhattisgarh,Bilaspur,2025,55.46,1039,33,681,188668,2.56,351
Chhattisgarh,Dantewada,2015,94.85,1135,34,642,109517,11.31,338
Chhattisgarh,Dantewada,2016,84.16,1084,167,7661,149905,1.73,194
Chhattisgarh,Dantewada,2017,67.25,867,169,4947,124714,5.23,70
Chhattisgarh,Dantewada,2018,90.78,1946,100,1946,163840,1.94,317
Chhattisgarh,Dantewada,2019,70.59,848,179,1055,13773,6.82,322
Chhattisgarh,Dantewada,2020,59.41,324,101,3512,5489,3.44,212
Chhattisgarh,Dantewada,2021,64.39,987,134,7772,89806,3.47,234
Chhattisgarh,Dantewada,2022,67.17,1266,162,6092,104777,7.31,334
Chhattisgarh,Dantewada,2023,62.4,749,14,7988,186789,13.79,393
Chhattisgarh,Dantewada,2024,57.2,482,167,7260,97471,10.54,157
Chhattisgarh,Dantewada,2025,65.38,1921,48,5580,43441,1.94,93
Chhattisgarh,Dhamtari,2015,63.26,1994,110,3033,29110,2.4,417
Chhattisgarh,Dhamtari,2016,55.68,1200,154,1488,117428,5.23,124
Chhattisgarh,Dhamtari,2017,82.74,1843,72,6721,22103,2.26,214
Chhattisgarh,Dhamtari,2018,89.67,1776,77,6220,161475,6.61,378
Chhattisgarh,Dhamtari,2019,80.41,1062,197,4168,36150,1.74,443
Chhattisgarh,Dhamtari,2020,65.52,791,13,3573,80325,14.12,179
Chhattisgarh,Dhamtari,2021,57.12,723,76,7985,156459,10.69,430
Chhattisgarh,Dhamtari,2022,76.96,422,58,1498,109676,7.55,457
Chhattisgarh,Dhamtari,2023,56.65,333,92,3603,49045,13.32,209
Chhattisgarh,Dhamtari,2024,66.19,295,29,7812,22149,1.89,233
Chhattisgarh,Dhamtari,2025,57.28,565,195,7134,197297,12.15,26
Chhattisgarh,Durg,2015,81.24,558,56,209,88801,12.87,355
Chhattisgarh,Durg,2016,83.48,1489,67,7805,59937,14.59,440
Chhattisgarh,Durg,2017,78.96,453,158,5467,86926,5.99,62
Chhattisgarh,Durg,2018,72.92,860,93,714,3044,5.31,385
Chhattisgarh,Durg,2019,87.41,1165,28,6466,93312,14.84,196
Chhattisgarh,Durg,2020,72.1,1871,96,3129,152294,12.36,246
Chhattisgarh,Durg,2021,69.29,1265,53,2735,77770,10.66,51
Chhattisgarh,Durg,2022,71.68,1935,24,6723,16562,7.36,369
Chhattisgarh,Durg,2023,86.72,338,32,6648,92357,6.12,282
Chhattisgarh,Durg,2024,89.14,839,12,654,180545,10.32,70
Chhattisgarh,Durg,2025,93.63,845,37,1994,133707,6.13,370
Chhattisgarh,Gariaband,2015,76.64,1429,75,5596,47089,11.02,210
Chhattisgarh,Gariaband,2016,60.93,1514,7,6800,101279,14.88,320
Chhattisgarh,Gariaband,2017,72.43,352,98,3228,184454,5.71,318
Chhattisgarh,Gariaband,2018,89.63,1255,29,3248,33310,11.03,338
Chhattisgarh,Gariaband,2019,84.35,1030,64,2008,110585,7.57,226
Chhattisgarh,Gariaband,2020,74.59,225,37,4016,130902,14.38,263
Chhattisgarh,Gariaband,2021,75.32,973,154,4674,94612,13.81,246
Chhattisgarh,Gariaband,2022,86.43,622,198,765,92716,9.74,453
Chhattisgarh,Gariaband,2023,88.09,1067,117,3016,80661,6.12,50
Chhattisgarh,Gariaband,2024,89.3,410,32,213,146655,5.83,354
Chhattisgarh,Gariaband,2025,87.39,1040,103,727,142996,8.95,412
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,94.16,1330,135,764,136537,3.61,225
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,66.07,1315,123,3547,109311,1.24,220
Chhattisgarh,Gaurela-Pendra-Marwahi,2017,79.91,1677,57,4071,24021,8.17,215
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,79.64,1570,7,3172,107912,14.57,150
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,83.79,1496,54,3343,38553,3.86,304
Chhattisgarh,Gaurela-Pendra-Marwahi,2020,93.37,546,38,2727,128825,3.48,150
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,79.52,395,167,7834,123846,5.66,40
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,56.34,1071,40,4133,185955,7.8,44
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,72.03,821,79,2288,158720,14.38,323
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,84.2,214,127,4371,65331,2.43,86
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,90.4,1701,150,2097,187278,3.24,266
Chhattisgarh,Janjgir-Champa,2015,84.59,1580,158,2813,23883,9.82,354
Chhattisgarh,Janjgir-Champa,2016,79.7,1883,198,1250,69113,12.52,491
Chhattisgarh,Janjgir-Champa,2017,90.08,610,160,7226,148648,8.73,398
Chhattisgarh,Janjgir-Champa,2018,55.45,1836,187,3495,123580,2.82,439
Chhattisgarh,Janjgir-Champa,2019,84.75,744,199,4943,70736,2.86,184
Chhattisgarh,Janjgir-Champa,2020,79.99,686,134,5347,95796,14.03,396
Chhattisgarh,Janjgir-Champa,2021,81.28,1546,17,2715,94117,1.37,315
Chhattisgarh,Janjgir-Champa,2022,66.08,972,146,5230,110401,6.72,56
Chhattisgarh,Janjgir-Champa,2023,93.62,1003,185,2474,2541,8.92,107
Chhattisgarh,Janjgir-Champa,2024,70.09,257,103,474,4422,4.7,79
Chhattisgarh,Janjgir-Champa,2025,75.78,1581,59,4042,115460,14.21,287
Chhattisgarh,Jashpur,2015,64.95,855,137,5345,13408,12.65,156
Chhattisgarh,Jashpur,2016,79.06,981,100,7066,180084,9.44,467
Chhattisgarh,Jashpur,2017,81.45,1660,199,4076,172769,6.57,105
Chhattisgarh,Jashpur,2018,68.38,220,37,4394,189036,2.11,162
Chhattisgarh,Jashpur,2019,79.32,1190,121,4427,167724,4.51,75
Chhattisgarh,Jashpur,2020,72.56,1222,48,1871,179761,6.42,229
Chhattisgarh,Jashpur,2021,68.31,546,87,1631,25376,9.48,198
Chhattisgarh,Jashpur,2022,64.89,1795,184,3574,8706,3.35,477
Chhattisgarh,Jashpur,2023,67.64,1522,183,3978,6530,8.21,7
Chhattisgarh,Jashpur,2024,57.09,374,122,3929,5712,11.13,175
Chhattisgarh,Jashpur,2025,76.76,1394,42,3639,98006,12.34,147
Chhattisgarh,Kabirdham,2015,59.88,681,69,6624,37241,4.84,357
Chhattisgarh,Kabirdham,2016,87.97,1742,186,7271,48051,9.13,289
Chhattisgarh,Kabirdham,2017,65.64,1807,108,1385,158783,9.84,226
Chhattisgarh,Kabirdham,2018,67.84,678,120,2391,36957,13.27,477
Chhattisgarh,Kabirdham,2019,82.21,1870,89,912,134210,7.57,164
Chhattisgarh,Kabirdham,2020,75.54,1306,57,6843,72785,12.7,485
Chhattisgarh,Kabirdham,2021,65.62,1238,124,1241,125583,6.44,323
Chhattisgarh,Kabirdham,2022,90.63,594,51,6248,185785,12.74,433
Chhattisgarh,Kabirdham,2023,58.43,294,129,6795,64335,5.89,421
Chhattisgarh,Kabirdham,2024,85.93,1738,147,5949,23278,4.53,415
Chhattisgarh,Kabirdham,2025,58.43,154,86,1410,4983,14.41,215
Chhattisgarh,Kanker,2015,92.12,1660,71,3863,149307,4.38,462
Chhattisgarh,Kanker,2016,61.25,1735,14,2372,46192,3.85,357
Chhattisgarh,Kanker,2017,85.13,684,70,6225,196424,14.92,164
Chhattisgarh,Kanker,2018,91.32,1088,15,1229,2579,5.2,493
Chhattisgarh,Kanker,2019,69.84,329,5,2074,42813,11.93,291
Chhattisgarh,Kanker,2020,60.05,1981,82,5114,51386,12.9,318
Chhattisgarh,Kanker,2021,73.92,1336,158,7696,51296,14.28,494
Chhattisgarh,Kanker,2022,88.13,1808,162,3027,184670,13.3,267
Chhattisgarh,Kanker,2023,60.97,1091,129,7512,93022,10.87,398
Chhattisgarh,Kanker,2024,79.64,125,155,3892,69394,7.47,21
Chhattisgarh,Kanker,2025,55.6,1489,156,3258,158104,8.33,21
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,60.03,1305,183,5324,132521,9.25,114
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2016,85.59,1092,72,5869,141720,9.55,110
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2017,70.2,1739,56,4702,149600,14.33,358
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2018,85.98,876,107,4536,121859,6.02,92
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,71.12,1356,49,6898,125663,3.65,157
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2020,92.96,194,120,7965,193273,8.91,405
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,78.19,1068,154,6562,117301,14.62,109
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,87.85,633,92,5867,32082,13.04,213
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2023,65.86,612,38,2022,41799,7.2,245
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2024,77.35,1251,102,2628,66263,12.77,390
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,60.01,608,171,6498,144189,3.05,478
Chhattisgarh,Kondagaon,2015,76.68,745,195,2248,63558,10.14,181
Chhattisgarh,Kondagaon,2016,62.22,1194,178,6379,26971,4.81,34
Chhattisgarh,Kondagaon,2017,94.27,581,126,3529,83042,14.73,277
Chhattisgarh,Kondagaon,2018,76.47,889,197,6709,84494,7.44,289
Chhattisgarh,Kondagaon,2019,71.52,1550,99,601,133985,14.25,190
Chhattisgarh,Kondagaon,2020,84.76,866,88,7587,138084,6.3,196
Chhattisgarh,Kondagaon,2021,89.28,838,147,4526,55782,7.97,462
Chhattisgarh,Kondagaon,2022,65.68,1446,41,5870,167910,11.21,395
Chhattisgarh,Kondagaon,2023,78.9,608,41,2468,114370,10.77,169
Chhattisgarh,Kondagaon,2024,72.27,1732,58,4743,14711,7.66,263
Chhattisgarh,Kondagaon,2025,64.21,1986,105,7416,110732,12.02,300
Chhattisgarh,Korba,2015,63.46,888,42,6278,61672,11.69,90
Chhattisgarh,Korba,2016,93.05,964,156,1768,71630,12.62,29
Chhattisgarh,Korba,2017,76.14,164,186,6015,51815,3.54,365
Chhattisgarh,Korba,2018,81.63,1198,145,6288,144903,1.96,472
Chhattisgarh,Korba,2019,62.57,394,189,7912,157073,9.71,8
Chhattisgarh,Korba,2020,93.47,671,113,3704,91250,6.7,259
Chhattisgarh,Korba,2021,61.61,144,57,6990,144873,14.23,485
Chhattisgarh,Korba,2022,73.11,662,39,3793,77051,1.02,19
Chhattisgarh,Korba,2023,58.26,907,124,7055,127486,3.73,344
Chhattisgarh,Korba,2024,88.79,137,97,4377,183933,12.13,350
Chhattisgarh,Korba,2025,79.36,1537,152,4035,101648,9.08,362
Chhattisgarh,Korea,2015,92.93,1441,102,5230,38367,1.45,423
Chhattisgarh,Korea,2016,66.92,1018,92,2474,129295,12.29,234
Chhattisgarh,Korea,2017,84.17,868,42,3668,36547,3.93,322
Chhattisgarh,Korea,2018,57.59,1922,87,2266,155121,5.55,171
Chhattisgarh,Korea,2019,56.73,1971,68,3543,55555,9.58,213
Chhattisgarh,Korea,2020,92.12,751,27,4039,196314,3.28,334
Chhattisgarh,Korea,2021,58.78,1149,54,3082,176341,8.82,63
Chhattisgarh,Korea,2022,70.2,260,15,5388,102836,2.61,76
Chhattisgarh,Korea,2023,72.34,487,97,7907,170515,7.01,53
Chhattisgarh,Korea,2024,92.96,691,102,3601,27355,13.22,403
Chhattisgarh,Korea,2025,66.18,869,148,1001,61248,13.66,260
Chhattisgarh,Mahasamund,2015,70.94,1252,124,7979,103743,11.53,439
Chhattisgarh,Mahasamund,2016,67.24,556,32,1580,83357,2.58,84
Chhattisgarh,Mahasamund,2017,92.59,1218,104,3136,40509,10.38,249
Chhattisgarh,Mahasamund,2018,55.59,719,124,575,38128,1.64,187
Chhattisgarh,Mahasamund,2019,55.82,1134,14,3094,99414,2.76,225
Chhattisgarh,Mahasamund,2020,68.99,1286,67,7666,6821,10.09,211
Chhattisgarh,Mahasamund,2021,71.95,331,131,3622,52466,13.32,120
Chhattisgarh,Mahasamund,2022,56.72,325,67,4404,106294,1.65,157
Chhattisgarh,Mahasamund,2023,88.98,1120,23,7381,103506,5.65,206
Chhattisgarh,Mahasamund,2024,64.77,1580,86,7893,88532,14.2,264
Chhattisgarh,Mahasamund,2025,86.71,1915,148,2373,107060,10.09,136
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2015,93.95,497,46,7708,20094,10.74,223
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,77.17,1735,91,5319,139486,1.9,301
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2017,83.16,1785,8,4425,165894,10.45,245
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2018,77.36,218,78,6319,62340,10.17,47
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,63.67,1044,86,5728,179116,11.25,50
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2020,87.49,299,27,2782,114149,11.98,148
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2021,67.72,150,56,6593,31403,9.22,137
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2022,55.62,1825,95,2608,144205,11.38,272
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,83.72,811,121,1143,15214,13.7,154
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,90.18,153,69,6717,163927,13.34,491
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,89.34,1798,27,5579,44985,9.35,193
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2015,81.29,1404,90,358,107220,9.31,164
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2016,82.09,1134,151,5001,139936,13.49,53
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2017,92.74,1322,66,6531,15741,7.07,262
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,78.71,1128,111,5562,70071,4.91,247
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2019,87.94,965,181,2401,57554,2.22,284
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2020,89.8,138,144,393,192751,2.78,341
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2021,63.94,1138,146,5048,174098,13.61,103
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2022,77.4,229,35,2112,192897,7.21,208
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2023,67.35,1861,103,388,102460,7.45,124
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2024,79.05,1908,22,4687,27879,14.49,472
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2025,64.69,339,58,1436,27299,12.38,199
Chhattisgarh,Mungeli,2015,66.02,199,14,5063,149403,13.33,369
Chhattisgarh,Mungeli,2016,60.14,1104,77,1258,60359,1.78,373
Chhattisgarh,Mungeli,2017,85.06,670,72,3285,182423,14.94,364
Chhattisgarh,Mungeli,2018,57.55,1092,98,963,173764,13.14,236
Chhattisgarh,Mungeli,2019,67.87,1320,131,5580,92817,12.8,364
Chhattisgarh,Mungeli,2020,78.77,1290,144,7893,124687,3.13,400
Chhattisgarh,Mungeli,2021,69.66,989,200,5137,185666,13.44,145
Chhattisgarh,Mungeli,2022,69.21,1298,104,1733,72333,8.28,264
Chhattisgarh,Mungeli,2023,80.78,1378,94,3612,42355,5.29,255
Chhattisgarh,Mungeli,2024,85.35,101,125,393,40516,2.78,243
Chhattisgarh,Mungeli,2025,69.45,1512,48,5697,135462,4.56,130
Chhattisgarh,Narayanpur,2015,63.43,1396,198,3216,130365,2.9,328
Chhattisgarh,Narayanpur,2016,62.67,1399,158,2203,65976,10.4,285
Chhattisgarh,Narayanpur,2017,67.19,1026,21,2366,175848,11.91,304
Chhattisgarh,Narayanpur,2018,83.38,1001,113,964,155109,12.83,120
Chhattisgarh,Narayanpur,2019,57.29,1129,102,1428,95605,1.12,256
Chhattisgarh,Narayanpur,2020,83.94,1019,123,620,43968,2.5,398
Chhattisgarh,Narayanpur,2021,67.16,850,192,7451,45770,6.7,314
Chhattisgarh,Narayanpur,2022,89.02,1750,60,4698,150989,2.03,398
Chhattisgarh,Narayanpur,2023,92.24,1931,164,7994,131500,1.05,212
Chhattisgarh,Narayanpur,2024,58.53,1710,29,2009,102048,9.98,368
Chhattisgarh,Narayanpur,2025,61.29,1907,173,6703,78509,13.21,230
Chhattisgarh,Raigarh,2015,66.81,457,109,6410,147589,8.87,469
Chhattisgarh,Raigarh,2016,79.61,386,87,5226,85768,8.9,334
Chhattisgarh,Raigarh,2017,80.63,416,88,3944,199026,4.44,371
Chhattisgarh,Raigarh,2018,70.88,961,174,4285,116776,3.08,72
Chhattisgarh,Raigarh,2019,88.3,464,95,7054,86504,3.3,231
Chhattisgarh,Raigarh,2020,72.88,1279,64,3677,130699,12.88,450
Chhattisgarh,Raigarh,2021,81.74,1053,186,6895,88624,6.98,486
Chhattisgarh,Raigarh,2022,76.95,92,111,3866,24552,5.33,9
Chhattisgarh,Raigarh,2023,62.67,338,192,560,173312,3.83,491
Chhattisgarh,Raigarh,2024,83.32,884,125,3732,82968,4.62,402
Chhattisgarh,Raigarh,2025,71.1,1820,33,7926,29031,6.91,408
Chhattisgarh,Raipur,2015,83.75,1361,132,6686,133375,11.06,335
Chhattisgarh,Raipur,2016,59.08,587,14,1651,154593,8.89,202
Chhattisgarh,Raipur,2017,55.69,777,87,4899,189195,5.48,70
Chhattisgarh,Raipur,2018,73.37,1957,171,5431,113301,10.01,498
Chhattisgarh,Raipur,2019,61.97,1607,78,1226,150073,13.14,342
Chhattisgarh,Raipur,2020,84.27,142,184,2920,85710,10.41,388
Chhattisgarh,Raipur,2021,59.87,512,89,7217,17270,12.57,352
Chhattisgarh,Raipur,2022,72.97,769,39,6078,112871,11.12,56
Chhattisgarh,Raipur,2023,77.77,1068,81,5114,70091,3.59,352
Chhattisgarh,Raipur,2024,77.59,1295,160,3435,182113,2.89,26
Chhattisgarh,Raipur,2025,94.77,1921,159,778,130233,14.44,31
Chhattisgarh,Rajnandgaon,2015,66.57,751,108,1480,45027,4.03,412
Chhattisgarh,Rajnandgaon,2016,71.58,1868,9,1860,141837,3.53,326
Chhattisgarh,Rajnandgaon,2017,70.58,1143,85,4878,169072,3.69,164
Chhattisgarh,Rajnandgaon,2018,88.38,671,174,3077,91741,6.59,405
Chhattisgarh,Rajnandgaon,2019,84.68,185,49,1767,137860,4.04,100
Chhattisgarh,Rajnandgaon,2020,71.31,900,92,2432,17262,8.05,30
Chhattisgarh,Rajnandgaon,2021,62.56,402,113,3003,33955,6.05,70
Chhattisgarh,Rajnandgaon,2022,74.87,720,36,1722,6881,11.22,281
Chhattisgarh,Rajnandgaon,2023,86.7,611,157,4765,94794,3.35,278
Chhattisgarh,Rajnandgaon,2024,71.67,1432,152,1043,2102,7.96,194
Chhattisgarh,Rajnandgaon,2025,70.18,825,193,4398,73304,11.11,104
Chhattisgarh,Sakti,2015,92.12,407,134,6151,189538,14.9,405
Chhattisgarh,Sakti,2016,93.43,110,38,4096,155308,12.37,158
Chhattisgarh,Sakti,2017,56.65,728,167,3446,86100,4.56,500
Chhattisgarh,Sakti,2018,90.44,1020,125,4616,68943,7.75,402
Chhattisgarh,Sakti,2019,75.8,1874,99,1192,32472,2.38,8
Chhattisgarh,Sakti,2020,55.8,1077,150,2759,42373,1.0,149
Chhattisgarh,Sakti,2021,71.28,1994,96,7309,149607,3.98,210
Chhattisgarh,Sakti,2022,58.98,705,84,518,172740,1.51,352
Chhattisgarh,Sakti,2023,77.59,1362,26,5621,147638,7.33,473
Chhattisgarh,Sakti,2024,83.18,1630,73,6447,98389,11.2,319
Chhattisgarh,Sakti,2025,60.57,265,177,5535,96806,13.95,139
Chhattisgarh,Sarangarh-Bilaigarh,2015,91.52,777,16,7141,198834,3.36,367
Chhattisgarh,Sarangarh-Bilaigarh,2016,93.89,258,185,7423,21861,2.24,435
Chhattisgarh,Sarangarh-Bilaigarh,2017,62.87,894,111,1330,116753,8.94,96
Chhattisgarh,Sarangarh-Bilaigarh,2018,93.69,737,144,7116,66586,4.71,210
Chhattisgarh,Sarangarh-Bilaigarh,2019,90.58,656,164,3336,61785,9.71,364
Chhattisgarh,Sarangarh-Bilaigarh,2020,63.53,332,71,648,15361,14.5,445
Chhattisgarh,Sarangarh-Bilaigarh,2021,84.69,1804,168,606,47378,13.5,498
Chhattisgarh,Sarangarh-Bilaigarh,2022,66.55,1657,104,6327,161180,3.03,314
Chhattisgarh,Sarangarh-Bilaigarh,2023,68.62,490,15,3656,70031,3.22,345
Chhattisgarh,Sarangarh-Bilaigarh,2024,55.3,1445,21,5248,73322,4.3,82
Chhattisgarh,Sarangarh-Bilaigarh,2025,77.7,1900,132,2540,3546,14.22,478
Chhattisgarh,Sukma,2015,86.33,1820,6,1628,4307,11.42,141
Chhattisgarh,Sukma,2016,67.1,164,47,4602,147631,14.03,14
Chhattisgarh,Sukma,2017,75.87,997,89,5530,104560,10.68,384
Chhattisgarh,Sukma,2018,91.13,362,71,993,81131,2.16,486
Chhattisgarh,Sukma,2019,91.12,169,64,6444,40436,4.56,333
Chhattisgarh,Sukma,2020,70.29,1739,132,5223,15113,3.25,317
Chhattisgarh,Sukma,2021,80.06,1865,22,7974,92104,6.42,283
Chhattisgarh,Sukma,2022,67.74,206,69,6303,179566,14.73,90
Chhattisgarh,Sukma,2023,83.22,1275,83,4480,119006,1.63,271
Chhattisgarh,Sukma,2024,83.72,1474,25,3778,21252,11.65,54
Chhattisgarh,Sukma,2025,58.27,690,123,2699,25673,14.62,285
Chhattisgarh,Surajpur,2015,63.54,910,177,5181,178782,9.48,162
Chhattisgarh,Surajpur,2016,90.18,779,43,7276,123301,14.85,72
Chhattisgarh,Surajpur,2017,65.92,826,80,5330,105627,14.97,233
Chhattisgarh,Surajpur,2018,82.99,577,16,338,73228,4.96,295
Chhattisgarh,Surajpur,2019,94.65,604,109,5916,55417,9.85,467
Chhattisgarh,Surajpur,2020,55.98,1119,33,6987,138172,5.44,217
