state,district,year,rural_roads,village_development_index,employment_scheme,agriculture_support,rural_income,water_access,education_access
Tamil Nadu,Nagapattinam,2015,31.79,63.82,13.84,94.34,43.78,12.79,37.38
Uttar Pradesh,Ayodhya,2023,69.92,29.36,22.18,45.81,38.39,74.03,70.69
Madhya Pradesh,Shahdol,2025,44.29,17.3,81.1,47.08,66.51,10.87,53.4
Meghalaya,South West Khasi Hills,2024,28.45,88.59,59.1,68.39,88.0,33.89,22.08
Gujarat,Surendranagar,2021,56.98,63.79,85.99,70.89,72.21,51.64,53.78
Jharkhand,West Singhbhum,2017,73.13,71.5,48.16,75.56,23.62,21.99,18.76
Rajasthan,Baran,2022,14.24,50.43,63.97,40.8,31.51,64.16,71.05
Andhra Pradesh,Tirupati,2017,43.63,85.52,63.36,28.05,82.52,12.67,61.31
Telangana,Hyderabad,2024,73.03,43.93,95.94,14.31,22.85,45.14,61.27
Manipur,Jiribam,2019,34.04,11.74,74.78,84.33,79.84,77.9,68.65
Telangana,Warangal,2016,17.14,23.86,52.01,31.0,68.73,79.69,51.83
Gujarat,Bhavnagar,2017,89.19,54.19,75.2,50.19,13.56,15.61,94.42
Mizoram,Kolasib,2018,13.62,42.6,61.09,87.82,94.89,98.32,88.71
Madhya Pradesh,Anuppur,2016,82.07,67.29,89.68,48.46,71.94,81.53,86.0
Telangana,Nirmal,2018,65.58,76.67,12.69,49.47,24.79,35.8,60.67
Nagaland,Wokha,2017,42.39,86.0,57.84,13.2,24.05,30.64,33.0
Jharkhand,Ranchi,2022,41.97,69.02,64.0,72.97,28.22,55.75,36.79
Maharashtra,Chandrapur,2024,48.13,89.34,71.6,12.81,37.85,44.16,74.64
Manipur,Tamenglong,2018,10.82,41.09,78.72,70.64,16.77,81.05,86.29
Karnataka,Chikkaballapur,2024,33.56,63.0,95.9,27.54,83.3,61.69,36.59
Assam,Charaideo,2024,64.97,60.96,83.76,50.56,88.91,29.87,37.67
Andhra Pradesh,Visakhapatnam,2025,83.87,49.3,68.71,13.13,50.57,32.18,92.34
Bihar,Gopalganj,2017,32.12,30.28,67.65,78.64,78.81,11.4,18.95
Uttarakhand,Nainital,2016,67.95,35.52,91.67,30.69,57.35,92.74,32.81
Maharashtra,Raigad,2021,61.39,97.75,27.09,22.56,60.32,60.69,52.61
Uttar Pradesh,Ballia,2015,73.37,45.82,36.07,98.14,63.21,82.57,41.52
Arunachal Pradesh,Upper Siang,2025,91.25,64.25,41.48,73.3,73.31,44.01,21.76
Arunachal Pradesh,Longding,2015,53.69,56.56,21.41,23.42,54.25,17.74,76.53
Punjab,Pathankot,2017,85.67,75.09,48.51,56.94,96.64,11.44,52.23
Tripura,Unakoti,2021,73.68,16.14,93.02,76.05,45.99,84.1,39.79
Telangana,Komaram Bheem Asifabad,2022,54.37,90.87,70.49,40.99,80.04,69.47,97.55
Chhattisgarh,Durg,2017,44.66,47.94,82.18,61.26,33.86,24.01,71.34
Rajasthan,Jaisalmer,2017,46.08,20.24,26.42,52.71,94.82,71.34,65.55
Andhra Pradesh,Palnadu,2021,23.28,42.85,34.6,64.36,59.62,96.18,49.69
Maharashtra,Akola,2018,35.21,74.37,73.41,88.45,99.56,43.15,12.61
Andhra Pradesh,Vizianagaram,2021,51.65,93.66,29.1,90.9,93.8,86.24,55.98
Rajasthan,Alwar,2024,78.88,81.87,26.59,30.96,39.39,57.18,34.8
Odisha,Sambalpur,2020,83.8,73.18,71.99,71.34,39.78,53.03,50.8
Uttar Pradesh,Pilibhit,2017,58.67,30.85,51.13,54.94,63.0,84.9,17.4
Uttar Pradesh,Sonbhadra,2020,57.21,65.65,43.88,21.85,74.39,21.08,28.98
Assam,Biswanath,2015,40.98,84.09,57.05,87.07,37.71,51.75,56.95
Uttar Pradesh,Deoria,2019,82.33,28.36,35.78,70.51,65.4,75.67,12.68
Arunachal Pradesh,Lower Siang,2019,43.16,90.45,34.99,75.57,48.54,99.86,52.13
Jharkhand,Chatra,2015,73.01,71.09,32.44,57.91,81.84,63.71,47.28
Uttar Pradesh,Hardoi,2018,27.51,73.6,35.84,60.67,80.18,41.59,35.96
Uttar Pradesh,Sitapur,2019,48.85,60.02,83.77,57.12,53.93,73.07,52.49
Rajasthan,Balotra,2019,67.45,64.2,54.07,27.81,82.39,22.68,68.05
Bihar,Supaul,2020,98.13,70.72,24.48,32.07,36.68,36.81,60.25
Sikkim,Mangan,2016,39.92,72.56,21.68,82.39,50.34,35.76,63.94
Gujarat,Dang,2017,65.65,82.2,63.49,87.06,41.07,18.58,59.29
Bihar,Bhojpur,2024,45.05,51.46,44.0,14.58,96.15,26.21,56.21
Telangana,Mahabubnagar,2022,78.27,18.08,35.3,73.25,81.98,26.88,58.29
Haryana,Karnal,2018,23.36,84.42,44.09,69.45,51.71,74.55,75.56
Gujarat,Surendranagar,2024,46.39,38.51,11.74,57.19,54.55,66.75,61.44
Haryana,Yamunanagar,2017,59.26,43.35,38.16,27.97,90.98,76.27,88.31
Uttar Pradesh,Ghaziabad,2015,60.18,91.01,99.63,29.55,35.84,19.88,76.51
Telangana,Narayanpet,2021,64.12,36.28,37.42,69.86,12.8,95.36,42.67
Rajasthan,Kota,2023,54.65,98.97,20.78,62.75,50.44,77.29,74.13
Gujarat,Kutch,2018,38.79,58.02,75.86,40.4,62.76,48.38,49.21
Punjab,Bathinda,2017,25.37,95.18,69.91,64.69,50.87,42.51,60.87
Jharkhand,Seraikela-Kharsawan,2023,39.81,80.14,49.96,66.33,16.53,69.58,80.6
Punjab,Barnala,2017,23.19,93.72,77.27,50.1,80.26,95.32,75.15
Nagaland,Noklak,2024,35.71,56.92,96.97,22.58,28.87,23.01,82.42
Uttar Pradesh,Pilibhit,2025,14.17,44.82,29.65,93.89,54.0,29.04,68.66
Uttar Pradesh,Etah,2023,28.79,81.08,62.67,48.02,64.72,72.03,92.35
Uttar Pradesh,Gorakhpur,2015,51.67,48.93,82.95,83.57,50.45,72.1,63.25
Madhya Pradesh,Burhanpur,2023,58.86,79.15,32.95,97.4,40.69,64.14,20.89
Punjab,Pathankot,2023,58.59,47.23,74.94,63.84,43.01,74.29,95.7
Chhattisgarh,Sukma,2021,99.63,35.22,32.33,70.35,10.51,80.67,49.25
Maharashtra,Sindhudurg,2016,71.86,82.49,10.75,45.76,20.95,49.29,11.73
Madhya Pradesh,Jhabua,2015,22.73,27.54,57.64,48.4,94.5,62.05,50.06
Rajasthan,Bhilwara,2022,25.19,53.74,88.72,45.41,12.66,87.01,77.28
Uttar Pradesh,Moradabad,2022,36.05,21.95,80.34,59.55,33.52,40.88,86.13
Bihar,Katihar,2022,29.9,39.27,90.96,86.03,12.44,42.15,11.37
Arunachal Pradesh,Kamle,2019,81.35,71.28,98.76,16.5,75.06,60.91,75.17
Nagaland,Shamator,2016,63.73,31.96,55.9,19.1,54.19,18.31,51.92
Assam,Sonitpur,2020,66.03,15.18,90.18,53.96,95.84,60.89,32.27
Uttar Pradesh,Sambhal,2025,24.05,88.65,52.98,32.9,96.47,72.48,45.66
Bihar,Gaya,2016,11.09,86.41,97.51,36.04,39.9,36.9,81.9
Arunachal Pradesh,West Siang,2019,51.6,16.19,15.98,55.23,77.45,71.47,28.12
Karnataka,Shivamogga,2020,71.34,14.58,85.47,58.63,72.54,88.72,24.98
Rajasthan,Kotputli-Behror,2019,98.29,59.01,96.21,58.5,89.1,55.02,79.29
Assam,Kokrajhar,2020,69.12,98.42,35.64,26.97,25.17,66.22,48.12
Madhya Pradesh,Dhar,2020,54.39,16.71,64.45,77.28,83.98,15.82,98.09
Tamil Nadu,Madurai,2019,18.97,35.16,22.05,70.42,46.41,21.01,91.09
Karnataka,Kalaburagi,2018,94.11,88.22,99.31,74.01,86.92,17.67,76.45
Madhya Pradesh,Neemuch,2022,27.14,29.54,66.16,68.32,70.56,89.64,46.82
Maharashtra,Hingoli,2020,45.0,32.31,93.7,57.15,48.72,48.18,51.05
Haryana,Nuh,2018,88.34,24.98,16.72,70.69,76.72,59.11,41.94
Odisha,Jajpur,2021,98.87,63.8,39.09,95.82,18.86,96.82,17.48
Rajasthan,Jalore,2024,76.42,18.68,67.9,13.86,92.45,20.84,24.68
West Bengal,Dakshin Dinajpur,2019,59.36,88.4,93.06,77.24,33.37,81.3,17.9
Uttar Pradesh,Etah,2016,55.02,41.46,64.62,22.99,58.52,38.1,20.29
Telangana,Mahabubabad,2020,89.65,39.56,56.78,94.09,53.79,22.03,64.64
Rajasthan,Sirohi,2017,38.19,92.28,74.12,15.38,34.42,11.67,92.11
Bihar,Samastipur,2017,20.95,29.99,28.63,94.18,66.38,27.69,75.67
Kerala,Idukki,2019,75.93,41.49,56.34,14.98,41.05,43.82,92.68
Madhya Pradesh,Rewa,2019,33.7,69.12,64.44,26.57,19.4,52.35,47.19
Chhattisgarh,Raipur,2021,87.9,27.43,88.24,78.3,67.22,60.25,99.07
Tamil Nadu,Ramanathapuram,2018,49.62,54.81,11.85,44.66,91.99,98.26,45.21
Bihar,Jamui,2018,85.15,25.2,67.9,90.48,64.1,89.43,25.3
Uttarakhand,Haridwar,2019,12.26,81.72,89.25,39.74,59.63,59.34,91.93
Gujarat,Panchmahal,2025,97.22,99.96,49.44,74.64,94.72,16.4,30.1
Assam,South Salmara-Mankachar,2022,74.35,18.84,26.42,82.34,81.55,36.3,33.23
Rajasthan,Hanumangarh,2024,36.77,27.8,34.99,45.18,81.44,63.37,63.28
Punjab,Fazilka,2024,20.97,12.57,62.35,74.85,96.17,84.5,47.15
Maharashtra,Ahmednagar,2022,69.84,87.05,82.47,33.17,38.19,94.46,37.22
Odisha,Sambalpur,2018,79.17,71.55,18.82,49.64,25.28,15.0,51.95
Rajasthan,Bundi,2024,13.99,71.01,62.19,42.12,90.12,27.19,32.71
Gujarat,Botad,2015,76.29,54.11,56.61,24.27,19.4,65.09,40.58
Karnataka,Raichur,2023,63.71,40.92,38.49,99.73,19.8,73.22,13.37
Telangana,Jayashankar Bhupalpally,2024,80.26,19.15,74.78,74.92,50.29,47.73,51.08
Jharkhand,Hazaribagh,2025,46.98,44.64,28.72,34.75,11.34,24.94,65.34
Punjab,Ludhiana,2019,28.2,76.33,32.83,42.08,31.25,78.76,42.17
Punjab,Patiala,2022,42.47,96.24,40.15,25.02,50.7,80.79,74.05
Chhattisgarh,Balrampur,2015,43.11,14.53,21.77,60.24,53.96,18.44,32.31
Madhya Pradesh,Ratlam,2024,46.45,95.9,31.85,82.77,52.12,45.77,39.38
Madhya Pradesh,Jhabua,2018,77.22,22.63,33.87,32.69,55.6,18.08,29.65
Rajasthan,Kotputli-Behror,2025,31.34,26.55,73.89,24.32,23.05,74.35,59.34
Odisha,Khordha,2016,75.23,90.84,92.27,43.5,89.79,68.56,35.66
Madhya Pradesh,Dewas,2018,98.9,84.58,19.09,34.89,45.21,54.93,39.48
Madhya Pradesh,Ratlam,2018,49.63,81.79,87.57,81.8,11.75,19.73,16.96
Andhra Pradesh,Bapatla,2023,76.22,96.58,32.68,62.02,90.18,74.63,86.06
Odisha,Cuttack,2017,28.41,46.98,95.15,57.81,50.66,50.03,71.9
Chhattisgarh,Balod,2019,40.97,63.73,92.22,45.32,60.55,16.43,76.81
Chhattisgarh,Surajpur,2019,71.15,29.57,10.11,54.89,31.77,83.97,69.32
Maharashtra,Palghar,2022,83.24,25.61,86.19,12.91,73.0,55.64,98.48
Telangana,Peddapalli,2024,69.92,43.6,21.82,91.73,22.06,72.97,35.5
Maharashtra,Sindhudurg,2025,66.97,18.57,60.79,40.15,28.38,89.56,10.05
Madhya Pradesh,Guna,2024,95.38,63.36,79.76,57.51,62.71,44.98,73.42
Meghalaya,North Garo Hills,2016,54.36,42.48,22.85,50.63,19.08,11.59,62.73
Haryana,Rewari,2023,69.45,94.31,68.64,24.31,67.62,45.97,90.93
Himachal Pradesh,Kullu,2024,28.82,26.13,28.13,78.42,67.21,13.44,19.66
Nagaland,Peren,2016,58.7,84.46,25.5,79.69,52.6,10.38,41.37
Manipur,Ukhrul,2018,91.98,46.57,51.88,62.11,99.06,97.02,11.99
Rajasthan,Anupgarh,2020,32.79,66.03,89.12,37.3,82.91,46.66,71.51
Maharashtra,Chandrapur,2022,27.64,58.97,20.91,66.92,61.65,10.88,43.05
Bihar,Arwal,2015,14.57,88.68,74.32,46.4,15.04,86.08,75.24
Meghalaya,South Garo Hills,2025,74.31,38.47,35.09,87.48,77.93,12.61,45.32
Manipur,Ukhrul,2021,80.2,31.48,51.95,79.26,58.32,45.84,22.99
Karnataka,Belagavi,2020,77.22,23.07,27.87,59.02,36.16,65.58,62.63
Karnataka,Bagalkot,2018,70.54,35.19,33.48,75.66,97.1,49.42,44.39
Madhya Pradesh,Chhindwara,2020,45.45,80.88,14.97,72.84,21.49,77.11,41.66
Telangana,Jogulamba Gadwal,2024,11.63,90.36,24.42,87.21,69.33,29.85,41.64
Andhra Pradesh,Eluru,2019,92.42,74.72,96.85,52.05,17.71,30.17,66.53
Odisha,Bargarh,2016,30.62,24.18,86.4,19.32,39.07,28.94,31.85
Madhya Pradesh,Anuppur,2023,95.35,92.18,15.64,16.7,49.97,16.6,46.47
Tamil Nadu,Krishnagiri,2019,86.26,67.03,75.03,92.23,48.23,78.91,93.88
Gujarat,Aravalli,2019,86.27,11.54,78.26,95.78,26.83,92.35,95.02
Telangana,Nirmal,2017,98.61,78.11,18.98,72.92,70.33,26.33,48.6
Kerala,Ernakulam,2019,81.08,72.4,87.91,37.79,47.48,38.38,30.78
Maharashtra,Beed,2022,61.7,84.11,48.95,91.89,51.67,52.52,64.41
Gujarat,Surendranagar,2021,37.01,13.64,69.87,36.11,84.47,43.38,45.87
Uttar Pradesh,Mathura,2022,71.46,55.44,33.62,24.52,82.58,12.07,34.23
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2018,67.39,40.72,36.3,28.49,85.31,42.32,37.31
Uttar Pradesh,Lucknow,2021,98.28,76.1,34.97,62.62,86.68,26.67,53.01
Arunachal Pradesh,Kamle,2021,90.81,99.4,73.01,63.37,90.1,62.7,28.35
Uttar Pradesh,Hapur,2017,40.4,85.98,68.82,28.91,87.15,49.74,70.17
Tamil Nadu,Tirunelveli,2017,48.85,54.64,19.8,49.69,48.62,42.87,75.22
Telangana,Peddapalli,2017,64.49,96.78,24.39,60.68,90.04,86.64,69.19
Assam,Morigaon,2022,51.34,96.92,31.96,60.11,83.92,22.93,30.98
Maharashtra,Osmanabad (Dharashiv),2017,87.6,31.05,18.03,27.99,68.15,68.08,67.42
Andhra Pradesh,Bapatla,2025,62.43,87.12,79.35,80.26,48.58,53.72,30.67
Chhattisgarh,Bilaspur,2023,88.85,48.18,33.87,38.93,81.77,99.25,98.45
Sikkim,Soreng,2016,30.6,73.75,62.35,44.89,13.95,78.72,31.09
West Bengal,Uttar Dinajpur,2016,12.45,26.8,91.29,76.39,19.73,55.95,55.25
Bihar,Nalanda,2025,86.13,55.65,40.85,82.7,25.07,76.94,38.12
West Bengal,Jhargram,2017,92.53,35.22,19.62,24.01,17.73,91.16,81.6
Arunachal Pradesh,Siang,2018,51.0,40.09,20.4,16.98,17.86,37.67,10.98
Uttar Pradesh,Farrukhabad,2025,67.54,26.51,18.46,58.39,50.22,67.79,34.36
Haryana,Karnal,2022,41.66,81.94,27.43,51.07,80.06,23.25,73.22
Chhattisgarh,Kondagaon,2020,47.82,92.47,98.05,23.67,11.05,71.79,61.07
Gujarat,Surat,2018,65.43,46.8,38.39,79.31,56.06,92.91,97.2
Rajasthan,Barmer,2020,40.3,17.78,84.16,84.58,44.42,33.93,16.97
Rajasthan,Bundi,2024,42.22,22.94,87.66,81.75,52.38,90.69,82.28
Haryana,Karnal,2025,56.56,41.36,16.78,61.74,16.52,90.3,75.54
Kerala,Kottayam,2025,16.49,51.39,91.22,56.24,84.33,49.48,54.21
Madhya Pradesh,Chhatarpur,2019,90.82,18.77,22.26,69.85,49.57,26.75,35.95
Chhattisgarh,Mungeli,2015,12.65,83.39,60.99,95.29,67.13,87.82,15.7
Maharashtra,Nandurbar,2016,44.09,30.6,61.36,82.42,94.45,13.38,43.64
Uttar Pradesh,Shamli,2017,43.8,76.09,91.97,57.81,24.51,50.45,37.21
Andhra Pradesh,YSR Kadapa,2017,89.43,76.71,50.74,81.31,62.08,68.05,72.39
Kerala,Ernakulam,2019,87.83,78.9,74.54,34.28,64.03,75.5,40.44
Haryana,Hisar,2016,14.59,43.02,44.01,73.76,92.12,57.35,43.0
Karnataka,Gadag,2020,91.22,67.16,73.41,28.24,34.9,73.2,45.64
Odisha,Khordha,2021,61.39,35.07,77.52,97.42,37.83,87.68,23.13
Bihar,Vaishali,2016,34.15,82.92,68.5,77.77,37.86,46.11,58.37
Jharkhand,East Singhbhum,2015,10.75,55.35,93.35,21.98,25.65,79.42,25.01
Tamil Nadu,Kanchipuram,2023,84.36,92.49,55.61,44.74,94.95,61.51,15.47
Assam,South Salmara-Mankachar,2023,35.64,28.68,12.28,13.63,92.52,83.41,26.31
Andhra Pradesh,Anakapalli,2017,98.49,40.39,75.56,13.05,47.98,70.45,69.05
Bihar,Kaimur,2023,37.33,36.51,47.03,98.85,70.61,38.01,76.11
Maharashtra,Washim,2020,17.51,49.26,40.59,68.96,17.46,69.61,87.64
Himachal Pradesh,Sirmaur,2017,11.6,68.34,83.75,41.95,98.5,67.21,59.44
Madhya Pradesh,Rajgarh,2018,79.91,47.6,89.04,98.52,58.69,91.13,42.11
Nagaland,Tseminyu,2019,21.95,99.92,24.0,69.26,37.06,52.29,79.8
Meghalaya,South Garo Hills,2021,60.56,52.03,51.09,41.94,23.23,89.73,50.35
Tamil Nadu,Sivaganga,2025,56.13,35.13,49.06,80.19,67.14,97.4,46.48
Uttarakhand,Nainital,2019,67.85,58.12,59.2,15.05,12.1,39.42,25.12
Uttar Pradesh,Gautam Buddha Nagar,2020,80.46,18.25,44.32,37.23,74.59,70.05,36.01
Madhya Pradesh,Sidhi,2016,99.07,59.77,58.32,71.0,81.81,75.79,89.11
Assam,Kokrajhar,2019,84.76,65.07,55.93,42.57,27.91,94.82,49.66
Rajasthan,Bikaner,2023,95.53,57.82,51.64,20.46,51.54,82.62,52.93
Rajasthan,Bikaner,2017,92.52,25.58,81.55,87.74,40.66,88.27,14.35
Punjab,Barnala,2017,16.61,46.51,35.07,46.42,48.25,21.71,73.56
Rajasthan,Sri Ganganagar,2024,10.51,73.53,68.09,98.93,46.97,23.81,23.38
Rajasthan,Hanumangarh,2016,27.77,77.45,16.3,75.17,81.17,11.99,65.69
Odisha,Cuttack,2016,80.47,36.42,41.0,56.23,51.91,11.47,42.61
Andhra Pradesh,Srikakulam,2022,33.04,47.05,41.28,20.67,44.87,29.08,70.45
Uttar Pradesh,Basti,2023,79.65,43.65,93.59,15.84,59.17,16.81,97.53
Tamil Nadu,Vellore,2016,48.49,70.37,26.28,85.13,16.71,32.14,72.31
Nagaland,Longleng,2015,69.53,37.82,62.36,35.35,79.73,67.78,79.01
Uttar Pradesh,Mahoba,2015,83.16,59.16,42.21,55.68,96.01,51.03,74.41
Madhya Pradesh,Sehore,2025,13.57,50.13,49.07,96.52,71.28,20.21,47.02
Uttar Pradesh,Meerut,2024,89.43,31.62,93.32,87.92,84.94,30.7,74.86
Haryana,Sonipat,2022,28.46,46.44,23.13,49.51,93.31,65.67,73.35
Jharkhand,Khunti,2020,15.45,46.2,55.16,98.67,52.2,54.72,22.76
Karnataka,Koppal,2018,41.14,56.99,17.63,70.19,23.98,24.36,77.86
Tripura,Sepahijala,2015,41.73,94.9,97.63,11.86,62.77,45.7,30.44
Assam,Sonitpur,2018,84.42,16.93,34.04,63.12,65.83,25.48,55.67
Uttarakhand,Rudraprayag,2024,83.24,50.37,28.56,37.58,55.2,46.58,27.95
Rajasthan,Bharatpur,2015,53.26,15.97,81.83,41.37,99.9,42.34,39.88
Andhra Pradesh,Anakapalli,2015,73.81,44.51,18.18,58.65,93.68,48.05,37.78
Rajasthan,Pratapgarh,2020,72.21,45.57,28.55,91.69,44.43,52.56,54.46
Bihar,Kaimur,2021,56.02,11.84,48.38,48.15,44.99,64.75,79.07
Rajasthan,Kekri,2023,86.73,78.66,50.84,48.9,56.44,17.39,10.75
Nagaland,Dimapur,2018,11.87,61.57,91.86,77.46,61.49,61.55,49.87
Bihar,Nalanda,2019,94.98,98.79,61.6,71.56,12.73,91.63,46.2
Punjab,Sangrur,2017,11.9,74.5,81.29,30.2,32.63,61.62,21.55
Maharashtra,Bhandara,2016,39.42,36.45,83.49,61.73,42.61,14.95,70.21
Uttar Pradesh,Bulandshahr,2021,16.17,77.7,99.22,83.23,36.74,74.47,18.83
Maharashtra,Pune,2021,57.24,11.85,27.34,90.96,30.89,74.07,13.12
Gujarat,Bharuch,2022,87.98,11.88,35.55,69.96,55.83,56.31,24.0
Bihar,Sitamarhi,2020,68.06,59.16,51.56,28.16,42.15,30.63,25.84
Karnataka,Ballari,2025,82.82,59.2,27.96,45.2,96.24,26.82,96.26
Meghalaya,North Garo Hills,2016,76.87,95.12,56.03,98.29,29.58,62.92,84.29
Tamil Nadu,Thanjavur,2024,32.49,60.02,46.91,23.4,44.36,81.02,21.53
Punjab,Faridkot,2015,76.16,64.75,85.31,81.12,84.88,43.74,89.58
Odisha,Malkangiri,2021,63.65,58.81,78.51,55.31,23.93,77.76,75.9
Manipur,Ukhrul,2022,41.98,82.4,88.03,59.57,91.21,53.61,33.02
Himachal Pradesh,Kinnaur,2021,71.57,54.62,12.36,51.62,45.18,55.23,19.75
Maharashtra,Gondia,2015,58.43,27.96,59.27,81.3,31.11,88.54,85.02
Arunachal Pradesh,Namsai,2021,45.18,77.46,31.82,87.13,88.52,70.35,93.74
West Bengal,Alipurduar,2020,98.1,61.33,23.88,35.07,73.54,46.17,17.37
Haryana,Jind,2021,86.17,87.74,44.64,50.14,82.05,17.05,80.59
Madhya Pradesh,Bhind,2016,10.76,65.6,85.92,15.66,13.06,22.05,26.06
Jharkhand,Chatra,2021,78.35,20.28,59.91,78.68,19.2,73.16,47.11
Odisha,Malkangiri,2015,80.26,42.54,87.37,43.72,98.65,39.0,80.47
Telangana,Warangal,2019,39.26,66.74,93.43,52.04,37.95,76.88,40.75
Bihar,Aurangabad,2018,48.57,50.3,51.99,53.2,43.48,94.19,46.89
Uttarakhand,Haridwar,2023,90.49,36.31,16.74,82.56,67.93,19.12,24.64
Arunachal Pradesh,Anjaw,2024,34.54,33.65,18.7,94.97,90.92,64.38,69.97
Nagaland,Noklak,2022,39.97,69.29,16.43,93.27,93.08,92.93,87.13
Arunachal Pradesh,Lower Subansiri,2018,39.32,26.82,12.79,36.48,87.99,26.12,67.81
Himachal Pradesh,Mandi,2015,18.91,83.43,37.47,80.07,24.24,42.97,93.48
Gujarat,Gir Somnath,2020,35.24,53.19,92.45,56.27,37.13,39.38,15.11
Sikkim,Mangan,2015,15.19,51.66,71.92,25.36,37.01,32.49,75.97
Jharkhand,Bokaro,2020,61.84,56.3,33.76,93.6,72.1,61.46,29.52
Bihar,Patna,2024,95.7,20.04,62.72,51.76,98.61,60.93,24.64
Gujarat,Bhavnagar,2023,73.96,64.21,59.28,18.41,29.56,66.23,44.62
Uttar Pradesh,Ballia,2022,91.38,65.53,13.08,89.87,54.26,61.18,49.15
Karnataka,Mysuru,2018,63.21,98.21,43.47,75.46,33.7,88.24,63.81
Rajasthan,Pratapgarh,2024,67.83,64.2,84.2,47.69,61.54,54.59,59.25
Odisha,Jharsuguda,2020,38.49,53.03,55.23,67.5,42.66,66.81,83.71
Uttar Pradesh,Kaushambi,2020,27.3,61.34,69.37,81.66,70.0,33.34,20.29
Mizoram,Lunglei,2022,23.17,63.28,74.08,71.77,43.1,42.66,54.22
Bihar,Kaimur,2021,91.08,32.67,47.01,78.15,66.21,86.01,55.99
Jharkhand,Koderma,2024,20.21,17.78,78.98,28.28,64.95,68.47,70.31
Maharashtra,Solapur,2024,78.89,22.36,45.88,79.62,98.26,12.78,60.26
Mizoram,Lawngtlai,2022,60.41,20.9,14.43,50.66,41.61,75.04,39.44
Arunachal Pradesh,Kamle,2018,74.18,11.13,69.79,10.35,35.83,54.95,71.55
Uttar Pradesh,Ghaziabad,2017,51.9,20.98,14.51,49.28,38.0,83.76,17.62
Rajasthan,Phalodi,2024,56.84,48.89,94.91,76.68,42.5,24.17,97.86
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,49.03,60.86,23.46,36.41,11.65,48.11,14.79
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,64.33,89.41,30.32,45.36,80.0,65.01,21.12
Gujarat,Botad,2023,83.63,77.26,74.62,93.25,19.46,58.17,79.37
Uttar Pradesh,Ambedkar Nagar,2020,79.74,64.07,18.11,35.96,28.08,39.92,46.64
Maharashtra,Jalgaon,2017,59.62,37.06,86.41,14.2,97.44,43.71,41.6
Assam,Udalguri,2016,35.02,49.59,30.38,64.67,60.96,93.07,59.1
Madhya Pradesh,Sidhi,2019,23.8,17.81,25.77,30.8,25.28,66.86,87.95
Himachal Pradesh,Shimla,2020,68.94,99.94,45.32,60.83,45.05,33.95,58.11
Karnataka,Chikkamagaluru,2017,48.07,88.82,24.1,35.22,67.74,90.59,42.79
Manipur,Jiribam,2016,66.5,88.32,76.51,93.57,50.65,77.1,77.1
Meghalaya,Ri Bhoi,2019,67.0,88.3,52.08,15.64,20.6,45.97,99.32
Uttarakhand,Rudraprayag,2021,37.41,17.31,45.13,61.64,33.66,89.39,53.26
Chhattisgarh,Rajnandgaon,2016,62.94,23.34,99.5,75.34,37.09,85.03,12.68
Tripura,Dhalai,2024,14.57,30.42,40.86,69.94,15.48,25.09,60.45
Manipur,Churachandpur,2021,13.32,40.53,10.76,15.69,77.59,51.45,71.91
Rajasthan,Tonk,2018,77.9,69.68,54.29,33.83,25.99,88.38,16.73
Assam,Kamrup,2022,25.2,65.0,57.02,30.86,34.65,25.6,93.29
West Bengal,Nadia,2024,75.79,76.75,12.95,99.75,33.02,86.58,24.17
Assam,Sivasagar,2020,87.24,76.84,43.83,68.82,50.06,69.11,56.8
Uttar Pradesh,Agra,2017,14.9,26.61,47.54,68.99,62.51,79.69,79.48
Assam,Dhemaji,2024,61.21,18.68,88.43,74.3,82.59,88.95,14.1
Karnataka,Bengaluru Urban,2024,25.62,60.37,77.56,40.6,86.38,30.3,60.65
Rajasthan,Udaipur,2025,91.0,29.13,34.27,38.74,26.74,40.78,52.48
Andhra Pradesh,Alluri Sitharama Raju,2015,65.69,83.18,16.95,68.57,14.25,91.58,55.52
Rajasthan,Dholpur,2023,24.09,44.8,72.54,53.23,65.62,51.44,96.02
Arunachal Pradesh,Lower Subansiri,2018,99.91,29.54,54.5,97.59,43.48,36.24,51.27
Manipur,Imphal West,2023,91.87,76.16,65.35,88.3,40.76,79.66,80.73
Telangana,Peddapalli,2021,12.59,81.85,75.72,22.79,72.58,65.44,19.99
Maharashtra,Nashik,2017,14.33,59.78,96.55,98.2,31.66,75.08,55.75
Uttar Pradesh,Mainpuri,2021,85.77,98.49,84.7,27.83,23.22,63.36,73.28
Bihar,Gopalganj,2022,17.49,50.99,69.78,68.28,28.47,55.84,61.28
Arunachal Pradesh,Namsai,2015,27.06,54.71,43.12,80.89,86.99,19.81,32.62
Maharashtra,Amravati,2016,42.98,56.74,41.47,33.84,24.41,89.83,60.25
Madhya Pradesh,Khandwa,2023,32.96,30.78,88.39,57.0,54.33,91.4,64.29
Assam,Dhemaji,2020,74.56,43.09,71.62,76.97,42.7,87.67,54.18
Haryana,Yamunanagar,2020,29.21,52.52,54.95,82.14,63.61,73.32,66.84
Bihar,Sitamarhi,2015,70.85,30.38,29.68,16.37,11.97,19.04,55.64
Maharashtra,Sangli,2023,15.1,54.14,27.91,69.58,65.3,14.65,14.24
