state,district,year,avg_temperature,annual_rainfall_mm,humidity_percent,heatwave_days,flood_incidents
Chhattisgarh,Rajnandgaon,2023,24.42,1739,79.75,19,10
Chhattisgarh,Rajnandgaon,2024,22.74,682,60.95,33,6
Chhattisgarh,Rajnandgaon,2025,36.64,2026,64.61,26,10
Chhattisgarh,Sakti,2015,23.07,858,65.81,38,9
Chhattisgarh,Sakti,2016,31.42,1366,87.45,23,9
Chhattisgarh,Sakti,2017,24.01,1160,91.77,24,9
Chhattisgarh,Sakti,2018,27.02,2612,51.41,2,5
Chhattisgarh,Sakti,2019,24.85,2949,86.5,0,1
Chhattisgarh,Sakti,2020,22.96,1437,80.61,5,4
Chhattisgarh,Sakti,2021,27.91,248,86.45,4,10
Chhattisgarh,Sakti,2022,19.36,2603,61.56,4,7
Chhattisgarh,Sakti,2023,23.26,1006,31.33,17,5
Chhattisgarh,Sakti,2024,30.64,1834,94.26,14,9
Chhattisgarh,Sakti,2025,18.76,1059,70.07,23,5
Chhattisgarh,Sarangarh-Bilaigarh,2015,37.2,1210,79.83,15,8
Chhattisgarh,Sarangarh-Bilaigarh,2016,21.88,470,38.94,12,8
Chhattisgarh,Sarangarh-Bilaigarh,2017,23.73,1158,87.55,12,8
Chhattisgarh,Sarangarh-Bilaigarh,2018,17.99,343,57.92,16,6
Chhattisgarh,Sarangarh-Bilaigarh,2019,16.3,1099,89.65,14,1
Chhattisgarh,Sarangarh-Bilaigarh,2020,29.72,1672,38.44,15,9
Chhattisgarh,Sarangarh-Bilaigarh,2021,22.41,826,68.15,18,6
Chhattisgarh,Sarangarh-Bilaigarh,2022,16.54,1507,78.61,11,6
Chhattisgarh,Sarangarh-Bilaigarh,2023,39.28,240,35.43,13,4
Chhattisgarh,Sarangarh-Bilaigarh,2024,16.74,1097,57.69,33,5
Chhattisgarh,Sarangarh-Bilaigarh,2025,36.13,1146,79.07,13,4
Chhattisgarh,Sukma,2015,32.74,1342,34.26,8,5
Chhattisgarh,Sukma,2016,28.82,2058,90.86,30,8
Chhattisgarh,Sukma,2017,24.06,2748,84.01,17,2
Chhattisgarh,Sukma,2018,20.72,1862,59.89,38,8
Chhattisgarh,Sukma,2019,24.52,1569,71.76,17,6
Chhattisgarh,Sukma,2020,25.23,2889,50.17,5,5
Chhattisgarh,Sukma,2021,25.93,1286,62.21,12,8
Chhattisgarh,Sukma,2022,17.86,2202,94.88,35,8
Chhattisgarh,Sukma,2023,36.87,357,56.61,27,3
Chhattisgarh,Sukma,2024,21.27,1028,75.45,5,2
Chhattisgarh,Sukma,2025,34.53,1002,47.35,25,7
Chhattisgarh,Surajpur,2015,32.16,1089,48.27,32,8
Chhattisgarh,Surajpur,2016,32.02,2684,65.23,11,6
Chhattisgarh,Surajpur,2017,25.92,1753,56.0,33,2
Chhattisgarh,Surajpur,2018,24.67,1009,45.86,10,2
Chhattisgarh,Surajpur,2019,29.02,1296,45.01,36,0
Chhattisgarh,Surajpur,2020,34.3,352,67.96,19,2
Chhattisgarh,Surajpur,2021,23.71,721,66.97,32,8
Chhattisgarh,Surajpur,2022,23.22,685,91.57,8,4
Chhattisgarh,Surajpur,2023,38.93,1671,76.48,35,9
Chhattisgarh,Surajpur,2024,24.25,1299,74.1,36,10
Chhattisgarh,Surajpur,2025,30.68,242,91.89,12,3
Chhattisgarh,Surguja,2015,37.92,2551,34.85,22,5
Chhattisgarh,Surguja,2016,33.55,427,51.63,33,3
Chhattisgarh,Surguja,2017,26.15,2278,78.33,20,7
Chhattisgarh,Surguja,2018,19.1,2709,59.56,12,6
Chhattisgarh,Surguja,2019,36.29,1368,61.15,0,4
Chhattisgarh,Surguja,2020,27.13,1042,73.19,11,1
Chhattisgarh,Surguja,2021,27.57,1632,64.15,32,8
Chhattisgarh,Surguja,2022,29.46,2008,34.99,8,8
Chhattisgarh,Surguja,2023,35.67,2449,33.96,2,9
Chhattisgarh,Surguja,2024,28.75,246,46.79,24,0
Chhattisgarh,Surguja,2025,15.44,2437,36.01,36,7
Goa,North Goa,2015,16.02,2383,30.23,8,0
Goa,North Goa,2016,23.36,2515,58.09,33,0
Goa,North Goa,2017,19.55,691,33.62,9,3
Goa,North Goa,2018,15.82,721,58.56,38,3
Goa,North Goa,2019,33.19,2263,42.78,21,8
Goa,North Goa,2020,17.7,2252,39.3,35,7
Goa,North Goa,2021,35.57,635,46.73,6,6
Goa,North Goa,2022,18.04,2679,93.27,39,7
Goa,North Goa,2023,27.77,2726,89.83,1,2
Goa,North Goa,2024,28.1,1674,65.01,19,2
Goa,North Goa,2025,27.05,2219,91.95,37,0
Goa,South Goa,2015,33.14,856,78.07,16,9
Goa,South Goa,2016,24.46,2518,81.11,13,10
Goa,South Goa,2017,20.9,2303,71.62,18,10
Goa,South Goa,2018,33.8,2496,79.28,25,1
Goa,South Goa,2019,31.5,1831,84.27,19,5
Goa,South Goa,2020,32.81,991,72.99,21,10
Goa,South Goa,2021,25.14,1637,82.97,21,6
Goa,South Goa,2022,29.69,2957,38.69,23,0
Goa,South Goa,2023,21.86,714,63.79,27,7
Goa,South Goa,2024,16.88,1952,76.61,28,7
Goa,South Goa,2025,29.77,2224,84.76,36,9
Gujarat,Ahmedabad,2015,19.08,1787,46.92,19,9
Gujarat,Ahmedabad,2016,26.97,2029,59.32,11,9
Gujarat,Ahmedabad,2017,29.92,2690,51.34,15,0
Gujarat,Ahmedabad,2018,30.38,2757,88.26,22,7
Gujarat,Ahmedabad,2019,16.9,2700,39.25,35,6
Gujarat,Ahmedabad,2020,28.23,1739,67.16,1,0
Gujarat,Ahmedabad,2021,19.58,1127,83.82,21,1
Gujarat,Ahmedabad,2022,18.98,412,30.66,21,3
Gujarat,Ahmedabad,2023,19.11,946,64.15,5,0
Gujarat,Ahmedabad,2024,36.31,1617,56.06,36,4
Gujarat,Ahmedabad,2025,33.0,2119,42.1,31,3
Gujarat,Amreli,2015,29.02,1946,89.08,11,5
Gujarat,Amreli,2016,21.74,607,74.31,12,0
Gujarat,Amreli,2017,20.73,1270,79.79,39,6
Gujarat,Amreli,2018,37.59,409,83.84,5,10
Gujarat,Amreli,2019,26.57,2461,65.85,17,0
Gujarat,Amreli,2020,31.72,2859,89.16,25,6
Gujarat,Amreli,2021,15.69,834,81.22,16,0
Gujarat,Amreli,2022,22.94,791,55.04,36,5
Gujarat,Amreli,2023,32.84,422,36.8,32,10
Gujarat,Amreli,2024,34.56,1681,67.39,10,8
Gujarat,Amreli,2025,36.8,2965,51.73,19,4
Gujarat,Anand,2015,30.78,315,79.58,0,5
Gujarat,Anand,2016,28.76,206,32.16,27,0
Gujarat,Anand,2017,35.38,2450,33.35,27,3
Gujarat,Anand,2018,28.54,2532,75.08,5,2
Gujarat,Anand,2019,24.97,1544,83.58,11,4
Gujarat,Anand,2020,34.26,2285,61.26,31,3
Gujarat,Anand,2021,32.54,1618,72.15,29,7
Gujarat,Anand,2022,36.03,827,44.04,15,7
Gujarat,Anand,2023,32.77,688,93.32,14,4
Gujarat,Anand,2024,18.82,2936,85.57,11,10
Gujarat,Anand,2025,17.29,1459,80.31,11,4
Gujarat,Aravalli,2015,29.34,1127,82.61,4,4
Gujarat,Aravalli,2016,26.03,2185,37.6,23,4
Gujarat,Aravalli,2017,38.37,562,46.98,39,8
Gujarat,Aravalli,2018,39.82,1101,94.27,2,8
Gujarat,Aravalli,2019,36.85,1381,52.04,8,10
Gujarat,Aravalli,2020,38.16,1797,89.01,29,7
Gujarat,Aravalli,2021,21.87,1030,89.58,26,9
Gujarat,Aravalli,2022,39.29,682,62.92,20,0
Gujarat,Aravalli,2023,21.14,804,31.95,14,9
Gujarat,Aravalli,2024,33.35,1449,70.82,29,2
Gujarat,Aravalli,2025,17.22,515,64.62,40,9
Gujarat,Banaskantha,2015,26.78,283,43.77,14,1
Gujarat,Banaskantha,2016,31.8,1934,56.13,9,6
Gujarat,Banaskantha,2017,24.49,200,37.27,40,4
Gujarat,Banaskantha,2018,38.14,2131,57.61,7,3
Gujarat,Banaskantha,2019,28.76,681,80.4,30,5
Gujarat,Banaskantha,2020,22.37,2670,74.05,36,9
Gujarat,Banaskantha,2021,19.63,1391,45.03,23,9
Gujarat,Banaskantha,2022,23.54,1050,66.53,5,0
Gujarat,Banaskantha,2023,32.53,2875,89.9,37,6
Gujarat,Banaskantha,2024,28.71,2016,60.94,9,10
Gujarat,Banaskantha,2025,32.15,636,43.69,2,0
Gujarat,Bharuch,2015,27.86,200,63.04,33,0
Gujarat,Bharuch,2016,39.26,2355,36.15,17,10
Gujarat,Bharuch,2017,22.28,1391,65.14,4,9
Gujarat,Bharuch,2018,34.95,1230,84.68,24,8
Gujarat,Bharuch,2019,20.41,1217,72.74,33,5
Gujarat,Bharuch,2020,33.62,1092,67.92,17,5
Gujarat,Bharuch,2021,35.82,2927,71.39,27,7
Gujarat,Bharuch,2022,18.92,227,60.28,25,7
Gujarat,Bharuch,2023,39.35,740,58.07,8,10
Gujarat,Bharuch,2024,34.76,873,48.23,7,6
Gujarat,Bharuch,2025,31.2,2394,72.67,12,7
Gujarat,Bhavnagar,2015,21.21,1402,69.2,7,8
Gujarat,Bhavnagar,2016,39.8,1460,69.19,20,4
Gujarat,Bhavnagar,2017,37.33,505,61.69,18,7
Gujarat,Bhavnagar,2018,35.71,2024,90.46,38,10
Gujarat,Bhavnagar,2019,35.71,852,92.17,8,1
Gujarat,Bhavnagar,2020,31.77,2478,33.73,40,10
Gujarat,Bhavnagar,2021,24.35,1111,63.1,38,10
Gujarat,Bhavnagar,2022,38.81,1676,58.71,15,10
Gujarat,Bhavnagar,2023,22.75,1046,74.69,27,1
Gujarat,Bhavnagar,2024,36.63,1880,48.12,29,0
Gujarat,Bhavnagar,2025,15.65,841,47.12,3,6
Gujarat,Botad,2015,35.54,362,76.69,4,0
Gujarat,Botad,2016,16.9,1473,53.6,31,9
Gujarat,Botad,2017,20.92,2560,77.19,11,5
Gujarat,Botad,2018,20.19,2086,52.97,9,6
Gujarat,Botad,2019,24.6,2939,48.16,8,6
Gujarat,Botad,2020,20.22,336,39.99,8,5
Gujarat,Botad,2021,18.86,904,82.01,0,1
Gujarat,Botad,2022,20.17,2242,56.86,8,6
Gujarat,Botad,2023,21.88,1088,63.64,34,8
Gujarat,Botad,2024,34.45,1871,67.02,30,8
Gujarat,Botad,2025,28.34,1366,37.71,6,9
Gujarat,Chhota Udepur,2015,33.99,1873,35.19,29,9
Gujarat,Chhota Udepur,2016,16.3,1759,79.55,20,10
Gujarat,Chhota Udepur,2017,33.95,1519,70.63,36,9
Gujarat,Chhota Udepur,2018,30.93,2860,57.34,16,8
Gujarat,Chhota Udepur,2019,37.56,952,84.08,15,4
Gujarat,Chhota Udepur,2020,28.29,985,49.56,5,4
Gujarat,Chhota Udepur,2021,26.78,1847,65.49,27,6
Gujarat,Chhota Udepur,2022,36.07,1544,91.66,40,1
Gujarat,Chhota Udepur,2023,26.31,1116,81.92,23,4
Gujarat,Chhota Udepur,2024,35.4,579,93.44,34,8
Gujarat,Chhota Udepur,2025,18.93,1723,40.87,10,0
Gujarat,Dahod,2015,26.17,2049,67.48,19,3
Gujarat,Dahod,2016,21.38,871,90.73,33,5
Gujarat,Dahod,2017,19.13,2436,31.15,4,3
Gujarat,Dahod,2018,38.33,2696,69.62,13,10
Gujarat,Dahod,2019,21.76,1020,51.05,39,10
Gujarat,Dahod,2020,37.52,2802,45.85,16,7
Gujarat,Dahod,2021,18.62,2176,90.97,39,10
Gujarat,Dahod,2022,32.86,2178,87.99,35,8
Gujarat,Dahod,2023,27.36,1088,76.63,19,7
Gujarat,Dahod,2024,33.26,2231,73.91,0,8
Gujarat,Dahod,2025,39.03,2564,93.14,38,8
Gujarat,Dang,2015,30.9,518,85.76,23,7
Gujarat,Dang,2016,21.4,2085,72.31,19,10
Gujarat,Dang,2017,36.12,2627,79.33,36,7
Gujarat,Dang,2018,30.45,883,85.54,22,6
Gujarat,Dang,2019,25.57,1725,93.32,36,3
Gujarat,Dang,2020,16.26,650,90.98,7,9
Gujarat,Dang,2021,38.59,572,53.83,38,4
Gujarat,Dang,2022,38.97,2425,89.78,38,7
Gujarat,Dang,2023,28.69,2254,34.27,26,9
Gujarat,Dang,2024,30.96,1059,79.81,26,10
Gujarat,Dang,2025,25.21,2234,50.14,5,4
Gujarat,Devbhoomi Dwarka,2015,37.37,825,44.67,29,10
Gujarat,Devbhoomi Dwarka,2016,34.55,361,67.94,8,4
Gujarat,Devbhoomi Dwarka,2017,25.84,449,63.98,40,0
Gujarat,Devbhoomi Dwarka,2018,30.31,242,32.59,31,3
Gujarat,Devbhoomi Dwarka,2019,20.42,688,66.9,38,0
Gujarat,Devbhoomi Dwarka,2020,39.34,1725,58.97,5,4
Gujarat,Devbhoomi Dwarka,2021,39.81,1107,31.22,29,2
Gujarat,Devbhoomi Dwarka,2022,38.13,2068,61.19,29,6
Gujarat,Devbhoomi Dwarka,2023,35.76,1586,70.31,10,10
Gujarat,Devbhoomi Dwarka,2024,39.39,1911,74.69,4,10
Gujarat,Devbhoomi Dwarka,2025,38.07,2136,57.16,24,7
Gujarat,Gandhinagar,2015,19.19,2661,83.6,20,7
Gujarat,Gandhinagar,2016,32.01,415,41.16,1,2
Gujarat,Gandhinagar,2017,24.64,2538,78.06,10,2
Gujarat,Gandhinagar,2018,29.97,2876,44.2,4,10
Gujarat,Gandhinagar,2019,18.5,2795,61.01,5,6
Gujarat,Gandhinagar,2020,19.53,1046,47.74,20,9
Gujarat,Gandhinagar,2021,37.78,875,41.09,31,0
Gujarat,Gandhinagar,2022,36.85,2611,43.06,14,2
Gujarat,Gandhinagar,2023,33.2,2111,61.56,27,6
Gujarat,Gandhinagar,2024,24.85,1040,89.9,36,0
Gujarat,Gandhinagar,2025,30.33,654,31.45,20,1
Gujarat,Gir Somnath,2015,24.81,1814,48.74,3,2
Gujarat,Gir Somnath,2016,36.75,2785,33.88,24,7
Gujarat,Gir Somnath,2017,39.47,2360,35.89,22,7
Gujarat,Gir Somnath,2018,37.75,2020,40.6,8,1
Gujarat,Gir Somnath,2019,24.35,1435,72.9,5,5
Gujarat,Gir Somnath,2020,27.65,1845,40.06,6,6
Gujarat,Gir Somnath,2021,35.95,457,66.17,34,7
Gujarat,Gir Somnath,2022,24.12,2082,49.32,14,9
Gujarat,Gir Somnath,2023,27.08,565,46.31,2,3
Gujarat,Gir Somnath,2024,28.14,1845,94.93,18,9
Gujarat,Gir Somnath,2025,37.52,2438,85.52,11,10
Gujarat,Jamnagar,2015,28.06,357,33.86,17,4
Gujarat,Jamnagar,2016,21.66,274,38.16,34,0
Gujarat,Jamnagar,2017,33.14,2725,63.85,19,6
Gujarat,Jamnagar,2018,16.06,622,51.85,22,2
Gujarat,Jamnagar,2019,16.92,2373,41.03,24,7
Gujarat,Jamnagar,2020,39.51,2067,86.2,4,1
Gujarat,Jamnagar,2021,22.83,2884,68.18,27,2
Gujarat,Jamnagar,2022,20.08,1132,71.09,11,10
Gujarat,Jamnagar,2023,22.3,2650,76.4,14,6
Gujarat,Jamnagar,2024,22.22,2658,38.06,13,1
Gujarat,Jamnagar,2025,15.58,1097,35.28,29,9
Gujarat,Junagadh,2015,27.3,1658,80.13,26,5
Gujarat,Junagadh,2016,31.12,1652,93.34,19,2
Gujarat,Junagadh,2017,23.91,623,39.84,17,1
Gujarat,Junagadh,2018,30.54,1448,35.33,16,0
Gujarat,Junagadh,2019,33.24,544,59.54,26,7
Gujarat,Junagadh,2020,22.39,1885,63.73,4,7
Gujarat,Junagadh,2021,39.67,2425,33.36,16,5
Gujarat,Junagadh,2022,22.87,2625,92.41,16,7
Gujarat,Junagadh,2023,25.53,1624,58.4,10,3
Gujarat,Junagadh,2024,37.84,1209,86.2,14,3
Gujarat,Junagadh,2025,20.69,500,46.16,18,3
Gujarat,Kheda,2015,18.23,1981,58.01,9,8
Gujarat,Kheda,2016,15.06,1469,69.17,8,8
Gujarat,Kheda,2017,19.19,2897,82.27,15,9
Gujarat,Kheda,2018,16.8,2229,33.07,35,5
Gujarat,Kheda,2019,33.42,2720,60.03,28,2
Gujarat,Kheda,2020,36.22,1241,49.31,10,9
Gujarat,Kheda,2021,26.34,839,30.58,2,6
Gujarat,Kheda,2022,24.77,355,84.9,36,9
Gujarat,Kheda,2023,33.58,2631,84.29,33,5
Gujarat,Kheda,2024,17.02,1290,60.32,27,5
Gujarat,Kheda,2025,20.75,2153,43.01,21,0
Gujarat,Kutch,2015,38.05,2815,34.54,38,1
Gujarat,Kutch,2016,20.08,1798,64.88,16,3
Gujarat,Kutch,2017,20.35,2074,94.51,22,5
Gujarat,Kutch,2018,32.47,1702,37.56,8,1
Gujarat,Kutch,2019,17.85,2341,60.28,25,5
Gujarat,Kutch,2020,36.29,1917,88.82,13,7
Gujarat,Kutch,2021,30.05,2268,61.1,12,1
Gujarat,Kutch,2022,24.8,2455,37.37,7,0
Gujarat,Kutch,2023,20.31,1689,62.81,2,1
Gujarat,Kutch,2024,38.89,1075,66.3,0,2
Gujarat,Kutch,2025,35.96,1430,53.84,19,0
Gujarat,Mahisagar,2015,32.08,2826,63.66,32,3
Gujarat,Mahisagar,2016,23.73,1817,64.75,21,4
Gujarat,Mahisagar,2017,18.53,2581,93.05,16,7
Gujarat,Mahisagar,2018,19.85,1563,89.4,36,0
Gujarat,Mahisagar,2019,25.66,1506,31.84,31,2
Gujarat,Mahisagar,2020,26.36,1342,32.69,24,9
Gujarat,Mahisagar,2021,15.87,2404,63.69,1,1
Gujarat,Mahisagar,2022,19.06,973,40.26,23,10
Gujarat,Mahisagar,2023,33.54,1278,59.0,32,8
Gujarat,Mahisagar,2024,36.62,1710,33.38,28,5
Gujarat,Mahisagar,2025,29.14,1867,73.93,34,2
Gujarat,Mehsana,2015,35.61,2398,75.83,30,8
Gujarat,Mehsana,2016,32.88,2934,63.57,5,6
Gujarat,Mehsana,2017,15.95,280,57.69,27,0
Gujarat,Mehsana,2018,16.1,2512,77.62,29,8
Gujarat,Mehsana,2019,36.98,1437,74.05,2,3
Gujarat,Mehsana,2020,17.28,1150,69.19,12,1
Gujarat,Mehsana,2021,32.41,1621,39.25,16,2
Gujarat,Mehsana,2022,32.11,2236,48.84,23,6
Gujarat,Mehsana,2023,23.31,2427,84.79,4,8
Gujarat,Mehsana,2024,33.37,806,37.52,12,5
Gujarat,Mehsana,2025,20.24,2950,60.42,37,10
Gujarat,Morbi,2015,34.69,436,91.62,31,4
Gujarat,Morbi,2016,36.95,2189,42.3,18,10
Gujarat,Morbi,2017,31.35,2783,62.29,2,4
Gujarat,Morbi,2018,28.19,2086,80.71,20,10
Gujarat,Morbi,2019,16.25,2019,88.71,21,10
Gujarat,Morbi,2020,22.4,1883,50.06,6,0
Gujarat,Morbi,2021,24.63,686,53.46,3,2
Gujarat,Morbi,2022,15.91,249,89.69,3,5
Gujarat,Morbi,2023,20.42,2233,70.39,33,9
Gujarat,Morbi,2024,27.19,605,59.86,30,5
Gujarat,Morbi,2025,18.81,1592,75.15,5,1
Gujarat,Narmada,2015,30.43,2776,39.54,37,9
Gujarat,Narmada,2016,33.28,2754,40.81,6,3
Gujarat,Narmada,2017,33.64,2154,93.39,26,7
Gujarat,Narmada,2018,24.33,1865,41.21,4,10
Gujarat,Narmada,2019,23.17,2931,69.55,15,5
Gujarat,Narmada,2020,39.47,2089,77.32,39,8
Gujarat,Narmada,2021,31.62,2550,67.52,14,0
Gujarat,Narmada,2022,25.72,2194,63.09,11,2
Gujarat,Narmada,2023,17.37,911,94.16,4,5
Gujarat,Narmada,2024,33.45,1415,35.18,30,0
Gujarat,Narmada,2025,27.72,283,52.59,38,4
Gujarat,Navsari,2015,19.43,705,32.1,36,2
Gujarat,Navsari,2016,22.63,2190,88.62,12,10
Gujarat,Navsari,2017,31.69,2944,41.88,15,1
Gujarat,Navsari,2018,23.94,1386,63.07,33,8
Gujarat,Navsari,2019,30.53,1590,74.4,8,0
Gujarat,Navsari,2020,22.38,410,75.06,27,8
Gujarat,Navsari,2021,33.17,2906,82.46,4,7
Gujarat,Navsari,2022,30.75,1191,81.03,7,9
Gujarat,Navsari,2023,24.24,260,36.12,36,10
Gujarat,Navsari,2024,26.79,914,78.73,13,6
Gujarat,Navsari,2025,31.26,703,93.34,28,1
Gujarat,Panchmahal,2015,38.63,322,38.17,3,8
Gujarat,Panchmahal,2016,19.06,932,40.47,39,8
Gujarat,Panchmahal,2017,38.16,994,65.44,7,10
Gujarat,Panchmahal,2018,37.2,526,86.46,34,9
Gujarat,Panchmahal,2019,32.64,2830,71.87,0,1
Gujarat,Panchmahal,2020,28.13,2636,30.46,32,1
Gujarat,Panchmahal,2021,36.54,2875,66.27,28,8
Gujarat,Panchmahal,2022,29.77,212,72.84,17,3
Gujarat,Panchmahal,2023,16.86,1372,84.61,12,7
Gujarat,Panchmahal,2024,26.09,2071,33.77,35,3
Gujarat,Panchmahal,2025,30.76,1656,92.06,13,4
Gujarat,Patan,2015,24.58,1481,54.66,13,4
Gujarat,Patan,2016,31.97,2852,43.51,25,7
Gujarat,Patan,2017,23.67,2878,48.07,12,0
Gujarat,Patan,2018,35.31,2537,84.07,30,10
Gujarat,Patan,2019,31.75,1600,63.38,11,5
Gujarat,Patan,2020,37.08,992,39.5,17,7
Gujarat,Patan,2021,25.68,2796,43.11,27,6
Gujarat,Patan,2022,36.5,2074,81.33,27,4
Gujarat,Patan,2023,18.06,588,73.87,22,3
Gujarat,Patan,2024,39.81,1269,91.99,39,7
Gujarat,Patan,2025,26.47,2647,79.97,28,9
Gujarat,Porbandar,2015,29.1,864,33.24,32,8
Gujarat,Porbandar,2016,16.16,2233,93.07,15,2
Gujarat,Porbandar,2017,29.15,2949,31.57,23,3
Gujarat,Porbandar,2018,18.27,1051,41.26,10,8
Gujarat,Porbandar,2019,24.02,1051,63.79,32,6
Gujarat,Porbandar,2020,16.73,2024,78.93,38,8
Gujarat,Porbandar,2021,33.02,2856,46.2,26,0
Gujarat,Porbandar,2022,20.13,2054,87.09,23,4
Gujarat,Porbandar,2023,15.76,2924,42.93,40,0
Gujarat,Porbandar,2024,25.68,1892,60.56,29,1
Gujarat,Porbandar,2025,25.39,711,37.2,18,2
Gujarat,Rajkot,2015,30.96,1396,48.21,33,0
Gujarat,Rajkot,2016,36.64,2295,65.72,4,5
Gujarat,Rajkot,2017,30.77,1666,70.8,26,5
Gujarat,Rajkot,2018,24.17,524,49.28,35,3
Gujarat,Rajkot,2019,15.16,263,77.89,24,3
Gujarat,Rajkot,2020,15.89,715,63.51,3,2
Gujarat,Rajkot,2021,32.41,386,53.52,23,1
Gujarat,Rajkot,2022,23.17,2334,43.61,25,1
Gujarat,Rajkot,2023,30.83,360,63.88,30,8
Gujarat,Rajkot,2024,26.18,503,85.87,0,8
Gujarat,Rajkot,2025,30.96,1899,51.44,24,3
Gujarat,Sabarkantha,2015,18.99,904,86.08,13,5
Gujarat,Sabarkantha,2016,32.51,2632,64.72,27,10
Gujarat,Sabarkantha,2017,25.3,2002,83.5,32,3
Gujarat,Sabarkantha,2018,15.08,1386,35.3,11,5
Gujarat,Sabarkantha,2019,26.08,1859,67.64,16,5
Gujarat,Sabarkantha,2020,35.94,2930,61.92,20,5
Gujarat,Sabarkantha,2021,27.86,833,84.03,9,6
Gujarat,Sabarkantha,2022,22.88,2964,41.26,4,9
Gujarat,Sabarkantha,2023,26.98,1012,71.75,34,10
Gujarat,Sabarkantha,2024,18.17,2119,47.44,36,1
Gujarat,Sabarkantha,2025,37.91,1809,85.07,0,9
Gujarat,Surat,2015,33.53,1895,91.39,18,1
Gujarat,Surat,2016,25.89,734,37.52,0,2
Gujarat,Surat,2017,35.41,1262,92.17,27,1
Gujarat,Surat,2018,33.21,1480,85.43,1,2
Gujarat,Surat,2019,21.4,705,41.99,19,0
Gujarat,Surat,2020,25.11,2040,51.83,1,3
Gujarat,Surat,2021,29.56,226,40.86,40,1
Gujarat,Surat,2022,20.63,791,46.48,10,4
Gujarat,Surat,2023,31.01,1685,93.44,25,5
Gujarat,Surat,2024,36.3,2955,37.28,35,9
Gujarat,Surat,2025,26.02,1874,40.85,6,2
Gujarat,Surendranagar,2015,21.44,2402,40.0,23,1
Gujarat,Surendranagar,2016,37.82,1425,45.36,12,3
Gujarat,Surendranagar,2017,29.63,1600,65.12,18,10
Gujarat,Surendranagar,2018,35.41,437,47.14,19,4
Gujarat,Surendranagar,2019,29.06,840,65.71,38,2
Gujarat,Surendranagar,2020,35.43,2500,66.75,23,3
Gujarat,Surendranagar,2021,20.96,1159,33.69,24,1
Gujarat,Surendranagar,2022,27.78,338,52.64,39,10
Gujarat,Surendranagar,2023,18.24,1408,91.32,25,7
Gujarat,Surendranagar,2024,25.93,586,71.75,29,10
Gujarat,Surendranagar,2025,15.18,275,61.19,1,8
Gujarat,Tapi,2015,17.52,2830,69.16,4,4
Gujarat,Tapi,2016,21.5,1880,39.09,10,9
Gujarat,Tapi,2017,31.14,2481,30.2,38,8
Gujarat,Tapi,2018,23.53,708,60.58,14,10
Gujarat,Tapi,2019,17.59,2058,71.33,10,0
Gujarat,Tapi,2020,27.13,1696,85.99,39,0
Gujarat,Tapi,2021,24.08,2615,35.07,29,6
Gujarat,Tapi,2022,29.19,2170,61.13,23,8
Gujarat,Tapi,2023,39.57,1657,40.23,6,10
Gujarat,Tapi,2024,34.0,1765,54.81,9,1
Gujarat,Tapi,2025,30.07,2815,65.48,39,10
Gujarat,Vadodara,2015,36.04,938,78.79,2,7
Gujarat,Vadodara,2016,27.44,399,33.62,3,9
Gujarat,Vadodara,2017,32.8,1403,51.34,39,2
Gujarat,Vadodara,2018,22.85,1647,84.92,10,2
Gujarat,Vadodara,2019,21.7,2012,49.46,32,5
Gujarat,Vadodara,2020,37.29,2469,83.67,40,10
Gujarat,Vadodara,2021,32.55,1336,35.6,15,1
Gujarat,Vadodara,2022,28.3,2976,38.19,32,1
Gujarat,Vadodara,2023,17.73,2698,77.42,13,5
Gujarat,Vadodara,2024,23.31,2694,53.25,16,4
Gujarat,Vadodara,2025,23.78,1556,87.42,18,1
Gujarat,Valsad,2015,39.82,1514,50.93,35,3
Gujarat,Valsad,2016,30.01,613,66.77,2,0
Gujarat,Valsad,2017,21.6,1791,59.05,23,7
Gujarat,Valsad,2018,15.06,1686,65.52,3,4
Gujarat,Valsad,2019,32.2,2316,46.98,9,1
Gujarat,Valsad,2020,38.39,1591,65.45,15,0
Gujarat,Valsad,2021,20.09,2559,79.41,23,6
Gujarat,Valsad,2022,18.81,204,61.92,9,0
Gujarat,Valsad,2023,35.98,1950,77.25,28,4
Gujarat,Valsad,2024,17.18,2837,80.36,26,4
Gujarat,Valsad,2025,36.4,2449,56.81,27,2
Haryana,Ambala,2015,32.03,2509,94.6,16,4
Haryana,Ambala,2016,37.61,2472,58.12,31,1
Haryana,Ambala,2017,38.14,2755,85.42,3,1
Haryana,Ambala,2018,29.18,1122,35.56,18,3
Haryana,Ambala,2019,27.3,2156,83.08,37,5
Haryana,Ambala,2020,16.52,683,59.66,8,8
Haryana,Ambala,2021,22.62,1868,70.13,34,5
Haryana,Ambala,2022,25.24,2077,56.47,33,3
Haryana,Ambala,2023,30.24,2808,70.39,17,5
Haryana,Ambala,2024,19.53,1377,33.53,28,4
Haryana,Ambala,2025,22.34,1759,46.38,20,5
Haryana,Bhiwani,2015,39.23,2174,30.6,9,2
Haryana,Bhiwani,2016,19.78,1265,78.55,10,1
Haryana,Bhiwani,2017,39.18,2043,92.65,22,0
Haryana,Bhiwani,2018,29.67,259,62.08,39,9
Haryana,Bhiwani,2019,21.76,1650,78.41,6,10
Haryana,Bhiwani,2020,23.01,1293,65.28,5,7
Haryana,Bhiwani,2021,33.01,1878,80.66,40,1
