state,district,year,literacy_rate,male_literacy_rate,female_literacy_rate,schools,teachers,students
Chhattisgarh,Gariaband,2025,74.4,80.15,52.38,1925,1612,141900
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,92.23,62.11,86.03,1510,1539,106542
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,55.37,90.89,56.85,1156,6813,156360
Chhattisgarh,Gaurela-Pendra-Marwahi,2017,85.02,75.42,91.49,155,2052,43904
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,88.93,90.06,85.73,52,3826,102080
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,74.99,87.62,62.38,750,1122,82042
Chhattisgarh,Gaurela-Pendra-Marwahi,2020,84.5,63.4,83.58,1607,329,65393
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,60.18,61.65,89.4,1584,2582,61862
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,56.1,69.53,93.51,1534,7171,69624
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,74.09,84.06,71.25,967,7112,82755
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,74.64,85.52,84.74,1226,3142,100890
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,96.25,87.27,58.33,1578,222,154277
Chhattisgarh,Janjgir-Champa,2015,79.42,64.41,51.22,815,2811,70252
Chhattisgarh,Janjgir-Champa,2016,97.52,94.37,58.15,1806,5866,81943
Chhattisgarh,Janjgir-Champa,2017,73.56,81.84,84.99,853,6727,5135
Chhattisgarh,Janjgir-Champa,2018,93.56,83.72,88.57,1622,2956,193833
Chhattisgarh,Janjgir-Champa,2019,59.43,69.84,94.73,1178,889,97837
Chhattisgarh,Janjgir-Champa,2020,56.9,82.45,89.72,1557,5843,46046
Chhattisgarh,Janjgir-Champa,2021,80.1,61.42,76.97,1064,2855,144594
Chhattisgarh,Janjgir-Champa,2022,90.3,69.74,85.83,1430,7255,4131
Chhattisgarh,Janjgir-Champa,2023,74.29,63.79,73.18,1354,1630,90203
Chhattisgarh,Janjgir-Champa,2024,73.23,78.51,89.91,1116,1974,23833
Chhattisgarh,Janjgir-Champa,2025,96.79,66.19,93.86,1112,7461,28605
Chhattisgarh,Jashpur,2015,72.04,84.44,68.3,1894,5901,166642
Chhattisgarh,Jashpur,2016,58.43,78.64,76.15,725,817,93869
Chhattisgarh,Jashpur,2017,74.85,90.55,69.48,1251,5559,192720
Chhattisgarh,Jashpur,2018,92.94,96.39,85.58,248,2164,192270
Chhattisgarh,Jashpur,2019,75.85,83.11,74.74,1831,2093,91452
Chhattisgarh,Jashpur,2020,89.17,94.11,78.97,1763,4570,114571
Chhattisgarh,Jashpur,2021,73.99,76.87,52.38,1957,279,2583
Chhattisgarh,Jashpur,2022,72.76,85.23,50.21,1603,1477,97782
Chhattisgarh,Jashpur,2023,57.07,76.2,83.86,954,6078,58628
Chhattisgarh,Jashpur,2024,66.31,65.91,85.34,467,3106,189378
Chhattisgarh,Jashpur,2025,70.77,95.32,86.47,1221,1772,85421
Chhattisgarh,Kabirdham,2015,57.41,61.42,65.94,917,1516,88636
Chhattisgarh,Kabirdham,2016,90.18,64.76,87.17,620,3629,122361
Chhattisgarh,Kabirdham,2017,59.21,97.31,90.0,1136,6490,74056
Chhattisgarh,Kabirdham,2018,55.39,90.34,82.52,1533,2341,187577
Chhattisgarh,Kabirdham,2019,61.92,81.49,93.9,422,3267,48290
Chhattisgarh,Kabirdham,2020,87.94,76.25,94.24,538,1772,129427
Chhattisgarh,Kabirdham,2021,91.6,75.54,83.17,1137,3786,140760
Chhattisgarh,Kabirdham,2022,97.96,97.26,65.51,553,5613,46606
Chhattisgarh,Kabirdham,2023,65.04,61.42,89.79,936,3268,69074
Chhattisgarh,Kabirdham,2024,96.15,92.17,52.18,609,566,91120
Chhattisgarh,Kabirdham,2025,84.48,90.88,55.61,1852,6150,66367
Chhattisgarh,Kanker,2015,59.24,78.89,90.77,1640,2676,58617
Chhattisgarh,Kanker,2016,95.34,73.31,92.89,320,6525,101623
Chhattisgarh,Kanker,2017,60.08,69.58,69.52,417,4332,103468
Chhattisgarh,Kanker,2018,71.91,90.81,74.49,1113,1078,66686
Chhattisgarh,Kanker,2019,65.85,81.43,53.43,1438,4138,70658
Chhattisgarh,Kanker,2020,85.56,68.03,79.96,1007,402,197281
Chhattisgarh,Kanker,2021,64.91,70.91,91.02,1915,4057,9481
Chhattisgarh,Kanker,2022,55.65,80.01,56.05,1256,6034,144338
Chhattisgarh,Kanker,2023,57.36,74.15,91.33,609,5799,186798
Chhattisgarh,Kanker,2024,69.44,92.86,53.67,1119,5704,104578
Chhattisgarh,Kanker,2025,82.37,63.15,79.28,1819,1402,119440
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,73.3,97.05,81.27,129,4341,165432
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2016,70.57,73.33,51.06,161,7534,77506
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2017,82.77,94.01,57.22,1836,4021,81564
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2018,84.4,63.65,78.73,1709,4080,3691
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,86.17,82.57,65.17,203,1300,64625
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2020,62.72,72.15,65.78,388,2442,178032
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,75.12,69.96,54.77,608,2852,86831
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,92.79,71.51,51.0,1814,6538,62887
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2023,75.21,66.68,54.13,1556,1494,54884
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2024,66.19,92.95,93.53,1157,7303,119886
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,77.65,85.43,74.12,233,4013,180861
Chhattisgarh,Kondagaon,2015,93.14,82.88,71.13,702,7077,121706
Chhattisgarh,Kondagaon,2016,56.67,92.01,89.9,1605,4639,109019
Chhattisgarh,Kondagaon,2017,71.8,76.54,70.86,1573,3377,181933
Chhattisgarh,Kondagaon,2018,83.3,87.8,64.46,1795,7093,49632
Chhattisgarh,Kondagaon,2019,88.19,73.61,60.14,1896,4233,189802
Chhattisgarh,Kondagaon,2020,90.04,62.1,81.88,1900,3797,197069
Chhattisgarh,Kondagaon,2021,73.88,62.33,81.32,511,5411,181601
Chhattisgarh,Kondagaon,2022,75.69,85.86,91.61,998,4031,51307
Chhattisgarh,Kondagaon,2023,79.86,97.74,56.74,1553,3504,162396
Chhattisgarh,Kondagaon,2024,56.77,70.33,96.07,1455,2638,87933
Chhattisgarh,Kondagaon,2025,57.02,60.25,61.67,826,3901,71200
Chhattisgarh,Korba,2015,62.36,93.17,88.13,349,993,131119
Chhattisgarh,Korba,2016,79.52,76.47,56.47,995,4956,124307
Chhattisgarh,Korba,2017,67.2,62.26,82.98,108,747,31140
Chhattisgarh,Korba,2018,76.92,92.88,69.46,1601,209,50357
Chhattisgarh,Korba,2019,91.03,78.87,75.29,1470,4498,66880
Chhattisgarh,Korba,2020,83.07,62.32,81.63,1951,3180,147489
Chhattisgarh,Korba,2021,83.07,73.84,62.05,775,6752,74426
Chhattisgarh,Korba,2022,84.82,64.0,70.0,1365,4597,12245
Chhattisgarh,Korba,2023,84.15,91.41,65.25,767,3168,69132
Chhattisgarh,Korba,2024,94.46,64.88,70.85,1004,3979,172181
Chhattisgarh,Korba,2025,68.48,91.6,66.33,131,7172,53637
Chhattisgarh,Korea,2015,87.22,61.3,66.32,1871,4155,106843
Chhattisgarh,Korea,2016,77.61,77.71,61.24,734,6473,49206
Chhattisgarh,Korea,2017,96.2,93.18,59.3,624,933,170894
Chhattisgarh,Korea,2018,74.64,78.38,79.46,1383,6954,22783
Chhattisgarh,Korea,2019,96.54,94.69,71.31,1247,2498,179675
Chhattisgarh,Korea,2020,70.03,67.73,52.13,748,6815,125130
Chhattisgarh,Korea,2021,70.67,67.04,50.25,1161,5019,26546
Chhattisgarh,Korea,2022,94.29,89.33,92.03,932,1375,134102
Chhattisgarh,Korea,2023,77.38,98.18,51.62,1436,1814,39488
Chhattisgarh,Korea,2024,95.87,72.27,96.96,587,6572,138512
Chhattisgarh,Korea,2025,59.91,65.78,78.85,849,3653,199640
Chhattisgarh,Mahasamund,2015,67.04,84.95,61.85,205,5938,187010
Chhattisgarh,Mahasamund,2016,69.94,70.62,75.63,1131,3145,27999
Chhattisgarh,Mahasamund,2017,75.15,78.22,57.4,429,1773,195861
Chhattisgarh,Mahasamund,2018,95.25,67.82,85.72,1270,6376,184825
Chhattisgarh,Mahasamund,2019,69.36,69.07,55.96,94,1157,141646
Chhattisgarh,Mahasamund,2020,74.47,93.07,55.11,1510,5556,25429
Chhattisgarh,Mahasamund,2021,68.43,79.03,67.46,736,7783,116835
Chhattisgarh,Mahasamund,2022,64.49,83.32,92.65,1886,3945,170310
Chhattisgarh,Mahasamund,2023,57.03,72.49,96.24,1525,5210,2975
Chhattisgarh,Mahasamund,2024,59.6,60.83,57.92,1921,7694,120343
Chhattisgarh,Mahasamund,2025,94.67,68.42,59.85,1780,2580,43618
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2015,57.96,70.73,71.97,466,6447,140687
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,92.71,86.43,83.99,1732,1104,155682
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2017,57.54,89.53,83.04,353,930,165900
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2018,90.6,70.1,52.05,1976,3307,111972
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,63.84,67.73,81.79,467,4355,184913
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2020,60.06,60.37,71.39,1179,249,78575
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2021,93.99,79.71,80.74,1294,4715,170202
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2022,89.86,65.66,52.73,747,5372,69408
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,62.13,65.34,63.68,1870,3853,17603
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,92.99,94.5,94.04,106,5062,183315
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,96.38,77.87,79.63,525,6031,45687
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2015,84.16,61.39,79.25,696,2316,158452
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2016,89.89,98.89,75.75,565,7620,2737
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2017,70.94,76.98,54.42,1027,5854,187894
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,96.26,89.72,96.83,834,7400,109318
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2019,97.42,91.12,60.53,308,5239,33759
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2020,80.58,84.4,86.66,289,6634,141355
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2021,94.28,64.62,92.12,1635,1627,81236
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2022,78.29,81.64,51.87,131,483,20905
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2023,57.4,91.93,67.25,1894,1901,59899
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2024,70.24,93.92,85.2,732,7077,173684
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2025,80.78,69.52,61.05,1310,2949,40563
Chhattisgarh,Mungeli,2015,63.41,83.89,80.77,1686,6801,49839
Chhattisgarh,Mungeli,2016,90.77,62.92,96.34,1889,6530,7504
Chhattisgarh,Mungeli,2017,92.45,62.19,66.47,990,7211,64893
Chhattisgarh,Mungeli,2018,75.13,69.65,55.54,1412,1082,47450
Chhattisgarh,Mungeli,2019,61.23,65.68,52.98,226,6721,139462
Chhattisgarh,Mungeli,2020,59.33,71.28,75.13,1933,7483,107907
Chhattisgarh,Mungeli,2021,66.1,87.24,82.45,1780,6973,113098
Chhattisgarh,Mungeli,2022,97.39,73.48,73.57,1513,5357,83519
Chhattisgarh,Mungeli,2023,81.94,98.48,81.86,1306,4459,70418
Chhattisgarh,Mungeli,2024,96.17,93.18,75.99,1173,1531,97447
Chhattisgarh,Mungeli,2025,79.97,79.47,53.32,1407,6367,121638
Chhattisgarh,Narayanpur,2015,85.86,63.06,72.47,1316,6593,47477
Chhattisgarh,Narayanpur,2016,78.57,89.99,77.71,1526,4220,120263
Chhattisgarh,Narayanpur,2017,71.32,87.62,50.76,924,1791,47006
Chhattisgarh,Narayanpur,2018,95.42,87.81,61.59,314,5741,196575
Chhattisgarh,Narayanpur,2019,64.16,62.67,90.12,141,6513,47329
Chhattisgarh,Narayanpur,2020,72.85,83.01,65.53,589,6060,174280
Chhattisgarh,Narayanpur,2021,68.32,98.87,66.3,1748,2165,192796
Chhattisgarh,Narayanpur,2022,88.36,65.74,89.32,1193,6300,8648
Chhattisgarh,Narayanpur,2023,72.16,95.62,71.63,69,440,192349
Chhattisgarh,Narayanpur,2024,71.59,70.78,75.96,815,5257,104194
Chhattisgarh,Narayanpur,2025,89.64,85.27,72.72,1816,6425,195420
Chhattisgarh,Raigarh,2015,84.48,90.21,89.31,423,7119,67617
Chhattisgarh,Raigarh,2016,64.55,65.58,93.74,1397,275,11068
Chhattisgarh,Raigarh,2017,88.51,87.72,95.84,168,2688,65289
Chhattisgarh,Raigarh,2018,61.44,68.67,85.51,1702,1602,34574
Chhattisgarh,Raigarh,2019,96.5,65.12,51.81,554,4441,33902
Chhattisgarh,Raigarh,2020,80.54,71.57,76.87,1755,1004,25711
Chhattisgarh,Raigarh,2021,74.1,83.42,68.27,1399,3620,38165
Chhattisgarh,Raigarh,2022,56.7,76.9,92.09,1669,2242,53920
Chhattisgarh,Raigarh,2023,88.37,89.16,82.52,1916,1547,177061
Chhattisgarh,Raigarh,2024,93.76,85.33,51.99,854,6230,107542
Chhattisgarh,Raigarh,2025,82.41,67.58,66.29,1161,2163,172822
Chhattisgarh,Raipur,2015,83.53,97.89,61.7,571,2353,108997
Chhattisgarh,Raipur,2016,77.42,62.95,66.64,242,6430,9735
Chhattisgarh,Raipur,2017,65.56,66.18,88.17,392,4920,25195
Chhattisgarh,Raipur,2018,80.12,86.84,75.86,1731,1515,101168
Chhattisgarh,Raipur,2019,67.29,62.21,70.04,1096,7105,27331
Chhattisgarh,Raipur,2020,81.42,75.84,56.68,261,3264,124169
Chhattisgarh,Raipur,2021,68.64,75.27,87.34,1220,4194,163826
Chhattisgarh,Raipur,2022,80.37,86.97,93.96,206,2961,87254
Chhattisgarh,Raipur,2023,74.82,65.06,73.17,326,355,141663
Chhattisgarh,Raipur,2024,57.98,64.79,59.5,231,5553,24084
Chhattisgarh,Raipur,2025,90.56,61.54,69.16,412,4724,37112
Chhattisgarh,Rajnandgaon,2015,86.07,81.06,54.59,435,1707,38404
Chhattisgarh,Rajnandgaon,2016,67.33,74.46,83.4,982,2622,31882
Chhattisgarh,Rajnandgaon,2017,95.61,94.04,53.23,1817,2634,80202
Chhattisgarh,Rajnandgaon,2018,65.11,68.81,68.79,623,2744,89085
Chhattisgarh,Rajnandgaon,2019,96.34,70.99,90.48,1358,2273,38123
Chhattisgarh,Rajnandgaon,2020,70.1,74.88,90.62,1186,2859,134067
Chhattisgarh,Rajnandgaon,2021,65.39,66.15,57.81,1170,5527,106485
Chhattisgarh,Rajnandgaon,2022,63.6,82.65,84.31,245,1620,45854
Chhattisgarh,Rajnandgaon,2023,86.94,63.19,75.15,1395,3366,78593
Chhattisgarh,Rajnandgaon,2024,63.25,74.9,91.92,462,5850,5545
Chhattisgarh,Rajnandgaon,2025,89.08,96.48,83.48,1084,214,160809
Chhattisgarh,Sakti,2015,76.4,64.39,60.94,1911,4739,188449
Chhattisgarh,Sakti,2016,63.87,70.58,57.87,1178,6733,169353
Chhattisgarh,Sakti,2017,80.56,67.95,57.25,1550,6958,195156
Chhattisgarh,Sakti,2018,63.52,74.97,87.73,1890,7282,153542
Chhattisgarh,Sakti,2019,80.49,91.59,50.78,922,1815,14997
Chhattisgarh,Sakti,2020,63.02,79.8,96.73,585,2550,167670
Chhattisgarh,Sakti,2021,70.28,60.69,64.49,1120,947,197991
Chhattisgarh,Sakti,2022,77.28,66.01,50.68,52,4732,61563
Chhattisgarh,Sakti,2023,79.24,74.89,81.17,1457,3257,105627
Chhattisgarh,Sakti,2024,79.91,96.87,51.43,779,7383,58078
Chhattisgarh,Sakti,2025,84.59,93.28,53.84,973,683,20423
Chhattisgarh,Sarangarh-Bilaigarh,2015,62.26,94.93,85.75,1348,3590,119289
Chhattisgarh,Sarangarh-Bilaigarh,2016,71.18,96.94,71.05,561,801,173265
Chhattisgarh,Sarangarh-Bilaigarh,2017,68.15,63.22,59.82,1089,6016,61115
Chhattisgarh,Sarangarh-Bilaigarh,2018,60.59,79.51,71.91,656,7099,27290
Chhattisgarh,Sarangarh-Bilaigarh,2019,67.98,94.05,86.02,1921,5694,158607
Chhattisgarh,Sarangarh-Bilaigarh,2020,79.79,60.85,92.74,1226,1877,121468
Chhattisgarh,Sarangarh-Bilaigarh,2021,91.52,61.88,59.81,135,1015,36005
Chhattisgarh,Sarangarh-Bilaigarh,2022,72.04,62.41,95.01,1338,3328,193279
Chhattisgarh,Sarangarh-Bilaigarh,2023,82.79,62.86,96.48,876,7859,88435
Chhattisgarh,Sarangarh-Bilaigarh,2024,56.95,93.41,50.71,928,1466,11497
Chhattisgarh,Sarangarh-Bilaigarh,2025,71.52,77.04,76.12,79,4689,33339
Chhattisgarh,Sukma,2015,80.59,79.87,80.74,1212,6389,133286
Chhattisgarh,Sukma,2016,82.2,72.4,73.98,626,4535,185686
Chhattisgarh,Sukma,2017,82.27,86.23,51.23,287,6177,108930
Chhattisgarh,Sukma,2018,72.94,97.82,51.28,1548,643,16748
Chhattisgarh,Sukma,2019,74.83,70.32,56.55,1275,1507,51406
Chhattisgarh,Sukma,2020,72.42,80.36,75.58,647,2669,100489
Chhattisgarh,Sukma,2021,84.32,91.77,65.61,764,2226,65434
Chhattisgarh,Sukma,2022,78.25,68.0,67.53,517,3130,169891
Chhattisgarh,Sukma,2023,88.38,83.2,63.89,773,3893,113141
Chhattisgarh,Sukma,2024,58.21,86.91,59.55,451,5749,171652
Chhattisgarh,Sukma,2025,75.7,89.41,68.61,559,860,64799
Chhattisgarh,Surajpur,2015,63.56,60.34,85.13,373,4756,104689
Chhattisgarh,Surajpur,2016,67.44,71.7,58.4,1980,468,86770
Chhattisgarh,Surajpur,2017,57.35,66.82,74.23,560,2479,173990
Chhattisgarh,Surajpur,2018,66.97,96.97,69.09,367,3375,55937
Chhattisgarh,Surajpur,2019,92.23,75.13,58.65,1105,2605,114120
Chhattisgarh,Surajpur,2020,68.72,95.48,50.97,1616,3838,170740
Chhattisgarh,Surajpur,2021,80.27,74.3,57.66,607,3290,194626
Chhattisgarh,Surajpur,2022,74.12,71.73,73.38,368,5648,15799
Chhattisgarh,Surajpur,2023,56.83,71.49,93.21,1148,5812,158191
Chhattisgarh,Surajpur,2024,76.21,94.3,60.85,1962,7532,196763
Chhattisgarh,Surajpur,2025,60.24,81.61,81.05,1014,5484,54605
Chhattisgarh,Surguja,2015,69.17,63.39,71.39,1179,5710,49029
Chhattisgarh,Surguja,2016,75.14,98.84,67.58,704,3387,123962
Chhattisgarh,Surguja,2017,88.11,75.36,69.36,74,5400,141156
Chhattisgarh,Surguja,2018,63.55,68.77,50.21,995,2026,193173
Chhattisgarh,Surguja,2019,78.56,69.59,83.62,178,513,111851
Chhattisgarh,Surguja,2020,67.88,78.11,71.53,534,7658,177270
Chhattisgarh,Surguja,2021,93.35,64.92,51.35,152,1640,65110
Chhattisgarh,Surguja,2022,64.43,64.7,78.3,1551,6228,77521
Chhattisgarh,Surguja,2023,70.0,90.95,68.49,1293,1788,95774
Chhattisgarh,Surguja,2024,59.46,88.25,61.34,1652,4402,97211
Chhattisgarh,Surguja,2025,95.62,61.18,91.97,1919,1629,160396
Goa,North Goa,2015,64.04,79.8,89.26,1895,6964,108560
Goa,North Goa,2016,86.35,94.11,50.05,1111,5022,175059
Goa,North Goa,2017,68.22,90.63,95.73,1491,5754,195156
Goa,North Goa,2018,84.81,79.18,68.68,993,1178,120977
Goa,North Goa,2019,89.76,94.77,64.3,437,2474,120588
Goa,North Goa,2020,55.27,77.79,91.25,1029,312,132671
Goa,North Goa,2021,88.91,71.96,74.71,1000,1991,117359
Goa,North Goa,2022,75.97,72.39,85.1,1569,5498,114933
Goa,North Goa,2023,87.76,95.24,58.22,1027,7408,141530
Goa,North Goa,2024,60.79,80.24,66.45,199,4993,12119
Goa,North Goa,2025,72.87,70.92,75.85,253,6952,171690
Goa,South Goa,2015,70.1,70.12,56.6,1115,7914,64537
Goa,South Goa,2016,76.6,62.44,93.47,1240,1131,77221
Goa,South Goa,2017,74.82,68.92,69.1,1779,1466,108524
Goa,South Goa,2018,75.76,81.8,58.24,325,4062,58473
Goa,South Goa,2019,55.58,65.63,72.11,1470,7365,7335
Goa,South Goa,2020,93.71,90.92,62.66,1963,6622,148857
Goa,South Goa,2021,59.88,81.01,79.88,181,6479,93698
Goa,South Goa,2022,61.0,90.43,50.76,1539,4747,30290
Goa,South Goa,2023,92.49,74.65,55.59,884,3585,173990
Goa,South Goa,2024,60.87,92.15,58.47,1953,6493,163704
Goa,South Goa,2025,86.18,76.44,64.16,1474,6331,55615
Gujarat,Ahmedabad,2015,86.58,71.3,54.94,356,3314,55900
Gujarat,Ahmedabad,2016,92.17,98.63,89.63,61,3437,151571
Gujarat,Ahmedabad,2017,88.0,65.26,77.41,901,729,116917
Gujarat,Ahmedabad,2018,88.81,73.15,54.67,128,6529,82054
Gujarat,Ahmedabad,2019,62.4,69.92,74.61,808,1204,185331
Gujarat,Ahmedabad,2020,72.54,94.43,58.14,755,5727,37474
Gujarat,Ahmedabad,2021,84.25,96.49,64.06,671,3900,40408
Gujarat,Ahmedabad,2022,66.33,72.18,74.7,205,7690,63176
Gujarat,Ahmedabad,2023,89.44,95.93,93.12,1940,7842,141616
Gujarat,Ahmedabad,2024,93.47,70.62,94.17,461,565,98474
Gujarat,Ahmedabad,2025,58.87,75.15,87.51,115,3524,61347
Gujarat,Amreli,2015,59.02,77.59,65.85,827,1254,85100
Gujarat,Amreli,2016,73.21,94.98,89.88,1042,6188,9745
Gujarat,Amreli,2017,88.64,66.11,70.29,893,1901,52908
Gujarat,Amreli,2018,87.24,76.82,74.48,1748,5385,71111
Gujarat,Amreli,2019,89.21,94.61,82.41,1007,7561,151684
Gujarat,Amreli,2020,85.86,94.14,74.37,1291,3391,96714
Gujarat,Amreli,2021,93.89,97.69,51.03,1079,905,191139
Gujarat,Amreli,2022,85.84,96.64,82.17,1326,7255,66252
Gujarat,Amreli,2023,84.56,93.61,90.52,1198,4370,144437
Gujarat,Amreli,2024,97.79,83.04,56.19,1079,352,29862
Gujarat,Amreli,2025,58.04,73.42,53.8,1886,6770,193687
Gujarat,Anand,2015,80.83,93.41,62.82,1401,3242,38764
Gujarat,Anand,2016,64.24,83.31,56.74,1441,6331,65949
Gujarat,Anand,2017,89.21,61.02,63.7,1572,2114,161168
Gujarat,Anand,2018,91.97,96.66,86.5,1911,5753,142303
Gujarat,Anand,2019,96.46,78.68,96.32,792,4246,47648
Gujarat,Anand,2020,83.58,86.88,64.06,578,2882,15949
Gujarat,Anand,2021,67.88,63.58,95.14,335,1972,159159
Gujarat,Anand,2022,95.35,68.96,62.24,956,4532,49942
Gujarat,Anand,2023,95.84,63.08,68.96,439,937,20020
Gujarat,Anand,2024,72.02,80.43,89.99,56,6729,49080
Gujarat,Anand,2025,87.4,82.67,71.4,1924,1934,182304
Gujarat,Aravalli,2015,89.16,80.54,63.95,1987,3362,155822
Gujarat,Aravalli,2016,89.54,73.17,88.02,891,7214,63008
Gujarat,Aravalli,2017,95.61,83.48,82.95,860,6007,106735
Gujarat,Aravalli,2018,75.82,84.13,95.49,1571,1972,117216
Gujarat,Aravalli,2019,57.42,61.57,62.35,541,1030,72695
Gujarat,Aravalli,2020,85.13,60.93,87.3,746,7075,38880
Gujarat,Aravalli,2021,81.62,86.17,73.95,1521,2052,161634
Gujarat,Aravalli,2022,64.9,81.72,79.27,1692,1886,116823
Gujarat,Aravalli,2023,91.81,93.81,64.52,832,6932,43529
Gujarat,Aravalli,2024,61.54,82.36,73.81,1579,6217,182618
Gujarat,Aravalli,2025,62.68,85.2,55.23,1896,6212,35729
Gujarat,Banaskantha,2015,97.14,95.97,51.73,1410,1011,151848
Gujarat,Banaskantha,2016,55.13,64.58,54.64,531,2911,56214
Gujarat,Banaskantha,2017,97.82,81.48,64.51,245,2836,84574
Gujarat,Banaskantha,2018,90.18,85.41,50.17,1293,885,53087
Gujarat,Banaskantha,2019,67.13,94.97,52.08,1473,384,62289
Gujarat,Banaskantha,2020,95.35,81.79,51.82,711,1143,61811
Gujarat,Banaskantha,2021,80.79,95.78,54.44,1555,4333,164460
Gujarat,Banaskantha,2022,68.15,67.54,88.04,540,4064,91718
Gujarat,Banaskantha,2023,90.02,76.0,71.65,1639,2297,187230
Gujarat,Banaskantha,2024,69.85,76.26,50.0,360,7085,88430
Gujarat,Banaskantha,2025,65.87,63.24,59.34,856,3278,77671
Gujarat,Bharuch,2015,92.33,76.24,76.93,1921,1162,21639
Gujarat,Bharuch,2016,92.38,80.39,51.32,1604,7791,69994
Gujarat,Bharuch,2017,91.52,89.15,58.23,1734,5097,47898
Gujarat,Bharuch,2018,67.19,86.52,84.87,213,1163,155298
Gujarat,Bharuch,2019,66.22,82.13,76.57,612,568,29935
Gujarat,Bharuch,2020,92.0,75.0,93.99,447,2244,165203
Gujarat,Bharuch,2021,70.98,91.47,59.05,753,2842,160024
Gujarat,Bharuch,2022,95.46,70.95,65.66,1641,7149,45830
Gujarat,Bharuch,2023,70.86,96.3,78.89,400,852,93386
Gujarat,Bharuch,2024,97.05,64.52,78.92,1274,5349,124669
Gujarat,Bharuch,2025,64.3,71.89,81.88,1128,3679,168123
Gujarat,Bhavnagar,2015,57.51,94.01,95.46,1939,4741,129181
Gujarat,Bhavnagar,2016,72.68,89.37,58.47,1006,6007,179108
Gujarat,Bhavnagar,2017,88.45,70.12,94.41,667,7289,174567
Gujarat,Bhavnagar,2018,62.85,68.29,68.79,911,3527,180975
Gujarat,Bhavnagar,2019,69.44,61.53,78.26,535,4921,49082
Gujarat,Bhavnagar,2020,77.65,93.58,96.27,1568,4191,99980
Gujarat,Bhavnagar,2021,66.18,64.46,77.24,78,3374,171176
Gujarat,Bhavnagar,2022,83.56,90.48,72.2,1275,6512,91442
Gujarat,Bhavnagar,2023,97.91,93.15,93.34,970,7095,68104
Gujarat,Bhavnagar,2024,91.96,76.39,84.56,1733,7276,173749
Gujarat,Bhavnagar,2025,69.44,93.68,84.83,1680,4950,149777
Gujarat,Botad,2015,67.42,65.06,74.27,1849,2670,80380
Gujarat,Botad,2016,92.78,83.06,87.64,1337,5649,86075
Gujarat,Botad,2017,91.0,66.67,79.27,1696,3314,2696
Gujarat,Botad,2018,62.15,65.03,66.21,1979,4432,172564
Gujarat,Botad,2019,79.71,98.61,94.48,1574,8000,10493
Gujarat,Botad,2020,65.19,81.0,91.76,131,6552,149799
Gujarat,Botad,2021,57.91,75.41,55.59,1534,1845,184052
Gujarat,Botad,2022,77.03,96.32,84.79,1604,7139,3439
Gujarat,Botad,2023,77.86,66.73,95.25,677,1713,54910
Gujarat,Botad,2024,81.63,77.06,74.58,578,7994,187763
Gujarat,Botad,2025,85.47,62.7,68.12,1873,4949,29317
Gujarat,Chhota Udepur,2015,82.42,61.24,94.73,1733,565,62175
