state,district,year,employment_rate,unemployment_rate,industrial_jobs,agriculture_jobs,service_jobs
Assam,Majuli,2015,66.78,9.02,42311,7404,59815
Assam,Majuli,2016,47.9,6.35,16123,84188,57018
Assam,Majuli,2017,72.87,9.5,3811,9531,24721
Assam,Majuli,2018,65.85,10.21,22462,46559,19308
Assam,Majuli,2019,63.54,10.68,27718,12135,9717
Assam,Majuli,2020,66.8,8.15,16837,38594,71572
Assam,Majuli,2021,78.78,3.1,7920,67394,20709
Assam,Majuli,2022,64.06,4.33,30751,22891,7372
Assam,Majuli,2023,40.97,11.92,28922,70472,32268
Assam,Majuli,2024,47.25,6.27,22000,97278,26789
Assam,Majuli,2025,67.56,3.39,48011,38782,15174
Assam,Morigaon,2015,49.67,3.17,27260,96584,72221
Assam,Morigaon,2016,52.68,5.66,28677,82827,18084
Assam,Morigaon,2017,42.54,11.44,19814,39950,52929
Assam,Morigaon,2018,62.0,12.18,42961,71519,23021
Assam,Morigaon,2019,54.63,11.95,1420,10752,26110
Assam,Morigaon,2020,71.61,11.94,36086,95835,12748
Assam,Morigaon,2021,69.77,14.91,35457,49522,37117
Assam,Morigaon,2022,46.39,12.87,4471,9302,29483
Assam,Morigaon,2023,76.06,14.23,8886,71058,32264
Assam,Morigaon,2024,75.74,8.29,36610,82831,77703
Assam,Morigaon,2025,75.89,13.8,21919,60416,17326
Assam,Nagaon,2015,59.86,10.86,36837,25837,54017
Assam,Nagaon,2016,48.68,3.19,41612,8616,63534
Assam,Nagaon,2017,63.97,2.85,36065,54480,71871
Assam,Nagaon,2018,73.86,4.8,15339,9364,27255
Assam,Nagaon,2019,59.72,8.81,8774,5678,61063
Assam,Nagaon,2020,43.73,13.23,29485,30233,16255
Assam,Nagaon,2021,54.52,8.23,19269,79111,5512
Assam,Nagaon,2022,64.54,2.97,3676,64480,46712
Assam,Nagaon,2023,66.67,10.68,4560,19219,76219
Assam,Nagaon,2024,75.87,5.5,49249,27779,20356
Assam,Nagaon,2025,61.17,3.3,23566,73657,13382
Assam,Nalbari,2015,57.1,2.89,47600,35992,52017
Assam,Nalbari,2016,46.93,10.43,17910,39522,51880
Assam,Nalbari,2017,78.31,6.08,42555,33556,57330
Assam,Nalbari,2018,56.4,14.02,5944,99244,14732
Assam,Nalbari,2019,76.11,12.86,38792,25029,20994
Assam,Nalbari,2020,66.48,8.73,12008,52826,7008
Assam,Nalbari,2021,69.18,6.45,44649,16108,19148
Assam,Nalbari,2022,69.0,9.02,24377,95354,24517
Assam,Nalbari,2023,54.95,5.98,29782,14279,49683
Assam,Nalbari,2024,68.7,8.52,13659,46272,63821
Assam,Nalbari,2025,42.89,3.74,5354,10667,73491
Assam,Sivasagar,2015,62.18,14.93,13806,54719,51672
Assam,Sivasagar,2016,60.91,3.14,39564,87263,48240
Assam,Sivasagar,2017,77.81,13.89,40248,76626,79060
Assam,Sivasagar,2018,52.35,2.41,21212,18148,17042
Assam,Sivasagar,2019,78.27,8.53,47625,7268,33889
Assam,Sivasagar,2020,71.62,5.15,38506,10226,48335
Assam,Sivasagar,2021,68.72,11.61,24265,53986,12613
Assam,Sivasagar,2022,59.32,5.39,11327,25698,45321
Assam,Sivasagar,2023,75.75,3.45,40269,14098,30185
Assam,Sivasagar,2024,41.7,10.76,22648,21911,12088
Assam,Sivasagar,2025,58.11,8.11,29148,56778,17175
Assam,Sonitpur,2015,52.93,14.75,5798,8686,39872
Assam,Sonitpur,2016,44.11,14.14,41969,97118,12564
Assam,Sonitpur,2017,60.45,5.88,9801,42122,54072
Assam,Sonitpur,2018,73.89,3.49,34159,69720,22962
Assam,Sonitpur,2019,41.64,14.91,25295,97342,60955
Assam,Sonitpur,2020,62.17,5.17,49623,35178,31135
Assam,Sonitpur,2021,79.15,7.16,35852,85764,8672
Assam,Sonitpur,2022,41.46,2.95,7807,33146,57656
Assam,Sonitpur,2023,71.32,8.7,12574,15751,3072
Assam,Sonitpur,2024,72.04,10.78,14967,30756,24656
Assam,Sonitpur,2025,47.65,2.74,6327,32581,41951
Assam,South Salmara-Mankachar,2015,45.25,9.89,20336,26805,41128
Assam,South Salmara-Mankachar,2016,66.95,9.3,27430,43354,55628
Assam,South Salmara-Mankachar,2017,75.17,2.71,43265,63297,28109
Assam,South Salmara-Mankachar,2018,73.5,4.36,1314,94143,53112
Assam,South Salmara-Mankachar,2019,43.35,7.43,47405,25512,72288
Assam,South Salmara-Mankachar,2020,72.61,13.37,11406,87874,43787
Assam,South Salmara-Mankachar,2021,40.12,10.07,22912,16947,54730
Assam,South Salmara-Mankachar,2022,76.74,3.81,40922,17733,24322
Assam,South Salmara-Mankachar,2023,57.89,4.69,31529,41524,59459
Assam,South Salmara-Mankachar,2024,56.2,4.23,16973,80845,67966
Assam,South Salmara-Mankachar,2025,55.59,10.71,12929,90996,17514
Assam,Tinsukia,2015,61.66,5.06,27296,30755,39654
Assam,Tinsukia,2016,54.67,6.56,39410,82119,20942
Assam,Tinsukia,2017,65.01,14.24,1287,59115,44630
Assam,Tinsukia,2018,46.73,5.47,18142,31702,62294
Assam,Tinsukia,2019,62.65,10.75,20912,56180,4869
Assam,Tinsukia,2020,56.21,11.45,31425,29256,2525
Assam,Tinsukia,2021,69.23,14.26,8671,66449,51479
Assam,Tinsukia,2022,60.43,5.55,15128,52630,21658
Assam,Tinsukia,2023,67.03,9.95,39455,29176,44286
Assam,Tinsukia,2024,68.36,3.98,17275,13391,72247
Assam,Tinsukia,2025,49.46,2.7,49861,44077,70955
Assam,Udalguri,2015,55.24,2.19,10410,34215,35029
Assam,Udalguri,2016,45.79,3.79,11883,92897,19612
Assam,Udalguri,2017,48.55,14.18,33418,12806,74259
Assam,Udalguri,2018,55.49,14.53,19746,38485,77147
Assam,Udalguri,2019,49.32,2.51,11819,33602,4113
Assam,Udalguri,2020,55.7,4.44,39988,94106,76739
Assam,Udalguri,2021,66.46,2.96,32109,10674,12898
Assam,Udalguri,2022,40.6,2.36,17338,40532,21210
Assam,Udalguri,2023,56.3,10.71,33949,65569,27904
Assam,Udalguri,2024,73.75,12.4,26874,15024,69799
Assam,Udalguri,2025,72.71,5.15,28447,17324,68075
Assam,West Karbi Anglong,2015,44.18,8.33,31023,67773,30194
Assam,West Karbi Anglong,2016,76.54,4.96,31665,66044,48930
Assam,West Karbi Anglong,2017,65.56,2.99,42093,67075,23541
Assam,West Karbi Anglong,2018,75.94,4.67,43349,99994,25771
Assam,West Karbi Anglong,2019,55.54,6.98,15653,87601,23054
Assam,West Karbi Anglong,2020,65.41,2.47,1342,42909,2380
Assam,West Karbi Anglong,2021,40.95,5.24,33665,26159,16323
Assam,West Karbi Anglong,2022,68.28,13.59,4120,65140,60632
Assam,West Karbi Anglong,2023,41.5,7.13,40657,12901,3415
Assam,West Karbi Anglong,2024,49.15,4.39,19652,67201,6413
Assam,West Karbi Anglong,2025,72.39,14.36,12709,98944,45193
Bihar,Araria,2015,61.38,3.74,29203,11211,24836
Bihar,Araria,2016,70.2,5.82,32102,91281,76377
Bihar,Araria,2017,78.24,3.41,48577,70876,50482
Bihar,Araria,2018,64.34,8.83,11485,40005,21350
Bihar,Araria,2019,55.65,4.8,12921,52577,29858
Bihar,Araria,2020,47.34,4.66,13067,88883,40172
Bihar,Araria,2021,53.93,2.17,34147,56298,46984
Bihar,Araria,2022,58.16,12.83,8239,26244,64439
Bihar,Araria,2023,47.78,11.32,47219,29952,8129
Bihar,Araria,2024,41.49,2.57,22243,95803,41513
Bihar,Araria,2025,46.89,12.9,15137,39248,57019
Bihar,Arwal,2015,52.06,6.89,33317,80005,9545
Bihar,Arwal,2016,52.16,13.74,20835,54034,29028
Bihar,Arwal,2017,75.55,4.06,4496,84859,43239
Bihar,Arwal,2018,45.99,8.2,46148,70893,64318
Bihar,Arwal,2019,63.58,14.62,13297,80733,10019
Bihar,Arwal,2020,57.06,5.2,8652,26876,78902
Bihar,Arwal,2021,49.7,13.38,17240,17953,52961
Bihar,Arwal,2022,67.1,9.95,48224,70407,19327
Bihar,Arwal,2023,49.66,4.09,23014,17123,55978
Bihar,Arwal,2024,62.65,8.73,24250,37578,45865
Bihar,Arwal,2025,64.75,4.97,42487,11018,31594
Bihar,Aurangabad,2015,72.76,11.18,13852,66362,69956
Bihar,Aurangabad,2016,48.18,6.0,16626,83003,57099
Bihar,Aurangabad,2017,75.39,12.94,29971,32754,9379
Bihar,Aurangabad,2018,68.03,14.2,12558,93523,66874
Bihar,Aurangabad,2019,54.84,10.58,37272,23944,50131
Bihar,Aurangabad,2020,51.91,5.67,15076,9628,5551
Bihar,Aurangabad,2021,73.36,10.58,7768,66987,12117
Bihar,Aurangabad,2022,54.93,2.15,30326,26460,26010
Bihar,Aurangabad,2023,44.72,8.42,40072,40694,71464
Bihar,Aurangabad,2024,55.77,7.49,33713,87039,65153
Bihar,Aurangabad,2025,52.93,12.09,35717,82311,27478
Bihar,Banka,2015,71.2,9.92,45020,93877,53176
Bihar,Banka,2016,76.36,14.62,13430,16883,39368
Bihar,Banka,2017,59.86,2.41,2174,8256,31638
Bihar,Banka,2018,55.16,6.91,39083,19887,75078
Bihar,Banka,2019,78.53,14.23,16396,28120,7530
Bihar,Banka,2020,43.88,8.36,10210,45930,22782
Bihar,Banka,2021,54.3,3.93,21506,89535,74805
Bihar,Banka,2022,65.55,11.28,19754,41247,8904
Bihar,Banka,2023,69.79,5.04,9937,85591,54515
Bihar,Banka,2024,53.85,14.82,48035,9587,37192
Bihar,Banka,2025,46.71,2.65,5074,22728,6902
Bihar,Begusarai,2015,54.96,4.45,24753,63162,65750
Bihar,Begusarai,2016,50.96,10.96,31197,20561,21743
Bihar,Begusarai,2017,77.4,10.53,20743,96473,30125
Bihar,Begusarai,2018,63.84,13.4,38473,91345,59134
Bihar,Begusarai,2019,41.29,14.52,30247,17497,45426
Bihar,Begusarai,2020,41.63,12.23,13667,14526,41706
Bihar,Begusarai,2021,43.3,6.54,29080,55267,8857
Bihar,Begusarai,2022,78.96,11.55,34921,94355,74704
Bihar,Begusarai,2023,78.84,8.29,15654,11632,18771
Bihar,Begusarai,2024,55.17,13.93,15123,98476,40256
Bihar,Begusarai,2025,66.85,3.81,45334,61008,72090
Bihar,Bhagalpur,2015,75.1,9.61,40924,34676,30077
Bihar,Bhagalpur,2016,71.22,10.32,20350,30568,66901
Bihar,Bhagalpur,2017,46.75,8.55,37615,88131,17209
Bihar,Bhagalpur,2018,57.51,4.24,38317,35525,52429
Bihar,Bhagalpur,2019,56.53,4.73,33020,99080,46384
Bihar,Bhagalpur,2020,49.03,12.08,27210,23724,39406
Bihar,Bhagalpur,2021,58.41,2.59,15183,58820,20975
Bihar,Bhagalpur,2022,59.95,6.88,7052,29757,54976
Bihar,Bhagalpur,2023,45.09,11.67,17732,33127,56497
Bihar,Bhagalpur,2024,47.2,5.12,37019,99309,7408
Bihar,Bhagalpur,2025,53.33,8.06,32925,59727,74377
Bihar,Bhojpur,2015,48.58,8.79,43477,72827,3950
Bihar,Bhojpur,2016,40.14,8.09,8804,57322,2340
Bihar,Bhojpur,2017,63.42,12.12,39028,33660,27803
Bihar,Bhojpur,2018,58.41,5.64,9617,35113,36031
Bihar,Bhojpur,2019,76.05,6.17,11956,54825,58647
Bihar,Bhojpur,2020,58.74,7.53,44998,77289,68921
Bihar,Bhojpur,2021,42.28,14.5,20231,80998,42380
Bihar,Bhojpur,2022,76.57,3.55,30299,25824,77085
Bihar,Bhojpur,2023,52.57,5.8,2441,61746,56001
Bihar,Bhojpur,2024,46.52,13.11,14924,34925,60674
Bihar,Bhojpur,2025,79.3,11.98,4834,62059,4315
Bihar,Buxar,2015,64.55,10.51,28474,53055,65006
Bihar,Buxar,2016,60.22,12.52,30443,22558,44943
Bihar,Buxar,2017,54.15,14.39,23331,82898,42503
Bihar,Buxar,2018,78.21,9.27,9233,99879,6660
Bihar,Buxar,2019,78.14,13.78,24434,17923,34043
Bihar,Buxar,2020,45.25,11.39,2609,69459,57460
Bihar,Buxar,2021,69.52,12.41,10261,76821,63647
Bihar,Buxar,2022,55.22,9.74,14577,58716,7601
Bihar,Buxar,2023,41.99,14.78,45375,77257,25594
Bihar,Buxar,2024,44.45,6.18,17022,30966,28420
Bihar,Buxar,2025,79.55,9.18,13125,35259,60417
Bihar,Darbhanga,2015,66.33,7.09,48924,50964,37575
Bihar,Darbhanga,2016,62.87,7.05,10304,92689,60310
Bihar,Darbhanga,2017,54.59,9.36,21674,6882,68589
Bihar,Darbhanga,2018,72.52,3.56,5233,16368,60087
Bihar,Darbhanga,2019,41.91,6.7,2439,51198,11656
Bihar,Darbhanga,2020,67.61,10.2,26757,73897,21088
Bihar,Darbhanga,2021,64.51,9.84,18555,74708,24845
Bihar,Darbhanga,2022,66.76,12.48,44540,15722,51434
Bihar,Darbhanga,2023,54.97,7.42,26054,35827,33682
Bihar,Darbhanga,2024,43.78,12.58,4820,67647,5032
Bihar,Darbhanga,2025,66.18,3.47,46161,51982,6089
Bihar,East Champaran,2015,60.77,2.03,6973,30946,46853
Bihar,East Champaran,2016,77.28,7.57,21334,69553,3044
Bihar,East Champaran,2017,45.92,13.65,13104,91386,42442
Bihar,East Champaran,2018,54.15,7.41,26609,92218,77860
Bihar,East Champaran,2019,41.77,11.3,22065,85794,58017
Bihar,East Champaran,2020,53.65,9.68,38912,47462,77793
Bihar,East Champaran,2021,73.01,11.92,4182,63390,38539
Bihar,East Champaran,2022,69.6,7.74,10023,31995,51331
Bihar,East Champaran,2023,55.0,13.61,3208,49866,23673
Bihar,East Champaran,2024,59.85,13.27,34679,44427,65464
Bihar,East Champaran,2025,78.76,6.22,1973,93017,35197
Bihar,Gaya,2015,72.33,4.33,2337,85256,34348
Bihar,Gaya,2016,62.9,2.22,11837,72505,66483
Bihar,Gaya,2017,42.26,12.66,8721,48797,32623
Bihar,Gaya,2018,67.48,2.23,7572,77520,76356
Bihar,Gaya,2019,48.24,8.95,36741,23882,64076
Bihar,Gaya,2020,73.52,6.12,4457,20819,32531
Bihar,Gaya,2021,59.84,6.46,4715,92858,10857
Bihar,Gaya,2022,46.29,2.06,22269,9590,46386
Bihar,Gaya,2023,63.08,11.66,20269,81192,35914
Bihar,Gaya,2024,78.84,5.95,43520,77352,28822
Bihar,Gaya,2025,45.12,10.67,46971,73686,48099
Bihar,Gopalganj,2015,50.65,2.44,23643,75403,45999
Bihar,Gopalganj,2016,75.75,7.51,5109,64340,12729
Bihar,Gopalganj,2017,78.86,9.27,39882,13277,69952
Bihar,Gopalganj,2018,60.9,11.8,45765,48964,45500
Bihar,Gopalganj,2019,40.51,5.14,8549,51876,69873
Bihar,Gopalganj,2020,43.54,10.53,47999,63433,9482
Bihar,Gopalganj,2021,44.14,12.87,38313,60313,15358
Bihar,Gopalganj,2022,68.95,10.11,32769,93501,47147
Bihar,Gopalganj,2023,68.87,9.99,41868,88956,8468
Bihar,Gopalganj,2024,56.8,12.73,41901,7226,25150
Bihar,Gopalganj,2025,61.39,4.98,41177,79747,19389
Bihar,Jamui,2015,61.88,3.84,25687,98780,19564
Bihar,Jamui,2016,79.45,2.13,32293,34419,57697
Bihar,Jamui,2017,66.92,14.36,11572,32760,5793
Bihar,Jamui,2018,58.32,7.53,41449,51351,49391
Bihar,Jamui,2019,61.64,9.49,39377,55680,35527
Bihar,Jamui,2020,77.11,12.1,43189,75187,20830
Bihar,Jamui,2021,73.04,13.22,13412,49923,76896
Bihar,Jamui,2022,59.88,12.77,9842,49943,28955
Bihar,Jamui,2023,53.14,3.21,11293,56813,74736
Bihar,Jamui,2024,79.58,9.76,49114,62543,74274
Bihar,Jamui,2025,77.1,7.22,11137,33825,9587
Bihar,Jehanabad,2015,73.09,5.04,12167,13741,11473
Bihar,Jehanabad,2016,72.33,8.41,18694,21645,42277
Bihar,Jehanabad,2017,76.77,2.98,5972,40543,36533
Bihar,Jehanabad,2018,45.07,6.19,13297,36750,22265
Bihar,Jehanabad,2019,41.54,5.28,27389,31535,19799
Bihar,Jehanabad,2020,66.72,4.77,7999,59562,67170
Bihar,Jehanabad,2021,49.64,8.78,22274,23712,53853
Bihar,Jehanabad,2022,76.57,6.81,41348,75457,19799
Bihar,Jehanabad,2023,64.71,13.42,3043,89380,58168
Bihar,Jehanabad,2024,63.0,9.46,30180,94761,14698
Bihar,Jehanabad,2025,63.91,13.54,42686,98688,9268
Bihar,Kaimur,2015,52.06,2.67,18111,74139,50540
Bihar,Kaimur,2016,43.1,11.07,27675,94042,76213
Bihar,Kaimur,2017,74.95,5.6,11699,69148,73646
Bihar,Kaimur,2018,42.23,5.67,6825,58522,20484
Bihar,Kaimur,2019,69.27,7.2,4336,8732,69943
Bihar,Kaimur,2020,53.29,11.93,20560,94062,19973
Bihar,Kaimur,2021,70.59,12.79,46766,87770,66185
Bihar,Kaimur,2022,48.68,8.57,49825,97184,74333
Bihar,Kaimur,2023,43.32,3.7,34960,12658,16545
Bihar,Kaimur,2024,44.28,11.38,8197,7089,71764
Bihar,Kaimur,2025,54.66,3.95,12190,68495,79085
Bihar,Katihar,2015,68.8,7.68,11051,16919,63096
Bihar,Katihar,2016,53.64,12.05,4800,82683,28303
Bihar,Katihar,2017,57.08,9.77,17593,80237,73625
Bihar,Katihar,2018,72.16,12.33,11027,98606,60233
Bihar,Katihar,2019,61.02,11.01,47280,43168,5933
Bihar,Katihar,2020,64.46,2.66,34441,45399,68033
Bihar,Katihar,2021,41.78,10.91,35241,89248,53199
Bihar,Katihar,2022,58.61,6.45,1143,40712,48498
Bihar,Katihar,2023,66.84,2.32,34730,31501,11685
Bihar,Katihar,2024,75.98,13.08,33828,73178,5742
Bihar,Katihar,2025,69.86,11.25,6899,99567,40961
Bihar,Khagaria,2015,76.36,13.68,28298,79968,46643
Bihar,Khagaria,2016,57.91,6.6,24408,11815,5951
Bihar,Khagaria,2017,76.37,13.21,25362,49423,8786
Bihar,Khagaria,2018,60.99,6.35,6962,15365,21349
Bihar,Khagaria,2019,70.56,11.97,2002,14084,12390
Bihar,Khagaria,2020,42.68,11.45,21803,94251,40672
Bihar,Khagaria,2021,57.89,5.26,11707,59658,76490
Bihar,Khagaria,2022,78.79,13.38,15513,93400,76378
Bihar,Khagaria,2023,52.97,5.42,10017,88781,60516
Bihar,Khagaria,2024,49.93,4.84,42872,59097,67347
Bihar,Khagaria,2025,65.48,3.75,1279,12558,9836
Bihar,Kishanganj,2015,63.18,14.52,41055,97569,53771
Bihar,Kishanganj,2016,74.35,5.82,21399,14142,21047
Bihar,Kishanganj,2017,66.77,10.1,14607,60090,31585
Bihar,Kishanganj,2018,76.28,6.55,46833,33847,73703
Bihar,Kishanganj,2019,73.75,10.27,7776,27516,29495
Bihar,Kishanganj,2020,44.47,6.65,16507,44128,47118
Bihar,Kishanganj,2021,73.57,3.04,18624,6876,22465
Bihar,Kishanganj,2022,49.65,6.32,23517,55196,69472
Bihar,Kishanganj,2023,65.48,2.09,41461,46330,28175
Bihar,Kishanganj,2024,41.18,13.44,48393,90652,63979
Bihar,Kishanganj,2025,75.31,4.97,47299,82914,2970
Bihar,Lakhisarai,2015,48.98,3.38,33505,93569,58824
Bihar,Lakhisarai,2016,49.37,11.91,10911,52815,24707
Bihar,Lakhisarai,2017,40.73,10.33,27399,88354,53334
Bihar,Lakhisarai,2018,40.99,10.18,38641,70991,62491
Bihar,Lakhisarai,2019,57.26,9.36,41802,86440,11933
Bihar,Lakhisarai,2020,74.32,11.51,26604,41371,17298
Bihar,Lakhisarai,2021,71.19,5.37,42273,85466,51395
Bihar,Lakhisarai,2022,41.76,11.88,9805,76179,14845
Bihar,Lakhisarai,2023,40.97,2.75,18489,53160,19728
Bihar,Lakhisarai,2024,65.08,11.85,18418,66386,58496
Bihar,Lakhisarai,2025,54.25,7.33,43008,61894,30041
Bihar,Madhepura,2015,50.47,12.62,26194,96464,9099
Bihar,Madhepura,2016,77.56,10.27,41227,94286,39310
Bihar,Madhepura,2017,60.26,7.14,40998,73509,29816
Bihar,Madhepura,2018,78.84,4.29,46996,97397,69889
Bihar,Madhepura,2019,65.36,5.65,38558,93650,3629
Bihar,Madhepura,2020,48.61,6.17,34273,31185,51137
Bihar,Madhepura,2021,76.65,5.32,35492,95737,50690
Bihar,Madhepura,2022,79.78,10.81,8664,94383,70545
Bihar,Madhepura,2023,63.89,9.15,27030,45442,56497
Bihar,Madhepura,2024,40.72,3.89,27653,79762,62863
Bihar,Madhepura,2025,76.34,11.22,7033,49530,35393
Bihar,Madhubani,2015,50.69,10.77,33730,30158,74700
Bihar,Madhubani,2016,58.76,12.5,24566,36126,6623
Bihar,Madhubani,2017,54.87,14.43,21604,16435,49649
Bihar,Madhubani,2018,69.14,2.35,35432,54617,14405
Bihar,Madhubani,2019,74.0,8.5,19830,48036,15103
Bihar,Madhubani,2020,58.43,8.64,41348,73110,42307
Bihar,Madhubani,2021,41.86,14.1,44736,24766,66547
Bihar,Madhubani,2022,51.6,3.08,6264,13070,65224
Bihar,Madhubani,2023,51.76,7.76,2668,62951,4499
Bihar,Madhubani,2024,46.44,7.52,6529,76519,50229
Bihar,Madhubani,2025,68.1,5.84,27946,75197,42481
Bihar,Munger,2015,44.48,9.16,1704,23759,58007
Bihar,Munger,2016,41.29,13.42,16465,51113,4895
Bihar,Munger,2017,48.19,10.91,36406,53008,46366
Bihar,Munger,2018,43.07,10.89,10059,76239,63184
Bihar,Munger,2019,55.81,5.0,6653,83282,60796
Bihar,Munger,2020,49.31,4.64,24098,59986,32047
Bihar,Munger,2021,41.25,14.23,13270,46175,7571
Bihar,Munger,2022,64.95,13.69,27521,55336,24878
Bihar,Munger,2023,58.96,9.7,29755,36485,49450
Bihar,Munger,2024,75.84,8.07,36337,55662,14420
Bihar,Munger,2025,54.85,13.78,32917,42494,67114
Bihar,Muzaffarpur,2015,79.48,6.31,6042,67042,75545
Bihar,Muzaffarpur,2016,71.19,13.72,6407,86833,39245
Bihar,Muzaffarpur,2017,64.61,3.13,28284,83686,18511
Bihar,Muzaffarpur,2018,66.8,3.87,38967,82507,70996
Bihar,Muzaffarpur,2019,76.41,5.63,23990,79660,30365
Bihar,Muzaffarpur,2020,67.4,14.5,18144,15756,37051
Bihar,Muzaffarpur,2021,75.23,8.65,27453,22811,46144
Bihar,Muzaffarpur,2022,42.59,2.58,32926,27802,22827
Bihar,Muzaffarpur,2023,74.37,11.15,29624,51965,62615
Bihar,Muzaffarpur,2024,64.75,15.0,2819,40567,41685
Bihar,Muzaffarpur,2025,45.69,9.86,29769,40724,4364
Bihar,Nalanda,2015,64.87,12.31,9214,23768,8855
Bihar,Nalanda,2016,59.29,10.02,11995,39059,56689
Bihar,Nalanda,2017,70.96,7.01,2215,14510,68620
Bihar,Nalanda,2018,55.0,12.17,24655,86466,19162
Bihar,Nalanda,2019,79.59,6.28,34177,69403,29431
Bihar,Nalanda,2020,54.29,7.48,17711,41933,22476
Bihar,Nalanda,2021,43.49,12.81,24108,74163,31275
Bihar,Nalanda,2022,67.53,13.29,2708,33741,54337
Bihar,Nalanda,2023,77.59,10.78,34198,14566,35345
Bihar,Nalanda,2024,56.3,12.67,25328,88030,47797
Bihar,Nalanda,2025,61.72,9.54,27853,24211,46388
Bihar,Nawada,2015,41.34,2.16,34458,99030,21178
Bihar,Nawada,2016,60.61,8.05,14201,80309,16459
Bihar,Nawada,2017,64.98,6.68,13710,12576,48323
Bihar,Nawada,2018,47.87,13.07,10032,99472,54803
Bihar,Nawada,2019,42.03,7.34,4353,84536,4992
Bihar,Nawada,2020,47.65,3.28,35277,68596,45880
Bihar,Nawada,2021,40.37,8.56,40041,91077,40648
Bihar,Nawada,2022,47.8,11.15,37552,55920,53541
Bihar,Nawada,2023,40.43,3.97,1845,15169,29219
Bihar,Nawada,2024,61.26,6.63,25410,82035,79772
Bihar,Nawada,2025,78.75,9.65,4533,79590,6169
Bihar,Patna,2015,73.38,3.92,35492,82247,26098
Bihar,Patna,2016,74.84,14.77,41981,17658,11934
Bihar,Patna,2017,68.56,14.04,4594,70464,67974
Bihar,Patna,2018,62.63,9.86,39341,31702,30860
Bihar,Patna,2019,65.32,11.28,14834,44212,6794
Bihar,Patna,2020,73.18,10.78,40152,40796,61970
Bihar,Patna,2021,69.48,8.15,24891,91463,68105
Bihar,Patna,2022,77.78,3.11,5594,97854,68281
Bihar,Patna,2023,67.33,11.27,4156,35023,33151
Bihar,Patna,2024,42.31,9.99,10931,10374,10009
Bihar,Patna,2025,51.23,13.76,17015,44840,77011
Bihar,Purnia,2015,71.55,7.77,42271,71080,45664
Bihar,Purnia,2016,55.94,6.82,10292,72592,28576
Bihar,Purnia,2017,79.48,6.39,40977,91339,5911
Bihar,Purnia,2018,49.28,11.91,30310,83429,26252
Bihar,Purnia,2019,67.07,12.89,33758,15817,52444
Bihar,Purnia,2020,40.99,3.04,40788,88748,72228
Bihar,Purnia,2021,52.41,8.06,13166,53345,40399
Bihar,Purnia,2022,41.61,3.0,4967,36550,27372
Bihar,Purnia,2023,44.81,14.03,25994,81369,32966
Bihar,Purnia,2024,40.13,14.86,49906,70074,55178
Bihar,Purnia,2025,78.5,14.9,3213,45108,50722
Bihar,Rohtas,2015,47.87,13.84,35194,78990,66863
Bihar,Rohtas,2016,44.5,14.76,37474,36825,27163
Bihar,Rohtas,2017,63.76,12.26,21102,19568,9239
Bihar,Rohtas,2018,71.6,8.93,34674,48980,45287
Bihar,Rohtas,2019,79.3,6.69,7746,6196,50601
Bihar,Rohtas,2020,71.68,9.99,18497,42946,59495
Bihar,Rohtas,2021,71.62,5.57,49363,97368,48851
Bihar,Rohtas,2022,52.05,2.48,7408,94134,26673
Bihar,Rohtas,2023,46.44,4.29,9644,72872,78592
Bihar,Rohtas,2024,76.97,5.11,41845,61085,68691
Bihar,Rohtas,2025,56.36,6.09,26538,52842,33817
Bihar,Saharsa,2015,43.9,10.15,18971,78446,55319
Bihar,Saharsa,2016,60.61,3.79,44265,40540,9105
Bihar,Saharsa,2017,62.96,9.46,19458,88301,26172
Bihar,Saharsa,2018,57.85,14.83,18080,18453,47209
Bihar,Saharsa,2019,67.22,9.73,26292,18105,23153
Bihar,Saharsa,2020,43.75,5.27,1131,41854,8878
Bihar,Saharsa,2021,54.03,14.05,49633,51020,70768
Bihar,Saharsa,2022,60.36,10.8,40322,62826,9999
Bihar,Saharsa,2023,50.03,5.23,48806,27127,32027
Bihar,Saharsa,2024,67.26,9.05,5852,67009,40591
Bihar,Saharsa,2025,76.45,11.66,26375,55072,5947
Bihar,Samastipur,2015,44.93,8.65,25877,14668,57653
Bihar,Samastipur,2016,47.57,4.49,2947,80620,7220
Bihar,Samastipur,2017,57.95,10.71,34142,88044,27129
Bihar,Samastipur,2018,60.39,9.78,34369,12857,77422
Bihar,Samastipur,2019,71.09,5.96,12107,40028,55981
Bihar,Samastipur,2020,61.65,12.78,3711,69844,34570
Bihar,Samastipur,2021,67.78,8.96,43462,49419,65662
Bihar,Samastipur,2022,78.41,14.7,19786,62457,44562
Bihar,Samastipur,2023,75.5,4.48,1060,56067,40147
Bihar,Samastipur,2024,58.98,9.44,4648,26110,16235
Bihar,Samastipur,2025,58.86,12.81,23046,80856,62089
Bihar,Saran,2015,55.11,7.47,17707,36397,46652
Bihar,Saran,2016,61.73,13.37,24774,70519,44353
Bihar,Saran,2017,56.17,2.14,44681,85351,2498
Bihar,Saran,2018,61.52,13.73,38818,55162,59887
Bihar,Saran,2019,68.01,3.13,37910,42726,10403
Bihar,Saran,2020,73.81,3.16,24488,25593,66496
Bihar,Saran,2021,65.46,13.7,18505,78117,14764
Bihar,Saran,2022,67.11,12.0,19485,80844,68965
Bihar,Saran,2023,57.32,14.67,45708,55029,4683
Bihar,Saran,2024,45.7,7.96,48521,9891,4978
