state,district,year,smart_projects,cctv_cameras,public_wifi_hotspots,ev_charging_stations,smart_traffic_signals
Chhattisgarh,Korea,2020,73,18707,3201,1541,998
Chhattisgarh,Korea,2021,71,6820,4335,528,1988
Chhattisgarh,Korea,2022,44,17794,3427,676,1311
Chhattisgarh,Korea,2023,80,569,4335,1440,471
Chhattisgarh,Korea,2024,37,13730,2774,1187,87
Chhattisgarh,Korea,2025,4,5098,3743,779,521
Chhattisgarh,Mahasamund,2015,32,8268,4468,1528,175
Chhattisgarh,Mahasamund,2016,4,2624,4019,157,1919
Chhattisgarh,Mahasamund,2017,2,14676,2110,1676,533
Chhattisgarh,Mahasamund,2018,83,16472,4298,25,1723
Chhattisgarh,Mahasamund,2019,17,7317,2176,18,1250
Chhattisgarh,Mahasamund,2020,2,8946,1728,93,1298
Chhattisgarh,Mahasamund,2021,75,4917,3903,1362,934
Chhattisgarh,Mahasamund,2022,30,5152,4203,590,1701
Chhattisgarh,Mahasamund,2023,45,17151,2604,1441,1500
Chhattisgarh,Mahasamund,2024,78,15900,3633,1003,474
Chhattisgarh,Mahasamund,2025,91,6691,2484,18,894
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2015,4,13894,4742,1284,1666
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,19,5039,3291,479,718
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2017,24,14764,1056,1561,229
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2018,21,5472,2929,1108,275
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,99,9601,732,608,338
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2020,68,10969,1442,623,959
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2021,71,6106,3540,869,1178
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2022,65,7363,3742,497,1177
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,53,2671,855,890,547
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,88,19072,3674,666,859
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,31,17677,1712,388,1508
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2015,51,12974,1188,1469,1564
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2016,79,3049,3950,1517,1601
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2017,23,7278,2116,844,644
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,37,10606,4813,1233,348
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2019,85,15437,397,313,791
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2020,90,10421,4370,339,1298
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2021,82,7603,668,1780,992
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2022,6,10049,4839,1427,1404
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2023,18,7837,65,672,1993
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2024,74,4044,4132,110,1928
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2025,50,2387,4807,1126,1398
Chhattisgarh,Mungeli,2015,76,3599,4246,1103,157
Chhattisgarh,Mungeli,2016,88,19202,2721,537,456
Chhattisgarh,Mungeli,2017,64,16990,2814,1736,974
Chhattisgarh,Mungeli,2018,66,16580,4748,1557,1571
Chhattisgarh,Mungeli,2019,82,5608,4411,1885,1288
Chhattisgarh,Mungeli,2020,61,4747,4110,895,1562
Chhattisgarh,Mungeli,2021,45,2111,2952,1923,1909
Chhattisgarh,Mungeli,2022,12,15203,912,333,1794
Chhattisgarh,Mungeli,2023,82,11541,3837,1548,734
Chhattisgarh,Mungeli,2024,10,13629,1987,245,780
Chhattisgarh,Mungeli,2025,35,12453,4794,1615,494
Chhattisgarh,Narayanpur,2015,77,17625,4555,1630,1441
Chhattisgarh,Narayanpur,2016,90,15370,3589,1218,1978
Chhattisgarh,Narayanpur,2017,81,5818,3265,1140,1867
Chhattisgarh,Narayanpur,2018,10,18051,4192,1617,1557
Chhattisgarh,Narayanpur,2019,67,19737,1177,987,264
Chhattisgarh,Narayanpur,2020,37,9216,3976,194,516
Chhattisgarh,Narayanpur,2021,34,3666,1957,690,1153
Chhattisgarh,Narayanpur,2022,87,14691,239,1194,684
Chhattisgarh,Narayanpur,2023,94,14726,1512,1034,1363
Chhattisgarh,Narayanpur,2024,54,19790,3204,155,1941
Chhattisgarh,Narayanpur,2025,26,19564,3038,80,1859
Chhattisgarh,Raigarh,2015,59,3708,4566,128,1007
Chhattisgarh,Raigarh,2016,23,19307,1420,1621,1727
Chhattisgarh,Raigarh,2017,62,6621,614,2000,156
Chhattisgarh,Raigarh,2018,29,19577,2285,1260,78
Chhattisgarh,Raigarh,2019,26,4966,3361,1772,1602
Chhattisgarh,Raigarh,2020,10,11784,1419,44,1993
Chhattisgarh,Raigarh,2021,76,10445,481,1744,1420
Chhattisgarh,Raigarh,2022,59,14282,123,1192,398
Chhattisgarh,Raigarh,2023,89,15925,2469,119,860
Chhattisgarh,Raigarh,2024,36,4159,2932,375,1192
Chhattisgarh,Raigarh,2025,73,5257,2603,162,1903
Chhattisgarh,Raipur,2015,46,5392,2214,1678,1517
Chhattisgarh,Raipur,2016,44,17212,1867,675,1002
Chhattisgarh,Raipur,2017,81,16892,2299,536,1799
Chhattisgarh,Raipur,2018,34,2613,4339,443,452
Chhattisgarh,Raipur,2019,42,19684,1739,1325,434
Chhattisgarh,Raipur,2020,6,13967,2229,1911,489
Chhattisgarh,Raipur,2021,33,12259,132,465,1271
Chhattisgarh,Raipur,2022,52,15875,2524,759,342
Chhattisgarh,Raipur,2023,42,4793,2647,176,511
Chhattisgarh,Raipur,2024,78,2375,4954,200,226
Chhattisgarh,Raipur,2025,39,9037,4000,1350,1989
Chhattisgarh,Rajnandgaon,2015,47,17387,2421,82,1801
Chhattisgarh,Rajnandgaon,2016,28,156,1748,1667,396
Chhattisgarh,Rajnandgaon,2017,54,16541,1979,1603,1268
Chhattisgarh,Rajnandgaon,2018,60,6357,993,1425,1589
Chhattisgarh,Rajnandgaon,2019,70,13065,1806,1339,1860
Chhattisgarh,Rajnandgaon,2020,6,7254,3287,312,1219
Chhattisgarh,Rajnandgaon,2021,88,9704,2887,349,1222
Chhattisgarh,Rajnandgaon,2022,21,12401,2667,1939,624
Chhattisgarh,Rajnandgaon,2023,33,5234,1738,87,1467
Chhattisgarh,Rajnandgaon,2024,17,6728,216,1633,1202
Chhattisgarh,Rajnandgaon,2025,59,11137,1527,1404,961
Chhattisgarh,Sakti,2015,84,7207,3302,1980,401
Chhattisgarh,Sakti,2016,63,15164,3130,498,34
Chhattisgarh,Sakti,2017,79,17368,715,973,1617
Chhattisgarh,Sakti,2018,14,3948,1809,498,702
Chhattisgarh,Sakti,2019,16,14745,2967,674,1132
Chhattisgarh,Sakti,2020,33,2402,1540,1406,971
Chhattisgarh,Sakti,2021,85,15082,704,1099,531
Chhattisgarh,Sakti,2022,38,9063,4772,468,1634
Chhattisgarh,Sakti,2023,76,14947,1113,1696,968
Chhattisgarh,Sakti,2024,18,13494,728,109,233
Chhattisgarh,Sakti,2025,37,16335,3932,1836,881
Chhattisgarh,Sarangarh-Bilaigarh,2015,20,6934,2813,1269,390
Chhattisgarh,Sarangarh-Bilaigarh,2016,15,16150,4743,1822,815
Chhattisgarh,Sarangarh-Bilaigarh,2017,57,17506,4662,1634,1048
Chhattisgarh,Sarangarh-Bilaigarh,2018,2,15906,2914,1861,1674
Chhattisgarh,Sarangarh-Bilaigarh,2019,32,14053,3013,1175,167
Chhattisgarh,Sarangarh-Bilaigarh,2020,93,18517,83,1690,438
Chhattisgarh,Sarangarh-Bilaigarh,2021,88,4289,1364,1607,1904
Chhattisgarh,Sarangarh-Bilaigarh,2022,33,16958,194,1813,1934
Chhattisgarh,Sarangarh-Bilaigarh,2023,9,1850,603,1371,1063
Chhattisgarh,Sarangarh-Bilaigarh,2024,15,18552,1716,1834,1771
Chhattisgarh,Sarangarh-Bilaigarh,2025,27,17627,2573,428,389
Chhattisgarh,Sukma,2015,52,12705,2029,498,835
Chhattisgarh,Sukma,2016,99,7030,4688,1652,88
Chhattisgarh,Sukma,2017,73,15585,2514,522,583
Chhattisgarh,Sukma,2018,73,11628,1933,1802,233
Chhattisgarh,Sukma,2019,85,8523,877,369,1865
Chhattisgarh,Sukma,2020,4,13184,3668,477,1428
Chhattisgarh,Sukma,2021,44,19736,4219,881,988
Chhattisgarh,Sukma,2022,71,4854,844,327,984
Chhattisgarh,Sukma,2023,69,14606,4606,381,206
Chhattisgarh,Sukma,2024,8,17225,2022,681,1086
Chhattisgarh,Sukma,2025,33,7220,1657,1876,1513
Chhattisgarh,Surajpur,2015,78,6612,2581,1860,190
Chhattisgarh,Surajpur,2016,52,7276,4987,1905,924
Chhattisgarh,Surajpur,2017,91,19869,2797,1356,1992
Chhattisgarh,Surajpur,2018,76,9793,3352,1045,1334
Chhattisgarh,Surajpur,2019,4,1099,3779,802,1372
Chhattisgarh,Surajpur,2020,100,14752,2476,1727,420
Chhattisgarh,Surajpur,2021,92,12962,1945,415,1444
Chhattisgarh,Surajpur,2022,80,15910,108,903,1926
Chhattisgarh,Surajpur,2023,18,8575,4408,832,1611
Chhattisgarh,Surajpur,2024,32,19004,4422,470,571
Chhattisgarh,Surajpur,2025,73,13209,1853,1926,227
Chhattisgarh,Surguja,2015,99,7686,905,222,1837
Chhattisgarh,Surguja,2016,21,11126,467,994,720
Chhattisgarh,Surguja,2017,10,4390,442,237,1054
Chhattisgarh,Surguja,2018,1,6851,1855,504,798
Chhattisgarh,Surguja,2019,84,393,112,1934,656
Chhattisgarh,Surguja,2020,80,11485,1059,575,749
Chhattisgarh,Surguja,2021,8,3880,2551,663,145
Chhattisgarh,Surguja,2022,40,12958,315,356,14
Chhattisgarh,Surguja,2023,30,8496,839,967,1852
Chhattisgarh,Surguja,2024,60,18950,2136,1506,470
Chhattisgarh,Surguja,2025,24,17776,225,1291,1123
Goa,North Goa,2015,16,14691,2305,1344,1151
Goa,North Goa,2016,74,18903,1365,205,329
Goa,North Goa,2017,94,16494,3764,1256,1752
Goa,North Goa,2018,80,281,106,232,334
Goa,North Goa,2019,79,11001,1502,92,214
Goa,North Goa,2020,98,16791,3701,784,134
Goa,North Goa,2021,81,17479,197,1047,91
Goa,North Goa,2022,84,18007,3754,485,1064
Goa,North Goa,2023,38,7452,4719,1317,381
Goa,North Goa,2024,86,11814,4405,589,1018
Goa,North Goa,2025,70,13395,4550,1799,327
Goa,South Goa,2015,32,19629,4728,210,115
Goa,South Goa,2016,1,11155,4633,1558,480
Goa,South Goa,2017,71,18439,2223,1593,1292
Goa,South Goa,2018,77,15751,3519,840,1028
Goa,South Goa,2019,28,6275,365,884,712
Goa,South Goa,2020,91,11630,1531,1432,930
Goa,South Goa,2021,57,19014,1382,1171,1771
Goa,South Goa,2022,98,2966,570,1735,800
Goa,South Goa,2023,97,18745,1689,563,1485
Goa,South Goa,2024,95,2211,177,1866,308
Goa,South Goa,2025,60,13987,22,1860,1666
Gujarat,Ahmedabad,2015,10,1685,2584,1998,728
Gujarat,Ahmedabad,2016,57,11454,2703,208,1885
Gujarat,Ahmedabad,2017,61,9906,2471,229,161
Gujarat,Ahmedabad,2018,18,16856,4049,1993,1808
Gujarat,Ahmedabad,2019,89,14347,4686,879,842
Gujarat,Ahmedabad,2020,35,9196,4473,52,1801
Gujarat,Ahmedabad,2021,26,3238,3963,1644,51
Gujarat,Ahmedabad,2022,68,12519,4556,1134,634
Gujarat,Ahmedabad,2023,69,6551,3254,1498,758
Gujarat,Ahmedabad,2024,95,18529,3837,394,639
Gujarat,Ahmedabad,2025,21,17406,4524,1181,1729
Gujarat,Amreli,2015,62,19179,3166,679,260
Gujarat,Amreli,2016,71,10007,70,1345,1951
Gujarat,Amreli,2017,88,11744,4779,1871,1333
Gujarat,Amreli,2018,67,2097,4460,1059,256
Gujarat,Amreli,2019,95,15641,365,1643,646
Gujarat,Amreli,2020,62,1123,10,1385,1972
Gujarat,Amreli,2021,61,1311,858,264,1422
Gujarat,Amreli,2022,87,14711,1174,632,457
Gujarat,Amreli,2023,34,18509,3319,945,110
Gujarat,Amreli,2024,20,1076,3065,1094,372
Gujarat,Amreli,2025,17,17868,2004,1119,941
Gujarat,Anand,2015,28,6693,387,1429,462
Gujarat,Anand,2016,50,10193,29,1193,171
Gujarat,Anand,2017,73,16941,2490,1210,1287
Gujarat,Anand,2018,60,257,4910,1299,1556
Gujarat,Anand,2019,69,3180,769,422,1938
Gujarat,Anand,2020,53,7636,661,1252,1666
Gujarat,Anand,2021,39,3459,3926,1406,298
Gujarat,Anand,2022,33,12039,648,1320,629
Gujarat,Anand,2023,72,11870,1146,1544,397
Gujarat,Anand,2024,15,7404,2542,876,351
Gujarat,Anand,2025,84,19116,4576,552,1148
Gujarat,Aravalli,2015,23,17736,879,1916,1060
Gujarat,Aravalli,2016,64,5180,1801,72,122
Gujarat,Aravalli,2017,51,5283,3937,269,1554
Gujarat,Aravalli,2018,91,7740,4627,148,891
Gujarat,Aravalli,2019,24,14334,3426,767,981
Gujarat,Aravalli,2020,76,3107,1856,1532,655
Gujarat,Aravalli,2021,77,2123,4407,990,333
Gujarat,Aravalli,2022,24,13569,1121,1159,67
Gujarat,Aravalli,2023,97,6149,1995,449,1819
Gujarat,Aravalli,2024,71,10693,1741,716,1512
Gujarat,Aravalli,2025,24,11360,940,815,724
Gujarat,Banaskantha,2015,65,369,100,1075,1277
Gujarat,Banaskantha,2016,51,18491,3999,503,1916
Gujarat,Banaskantha,2017,79,10915,1520,1722,1977
Gujarat,Banaskantha,2018,56,15833,2919,984,1319
Gujarat,Banaskantha,2019,12,19856,763,1442,821
Gujarat,Banaskantha,2020,15,8730,4239,774,1840
Gujarat,Banaskantha,2021,83,3155,2884,656,1392
Gujarat,Banaskantha,2022,44,9635,405,146,1093
Gujarat,Banaskantha,2023,95,11596,564,1240,1332
Gujarat,Banaskantha,2024,19,19488,1224,1595,458
Gujarat,Banaskantha,2025,41,12424,1303,1843,759
Gujarat,Bharuch,2015,12,7747,2236,241,715
Gujarat,Bharuch,2016,48,10562,2722,241,775
Gujarat,Bharuch,2017,56,8818,4560,1854,856
Gujarat,Bharuch,2018,38,11675,2055,269,908
Gujarat,Bharuch,2019,31,19880,217,900,264
Gujarat,Bharuch,2020,31,6073,3749,1970,210
Gujarat,Bharuch,2021,43,5956,3073,537,1686
Gujarat,Bharuch,2022,35,4624,2831,971,1696
Gujarat,Bharuch,2023,31,17345,1473,1975,958
Gujarat,Bharuch,2024,6,15323,385,637,277
Gujarat,Bharuch,2025,41,19787,3402,756,1778
Gujarat,Bhavnagar,2015,30,4524,565,1126,1818
Gujarat,Bhavnagar,2016,36,8486,3464,1843,1258
Gujarat,Bhavnagar,2017,67,17555,4249,84,1565
Gujarat,Bhavnagar,2018,2,13321,4598,315,625
Gujarat,Bhavnagar,2019,54,10254,3700,960,1438
Gujarat,Bhavnagar,2020,96,639,3715,1711,859
Gujarat,Bhavnagar,2021,53,690,417,1474,57
Gujarat,Bhavnagar,2022,45,15032,127,680,1485
Gujarat,Bhavnagar,2023,45,16188,696,1752,283
Gujarat,Bhavnagar,2024,52,1916,278,440,1521
Gujarat,Bhavnagar,2025,49,12568,148,1868,601
Gujarat,Botad,2015,96,4073,2467,1020,206
Gujarat,Botad,2016,86,14912,2596,917,1969
Gujarat,Botad,2017,44,5162,1990,928,985
Gujarat,Botad,2018,27,16196,110,711,414
Gujarat,Botad,2019,75,7086,3282,1219,453
Gujarat,Botad,2020,22,12324,3846,1898,1585
Gujarat,Botad,2021,14,4071,3544,1012,1810
Gujarat,Botad,2022,56,5685,213,93,878
Gujarat,Botad,2023,22,13329,606,38,893
Gujarat,Botad,2024,72,14453,4260,1478,1020
Gujarat,Botad,2025,100,11453,622,696,700
Gujarat,Chhota Udepur,2015,93,3384,1588,1324,890
Gujarat,Chhota Udepur,2016,54,12987,4356,1117,1660
Gujarat,Chhota Udepur,2017,18,13415,172,60,568
Gujarat,Chhota Udepur,2018,81,5720,1623,1104,1948
Gujarat,Chhota Udepur,2019,21,11816,2022,188,1498
Gujarat,Chhota Udepur,2020,12,2877,1884,196,548
Gujarat,Chhota Udepur,2021,36,15123,3728,1415,841
Gujarat,Chhota Udepur,2022,17,9286,107,1408,1240
Gujarat,Chhota Udepur,2023,75,2204,719,576,1865
Gujarat,Chhota Udepur,2024,72,3311,3591,322,672
Gujarat,Chhota Udepur,2025,93,8071,4987,1270,1952
Gujarat,Dahod,2015,78,4036,4965,107,1952
Gujarat,Dahod,2016,80,19075,1476,1038,685
Gujarat,Dahod,2017,54,19454,4893,1057,984
Gujarat,Dahod,2018,3,2973,3984,1932,481
Gujarat,Dahod,2019,100,18382,1537,979,1631
Gujarat,Dahod,2020,3,12364,478,1382,1989
Gujarat,Dahod,2021,3,7101,3578,1966,441
Gujarat,Dahod,2022,56,5436,2990,787,1532
Gujarat,Dahod,2023,20,6038,553,1146,1045
Gujarat,Dahod,2024,34,10205,2930,1648,1015
Gujarat,Dahod,2025,82,929,3571,1782,1061
Gujarat,Dang,2015,22,17528,2498,509,490
Gujarat,Dang,2016,13,6492,2936,963,451
Gujarat,Dang,2017,24,1368,772,1111,1530
Gujarat,Dang,2018,4,2215,2419,16,360
Gujarat,Dang,2019,16,9824,3707,22,63
Gujarat,Dang,2020,24,13195,4062,1368,1583
Gujarat,Dang,2021,56,2693,3273,1433,1651
Gujarat,Dang,2022,18,3679,3423,1970,1883
Gujarat,Dang,2023,93,13444,603,1571,1859
Gujarat,Dang,2024,20,7090,2717,44,395
Gujarat,Dang,2025,50,9917,2690,1365,1519
Gujarat,Devbhoomi Dwarka,2015,68,15447,3713,646,1593
Gujarat,Devbhoomi Dwarka,2016,30,12152,97,1195,976
Gujarat,Devbhoomi Dwarka,2017,45,17692,4551,1631,961
Gujarat,Devbhoomi Dwarka,2018,8,11331,4053,1021,1545
Gujarat,Devbhoomi Dwarka,2019,78,2756,4210,1465,670
Gujarat,Devbhoomi Dwarka,2020,46,18487,3998,1684,211
Gujarat,Devbhoomi Dwarka,2021,82,17495,2194,636,309
Gujarat,Devbhoomi Dwarka,2022,76,8324,3352,783,47
Gujarat,Devbhoomi Dwarka,2023,60,19659,1093,1661,1803
Gujarat,Devbhoomi Dwarka,2024,72,14802,3313,205,1124
Gujarat,Devbhoomi Dwarka,2025,99,11558,3501,479,1051
Gujarat,Gandhinagar,2015,66,4086,2024,1473,888
Gujarat,Gandhinagar,2016,5,8179,2267,1151,1892
Gujarat,Gandhinagar,2017,54,19067,2727,590,474
Gujarat,Gandhinagar,2018,87,14692,126,1146,377
Gujarat,Gandhinagar,2019,80,3505,3324,366,1774
Gujarat,Gandhinagar,2020,7,13207,3807,155,1842
Gujarat,Gandhinagar,2021,70,9278,4513,690,176
Gujarat,Gandhinagar,2022,57,19949,3289,734,285
Gujarat,Gandhinagar,2023,55,1146,2376,761,1786
Gujarat,Gandhinagar,2024,23,9472,2005,1893,713
Gujarat,Gandhinagar,2025,15,16450,626,1713,1857
Gujarat,Gir Somnath,2015,49,12165,1138,1901,1974
Gujarat,Gir Somnath,2016,17,18500,3923,1807,408
Gujarat,Gir Somnath,2017,55,3432,1420,1577,849
Gujarat,Gir Somnath,2018,98,6006,199,893,1931
Gujarat,Gir Somnath,2019,18,14127,1513,784,397
Gujarat,Gir Somnath,2020,47,4274,302,684,1429
Gujarat,Gir Somnath,2021,47,6143,355,68,1156
Gujarat,Gir Somnath,2022,98,534,1528,1350,1944
Gujarat,Gir Somnath,2023,61,6571,3588,573,1754
Gujarat,Gir Somnath,2024,65,7804,3736,1297,1113
Gujarat,Gir Somnath,2025,10,4510,1720,1920,1460
Gujarat,Jamnagar,2015,95,8884,4670,675,1581
Gujarat,Jamnagar,2016,86,9779,3976,1510,564
Gujarat,Jamnagar,2017,43,10652,4899,39,1235
Gujarat,Jamnagar,2018,98,6923,3296,1420,498
Gujarat,Jamnagar,2019,75,17665,1300,459,1629
Gujarat,Jamnagar,2020,98,4847,1194,144,1465
Gujarat,Jamnagar,2021,37,5814,4581,818,27
Gujarat,Jamnagar,2022,96,13146,4044,30,1761
Gujarat,Jamnagar,2023,45,912,4592,442,1140
Gujarat,Jamnagar,2024,34,5245,3159,1573,1624
Gujarat,Jamnagar,2025,16,3988,1496,255,135
Gujarat,Junagadh,2015,26,10073,813,924,172
Gujarat,Junagadh,2016,57,9169,2917,1649,1204
Gujarat,Junagadh,2017,44,2515,2934,958,1003
Gujarat,Junagadh,2018,26,6729,3890,427,855
Gujarat,Junagadh,2019,53,10306,3978,1915,665
Gujarat,Junagadh,2020,48,8688,248,1497,562
Gujarat,Junagadh,2021,71,4241,3743,1262,1372
Gujarat,Junagadh,2022,44,3580,2939,897,11
Gujarat,Junagadh,2023,46,10140,1939,1584,1956
Gujarat,Junagadh,2024,4,15945,4006,1739,471
Gujarat,Junagadh,2025,29,8638,225,1799,1324
Gujarat,Kheda,2015,6,8422,3640,161,405
Gujarat,Kheda,2016,98,3296,4896,877,113
Gujarat,Kheda,2017,53,8744,1012,190,1549
Gujarat,Kheda,2018,78,14864,4844,229,1717
Gujarat,Kheda,2019,29,2711,1946,338,994
Gujarat,Kheda,2020,9,12137,1894,375,175
Gujarat,Kheda,2021,13,17201,1065,923,912
Gujarat,Kheda,2022,40,9697,2954,94,512
Gujarat,Kheda,2023,88,531,1782,1214,753
Gujarat,Kheda,2024,14,12695,2559,1585,42
Gujarat,Kheda,2025,4,13533,4983,1353,1717
Gujarat,Kutch,2015,99,864,1244,1195,1343
Gujarat,Kutch,2016,68,4961,3103,39,1796
Gujarat,Kutch,2017,14,810,3380,852,143
Gujarat,Kutch,2018,60,14403,3461,40,1615
Gujarat,Kutch,2019,76,9525,2304,1688,218
Gujarat,Kutch,2020,47,3090,2651,1177,245
Gujarat,Kutch,2021,6,16370,2113,1650,1643
Gujarat,Kutch,2022,85,15784,1185,1691,775
Gujarat,Kutch,2023,98,8480,4861,1858,923
Gujarat,Kutch,2024,21,10931,4161,427,1276
Gujarat,Kutch,2025,21,3751,1877,1037,1008
Gujarat,Mahisagar,2015,98,14567,4238,498,785
Gujarat,Mahisagar,2016,58,13051,2639,152,1485
Gujarat,Mahisagar,2017,56,5785,1105,1742,460
Gujarat,Mahisagar,2018,83,5047,3215,1115,1765
Gujarat,Mahisagar,2019,83,15410,2289,1161,316
Gujarat,Mahisagar,2020,84,4524,4199,1406,399
Gujarat,Mahisagar,2021,75,2272,2147,589,236
Gujarat,Mahisagar,2022,55,9335,1800,1267,669
Gujarat,Mahisagar,2023,87,1378,4351,1917,1044
Gujarat,Mahisagar,2024,65,10627,4905,1562,582
Gujarat,Mahisagar,2025,53,15417,1399,1088,1932
Gujarat,Mehsana,2015,25,14507,205,1229,1065
Gujarat,Mehsana,2016,57,2247,2508,1810,284
Gujarat,Mehsana,2017,34,13674,331,837,1962
Gujarat,Mehsana,2018,41,6517,2498,1199,760
Gujarat,Mehsana,2019,86,16469,481,286,1588
Gujarat,Mehsana,2020,81,14288,748,65,1887
Gujarat,Mehsana,2021,50,10831,321,1942,307
Gujarat,Mehsana,2022,89,16290,2904,1571,844
Gujarat,Mehsana,2023,60,9788,3934,1966,258
Gujarat,Mehsana,2024,26,10940,2994,1703,968
Gujarat,Mehsana,2025,95,6180,1441,1111,1808
Gujarat,Morbi,2015,40,5502,1486,1111,1389
Gujarat,Morbi,2016,10,9003,4461,995,1724
Gujarat,Morbi,2017,62,8626,3419,716,1141
Gujarat,Morbi,2018,51,19795,1364,1667,1928
Gujarat,Morbi,2019,24,18888,3536,1102,678
Gujarat,Morbi,2020,61,18059,4670,1748,417
Gujarat,Morbi,2021,92,19327,1489,943,75
Gujarat,Morbi,2022,86,9084,1377,1506,1609
Gujarat,Morbi,2023,47,19797,299,791,293
Gujarat,Morbi,2024,11,9386,1000,1916,1657
Gujarat,Morbi,2025,12,17063,191,915,798
Gujarat,Narmada,2015,44,19773,481,1330,743
Gujarat,Narmada,2016,33,17907,1792,1653,1720
Gujarat,Narmada,2017,10,3007,4792,1535,614
Gujarat,Narmada,2018,38,9951,127,881,1453
Gujarat,Narmada,2019,11,19629,164,574,1592
Gujarat,Narmada,2020,100,5594,3324,113,1578
Gujarat,Narmada,2021,82,4555,3411,631,1094
Gujarat,Narmada,2022,31,17250,2176,444,985
Gujarat,Narmada,2023,57,3699,2861,1558,1204
Gujarat,Narmada,2024,66,18123,4129,486,62
Gujarat,Narmada,2025,82,6287,1749,878,1391
Gujarat,Navsari,2015,30,16639,1948,941,304
Gujarat,Navsari,2016,54,10015,2366,1855,644
Gujarat,Navsari,2017,29,18207,860,723,1257
Gujarat,Navsari,2018,93,8107,885,889,1508
Gujarat,Navsari,2019,18,8570,2963,94,1812
Gujarat,Navsari,2020,46,13564,4091,1847,144
Gujarat,Navsari,2021,40,502,2190,1228,747
Gujarat,Navsari,2022,5,1584,3710,1357,904
Gujarat,Navsari,2023,62,19855,2462,518,303
Gujarat,Navsari,2024,90,11173,1916,400,1067
Gujarat,Navsari,2025,91,16465,24,440,1372
Gujarat,Panchmahal,2015,38,16106,2730,175,1122
Gujarat,Panchmahal,2016,44,11654,4975,651,399
Gujarat,Panchmahal,2017,35,9738,149,1710,682
Gujarat,Panchmahal,2018,92,2136,541,1589,832
Gujarat,Panchmahal,2019,46,10415,1851,1778,96
Gujarat,Panchmahal,2020,8,19527,1163,175,1510
Gujarat,Panchmahal,2021,91,15973,2958,769,407
Gujarat,Panchmahal,2022,67,2146,4907,778,806
Gujarat,Panchmahal,2023,11,10332,3392,164,551
Gujarat,Panchmahal,2024,97,2007,461,886,1088
Gujarat,Panchmahal,2025,61,180,1872,1846,746
Gujarat,Patan,2015,37,17323,980,1271,93
Gujarat,Patan,2016,89,8071,2878,1066,166
Gujarat,Patan,2017,44,16226,1432,672,279
Gujarat,Patan,2018,52,2111,2135,1542,155
Gujarat,Patan,2019,100,17195,3561,294,1324
Gujarat,Patan,2020,91,16844,4318,1731,767
Gujarat,Patan,2021,1,8314,2211,151,200
Gujarat,Patan,2022,65,12184,2848,377,1301
Gujarat,Patan,2023,98,7303,105,1800,681
Gujarat,Patan,2024,64,6723,1563,298,385
Gujarat,Patan,2025,26,3087,837,189,1193
Gujarat,Porbandar,2015,59,17946,1827,1521,910
Gujarat,Porbandar,2016,3,1136,2008,1670,300
Gujarat,Porbandar,2017,83,6155,2915,1142,1905
Gujarat,Porbandar,2018,58,10937,4508,39,614
Gujarat,Porbandar,2019,46,6851,2757,786,423
Gujarat,Porbandar,2020,50,7785,4247,1846,1137
Gujarat,Porbandar,2021,73,7537,2205,916,528
Gujarat,Porbandar,2022,6,18755,3790,975,1690
Gujarat,Porbandar,2023,62,13139,4743,821,977
Gujarat,Porbandar,2024,2,4754,1743,1820,784
Gujarat,Porbandar,2025,92,8064,1398,357,1746
Gujarat,Rajkot,2015,61,10919,3056,1192,1752
Gujarat,Rajkot,2016,24,7110,3095,1804,1181
Gujarat,Rajkot,2017,70,3586,1693,564,177
Gujarat,Rajkot,2018,35,10692,2647,1249,1617
Gujarat,Rajkot,2019,59,13888,4073,31,1117
Gujarat,Rajkot,2020,23,3057,486,1856,557
Gujarat,Rajkot,2021,53,9283,3291,1809,964
Gujarat,Rajkot,2022,41,17021,3965,1655,252
Gujarat,Rajkot,2023,22,1231,3062,1655,1237
Gujarat,Rajkot,2024,16,19356,4288,1388,303
Gujarat,Rajkot,2025,76,17612,1255,1575,734
Gujarat,Sabarkantha,2015,23,3255,571,1758,1915
Gujarat,Sabarkantha,2016,28,4204,2666,1607,1309
