state,district,year,rainfall,groundwater_level,water_supply,irrigation_area,reservoir_capacity,water_quality,drinking_water_access
Assam,Sivasagar,2016,28.97,80.72,97.67,81.65,15.41,91.84,11.12
Chhattisgarh,Surajpur,2022,73.59,93.36,17.05,47.69,20.69,18.01,92.73
Kerala,Kottayam,2021,80.75,92.68,80.39,16.31,16.48,78.75,68.61
Madhya Pradesh,Bhind,2016,76.46,66.01,81.43,14.74,74.53,95.66,38.63
Chhattisgarh,Bijapur,2025,29.77,45.95,32.31,29.48,44.46,31.61,14.32
Mizoram,Hnahthial,2021,48.44,66.52,10.45,78.32,47.38,65.24,42.68
Odisha,Dhenkanal,2017,66.82,18.34,88.32,27.73,73.61,91.18,53.55
Maharashtra,Sindhudurg,2020,51.02,74.51,42.28,91.82,86.3,60.41,62.3
Manipur,Kangpokpi,2021,97.06,22.23,33.63,26.21,17.52,22.45,47.35
Bihar,Nawada,2015,77.63,72.0,81.07,39.33,30.71,79.17,77.86
Tripura,Unakoti,2015,78.4,26.98,61.22,77.66,79.11,81.38,25.29
Punjab,Gurdaspur,2023,39.61,31.19,96.12,38.14,41.93,37.94,99.1
Sikkim,Gyalshing,2022,74.83,27.63,72.24,44.73,84.34,32.36,57.25
Telangana,Wanaparthy,2023,71.4,21.68,34.47,76.47,73.39,40.89,70.92
Karnataka,Koppal,2017,38.85,38.51,24.47,50.9,21.83,46.09,46.45
Arunachal Pradesh,Namsai,2015,69.36,71.87,16.36,62.93,92.16,93.7,27.37
Punjab,Tarn Taran,2015,73.8,54.89,88.03,60.21,85.5,94.22,77.82
Maharashtra,Hingoli,2019,53.76,23.37,95.57,96.77,86.62,68.97,92.43
Madhya Pradesh,Tikamgarh,2023,24.47,15.71,93.24,79.11,19.64,63.21,12.6
Assam,West Karbi Anglong,2023,94.4,84.04,97.65,28.94,90.87,35.96,24.1
Kerala,Kozhikode,2019,37.97,97.71,40.03,20.92,83.03,65.1,27.25
Telangana,Mancherial,2021,42.38,84.57,90.83,36.1,19.27,45.8,44.71
Karnataka,Vijayapura,2019,32.06,90.85,24.47,82.72,62.99,31.7,65.5
Rajasthan,Ajmer,2025,90.17,62.33,93.28,29.75,48.28,21.58,88.77
West Bengal,Purba Bardhaman,2022,45.08,26.65,86.21,29.37,46.2,65.71,67.35
Uttar Pradesh,Etah,2024,24.53,86.36,99.8,50.47,25.08,34.25,50.38
Madhya Pradesh,Hoshangabad (Narmadapuram),2019,71.25,35.88,54.31,40.44,48.97,96.8,18.51
Karnataka,Vijayapura,2021,57.75,91.3,19.2,35.69,86.34,47.83,75.29
Chhattisgarh,Kondagaon,2018,11.69,46.75,34.56,73.43,25.01,76.0,75.55
Telangana,Nizamabad,2018,53.12,32.35,63.13,68.34,17.28,41.3,54.24
Gujarat,Kutch,2019,92.03,16.25,48.94,16.25,78.8,41.03,12.69
Maharashtra,Sangli,2025,23.11,67.06,99.43,16.79,46.05,54.49,14.18
Gujarat,Bhavnagar,2024,15.92,91.85,75.0,28.8,36.84,74.06,75.44
Madhya Pradesh,Rewa,2015,74.11,52.42,64.72,69.67,12.56,41.91,74.18
Madhya Pradesh,Seoni,2025,43.26,19.85,97.96,58.82,27.51,38.77,64.11
Assam,Sivasagar,2023,97.44,88.35,55.55,94.83,10.32,27.16,34.54
Uttar Pradesh,Gautam Buddha Nagar,2021,62.88,63.99,99.49,64.99,64.55,86.16,28.07
Arunachal Pradesh,West Kameng,2016,20.01,72.68,51.51,28.49,88.89,94.91,66.17
Tamil Nadu,Karur,2016,11.83,79.48,43.6,42.88,86.6,63.9,75.15
Jharkhand,Ranchi,2021,30.56,87.42,64.19,68.72,69.96,21.74,78.09
Nagaland,Phek,2016,15.62,18.35,55.72,17.8,30.13,48.41,88.61
West Bengal,Purba Bardhaman,2016,12.34,24.38,61.28,41.3,48.68,37.78,69.48
West Bengal,Purba Medinipur,2025,89.73,13.62,30.48,22.64,99.13,72.05,21.1
Punjab,Jalandhar,2024,81.83,26.39,61.97,11.52,61.49,92.24,55.98
Chhattisgarh,Raigarh,2016,81.59,57.42,85.2,89.21,98.89,27.96,56.68
Uttar Pradesh,Bahraich,2019,73.99,53.77,75.27,93.77,23.36,82.02,82.96
Madhya Pradesh,Morena,2017,75.8,57.43,26.54,54.7,39.55,79.89,31.7
Uttar Pradesh,Varanasi,2019,88.1,50.24,33.35,28.69,62.64,66.46,11.93
Assam,Hojai,2025,77.82,92.71,50.29,29.55,44.77,27.55,47.75
Andhra Pradesh,Visakhapatnam,2022,55.17,44.02,12.31,12.37,80.85,37.57,30.52
Tamil Nadu,Ariyalur,2019,35.73,64.48,37.2,54.95,50.36,43.83,64.6
Assam,Karbi Anglong,2019,23.9,65.42,50.16,84.15,23.1,64.73,21.29
Karnataka,Haveri,2025,86.17,18.31,35.11,51.63,18.73,78.69,90.79
Tamil Nadu,Kanchipuram,2025,24.22,59.45,73.23,16.63,78.33,49.49,46.19
Jharkhand,Hazaribagh,2018,18.95,36.04,96.49,96.68,66.89,32.7,83.71
Uttar Pradesh,Baghpat,2024,10.15,12.29,75.75,55.28,76.38,84.33,26.73
Kerala,Kottayam,2021,56.93,47.72,33.21,43.34,62.4,57.32,71.87
Punjab,Mansa,2019,22.85,72.43,77.9,27.84,25.5,36.41,82.12
West Bengal,Dakshin Dinajpur,2019,80.26,42.62,25.91,44.42,30.81,96.49,19.13
Arunachal Pradesh,Tirap,2022,95.35,85.15,69.26,24.27,93.34,81.08,94.0
Mizoram,Lawngtlai,2016,97.48,89.38,82.87,28.92,17.03,91.76,43.12
Himachal Pradesh,Solan,2023,32.37,32.67,36.77,22.39,64.43,77.5,64.26
Haryana,Sonipat,2016,17.75,33.27,86.36,86.74,18.55,65.37,24.64
Goa,South Goa,2023,93.19,79.46,81.37,88.99,11.3,40.39,26.25
Nagaland,Mon,2023,62.84,48.96,69.34,96.58,70.65,52.85,86.24
Maharashtra,Ahmednagar,2019,91.84,94.1,37.18,85.95,94.68,96.75,47.37
Uttarakhand,Dehradun,2019,58.3,58.24,22.73,71.15,60.63,29.83,51.86
Karnataka,Haveri,2019,18.57,76.83,38.66,52.17,44.28,71.23,15.0
Gujarat,Anand,2016,55.41,46.77,68.21,33.91,58.62,34.92,65.91
Telangana,Jagtial,2024,37.17,22.68,56.99,75.9,61.15,98.93,66.6
Madhya Pradesh,Dindori,2025,32.27,32.18,90.39,55.13,28.43,72.47,16.22
Tripura,South Tripura,2018,57.48,90.68,47.55,25.57,87.01,41.74,91.59
Madhya Pradesh,Ujjain,2024,80.56,67.09,70.63,99.48,46.97,33.15,12.32
Arunachal Pradesh,Lohit,2019,51.69,54.04,12.65,94.05,15.94,27.81,69.62
Odisha,Malkangiri,2019,46.46,53.1,84.85,48.43,43.7,50.66,90.49
Madhya Pradesh,Datia,2025,15.65,99.22,69.41,61.87,33.65,85.34,97.48
Arunachal Pradesh,Tirap,2015,53.72,16.88,50.23,18.91,99.51,70.81,67.14
Jharkhand,Simdega,2024,15.68,35.53,56.35,33.2,17.93,55.47,38.94
Tamil Nadu,Tirupathur,2024,61.4,92.26,12.19,78.34,32.74,33.18,36.18
Madhya Pradesh,Katni,2015,64.81,92.11,50.22,82.15,46.6,54.68,85.23
Rajasthan,Deeg,2023,19.17,74.08,26.59,77.75,56.74,55.49,21.82
Madhya Pradesh,Damoh,2020,52.43,40.26,18.74,79.89,89.38,91.93,78.55
Karnataka,Mysuru,2016,63.78,70.21,34.56,13.81,61.25,92.38,48.73
Telangana,Medchal-Malkajgiri,2024,51.69,64.58,42.1,20.97,71.35,32.0,61.9
West Bengal,Purba Bardhaman,2017,96.14,93.35,76.02,28.14,49.84,78.05,97.7
Uttarakhand,Rudraprayag,2018,72.44,70.51,47.23,83.03,64.1,52.89,38.11
Odisha,Mayurbhanj,2015,19.29,35.52,26.88,84.13,79.96,23.31,48.99
Andhra Pradesh,Palnadu,2024,52.46,68.39,74.68,21.49,36.55,27.41,72.2
Madhya Pradesh,Neemuch,2015,37.12,74.94,70.72,22.9,99.64,75.52,77.03
Rajasthan,Pali,2015,48.51,57.59,55.75,18.87,44.84,52.77,56.02
Karnataka,Kolar,2025,68.18,81.02,88.88,33.34,67.69,56.89,66.36
Telangana,Nalgonda,2024,33.78,93.75,62.16,94.01,13.4,34.7,45.86
Uttar Pradesh,Farrukhabad,2020,92.37,52.21,86.51,14.21,22.63,79.28,52.9
Uttar Pradesh,Ballia,2024,65.29,49.99,33.9,89.46,69.8,43.73,73.08
Rajasthan,Jalore,2018,16.14,70.55,18.96,93.84,86.85,70.43,94.24
Arunachal Pradesh,Longding,2018,85.83,83.73,82.11,57.91,90.52,36.08,27.11
Uttar Pradesh,Hathras,2018,70.55,48.63,20.58,63.16,97.34,42.53,10.47
Odisha,Kendujhar (Keonjhar),2025,58.2,37.28,31.45,32.39,18.18,19.23,50.86
Assam,Barpeta,2023,83.64,68.97,41.18,77.67,24.86,22.96,18.72
Manipur,Imphal West,2021,59.85,25.14,28.1,35.65,99.75,46.59,74.72
Madhya Pradesh,Shajapur,2019,16.89,85.26,17.77,61.34,92.37,97.57,65.63
Gujarat,Gandhinagar,2019,67.58,33.94,78.99,31.96,10.98,59.33,32.77
Uttar Pradesh,Mirzapur,2022,37.41,82.24,85.51,47.14,27.53,25.41,71.3
West Bengal,Kolkata,2017,54.15,13.14,76.3,78.61,52.17,64.82,36.0
Jharkhand,Khunti,2021,16.48,26.49,65.64,41.64,48.84,86.91,59.51
Maharashtra,Beed,2019,32.85,42.87,33.7,83.37,27.39,28.67,43.73
Meghalaya,West Garo Hills,2021,30.55,77.38,12.14,95.64,57.3,12.04,19.06
Haryana,Karnal,2016,52.03,60.71,18.41,77.21,68.22,85.09,41.25
Karnataka,Dakshina Kannada,2015,93.05,84.61,18.49,42.56,21.53,10.66,38.2
Bihar,Gaya,2016,99.99,61.07,69.25,95.45,60.33,48.42,54.06
Assam,Chirang,2025,69.79,67.73,83.19,49.82,23.08,52.1,17.04
Rajasthan,Beawar,2018,26.08,94.38,19.12,17.63,24.35,86.1,35.96
Kerala,Kollam,2024,75.63,89.69,40.39,41.16,22.9,55.42,66.02
Karnataka,Mysuru,2023,80.04,89.96,24.12,49.04,98.82,70.4,61.21
Uttar Pradesh,Fatehpur,2020,78.93,22.65,88.82,34.02,90.67,26.62,58.93
Tamil Nadu,Kanchipuram,2018,80.35,35.99,88.41,65.29,81.61,99.39,38.5
Maharashtra,Ahmednagar,2018,50.3,87.08,65.93,22.83,29.98,26.68,33.37
Rajasthan,Phalodi,2016,80.73,33.98,97.26,95.58,68.42,56.4,69.04
Bihar,Arwal,2017,49.23,81.78,40.97,85.85,53.04,97.68,14.37
Gujarat,Vadodara,2019,16.74,69.13,11.31,76.67,53.31,58.36,12.0
Gujarat,Ahmedabad,2020,28.1,18.88,28.44,27.81,46.59,44.85,21.94
Gujarat,Gandhinagar,2015,62.77,73.35,37.81,56.13,15.94,82.42,30.59
Chhattisgarh,Korba,2019,43.48,56.99,62.47,54.82,45.95,33.12,50.26
Odisha,Balasore,2015,53.32,38.73,87.16,12.45,83.88,75.52,65.14
Uttar Pradesh,Sant Kabir Nagar,2024,90.43,81.46,91.69,33.46,43.76,59.6,18.68
Manipur,Tamenglong,2018,60.18,37.69,22.73,52.48,84.96,26.28,21.29
Assam,Dibrugarh,2025,15.91,91.92,36.27,40.46,57.69,23.36,97.18
Arunachal Pradesh,Changlang,2017,33.65,18.14,77.75,93.24,20.76,75.23,45.6
Mizoram,Aizawl,2023,67.0,33.61,30.25,27.73,13.5,30.85,48.41
Chhattisgarh,Narayanpur,2023,72.16,31.03,95.96,91.71,36.9,84.26,60.72
Bihar,Siwan,2019,20.41,17.05,93.52,17.59,37.89,61.72,15.45
Madhya Pradesh,Sidhi,2015,71.95,72.34,60.17,49.62,31.88,57.19,54.18
Tripura,North Tripura,2020,61.98,42.01,73.9,24.15,43.15,91.42,74.34
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2016,43.4,40.93,76.54,25.11,79.92,53.59,13.1
Andhra Pradesh,West Godavari,2025,38.75,87.38,95.14,48.17,54.22,87.89,80.89
Maharashtra,Ratnagiri,2025,34.71,90.31,98.43,28.27,81.92,67.98,77.03
Odisha,Bhadrak,2023,99.78,26.55,67.34,53.61,98.51,10.58,51.89
Arunachal Pradesh,Lower Siang,2021,16.57,24.2,24.95,26.85,98.86,44.36,11.11
Tamil Nadu,Tiruchirappalli,2022,48.96,31.79,47.63,97.89,65.32,27.15,78.83
Madhya Pradesh,Barwani,2017,80.22,99.59,25.28,29.27,95.96,24.67,19.04
Nagaland,Noklak,2018,74.98,36.89,61.56,44.18,53.85,13.92,15.17
Chhattisgarh,Bijapur,2025,46.27,82.29,59.87,98.0,25.86,84.81,58.16
Madhya Pradesh,Singrauli,2022,72.6,59.58,44.55,40.86,87.64,65.35,50.44
Madhya Pradesh,Agar Malwa,2019,71.69,55.19,78.06,63.69,47.25,67.45,57.91
Punjab,Amritsar,2015,35.59,60.43,87.27,96.69,41.14,42.56,89.31
Gujarat,Botad,2023,55.36,71.2,31.05,25.28,75.24,76.19,17.23
Rajasthan,Beawar,2025,43.46,83.51,70.01,55.02,22.72,11.01,99.23
Chhattisgarh,Dhamtari,2022,47.94,82.13,11.21,61.64,58.23,22.75,94.52
Uttarakhand,Almora,2015,83.13,49.83,69.16,21.02,45.87,23.88,71.42
Mizoram,Kolasib,2022,88.12,36.32,43.55,44.86,92.85,81.97,62.3
Gujarat,Bhavnagar,2017,99.7,86.53,99.52,33.39,69.85,25.97,43.67
Himachal Pradesh,Kullu,2017,63.62,88.86,78.66,26.53,37.45,12.71,27.83
Madhya Pradesh,Harda,2023,53.66,21.66,51.58,25.4,85.34,68.84,91.92
Maharashtra,Hingoli,2023,46.91,21.02,30.0,37.34,71.42,90.87,50.02
Nagaland,Kohima,2025,92.41,53.2,22.52,30.87,13.8,55.96,40.95
West Bengal,Cooch Behar,2015,30.3,58.72,13.42,72.76,15.59,69.89,61.21
Punjab,Patiala,2024,89.45,48.21,73.56,84.96,65.31,73.36,65.85
Jharkhand,Dhanbad,2018,79.73,15.68,57.61,94.85,47.26,95.18,49.92
Rajasthan,Chittorgarh,2019,92.55,23.64,88.64,64.54,15.47,46.25,47.17
Arunachal Pradesh,Changlang,2020,88.16,45.77,42.88,78.68,91.11,30.4,26.33
Tamil Nadu,Coimbatore,2025,69.16,98.11,41.23,32.7,15.37,49.98,19.79
Maharashtra,Gadchiroli,2023,91.24,17.98,55.58,77.65,39.77,24.47,64.95
Maharashtra,Gadchiroli,2016,94.76,66.99,23.83,46.29,81.36,24.55,49.05
Maharashtra,Chandrapur,2020,29.3,52.56,28.34,84.6,36.92,39.85,34.2
Uttarakhand,Haridwar,2015,51.5,38.17,99.99,87.6,18.55,50.23,50.07
Nagaland,Mon,2019,31.47,48.26,58.89,65.72,12.05,47.64,25.74
Bihar,Saharsa,2020,58.32,72.78,32.27,82.32,96.5,87.33,36.56
Mizoram,Lunglei,2016,71.67,10.85,68.92,73.18,40.52,53.15,89.16
Madhya Pradesh,Hoshangabad (Narmadapuram),2020,84.2,72.94,65.28,21.85,29.83,73.1,58.61
Karnataka,Chitradurga,2022,33.01,15.14,17.26,46.47,61.39,56.1,50.63
Maharashtra,Ahmednagar,2025,62.11,82.03,34.59,35.32,23.53,32.68,37.65
Madhya Pradesh,Khargone,2025,74.98,88.98,14.31,60.6,68.89,13.78,61.34
West Bengal,Howrah,2021,64.18,63.58,34.5,14.93,62.24,78.24,36.99
Bihar,Gaya,2019,51.92,20.13,51.57,52.44,73.53,60.74,27.35
Haryana,Jind,2023,19.67,51.42,54.3,56.58,35.47,29.4,15.23
Haryana,Rewari,2017,19.58,94.26,49.64,85.12,13.57,18.08,31.07
Maharashtra,Dhule,2021,20.96,44.18,21.29,42.91,90.18,92.8,56.82
Rajasthan,Baran,2018,75.4,25.42,94.78,71.11,31.43,78.8,64.31
Uttar Pradesh,Firozabad,2024,63.99,66.57,81.63,52.86,88.22,44.48,18.48
Assam,Kamrup Metropolitan,2023,88.26,24.87,68.22,90.44,57.02,68.78,38.46
Nagaland,Wokha,2024,84.38,72.63,45.59,84.77,15.11,48.71,92.09
Madhya Pradesh,Morena,2016,46.19,67.07,68.87,59.98,75.71,81.84,73.84
Telangana,Jayashankar Bhupalpally,2022,53.21,33.57,25.59,29.31,84.84,24.28,51.78
Gujarat,Dang,2018,31.13,66.09,65.2,80.97,36.37,64.36,22.68
Bihar,Begusarai,2023,54.91,48.11,12.85,62.36,53.3,92.69,83.46
Assam,Darrang,2020,75.0,56.42,62.64,77.2,72.97,88.94,51.56
Arunachal Pradesh,West Siang,2018,35.61,39.77,72.74,49.51,68.62,14.08,29.47
Gujarat,Surendranagar,2023,63.07,59.6,48.82,95.25,25.3,64.56,12.69
Arunachal Pradesh,Upper Siang,2024,30.07,52.11,88.41,39.24,10.73,77.58,24.28
Meghalaya,South West Khasi Hills,2021,21.21,18.46,11.83,94.69,60.08,70.02,74.97
Chhattisgarh,Sarangarh-Bilaigarh,2018,86.24,83.02,20.51,23.91,12.21,86.63,17.23
Uttar Pradesh,Baghpat,2025,78.53,89.44,37.9,11.31,91.82,26.17,19.1
Tamil Nadu,Chengalpattu,2025,30.28,26.53,60.7,89.29,29.0,34.97,87.97
Manipur,Kakching,2018,89.69,67.56,21.56,14.42,52.52,44.69,39.78
Gujarat,Dang,2018,96.48,93.24,61.98,51.55,52.69,75.32,57.4
Haryana,Karnal,2016,35.36,19.57,30.3,16.52,42.29,20.48,59.3
West Bengal,Purba Bardhaman,2015,84.01,37.64,50.2,52.73,76.0,77.84,76.67
Uttarakhand,Bageshwar,2025,69.32,93.7,69.93,98.08,15.69,49.35,75.73
Uttar Pradesh,Varanasi,2020,98.13,33.0,85.51,66.15,78.63,32.5,54.49
Karnataka,Chikkamagaluru,2015,53.3,16.81,46.97,73.91,69.45,99.37,13.06
Himachal Pradesh,Shimla,2023,30.28,37.23,11.39,48.62,31.07,99.58,73.27
Uttarakhand,Tehri Garhwal,2024,78.55,20.98,95.46,23.36,63.4,63.73,50.41
West Bengal,Howrah,2021,38.36,28.8,88.92,78.51,41.66,72.25,73.0
Karnataka,Gadag,2022,51.86,95.2,88.63,36.07,25.56,22.93,17.21
Bihar,Araria,2024,36.0,17.96,58.96,86.24,27.96,20.42,73.09
Himachal Pradesh,Kullu,2022,94.98,73.21,46.34,58.92,67.23,72.79,56.01
Madhya Pradesh,Rewa,2021,82.84,46.61,15.65,97.72,51.29,55.51,25.74
Tamil Nadu,Vellore,2017,73.93,78.88,15.29,61.72,52.64,82.74,87.41
Maharashtra,Ratnagiri,2022,41.26,60.66,88.62,44.88,13.29,63.28,62.68
Odisha,Ganjam,2024,53.65,46.0,64.77,63.79,62.85,40.49,24.68
Tamil Nadu,Thanjavur,2016,27.31,52.71,21.95,76.02,15.06,76.68,35.86
Tamil Nadu,Chennai,2020,56.64,97.47,57.43,55.27,47.33,65.11,52.77
Nagaland,Wokha,2016,49.32,27.44,37.39,44.25,52.8,59.68,84.17
Uttar Pradesh,Baghpat,2018,52.76,79.84,24.39,53.7,49.81,29.8,43.81
Odisha,Kandhamal,2018,62.56,82.56,11.97,29.65,89.92,89.21,61.18
Bihar,Katihar,2023,48.56,75.1,52.34,70.79,40.84,53.9,89.31
Rajasthan,Alwar,2017,26.01,63.68,14.28,69.25,48.78,97.73,90.94
Arunachal Pradesh,Upper Subansiri,2021,70.59,80.68,55.8,70.77,61.62,13.95,63.84
Gujarat,Rajkot,2016,17.24,61.24,97.27,23.08,86.48,89.14,37.83
Chhattisgarh,Jashpur,2015,26.54,42.43,45.6,89.25,42.67,32.81,58.21
Karnataka,Hassan,2017,93.74,44.48,34.42,25.32,26.94,85.85,82.14
Rajasthan,Alwar,2023,23.35,41.83,26.62,28.02,10.93,94.4,72.75
Uttar Pradesh,Barabanki,2022,28.18,49.5,39.19,62.24,27.2,17.96,41.07
Madhya Pradesh,Ratlam,2019,76.63,10.71,40.38,60.74,13.93,68.36,29.18
Uttar Pradesh,Aligarh,2016,80.84,36.32,18.71,30.95,11.82,65.6,86.89
Assam,Udalguri,2016,51.08,79.7,93.37,67.92,68.42,72.95,78.56
Tamil Nadu,Sivaganga,2022,97.19,18.69,34.82,37.94,84.49,84.6,92.24
Chhattisgarh,Mungeli,2022,47.42,48.85,95.91,99.19,20.42,66.43,64.88
Chhattisgarh,Sakti,2024,52.45,97.89,51.6,97.21,73.47,87.91,35.32
Maharashtra,Solapur,2024,24.25,98.25,83.1,44.89,82.1,31.38,49.27
Assam,West Karbi Anglong,2022,52.67,25.3,50.15,56.15,23.55,80.3,51.76
Rajasthan,Shahpura,2023,93.62,14.24,70.24,70.75,27.51,59.2,80.63
Rajasthan,Bikaner,2020,13.25,94.07,24.7,40.14,78.51,96.85,85.92
Bihar,Vaishali,2016,51.5,79.28,72.48,61.27,33.4,26.32,81.81
Odisha,Angul,2016,93.59,90.5,60.28,88.6,87.37,30.01,86.86
Chhattisgarh,Raipur,2022,79.26,48.94,96.56,15.26,24.39,69.51,71.8
Chhattisgarh,Korea,2016,31.93,77.15,15.87,71.01,71.04,38.54,10.59
Bihar,Nawada,2021,46.87,85.4,21.49,39.71,19.63,89.2,78.62
Uttar Pradesh,Siddharthnagar,2022,24.4,37.73,43.24,77.46,97.61,45.38,98.91
Assam,Hojai,2025,78.03,74.13,46.48,38.01,26.93,74.67,99.07
Rajasthan,Balotra,2023,34.49,75.53,47.43,93.63,97.64,22.5,99.85
Tripura,Gomati,2016,58.5,17.44,38.18,29.46,50.33,76.18,10.4
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2024,56.93,68.77,46.62,54.34,68.12,26.91,81.2
Rajasthan,Tonk,2020,42.37,12.94,92.24,68.74,97.99,49.11,60.95
Madhya Pradesh,Rewa,2019,26.5,30.45,79.42,40.91,89.21,38.56,55.6
Madhya Pradesh,Khandwa,2017,59.79,89.41,79.69,33.24,30.89,15.05,30.35
Assam,Charaideo,2021,64.49,69.72,77.49,77.46,89.37,82.84,67.01
Chhattisgarh,Balrampur,2024,90.64,23.53,49.37,71.48,47.36,25.69,39.3
Tamil Nadu,Thoothukudi,2021,37.96,69.06,97.43,85.93,67.2,99.65,19.89
Meghalaya,West Garo Hills,2016,67.58,62.39,41.13,64.43,82.67,85.29,90.7
Odisha,Sonepur,2024,34.17,88.37,64.51,14.32,79.1,77.73,83.27
Tripura,Unakoti,2019,12.08,50.92,65.69,90.73,83.99,40.71,12.45
Karnataka,Bagalkot,2016,88.0,42.85,47.12,21.31,24.78,22.87,20.63
Haryana,Karnal,2017,58.97,72.35,90.97,90.05,27.25,68.5,98.15
Tamil Nadu,Ramanathapuram,2017,36.7,24.33,57.17,73.85,31.18,24.0,79.91
Karnataka,Koppal,2017,35.92,39.52,44.66,91.53,56.6,73.58,29.04
Rajasthan,Pratapgarh,2017,98.32,79.82,98.47,59.04,21.8,85.59,54.29
Assam,Hailakandi,2022,23.24,88.46,36.26,63.23,62.36,31.64,89.28
Kerala,Thrissur,2018,41.25,56.42,23.23,57.27,25.85,18.77,18.64
Maharashtra,Nandurbar,2024,33.62,42.68,87.03,89.38,85.7,41.77,86.76
Uttar Pradesh,Maharajganj,2017,90.86,91.42,95.39,24.13,62.86,48.86,43.66
Punjab,Kapurthala,2018,43.29,76.15,74.55,32.08,25.21,64.68,98.46
Himachal Pradesh,Chamba,2018,57.68,36.59,69.63,53.09,63.97,24.04,20.54
Punjab,Hoshiarpur,2018,12.13,72.27,34.5,10.99,23.95,48.7,68.29
Rajasthan,Tonk,2023,83.52,62.34,75.35,54.22,76.62,49.09,45.6
Rajasthan,Nagaur,2023,96.09,59.0,96.58,96.4,25.17,68.5,74.64
Punjab,Faridkot,2023,46.2,36.56,89.61,85.17,91.54,91.88,82.52
Kerala,Malappuram,2025,61.82,62.35,86.23,31.42,23.54,56.5,71.45
Andhra Pradesh,NTR,2016,61.89,60.77,58.21,86.2,47.45,35.99,50.66
Arunachal Pradesh,Upper Subansiri,2020,81.3,23.4,68.87,26.87,10.03,69.55,20.96
Nagaland,Mokokchung,2025,59.69,98.97,90.13,76.83,20.83,11.61,70.61
Uttar Pradesh,Prayagraj,2023,30.74,41.46,65.82,75.05,73.59,46.57,26.62
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,52.47,88.83,89.42,62.28,88.73,47.17,13.86
Rajasthan,Bharatpur,2018,18.37,17.49,59.67,11.78,29.47,59.68,75.47
Telangana,Nagarkurnool,2018,13.8,76.8,50.67,10.59,97.39,88.54,31.13
Gujarat,Patan,2022,68.9,37.82,43.7,59.2,54.41,83.15,27.69
Bihar,Nalanda,2016,20.26,13.67,99.2,39.65,94.86,10.27,75.49
Tamil Nadu,Karur,2023,33.83,94.35,63.88,85.66,22.7,26.97,71.93
Himachal Pradesh,Kangra,2019,24.79,92.33,74.86,31.3,63.16,58.65,16.67
Punjab,Amritsar,2020,70.24,56.05,75.49,10.13,20.49,14.92,87.89
Rajasthan,Sri Ganganagar,2020,25.16,86.87,53.92,43.32,80.18,32.3,82.95
Haryana,Kaithal,2015,72.31,11.99,33.54,61.2,51.74,14.45,69.96
Gujarat,Chhota Udepur,2015,24.42,49.83,54.14,82.74,19.13,17.77,32.68
Tamil Nadu,Chennai,2016,91.29,16.02,25.5,15.5,38.4,32.42,97.08
Madhya Pradesh,Burhanpur,2024,63.24,43.7,94.47,22.31,52.08,73.37,53.57
Karnataka,Kolar,2021,66.64,71.59,72.18,71.89,32.72,29.25,22.32
Tamil Nadu,Tiruchirappalli,2024,66.98,91.35,78.42,12.53,12.55,75.38,92.2
Goa,South Goa,2019,81.95,69.01,26.92,20.08,10.58,92.5,82.48
Uttar Pradesh,Baghpat,2019,57.51,64.06,37.52,46.05,56.29,20.54,35.02
Rajasthan,Barmer,2022,37.06,43.94,28.98,17.8,14.13,88.46,15.19
Arunachal Pradesh,Kamle,2022,62.92,88.08,68.78,29.46,92.58,14.74,29.63
Haryana,Yamunanagar,2020,25.11,59.48,33.96,62.52,52.51,78.83,31.52
Jharkhand,East Singhbhum,2019,40.79,67.37,31.69,46.89,66.6,23.5,95.76
Gujarat,Gandhinagar,2021,24.36,96.89,94.28,38.75,76.7,75.39,86.04
Punjab,Sangrur,2019,80.37,44.56,94.33,98.45,14.66,28.54,72.01
Arunachal Pradesh,Papum Pare,2021,95.39,12.67,29.74,60.97,63.72,49.97,10.93
Telangana,Vikarabad,2018,76.09,46.49,85.69,35.72,13.29,79.72,70.24
Manipur,Kamjong,2021,68.84,25.52,51.82,99.35,64.31,89.62,99.88
Punjab,Sangrur,2019,12.28,70.59,20.02,79.82,31.78,95.56,62.1
Madhya Pradesh,Sagar,2016,67.99,26.4,58.63,73.41,91.23,68.05,47.66
Bihar,Begusarai,2016,81.21,14.77,91.12,91.4,52.7,52.25,50.17
Assam,Goalpara,2016,21.05,75.39,66.93,32.29,93.27,50.31,57.21
Himachal Pradesh,Chamba,2016,41.19,43.32,33.23,22.4,79.14,86.44,36.68
Bihar,Lakhisarai,2024,17.24,17.54,43.78,44.22,26.4,22.71,58.89
Gujarat,Jamnagar,2025,96.31,41.39,67.07,58.73,31.3,64.49,78.11
Arunachal Pradesh,Tawang,2023,79.29,12.7,36.21,74.2,37.81,66.63,34.62
Uttarakhand,Haridwar,2016,46.89,37.46,51.09,53.37,26.85,16.88,23.42
Rajasthan,Jaipur,2021,89.01,52.75,69.44,91.53,79.48,12.93,18.75
Tamil Nadu,Thanjavur,2020,37.13,83.33,39.59,65.41,42.96,44.0,67.85
Madhya Pradesh,Dhar,2025,83.53,70.45,15.13,21.63,12.24,65.27,54.15
West Bengal,Kalimpong,2022,44.09,39.59,37.22,61.26,94.77,89.06,84.52
