state,district,year,hospital_beds,doctors,nurses,health_index,life_expectancy,vaccination_rate,disease_cases
Jharkhand,Garhwa,2015,72.46,41.79,68.31,84.73,61.53,36.76,88.51
Himachal Pradesh,Kullu,2021,42.07,64.56,46.94,12.41,77.85,87.56,31.73
West Bengal,Jalpaiguri,2015,86.19,18.88,59.15,87.09,34.77,99.1,94.39
Maharashtra,Buldhana,2015,74.61,59.61,93.02,14.92,96.48,13.36,94.16
Karnataka,Ballari,2022,38.12,51.24,27.06,87.46,84.19,65.77,82.68
Chhattisgarh,Bijapur,2016,77.06,62.03,71.71,54.73,45.69,50.85,33.11
Uttar Pradesh,Deoria,2018,31.85,54.45,48.65,90.41,37.08,54.0,91.66
Gujarat,Panchmahal,2018,40.73,59.99,83.5,13.1,49.44,51.31,35.25
Rajasthan,Banswara,2022,23.65,60.88,58.61,33.59,71.35,96.09,59.94
Madhya Pradesh,Neemuch,2020,14.96,93.64,94.36,74.21,12.5,88.56,59.6
Haryana,Gurugram,2017,29.52,18.13,23.16,95.35,74.87,76.65,48.78
Maharashtra,Gondia,2022,30.85,54.02,47.0,37.81,20.91,83.66,85.13
Telangana,Komaram Bheem Asifabad,2023,81.3,57.72,95.07,58.09,32.33,21.7,68.13
Uttar Pradesh,Muzaffarnagar,2019,18.75,77.98,36.03,11.37,75.32,12.67,45.15
Assam,Karimganj,2019,52.07,68.06,67.31,53.61,80.96,90.84,57.69
Assam,Dima Hasao,2024,66.31,39.32,37.27,83.35,39.62,82.81,29.91
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2023,15.99,89.02,58.67,41.18,54.46,25.35,31.17
Assam,Jorhat,2021,74.79,14.5,87.0,91.81,53.3,60.15,88.22
Andhra Pradesh,Anakapalli,2021,44.6,52.28,18.48,65.85,30.47,55.2,35.28
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,59.37,64.84,12.21,61.65,10.57,28.04,17.66
Andhra Pradesh,Nandyal,2021,28.87,92.11,48.68,31.09,91.05,73.17,38.0
West Bengal,Alipurduar,2015,55.71,62.53,83.82,25.01,47.25,63.75,70.05
Jharkhand,Palamu,2021,69.51,37.8,93.07,95.56,64.0,93.94,28.05
Uttar Pradesh,Balrampur,2019,67.04,48.37,21.85,69.56,40.15,30.68,50.1
Himachal Pradesh,Bilaspur,2017,35.8,35.8,45.97,13.75,59.83,15.55,22.62
Kerala,Alappuzha,2025,17.33,86.31,49.99,16.38,20.32,50.48,84.65
Assam,Karimganj,2019,68.14,75.37,28.62,59.13,90.49,35.91,22.5
Maharashtra,Palghar,2023,53.71,69.3,50.55,78.76,23.86,59.45,11.2
Uttar Pradesh,Mathura,2023,83.97,54.45,41.54,21.49,43.09,88.57,44.74
Chhattisgarh,Surajpur,2018,68.1,59.02,46.11,90.21,37.98,93.22,98.38
West Bengal,Purba Medinipur,2025,26.9,68.4,68.14,66.07,19.64,41.65,80.47
Tamil Nadu,Tiruvannamalai,2019,57.04,32.55,89.96,89.12,74.83,83.96,28.62
Gujarat,Dahod,2025,16.82,83.99,39.53,23.99,40.05,94.6,12.37
Bihar,Rohtas,2023,58.66,57.32,41.24,48.19,93.41,31.4,17.05
Odisha,Jharsuguda,2024,54.1,42.39,60.33,94.86,38.57,42.62,58.45
Madhya Pradesh,Betul,2022,17.65,19.68,77.82,36.97,13.82,70.85,27.52
Odisha,Puri,2017,15.95,12.43,80.18,28.51,60.09,49.47,84.61
Sikkim,Pakyong,2015,65.93,78.94,33.3,61.03,66.08,86.03,63.75
West Bengal,Paschim Bardhaman,2020,19.04,31.01,60.15,15.26,40.13,95.08,93.97
Tamil Nadu,Pudukkottai,2023,87.06,31.71,65.63,36.02,13.3,61.83,86.11
Uttar Pradesh,Jhansi,2023,48.39,89.9,88.31,52.25,61.37,72.02,94.39
Uttar Pradesh,Aligarh,2023,26.74,84.37,50.6,65.04,98.99,32.39,39.8
Jharkhand,Seraikela-Kharsawan,2020,55.77,95.61,22.56,36.88,26.2,96.34,39.81
Tripura,Dhalai,2023,34.21,47.6,40.06,67.49,99.63,65.64,62.03
Madhya Pradesh,Balaghat,2022,14.99,47.25,36.74,60.33,39.34,97.2,54.52
Maharashtra,Beed,2021,74.96,49.23,56.65,76.68,55.13,18.32,36.09
Nagaland,Mokokchung,2015,26.04,75.79,18.25,88.87,46.78,75.74,88.04
Arunachal Pradesh,East Siang,2020,17.94,44.58,55.44,71.48,27.7,37.63,77.89
Madhya Pradesh,Morena,2019,55.49,34.4,36.91,79.24,54.26,45.54,68.62
Gujarat,Mehsana,2016,73.19,57.06,65.32,10.8,33.28,37.78,10.44
Telangana,Nagarkurnool,2023,34.81,54.51,89.26,65.82,72.34,14.56,68.02
Assam,Barpeta,2019,47.63,63.99,93.31,74.11,29.26,58.58,30.71
Telangana,Vikarabad,2022,67.69,99.19,57.11,39.69,62.16,88.14,69.11
West Bengal,Jhargram,2023,13.25,63.81,27.12,53.93,37.89,20.29,64.76
Maharashtra,Mumbai City,2024,53.62,98.03,89.46,84.92,55.25,24.97,84.94
Haryana,Palwal,2023,36.58,90.6,56.69,78.03,80.29,95.7,81.31
Telangana,Medak,2016,89.4,46.14,66.03,78.84,60.15,31.81,69.15
Himachal Pradesh,Lahaul & Spiti,2024,98.26,72.01,21.23,80.95,20.16,88.61,32.71
Rajasthan,Deeg,2019,89.46,89.37,41.77,35.73,13.69,11.53,36.24
Uttar Pradesh,Gonda,2022,71.5,69.32,40.81,87.23,61.21,23.74,32.61
Arunachal Pradesh,Upper Subansiri,2021,46.58,48.3,36.83,57.23,21.84,52.11,88.09
Chhattisgarh,Raipur,2015,84.0,15.99,22.4,98.89,33.71,89.01,74.88
Uttar Pradesh,Agra,2017,90.55,42.6,50.14,89.7,85.93,87.09,14.94
Jharkhand,Ramgarh,2018,17.4,70.77,47.21,58.44,82.64,97.28,31.21
Karnataka,Haveri,2021,14.34,86.34,21.96,57.04,38.78,41.97,75.76
Odisha,Malkangiri,2019,12.69,59.17,44.92,39.56,89.71,46.39,28.38
Manipur,Ukhrul,2020,31.68,31.19,28.69,96.72,37.09,43.61,17.67
Assam,Cachar,2025,68.88,54.36,78.24,23.78,29.91,31.9,17.49
Uttar Pradesh,Gautam Buddha Nagar,2025,69.61,53.05,42.99,83.21,50.59,55.77,99.81
Uttarakhand,Pithoragarh,2023,21.54,26.75,91.17,22.23,27.36,23.52,28.01
West Bengal,South 24 Parganas,2018,98.24,52.77,18.02,41.57,20.01,12.26,90.46
Kerala,Palakkad,2015,68.44,40.76,32.44,93.45,28.37,20.96,26.75
Bihar,Darbhanga,2023,62.48,57.22,18.58,90.36,74.79,79.51,97.42
Nagaland,Wokha,2016,84.74,18.56,94.89,21.97,94.63,49.45,76.74
Kerala,Kozhikode,2021,28.9,46.74,99.23,31.73,30.1,31.24,67.16
West Bengal,Purulia,2023,74.78,46.84,44.03,77.16,26.35,93.97,33.34
Andhra Pradesh,Nandyal,2016,85.83,49.92,38.03,80.25,34.83,79.05,45.96
West Bengal,Paschim Medinipur,2022,17.62,34.15,86.95,64.34,34.47,21.82,96.27
Madhya Pradesh,Balaghat,2020,47.86,17.55,30.27,53.04,21.49,14.7,10.48
Karnataka,Dharwad,2022,77.25,11.78,45.16,78.88,20.39,31.58,97.0
Gujarat,Junagadh,2022,82.74,67.33,86.08,43.24,31.86,87.64,60.44
Madhya Pradesh,Shajapur,2019,92.86,20.02,55.42,43.64,58.25,65.25,72.31
Arunachal Pradesh,Lower Dibang Valley,2019,74.4,99.4,26.94,20.14,97.54,52.28,26.28
Punjab,Jalandhar,2017,20.09,91.14,51.54,28.37,95.88,43.0,53.94
Tripura,South Tripura,2021,79.33,11.09,16.35,29.52,49.21,20.26,36.06
Uttarakhand,Haridwar,2017,16.87,66.22,82.35,77.28,21.71,48.01,67.54
Chhattisgarh,Janjgir-Champa,2017,85.45,49.15,41.35,70.5,64.9,20.68,30.47
Karnataka,Vijayanagara,2022,13.74,44.62,85.65,70.97,90.94,16.51,47.34
Madhya Pradesh,Dhar,2015,42.54,96.05,61.29,92.89,32.25,58.65,38.57
Tamil Nadu,Salem,2023,50.27,86.26,21.9,43.36,98.15,13.05,66.22
Maharashtra,Thane,2023,19.54,32.48,87.09,34.59,94.3,12.63,40.65
Uttar Pradesh,Kannauj,2023,54.47,85.9,90.0,81.28,99.94,20.65,12.88
Tamil Nadu,Nagapattinam,2015,10.53,91.36,19.13,37.08,29.73,70.79,83.3
Jharkhand,Godda,2025,61.74,70.62,22.34,71.23,49.04,59.95,93.97
Uttar Pradesh,Banda,2021,95.6,61.12,95.7,57.32,83.78,34.51,80.2
Uttar Pradesh,Hathras,2020,10.46,44.3,58.24,34.92,59.97,38.42,87.65
Karnataka,Belagavi,2024,10.54,37.62,13.8,68.1,50.27,80.55,49.99
Andhra Pradesh,Anakapalli,2018,31.36,86.73,31.23,96.88,39.89,32.45,77.42
Bihar,Bhojpur,2021,17.94,42.64,29.41,56.57,89.25,79.44,84.03
Karnataka,Chitradurga,2022,37.82,12.67,64.43,24.12,42.41,99.37,12.1
Haryana,Palwal,2024,75.85,41.89,56.31,43.5,23.28,59.91,98.31
Odisha,Puri,2024,28.71,22.88,96.53,11.62,63.63,18.29,72.62
Bihar,Munger,2019,71.91,38.47,47.55,43.65,61.49,96.69,28.29
Maharashtra,Jalna,2015,72.41,18.34,40.91,80.79,45.8,11.46,51.84
Telangana,Yadadri Bhuvanagiri,2021,65.5,77.11,21.37,82.95,58.79,26.35,44.49
Madhya Pradesh,Alirajpur,2023,70.41,60.53,61.96,52.94,63.96,61.53,89.87
Arunachal Pradesh,Lepa Rada,2023,75.35,13.44,28.8,66.14,43.36,17.27,71.03
Rajasthan,Dungarpur,2022,67.02,33.53,20.78,54.57,27.93,20.78,65.33
Maharashtra,Pune,2019,74.92,20.71,27.28,93.56,45.71,43.98,91.65
Jharkhand,Latehar,2025,42.28,22.43,13.24,96.07,42.69,55.49,56.6
Rajasthan,Karauli,2024,91.65,20.81,75.67,18.64,29.43,72.56,54.55
Tamil Nadu,Chennai,2018,69.41,65.62,80.07,70.18,50.83,31.53,36.97
Assam,Darrang,2024,32.69,48.27,33.8,97.86,65.23,60.7,75.58
Telangana,Mulugu,2019,63.18,40.85,50.45,17.54,24.17,24.11,58.2
Mizoram,Champhai,2015,69.16,83.03,67.47,77.12,82.85,95.61,18.84
Madhya Pradesh,Barwani,2025,94.07,40.76,31.8,24.57,71.73,16.97,69.12
Tamil Nadu,Tirunelveli,2016,77.68,73.62,98.53,49.05,58.04,86.62,95.38
Rajasthan,Dungarpur,2017,18.18,58.83,31.59,41.86,14.79,93.67,44.36
West Bengal,Purba Bardhaman,2020,85.29,54.96,61.95,84.6,44.02,78.01,82.58
Haryana,Gurugram,2019,70.22,86.43,74.36,60.54,27.4,67.39,94.95
Andhra Pradesh,Guntur,2022,87.86,41.28,37.27,91.39,90.57,28.33,91.63
Manipur,Jiribam,2017,10.25,70.55,22.62,88.12,78.62,61.08,42.27
Assam,Tinsukia,2021,98.41,17.08,45.54,92.26,19.57,82.99,86.52
Madhya Pradesh,Mandla,2020,46.2,56.56,55.67,77.77,97.87,17.21,23.74
Uttar Pradesh,Shamli,2020,44.85,90.42,76.88,76.15,21.98,92.3,75.23
Uttar Pradesh,Gonda,2021,95.56,26.23,88.7,80.02,86.06,72.92,75.92
Uttar Pradesh,Hapur,2017,80.42,21.81,28.62,20.2,57.91,97.32,64.02
Chhattisgarh,Narayanpur,2023,49.88,53.37,39.2,49.16,76.1,60.33,37.74
Maharashtra,Chandrapur,2015,16.09,41.55,96.4,80.77,33.14,70.51,81.13
Telangana,Narayanpet,2024,47.19,43.8,30.2,44.23,77.59,57.85,47.77
Bihar,Khagaria,2021,27.91,77.06,22.54,72.01,83.21,93.91,68.53
Rajasthan,Neem Ka Thana,2025,96.69,11.7,14.39,45.17,14.81,53.82,21.76
Madhya Pradesh,Vidisha,2020,99.69,16.35,15.59,64.73,90.0,56.46,74.48
Rajasthan,Beawar,2020,57.01,43.13,22.76,54.89,22.99,95.94,18.06
Karnataka,Shivamogga,2017,36.79,28.44,17.44,82.19,68.55,41.3,73.14
Rajasthan,Ajmer,2017,33.83,59.76,95.86,80.3,71.54,77.18,73.48
Tamil Nadu,Ariyalur,2017,39.96,67.77,40.15,28.47,93.57,75.11,64.62
Uttar Pradesh,Kasganj,2017,76.51,60.78,69.96,63.01,94.37,44.05,80.77
Uttar Pradesh,Hathras,2025,21.12,82.39,94.68,16.63,74.58,52.1,21.08
Telangana,Narayanpet,2019,77.18,68.9,52.59,91.32,19.4,79.77,15.61
Tamil Nadu,Ranipet,2025,46.31,29.29,67.48,40.56,47.29,66.89,55.75
Assam,Dima Hasao,2021,19.0,40.8,23.39,12.91,49.11,59.62,16.72
Meghalaya,West Khasi Hills,2024,72.64,26.69,38.27,66.14,45.25,27.5,42.54
Arunachal Pradesh,Lower Subansiri,2015,87.57,27.34,48.07,72.69,44.72,26.34,92.88
Karnataka,Bengaluru Urban,2018,54.43,41.78,45.23,18.66,54.01,57.1,67.55
Kerala,Kottayam,2015,58.84,82.99,21.17,88.3,62.83,76.8,98.69
Odisha,Puri,2023,96.18,16.42,81.3,87.32,56.41,86.91,13.19
Uttar Pradesh,Sitapur,2021,51.35,38.07,13.2,72.76,27.92,98.1,17.13
West Bengal,Kolkata,2015,91.4,89.39,60.44,19.51,60.78,67.78,12.7
Kerala,Ernakulam,2023,55.14,91.16,24.69,28.93,36.03,31.97,13.54
Bihar,Aurangabad,2023,22.24,52.83,83.7,24.75,34.13,19.81,21.98
Karnataka,Kodagu,2020,80.3,26.54,93.0,30.33,13.45,68.39,72.93
Maharashtra,Ahmednagar,2018,88.35,39.9,98.6,63.87,57.0,16.32,75.8
Rajasthan,Kotputli-Behror,2016,83.29,32.83,91.27,25.13,53.18,22.96,64.05
Telangana,Mancherial,2024,24.53,42.83,12.12,36.97,23.72,35.91,87.71
Chhattisgarh,Narayanpur,2015,85.74,29.81,17.73,85.61,69.38,75.32,21.1
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2018,52.61,13.29,89.96,51.79,38.9,29.51,28.24
Uttar Pradesh,Maharajganj,2021,29.01,54.84,73.61,19.11,47.89,59.91,55.88
Uttar Pradesh,Farrukhabad,2020,25.88,96.66,88.43,73.09,68.02,43.91,77.36
Bihar,Buxar,2019,98.72,61.14,82.4,96.84,68.78,95.46,98.89
Arunachal Pradesh,Kamle,2019,97.19,64.58,94.35,68.23,47.17,80.29,64.01
Himachal Pradesh,Kinnaur,2019,70.12,43.03,22.26,77.48,15.7,60.11,58.16
Tripura,Sepahijala,2025,59.56,40.89,11.49,67.63,75.55,90.61,91.96
Tamil Nadu,Coimbatore,2024,42.27,41.2,12.57,48.25,97.52,50.23,74.31
Arunachal Pradesh,Siang,2018,15.4,56.01,89.86,51.09,91.02,42.03,85.77
Punjab,Tarn Taran,2017,27.84,29.14,59.99,28.88,43.74,36.21,26.19
Karnataka,Belagavi,2019,68.74,71.18,70.87,41.04,60.43,91.51,39.81
Madhya Pradesh,Dhar,2017,70.96,63.17,81.04,86.04,67.47,78.81,54.41
Uttar Pradesh,Auraiya,2021,40.85,64.65,89.04,47.55,12.46,82.53,47.42
Maharashtra,Yavatmal,2022,59.13,38.98,53.59,68.88,19.04,48.59,72.84
Andhra Pradesh,YSR Kadapa,2025,58.68,99.71,91.13,36.67,41.22,69.43,34.65
West Bengal,Jhargram,2025,18.9,26.27,93.72,28.55,92.76,27.09,22.44
Andhra Pradesh,Chittoor,2020,34.93,83.38,15.96,66.69,94.71,70.48,39.8
Uttarakhand,Rudraprayag,2018,19.16,94.36,39.95,54.47,19.43,63.68,13.83
Madhya Pradesh,Shivpuri,2022,68.16,41.52,49.64,70.45,70.16,86.26,44.61
Uttar Pradesh,Agra,2016,94.82,71.51,57.53,26.05,68.1,91.53,31.77
Bihar,Siwan,2015,21.91,67.4,64.79,41.25,78.76,34.67,87.74
Gujarat,Narmada,2019,44.38,50.65,62.74,87.77,72.84,38.61,35.23
Madhya Pradesh,Indore,2025,44.23,11.16,44.99,33.87,26.96,11.85,91.26
Tamil Nadu,Tiruvannamalai,2019,39.65,11.66,86.35,80.95,72.6,59.43,80.12
Bihar,Saharsa,2022,64.24,97.85,51.35,80.11,53.75,77.41,36.85
Rajasthan,Churu,2019,78.05,36.32,60.24,51.17,30.26,52.34,22.02
Andhra Pradesh,Krishna,2021,34.68,85.38,87.3,33.54,72.36,71.48,38.77
Maharashtra,Mumbai City,2017,91.75,77.64,26.7,65.54,33.4,65.49,65.96
Maharashtra,Latur,2021,50.33,22.99,57.71,88.86,59.35,83.33,89.73
Telangana,Komaram Bheem Asifabad,2015,69.64,58.06,72.15,30.95,41.53,36.06,78.41
Tamil Nadu,Tirupathur,2016,15.78,61.28,42.32,36.83,66.75,34.3,80.87
Chhattisgarh,Raipur,2021,40.0,25.38,18.26,29.7,18.73,32.96,73.33
Bihar,Madhubani,2021,38.75,87.24,81.47,43.94,67.39,49.68,42.51
Rajasthan,Sri Ganganagar,2015,58.97,67.6,52.71,88.75,23.43,16.49,54.65
Rajasthan,Jaipur,2024,56.8,66.53,35.1,24.31,85.36,54.12,81.17
Tamil Nadu,Dindigul,2022,68.36,65.69,85.72,57.58,47.14,67.59,49.53
Andhra Pradesh,Bapatla,2023,56.08,73.07,34.68,33.04,99.05,40.4,69.51
West Bengal,Nadia,2018,44.01,89.61,28.86,70.42,30.14,89.64,89.88
Rajasthan,Tonk,2021,47.75,63.07,87.14,56.87,16.41,13.8,82.27
Manipur,Noney,2022,82.17,67.64,76.09,99.12,79.76,80.62,64.39
Kerala,Kottayam,2025,42.32,59.51,75.57,23.72,83.26,63.03,14.28
Uttar Pradesh,Pilibhit,2020,83.66,81.19,26.18,61.32,35.64,56.85,89.04
Chhattisgarh,Kanker,2016,85.86,67.91,77.0,81.88,20.63,24.75,39.85
Arunachal Pradesh,West Siang,2020,13.59,42.87,54.14,14.04,49.44,86.0,50.06
Himachal Pradesh,Bilaspur,2023,98.3,28.42,80.65,52.28,42.96,41.61,25.42
Jharkhand,Chatra,2025,10.16,85.26,40.62,93.03,43.61,55.5,24.55
Odisha,Kalahandi,2021,96.82,56.05,44.55,80.29,32.56,54.98,86.16
West Bengal,Birbhum,2015,46.28,36.02,52.61,26.96,12.26,43.99,46.69
Karnataka,Chikkamagaluru,2021,80.14,85.72,92.71,36.06,47.06,53.84,54.98
Telangana,Rajanna Sircilla,2025,45.05,75.55,59.81,87.21,95.41,89.71,83.7
Meghalaya,South Garo Hills,2020,89.77,84.21,59.86,91.86,34.3,86.35,58.83
Sikkim,Soreng,2019,92.41,68.44,97.61,81.86,40.37,66.24,91.65
Haryana,Sonipat,2017,87.2,69.19,97.64,60.22,21.69,60.31,81.28
Rajasthan,Rajsamand,2025,10.28,68.09,88.74,26.34,25.28,48.92,16.89
Manipur,Ukhrul,2019,39.82,13.23,28.36,38.96,91.07,88.74,86.61
Tamil Nadu,Coimbatore,2022,37.45,89.58,54.3,77.43,64.89,28.4,46.81
Uttar Pradesh,Unnao,2021,32.39,97.06,80.45,54.5,86.62,35.41,94.88
Rajasthan,Sanchore,2024,30.81,23.96,58.14,98.32,37.78,95.54,65.92
Uttar Pradesh,Mirzapur,2022,81.36,43.51,49.41,44.97,33.11,55.1,52.05
Tamil Nadu,Erode,2016,76.08,39.88,15.72,57.77,41.95,24.17,70.17
Uttar Pradesh,Sambhal,2017,65.93,39.0,38.85,64.8,54.56,48.91,55.13
Chhattisgarh,Sarangarh-Bilaigarh,2017,73.71,87.45,42.07,91.44,25.66,71.12,96.6
Gujarat,Porbandar,2018,28.09,27.3,99.31,44.97,86.21,90.28,67.85
Andhra Pradesh,YSR Kadapa,2023,26.37,24.83,81.56,13.73,89.73,95.79,73.84
Uttar Pradesh,Sonbhadra,2015,59.03,36.9,63.65,64.01,73.99,64.96,65.53
Assam,Karbi Anglong,2019,46.03,64.77,69.84,37.76,21.32,39.3,59.46
Maharashtra,Yavatmal,2021,57.16,43.68,16.66,54.69,56.42,45.7,44.99
Uttarakhand,Chamoli,2017,99.83,31.92,16.03,57.44,68.81,30.21,11.47
Uttar Pradesh,Aligarh,2023,48.37,53.95,61.2,44.57,81.94,86.2,78.55
Andhra Pradesh,NTR,2023,27.56,68.36,15.09,59.61,50.36,99.61,67.96
Maharashtra,Mumbai City,2016,65.12,98.16,40.24,76.18,18.58,54.8,71.55
Nagaland,Kiphire,2024,67.08,44.5,51.64,21.59,70.59,61.55,74.19
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,33.96,40.82,82.09,72.34,20.91,35.28,36.29
Bihar,Patna,2023,89.27,88.45,89.45,62.64,31.05,97.85,21.61
Uttar Pradesh,Ghazipur,2024,49.51,60.71,30.38,47.67,29.78,87.17,63.74
Maharashtra,Jalna,2016,77.51,44.29,98.65,24.89,32.9,15.84,20.06
Telangana,Mahabubnagar,2021,23.22,29.45,64.11,74.1,69.18,13.29,73.01
Mizoram,Aizawl,2015,37.94,33.13,67.78,59.05,27.83,35.38,38.36
Maharashtra,Thane,2021,89.69,61.17,32.94,75.22,33.82,83.56,75.64
Madhya Pradesh,Ashoknagar,2023,35.14,11.78,70.06,46.73,82.67,76.21,23.82
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,21.21,40.62,53.33,78.19,79.24,76.16,92.91
Odisha,Malkangiri,2021,88.24,83.19,63.4,20.41,59.01,24.62,92.14
Chhattisgarh,Raipur,2015,17.72,69.48,33.24,89.69,71.47,46.7,69.88
Maharashtra,Parbhani,2025,18.75,26.31,40.8,88.64,95.47,13.53,63.75
Odisha,Jharsuguda,2021,86.84,47.65,30.68,64.23,52.05,70.45,12.16
Madhya Pradesh,Singrauli,2023,39.8,11.4,46.71,50.8,71.45,32.9,53.85
Uttarakhand,Udham Singh Nagar,2024,72.85,46.19,36.54,72.33,71.93,71.29,68.56
Telangana,Medak,2015,41.94,15.82,35.77,59.72,28.66,23.98,54.17
Karnataka,Vijayapura,2016,40.25,88.68,19.21,87.82,16.64,25.4,19.39
Kerala,Kottayam,2023,89.85,46.27,31.88,77.45,45.97,48.53,76.87
Uttar Pradesh,Hapur,2024,28.66,76.52,23.81,70.27,35.37,12.97,34.92
Tripura,Khowai,2024,57.54,28.64,24.5,66.07,33.47,79.9,96.55
Madhya Pradesh,Chhatarpur,2016,55.79,53.88,81.2,97.9,32.09,45.06,10.49
Kerala,Kozhikode,2023,60.03,60.41,40.11,29.01,96.85,52.94,98.96
Odisha,Ganjam,2023,42.82,12.78,89.73,99.94,13.83,33.78,11.54
Uttar Pradesh,Budaun,2017,22.5,71.8,81.53,40.37,64.32,12.39,16.3
Rajasthan,Dungarpur,2025,92.95,35.08,80.08,48.34,52.07,53.24,28.74
Arunachal Pradesh,West Siang,2018,44.29,65.14,23.84,40.62,84.53,84.44,11.7
Haryana,Panchkula,2021,39.8,19.6,96.55,80.01,35.44,21.77,81.15
Assam,Charaideo,2016,60.54,79.08,45.41,96.76,76.21,90.49,76.73
Karnataka,Chikkaballapur,2024,45.87,11.37,32.55,73.37,73.1,80.15,56.48
Meghalaya,South West Garo Hills,2025,87.19,91.22,66.18,42.02,18.52,41.2,94.39
Uttar Pradesh,Bulandshahr,2015,37.65,68.9,39.77,43.85,81.4,48.94,62.83
Himachal Pradesh,Lahaul & Spiti,2023,26.51,88.38,82.34,29.97,89.85,49.14,76.44
Madhya Pradesh,Panna,2025,77.77,27.06,49.9,42.81,75.99,92.87,55.38
West Bengal,Purulia,2015,36.58,77.13,67.69,60.4,66.31,55.89,15.42
Odisha,Boudh,2025,86.52,39.84,67.29,46.87,68.23,77.84,38.58
Andhra Pradesh,Nandyal,2025,39.45,47.25,47.92,86.8,70.01,78.15,12.59
Odisha,Kalahandi,2022,25.99,26.26,57.43,77.22,85.55,41.55,69.66
Chhattisgarh,Surguja,2020,46.96,45.65,39.69,43.39,93.28,86.14,21.18
Gujarat,Navsari,2023,67.41,83.87,51.27,31.39,55.72,36.29,20.62
West Bengal,Jalpaiguri,2019,60.84,13.4,64.03,22.99,28.21,40.79,65.01
Bihar,Purnia,2016,23.69,77.41,58.57,24.45,51.43,42.47,83.82
Meghalaya,West Garo Hills,2019,79.46,55.22,38.5,16.22,91.41,47.74,86.09
Telangana,Vikarabad,2017,50.83,91.29,64.52,29.58,34.34,10.6,78.28
Telangana,Hyderabad,2016,60.96,28.51,66.54,61.24,48.38,47.99,89.88
Uttar Pradesh,Ayodhya,2024,61.85,82.67,56.81,17.93,66.58,49.21,99.81
Arunachal Pradesh,Siang,2020,15.49,66.29,52.78,90.71,73.88,55.4,12.95
Rajasthan,Salumbar,2021,26.66,76.12,64.14,20.14,85.57,70.4,56.05
Madhya Pradesh,Vidisha,2020,98.59,22.61,13.22,30.62,34.99,42.14,38.34
Kerala,Malappuram,2015,87.45,23.67,85.41,58.82,32.91,42.31,91.66
Karnataka,Hassan,2016,53.73,28.21,35.66,40.27,58.46,26.92,92.19
Rajasthan,Jalore,2019,41.91,22.57,38.46,88.56,27.67,87.18,83.34
Tripura,Unakoti,2020,72.35,28.43,52.9,83.85,30.88,68.68,69.5
Arunachal Pradesh,East Siang,2016,85.04,98.98,41.53,91.18,63.55,82.3,29.17
Uttar Pradesh,Mahoba,2020,76.3,81.4,34.17,26.91,46.27,68.3,34.19
Nagaland,Dimapur,2017,30.8,67.3,91.65,26.32,95.97,60.33,68.28
Manipur,Noney,2015,61.55,97.74,52.77,66.79,81.05,80.24,93.19
Rajasthan,Churu,2021,70.38,78.89,91.77,97.55,87.0,83.08,12.55
Andhra Pradesh,Kakinada,2023,96.18,65.29,93.49,66.89,15.92,19.75,22.17
Madhya Pradesh,Anuppur,2023,53.59,56.44,38.7,84.05,93.8,83.01,47.56
Telangana,Sangareddy,2019,59.01,48.55,93.2,26.32,96.97,87.1,98.42
Bihar,Kishanganj,2022,98.35,61.89,85.31,31.24,58.04,45.47,75.16
Assam,Dhemaji,2025,73.54,14.99,32.93,83.46,27.53,70.27,56.31
Odisha,Khordha,2016,64.92,50.09,11.28,66.69,68.73,90.04,35.43
Odisha,Boudh,2023,11.63,55.6,61.44,47.28,56.26,22.45,46.8
Assam,Hojai,2021,71.48,44.83,65.46,28.83,40.93,89.53,34.64
West Bengal,Paschim Bardhaman,2025,50.92,39.61,80.43,96.36,49.12,85.18,43.36
Rajasthan,Anupgarh,2025,95.6,70.18,31.42,38.99,88.74,33.7,97.94
Chhattisgarh,Kanker,2015,37.9,68.68,45.73,34.88,65.38,23.27,33.7
Tamil Nadu,Tiruchirappalli,2025,56.46,39.21,56.5,82.37,83.38,77.41,49.7
Andhra Pradesh,Sri Sathya Sai,2017,55.33,52.87,49.35,79.57,79.16,17.96,62.69
Madhya Pradesh,Datia,2017,76.78,81.29,39.61,53.68,96.31,87.03,58.0
Telangana,Nagarkurnool,2020,50.4,88.25,77.4,62.42,65.55,21.69,51.91
Andhra Pradesh,Parvathipuram Manyam,2020,22.26,77.6,40.87,63.03,73.18,65.33,12.81
Karnataka,Koppal,2019,53.1,60.77,50.32,13.99,24.7,19.28,88.05
Uttar Pradesh,Bahraich,2016,43.01,91.17,49.02,68.67,82.22,62.74,58.34
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,46.7,85.6,50.03,90.4,29.15,56.71,77.8
Jharkhand,Godda,2021,52.73,53.72,68.13,51.76,25.01,44.0,24.19
Uttar Pradesh,Ayodhya,2023,35.64,62.61,40.06,44.72,21.36,19.53,40.88
Tamil Nadu,Cuddalore,2015,31.45,88.85,12.98,46.57,47.09,75.79,52.5
Telangana,Nalgonda,2021,82.19,41.85,67.6,94.87,98.06,89.81,14.21
