state,district,year,malnutrition_rate,undernourishment,child_stunting,child_wasting,vitamin_deficiency,obesity_rate,nutrition_programs
Tamil Nadu,Namakkal,2024,86.99,28.46,74.84,33.21,21.17,31.35,80.7
Odisha,Koraput,2018,22.7,39.43,72.58,79.44,50.36,56.86,63.89
Meghalaya,West Jaintia Hills,2023,55.37,37.14,90.38,14.9,95.26,19.25,68.17
Rajasthan,Jodhpur,2021,65.94,62.56,58.93,81.12,35.11,36.51,92.09
Uttar Pradesh,Ghazipur,2023,75.95,40.25,10.36,21.38,22.02,36.69,47.27
Uttar Pradesh,Ghaziabad,2018,15.1,92.62,40.23,50.19,13.05,25.45,31.17
Tamil Nadu,Vellore,2021,17.1,41.88,65.06,45.34,45.54,84.88,89.24
Telangana,Nizamabad,2016,79.27,93.24,85.39,25.4,29.7,54.53,41.51
Telangana,Medak,2025,87.81,12.7,46.11,82.88,71.38,83.55,83.67
Uttar Pradesh,Azamgarh,2017,52.32,36.64,18.29,30.69,59.29,68.39,27.77
Assam,South Salmara-Mankachar,2018,54.52,39.34,22.66,77.56,72.73,14.91,61.14
Maharashtra,Raigad,2023,98.57,87.99,56.54,17.11,76.77,22.29,17.17
Uttar Pradesh,Siddharthnagar,2016,74.9,38.03,90.69,57.38,27.72,14.14,87.33
Uttarakhand,Haridwar,2023,62.69,72.2,18.64,17.59,14.83,31.15,67.43
Tripura,Gomati,2023,31.23,45.41,19.36,10.92,34.95,35.77,38.62
Punjab,Hoshiarpur,2016,42.72,63.44,33.73,99.79,87.0,59.39,63.98
Madhya Pradesh,Sheopur,2018,89.16,95.62,76.6,88.22,54.94,42.59,96.38
Chhattisgarh,Dantewada,2024,79.46,55.93,62.35,28.61,72.58,18.16,48.27
Tamil Nadu,Kanchipuram,2019,50.33,69.74,36.25,12.35,48.8,51.5,47.56
Tamil Nadu,Perambalur,2023,37.52,71.46,24.48,39.4,78.8,93.16,91.36
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,35.56,81.52,85.23,53.54,72.09,54.38,60.06
Jharkhand,Hazaribagh,2015,47.76,44.96,74.99,17.95,46.77,21.98,58.67
Bihar,Banka,2015,77.74,54.57,41.15,11.88,41.06,11.46,77.47
Maharashtra,Satara,2024,28.24,62.45,47.02,75.06,13.68,88.52,67.99
Bihar,Bhojpur,2021,32.18,29.96,74.97,77.83,92.83,98.42,13.51
Madhya Pradesh,Burhanpur,2020,96.7,22.77,77.31,18.7,45.48,18.35,51.63
Uttar Pradesh,Basti,2019,24.39,51.98,52.61,11.16,94.34,97.55,75.88
Rajasthan,Phalodi,2018,57.46,44.36,61.55,43.89,68.33,92.95,85.88
Telangana,Ranga Reddy,2020,18.48,83.09,54.25,21.58,73.31,44.84,41.01
Uttarakhand,Tehri Garhwal,2024,62.51,33.48,76.7,37.24,77.37,41.69,81.8
Rajasthan,Jaipur,2020,83.96,69.85,96.43,54.76,12.41,96.58,39.96
Karnataka,Tumakuru,2017,70.45,18.52,97.65,75.85,10.15,42.7,39.01
Andhra Pradesh,Visakhapatnam,2022,36.27,79.89,63.29,54.58,35.73,98.07,17.29
Kerala,Idukki,2016,27.87,81.47,60.52,79.03,37.57,44.68,67.83
West Bengal,Paschim Bardhaman,2019,58.33,75.88,24.28,63.56,43.2,51.27,77.18
Maharashtra,Chandrapur,2020,94.44,10.24,73.76,61.57,21.61,95.65,31.28
Maharashtra,Ratnagiri,2020,12.86,53.85,12.14,89.26,67.76,75.36,50.44
Sikkim,Gyalshing,2023,83.7,70.59,28.54,78.59,84.3,29.24,42.89
Madhya Pradesh,Ashoknagar,2021,43.26,79.37,35.61,55.6,72.17,70.88,93.64
Arunachal Pradesh,East Kameng,2024,65.22,78.07,85.59,78.99,83.17,56.39,10.84
Assam,Bongaigaon,2024,69.39,15.52,78.45,12.61,33.41,87.55,68.57
Andhra Pradesh,Krishna,2022,56.99,41.96,50.5,92.78,87.83,25.15,18.36
Kerala,Kasaragod,2018,88.22,91.06,81.05,20.35,68.29,70.07,83.62
Punjab,Sangrur,2016,77.89,44.28,83.68,78.13,43.64,13.41,53.95
Madhya Pradesh,Vidisha,2024,69.42,51.15,54.89,47.5,77.73,97.89,74.16
Chhattisgarh,Surguja,2022,20.55,45.55,14.58,50.82,77.73,73.95,74.76
Tamil Nadu,Tiruppur,2021,23.42,21.5,49.55,27.8,43.0,29.76,35.57
Tamil Nadu,Thoothukudi,2018,26.87,40.41,88.42,72.39,74.69,56.92,36.1
Maharashtra,Raigad,2024,52.24,57.34,72.41,34.26,35.27,32.99,69.59
Assam,Chirang,2025,81.08,35.53,40.63,10.88,85.94,68.4,97.38
Assam,Kamrup Metropolitan,2019,65.43,91.03,29.13,56.44,84.78,36.29,87.36
Rajasthan,Pali,2021,69.5,54.61,10.67,67.51,59.6,12.6,34.01
Punjab,Hoshiarpur,2021,32.4,69.07,87.38,64.56,52.36,56.87,55.54
Madhya Pradesh,Sidhi,2021,18.98,77.98,30.66,58.83,78.35,89.93,63.91
West Bengal,Dakshin Dinajpur,2020,14.25,19.59,77.03,43.74,51.02,71.39,96.02
Gujarat,Surendranagar,2025,96.48,64.65,92.0,64.41,93.92,15.2,11.59
Haryana,Nuh,2025,66.56,98.4,61.68,80.4,79.6,23.32,55.93
Uttar Pradesh,Meerut,2024,18.71,46.37,16.4,19.5,13.64,75.48,35.17
Madhya Pradesh,Niwari,2015,62.25,14.95,75.34,81.87,53.22,11.56,22.27
Punjab,Ferozepur,2017,14.93,96.09,30.85,17.54,40.33,87.32,57.06
Gujarat,Vadodara,2020,68.95,34.57,39.97,56.87,90.36,74.84,67.43
Madhya Pradesh,Ujjain,2015,75.26,99.72,36.36,65.46,13.93,30.44,89.9
Odisha,Koraput,2022,96.6,54.77,70.81,86.0,89.53,15.59,84.89
Tamil Nadu,Tenkasi,2023,26.79,23.29,47.49,74.52,89.04,70.58,76.86
Andhra Pradesh,Annamayya,2025,59.86,90.26,67.69,51.66,88.72,12.49,18.6
Bihar,Araria,2018,79.2,60.13,23.41,82.07,80.73,18.96,42.05
West Bengal,Jhargram,2017,58.33,13.16,27.29,43.81,53.9,96.78,97.21
Jharkhand,Jamtara,2020,49.24,83.75,18.62,75.76,76.53,67.31,72.93
Jharkhand,East Singhbhum,2019,71.84,22.6,23.9,64.2,32.47,93.87,55.52
Karnataka,Kolar,2021,16.41,50.32,71.62,26.99,85.87,52.59,37.37
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2017,27.01,76.75,14.93,64.77,99.27,30.24,92.37
Manipur,Kamjong,2025,83.99,35.09,10.9,70.12,33.12,53.32,88.69
Arunachal Pradesh,Upper Subansiri,2021,65.22,60.66,93.01,67.7,88.28,59.21,82.63
Rajasthan,Churu,2020,81.54,70.77,95.16,90.21,46.6,48.63,53.79
Tamil Nadu,Virudhunagar,2016,73.49,85.21,86.99,32.23,47.55,91.38,15.53
Arunachal Pradesh,Namsai,2021,61.51,45.94,30.58,83.93,29.11,34.86,73.62
Tamil Nadu,Nagapattinam,2021,49.6,16.53,14.44,57.33,42.86,26.46,30.38
Uttar Pradesh,Sonbhadra,2019,46.14,95.3,68.38,51.02,55.97,23.96,38.15
Uttar Pradesh,Bahraich,2022,75.68,51.45,78.59,44.86,40.1,50.84,73.47
Karnataka,Ramanagara,2016,96.71,20.74,74.81,84.07,89.31,21.18,67.2
Rajasthan,Neem Ka Thana,2025,45.42,69.76,76.74,48.29,89.11,89.88,12.27
Manipur,Pherzawl,2024,90.65,39.31,78.64,55.84,44.05,44.67,70.98
Rajasthan,Sikar,2015,73.36,30.75,40.01,92.32,42.3,95.43,59.88
Maharashtra,Sangli,2025,78.35,30.73,71.62,29.69,77.94,87.35,38.17
Chhattisgarh,Mungeli,2015,15.18,46.7,78.86,40.52,45.86,88.03,66.59
Nagaland,Mokokchung,2025,90.32,33.0,47.68,37.13,79.86,97.68,71.81
Uttar Pradesh,Bhadohi,2020,72.99,79.43,26.45,28.69,74.47,24.7,21.24
Gujarat,Mehsana,2015,70.07,63.31,95.35,11.36,34.62,48.03,24.56
Uttar Pradesh,Agra,2015,68.86,16.31,94.82,63.51,22.9,54.09,35.81
Telangana,Yadadri Bhuvanagiri,2022,71.59,53.54,24.27,49.41,36.13,97.66,93.76
Himachal Pradesh,Una,2016,88.59,53.96,14.43,63.98,43.03,39.08,40.61
Uttar Pradesh,Hardoi,2017,71.58,74.43,22.37,11.59,97.57,97.51,60.87
Haryana,Hisar,2021,17.29,47.98,71.11,82.51,11.32,47.66,40.97
Telangana,Wanaparthy,2015,78.98,62.54,42.14,64.24,75.99,82.18,55.25
Nagaland,Tuensang,2018,91.54,60.82,88.62,45.15,26.14,76.33,63.87
Telangana,Warangal,2015,83.07,22.63,95.96,47.7,48.2,43.86,35.46
Rajasthan,Beawar,2023,11.99,24.63,46.8,96.66,89.86,13.78,88.81
Telangana,Khammam,2017,44.27,14.35,49.77,90.58,26.96,29.73,87.17
Chhattisgarh,Janjgir-Champa,2018,73.64,68.12,74.38,77.6,73.57,38.66,20.71
Kerala,Thrissur,2020,43.72,91.45,33.96,43.41,14.59,30.84,30.68
Uttarakhand,Udham Singh Nagar,2017,98.71,54.27,58.57,66.16,35.32,92.1,36.98
West Bengal,Alipurduar,2025,48.23,53.61,73.21,39.28,97.78,42.75,76.95
Jharkhand,Pakur,2018,10.19,32.85,43.28,86.9,56.45,60.82,31.01
Karnataka,Uttara Kannada,2018,58.4,35.27,44.84,12.02,97.74,16.64,54.99
Punjab,Moga,2024,59.01,67.53,98.16,35.66,84.22,73.71,73.15
Tamil Nadu,Ranipet,2020,62.89,78.14,56.91,12.95,54.19,36.54,54.9
Karnataka,Yadgir,2025,37.58,92.58,34.3,48.87,95.71,53.83,14.39
Kerala,Ernakulam,2024,29.94,23.57,78.79,95.63,23.07,72.23,34.85
Odisha,Sambalpur,2015,91.44,32.16,44.07,58.88,50.33,46.63,20.84
Punjab,Sri Muktsar Sahib,2022,24.1,76.7,41.02,96.58,41.86,29.13,99.52
Uttar Pradesh,Mau,2017,38.01,39.3,81.29,40.24,42.88,81.0,19.38
Nagaland,Dimapur,2021,70.92,68.99,56.29,33.02,63.04,95.18,68.53
Uttar Pradesh,Mathura,2019,45.16,84.33,22.82,61.59,76.45,51.86,45.76
Tripura,South Tripura,2021,51.9,93.21,22.72,64.94,85.34,13.1,21.4
Rajasthan,Jaisalmer,2015,62.36,41.67,71.79,97.72,85.49,19.43,63.33
Jharkhand,Chatra,2020,36.8,61.84,99.23,76.85,85.97,28.55,51.48
Karnataka,Uttara Kannada,2021,92.43,67.54,69.12,32.04,85.52,66.48,73.47
Andhra Pradesh,Palnadu,2016,20.96,77.41,46.17,76.05,80.04,80.34,87.66
Uttar Pradesh,Firozabad,2022,77.18,48.94,37.33,20.4,52.29,22.08,67.05
Tamil Nadu,Perambalur,2020,75.86,97.33,43.25,39.87,79.81,42.84,19.9
Madhya Pradesh,Sidhi,2018,87.21,20.25,59.17,13.79,79.18,81.93,27.76
Odisha,Khordha,2016,76.1,91.46,43.38,30.83,34.6,57.48,66.44
Rajasthan,Didwana-Kuchaman,2024,33.38,27.62,63.64,21.71,18.92,79.32,72.49
Jharkhand,Godda,2016,51.09,38.76,44.86,73.85,92.44,62.97,95.84
Karnataka,Ballari,2016,57.94,62.74,36.73,44.38,25.12,67.09,36.17
West Bengal,Nadia,2020,57.65,33.59,26.11,87.6,35.81,14.89,48.87
Uttarakhand,Pauri Garhwal,2015,13.79,67.39,26.51,26.48,34.11,65.29,10.85
Madhya Pradesh,Sagar,2025,84.1,21.29,94.98,68.24,41.52,19.47,31.75
Gujarat,Sabarkantha,2021,53.58,57.84,39.57,26.12,29.74,61.66,79.58
West Bengal,Hooghly,2015,72.15,28.89,74.04,18.29,43.65,85.55,89.86
Maharashtra,Chandrapur,2018,45.91,92.88,30.09,35.68,67.59,38.19,85.6
Uttar Pradesh,Ayodhya,2021,27.09,84.66,74.78,89.36,32.13,42.22,66.33
Uttar Pradesh,Agra,2016,96.89,97.75,62.58,26.9,87.9,21.28,79.19
Arunachal Pradesh,Kra Daadi,2017,66.39,58.07,35.26,11.39,34.9,14.83,26.29
Uttar Pradesh,Mirzapur,2025,91.42,10.6,30.14,97.16,92.93,38.21,57.55
Uttar Pradesh,Hapur,2015,42.04,64.7,37.31,74.52,24.76,18.98,76.21
Maharashtra,Washim,2023,10.14,86.34,54.75,36.44,21.2,49.54,53.31
Gujarat,Jamnagar,2018,43.88,18.45,98.28,74.45,41.84,76.97,89.13
Uttar Pradesh,Basti,2020,44.2,61.09,88.38,28.6,10.13,46.4,22.08
Uttarakhand,Uttarkashi,2019,47.75,77.55,31.2,46.38,31.26,93.22,94.18
Maharashtra,Satara,2023,56.97,36.44,59.16,76.47,59.64,37.72,16.37
Punjab,Patiala,2018,50.77,80.64,83.56,41.53,24.7,56.71,62.91
West Bengal,Nadia,2018,82.66,71.26,69.3,31.94,21.41,75.87,61.39
Arunachal Pradesh,Lower Siang,2021,46.58,48.74,98.53,95.08,71.75,52.29,38.29
Assam,Kokrajhar,2016,83.2,29.63,45.07,95.44,54.86,52.48,78.08
Arunachal Pradesh,Upper Siang,2015,32.77,39.41,28.57,47.55,84.72,96.15,39.11
Telangana,Nirmal,2016,66.8,43.57,89.37,93.68,49.42,81.38,27.09
Chhattisgarh,Mungeli,2024,61.54,24.22,77.75,62.21,60.79,57.58,84.86
Karnataka,Bidar,2015,64.76,88.76,49.79,41.94,62.2,74.15,45.76
Uttar Pradesh,Mathura,2016,94.32,63.94,65.05,47.65,45.42,70.96,33.44
Haryana,Ambala,2018,66.34,42.4,34.4,76.09,94.64,20.36,14.06
Haryana,Jind,2019,20.11,81.23,90.29,28.38,48.05,37.53,55.52
Telangana,Yadadri Bhuvanagiri,2020,38.05,44.1,45.84,76.82,22.47,69.56,14.97
Tamil Nadu,Thiruvarur,2024,73.6,27.32,40.8,28.96,42.02,63.34,92.11
Haryana,Fatehabad,2021,71.6,29.35,23.04,71.53,60.33,34.49,73.05
Jharkhand,East Singhbhum,2023,25.12,56.36,84.8,22.07,92.39,54.47,14.7
Madhya Pradesh,Maihar,2025,47.06,84.97,28.39,66.41,47.72,77.1,77.67
Jharkhand,Ranchi,2020,74.97,18.18,97.95,88.08,34.11,54.2,73.82
Assam,Goalpara,2017,36.67,62.58,29.23,54.84,79.57,44.15,14.67
Bihar,Gaya,2020,29.87,13.81,42.08,77.43,48.11,19.38,26.62
Bihar,Patna,2017,88.67,13.41,57.32,42.34,77.45,44.04,90.63
Gujarat,Gir Somnath,2020,21.5,56.69,30.35,17.18,86.14,44.51,52.92
Arunachal Pradesh,Anjaw,2019,99.12,51.61,81.4,93.69,17.03,39.9,80.88
Rajasthan,Anupgarh,2015,66.07,27.4,88.89,67.79,85.47,17.43,20.8
Odisha,Balangir,2021,31.48,48.81,20.03,58.36,94.08,79.2,79.76
Kerala,Alappuzha,2019,94.98,58.57,42.1,73.44,27.28,41.29,35.42
Nagaland,Longleng,2016,53.74,38.29,67.32,98.51,42.66,74.56,55.09
Haryana,Panipat,2023,84.94,32.59,40.81,23.34,23.45,77.14,99.43
Assam,Bongaigaon,2016,67.2,32.76,38.41,43.42,76.32,16.59,14.33
Chhattisgarh,Raigarh,2025,54.73,14.89,46.47,98.73,54.43,54.52,28.3
Karnataka,Chikkamagaluru,2023,28.7,57.55,14.86,19.6,68.86,86.97,78.91
Karnataka,Gadag,2020,80.92,25.13,45.63,66.59,49.15,99.18,18.49
Punjab,Amritsar,2023,35.99,96.34,84.86,13.53,44.16,26.73,11.53
Jharkhand,Ramgarh,2022,39.69,48.85,50.76,80.14,39.74,28.5,47.52
Odisha,Khordha,2018,36.13,73.84,10.9,63.36,22.3,37.85,59.44
Chhattisgarh,Rajnandgaon,2019,47.07,89.33,90.47,47.4,76.77,16.58,62.83
Kerala,Kannur,2020,53.89,30.44,58.87,22.98,41.82,76.16,79.07
Odisha,Jagatsinghpur,2025,57.01,83.26,35.79,88.6,77.23,86.73,12.87
Karnataka,Yadgir,2018,24.03,80.53,68.28,95.83,42.66,60.12,70.11
Gujarat,Tapi,2020,79.08,98.04,28.34,56.9,80.63,32.33,91.24
Bihar,Buxar,2025,39.17,39.9,55.37,79.91,49.57,78.73,52.63
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,86.01,82.18,70.72,33.82,40.85,95.94,25.92
Meghalaya,South West Khasi Hills,2022,74.42,66.79,84.22,55.57,17.42,42.71,86.71
Bihar,Arwal,2022,27.85,87.88,49.55,88.79,68.93,64.3,96.73
Rajasthan,Banswara,2024,18.25,31.58,37.54,78.05,92.73,64.62,28.56
Odisha,Ganjam,2016,53.56,22.9,39.4,78.46,58.39,28.3,21.35
Chhattisgarh,Balod,2020,60.02,39.33,52.36,55.7,39.81,49.44,88.51
Uttarakhand,Almora,2020,15.19,55.51,37.91,34.74,28.65,85.67,10.58
Gujarat,Anand,2019,89.36,32.81,40.1,89.04,32.96,38.43,14.36
Rajasthan,Rajsamand,2021,67.89,27.62,69.91,66.72,74.65,76.95,37.52
Madhya Pradesh,Rajgarh,2024,94.9,85.32,32.52,70.92,71.04,50.98,41.25
Arunachal Pradesh,Pakke-Kessang,2022,64.52,82.79,70.02,89.26,24.47,80.95,69.95
Gujarat,Porbandar,2023,98.76,95.75,99.95,76.36,65.91,27.46,41.77
West Bengal,Howrah,2018,74.28,19.58,59.47,69.39,95.84,59.49,78.39
Chhattisgarh,Balod,2020,97.82,57.16,46.75,79.09,24.96,48.25,32.2
Goa,South Goa,2017,86.17,41.86,39.4,25.97,79.79,99.24,27.99
Gujarat,Kheda,2024,41.46,44.97,72.92,82.41,18.84,94.91,61.64
Telangana,Mahabubabad,2019,95.11,99.52,63.43,60.49,38.23,28.91,44.72
Odisha,Jajpur,2020,78.72,75.3,49.23,59.9,14.21,38.42,96.21
Telangana,Khammam,2022,25.25,99.02,90.15,70.77,86.26,67.68,89.07
Madhya Pradesh,Singrauli,2021,52.14,40.39,81.31,79.65,42.27,77.25,36.56
Madhya Pradesh,Bhopal,2017,82.36,49.1,29.67,18.9,92.61,67.61,72.56
Madhya Pradesh,Dewas,2017,31.35,35.94,93.02,58.31,28.44,31.28,59.61
Arunachal Pradesh,West Kameng,2015,87.16,59.7,27.92,88.73,88.05,46.18,98.58
Uttar Pradesh,Bulandshahr,2019,58.5,13.34,78.57,22.45,89.91,85.01,91.89
Punjab,Tarn Taran,2016,41.71,91.91,31.69,32.95,31.2,20.6,88.14
Odisha,Angul,2023,83.91,85.43,83.25,72.5,23.07,25.95,98.49
Maharashtra,Mumbai Suburban,2022,45.31,81.38,30.76,62.18,35.63,68.41,78.64
Gujarat,Valsad,2018,29.69,68.82,68.44,65.81,90.7,89.78,58.65
Assam,West Karbi Anglong,2017,63.34,50.8,23.65,37.43,84.43,95.45,77.61
Jharkhand,Dhanbad,2015,25.76,15.74,52.93,31.15,21.74,41.3,56.79
Madhya Pradesh,Balaghat,2019,92.65,61.83,66.41,59.98,30.82,20.6,99.01
Chhattisgarh,Surguja,2016,18.88,84.44,14.2,43.96,66.96,26.03,46.33
Haryana,Ambala,2017,80.65,57.02,34.96,39.92,54.94,43.64,43.94
Punjab,Rupnagar,2025,40.47,68.97,18.67,63.66,75.89,44.32,82.08
Nagaland,Mokokchung,2018,50.11,13.62,38.71,72.42,75.63,15.75,87.21
Andhra Pradesh,Nandyal,2019,21.36,76.67,30.14,59.2,88.48,39.65,36.08
Odisha,Deogarh,2019,64.34,23.11,98.0,90.33,30.03,35.24,69.24
Tamil Nadu,Kallakurichi,2020,36.3,85.13,63.61,30.54,16.54,16.27,89.29
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2015,22.5,60.99,32.0,97.11,18.31,90.52,23.24
Telangana,Komaram Bheem Asifabad,2022,67.27,72.43,81.75,33.74,37.43,99.66,14.6
Bihar,Bhojpur,2018,54.13,52.02,27.49,12.06,77.12,52.89,97.08
Chhattisgarh,Narayanpur,2020,14.51,84.84,36.11,54.55,65.59,30.61,54.98
Rajasthan,Ajmer,2024,94.44,39.49,10.5,73.21,71.42,21.67,57.93
Arunachal Pradesh,Kamle,2021,53.34,61.47,21.47,71.82,79.87,66.28,28.27
Rajasthan,Dholpur,2018,24.18,50.77,63.67,96.37,96.86,95.35,67.06
Rajasthan,Bundi,2023,84.66,30.28,71.15,81.75,15.58,18.25,71.33
Meghalaya,West Jaintia Hills,2018,71.84,32.96,11.48,14.53,91.15,86.45,74.63
Arunachal Pradesh,Changlang,2019,84.47,43.26,66.26,38.15,46.5,62.87,69.46
Chhattisgarh,Jashpur,2019,82.96,49.95,77.62,19.12,15.86,98.47,62.16
Karnataka,Haveri,2020,89.32,56.2,49.13,72.06,50.12,99.89,74.06
Chhattisgarh,Bemetara,2019,16.37,94.95,99.04,15.85,93.83,70.92,61.29
Andhra Pradesh,Chittoor,2021,52.13,13.13,13.82,61.74,39.62,28.51,58.67
Rajasthan,Didwana-Kuchaman,2024,69.99,88.19,83.48,26.88,82.56,98.68,77.31
Andhra Pradesh,Eluru,2021,64.72,74.63,28.55,46.35,32.26,63.67,54.74
Rajasthan,Kotputli-Behror,2024,22.67,65.49,99.45,50.11,60.48,17.18,25.42
Odisha,Bhadrak,2018,79.08,87.33,60.77,57.9,48.23,16.09,50.42
Assam,Nalbari,2020,92.58,76.92,86.21,75.15,38.08,64.79,72.51
Telangana,Bhadradri Kothagudem,2017,84.93,43.46,23.26,78.85,78.03,25.62,63.72
Maharashtra,Nashik,2021,84.4,90.77,69.69,64.19,56.5,16.26,53.98
Uttar Pradesh,Sant Kabir Nagar,2022,89.45,89.66,42.32,50.96,88.19,70.31,13.5
Uttar Pradesh,Mirzapur,2019,24.0,46.05,26.0,40.32,74.7,65.75,39.13
Manipur,Chandel,2024,42.42,22.4,25.34,11.27,59.42,42.35,22.69
Himachal Pradesh,Bilaspur,2024,61.6,75.09,23.36,48.13,24.47,27.23,60.86
Jharkhand,Khunti,2025,22.69,88.96,59.67,61.64,69.7,48.0,17.26
Tamil Nadu,Kanchipuram,2024,21.96,38.85,97.9,91.49,71.89,99.21,52.27
Tamil Nadu,Tiruchirappalli,2018,35.28,88.67,97.46,96.68,10.17,80.22,77.26
Uttar Pradesh,Gonda,2024,83.66,96.41,35.05,13.42,85.0,54.64,73.24
Madhya Pradesh,Dindori,2015,86.7,42.19,28.68,66.53,80.82,21.07,67.12
Telangana,Khammam,2016,75.95,73.48,11.17,46.87,49.72,75.59,73.45
Assam,Dhemaji,2023,82.94,82.59,15.71,19.8,90.31,72.57,57.22
Karnataka,Chamarajanagar,2019,39.46,31.63,33.62,10.45,11.84,59.91,56.37
Rajasthan,Hanumangarh,2015,59.43,78.92,55.97,17.07,94.61,32.71,20.34
Chhattisgarh,Dantewada,2016,14.03,62.48,14.37,20.5,74.43,81.02,47.62
Kerala,Kottayam,2022,33.8,55.3,61.26,96.0,95.36,83.8,40.33
Uttar Pradesh,Amroha,2015,51.91,85.66,88.18,35.88,57.14,71.09,95.37
Gujarat,Kheda,2015,29.55,40.81,30.72,26.11,84.5,97.18,62.48
Jharkhand,Bokaro,2023,73.96,59.83,71.38,78.55,22.93,61.84,65.31
Madhya Pradesh,Panna,2021,22.36,17.37,42.32,19.29,78.98,83.33,30.5
Uttarakhand,Tehri Garhwal,2021,85.78,53.74,54.68,76.9,97.62,30.62,86.03
Meghalaya,East Garo Hills,2017,31.21,57.84,89.08,99.24,83.64,11.76,36.03
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,99.77,35.68,70.3,19.88,60.64,76.11,75.68
Rajasthan,Beawar,2022,91.59,82.31,32.08,35.83,63.08,45.55,55.54
Arunachal Pradesh,Upper Siang,2018,76.02,50.37,87.52,85.76,64.47,88.58,43.28
Uttar Pradesh,Lakhimpur Kheri,2025,68.72,49.01,65.62,98.12,60.04,25.31,22.94
Andhra Pradesh,Nandyal,2015,41.27,57.95,72.27,31.74,47.16,35.39,64.78
Maharashtra,Solapur,2022,96.56,48.64,85.23,47.84,27.78,23.07,51.31
Gujarat,Valsad,2018,97.42,60.85,97.45,20.12,97.57,91.35,60.16
Rajasthan,Barmer,2022,41.82,25.84,79.14,38.22,66.94,61.4,47.4
Punjab,Gurdaspur,2020,46.46,53.06,42.57,68.87,74.44,18.29,42.43
Gujarat,Bharuch,2025,58.72,49.96,87.27,58.16,30.26,48.14,74.01
Odisha,Mayurbhanj,2022,92.04,95.57,96.71,87.77,94.77,82.14,36.51
Andhra Pradesh,Chittoor,2019,82.67,75.48,35.19,75.05,97.16,69.04,12.04
Rajasthan,Didwana-Kuchaman,2024,26.1,79.78,41.73,39.12,96.25,56.61,42.61
Madhya Pradesh,Dhar,2020,14.68,19.83,72.36,14.27,35.18,45.93,42.75
Uttar Pradesh,Chitrakoot,2021,59.54,65.86,42.28,80.43,84.52,65.27,27.99
Chhattisgarh,Sakti,2019,34.57,10.14,74.77,46.14,99.87,24.61,73.65
Chhattisgarh,Janjgir-Champa,2022,82.76,16.23,77.42,53.66,15.15,97.0,49.41
Uttar Pradesh,Amroha,2015,28.43,73.09,91.69,27.4,45.41,38.65,58.36
Manipur,Ukhrul,2025,15.81,72.97,85.46,24.65,90.38,46.62,71.41
Kerala,Idukki,2020,13.4,85.74,54.81,39.52,33.42,49.2,91.72
Telangana,Vikarabad,2023,39.73,38.65,44.12,90.8,43.82,99.97,72.08
Rajasthan,Shahpura,2020,61.23,38.21,87.62,52.87,71.77,74.33,41.44
Punjab,Sangrur,2017,58.27,60.59,95.58,38.67,31.05,11.56,38.71
Manipur,Thoubal,2022,79.2,35.42,78.53,68.87,77.92,60.56,83.39
Odisha,Sambalpur,2025,22.72,66.03,14.91,64.26,68.34,43.69,58.71
Punjab,Barnala,2020,72.76,92.33,34.08,82.39,82.85,93.75,67.03
Bihar,Supaul,2018,37.5,79.29,83.32,55.93,13.72,67.87,11.87
Uttar Pradesh,Amroha,2020,42.76,29.28,21.26,64.27,10.1,97.04,31.36
Mizoram,Lawngtlai,2024,42.97,95.72,61.99,21.13,64.49,81.08,60.08
Andhra Pradesh,Parvathipuram Manyam,2019,49.05,37.12,21.33,73.1,81.39,98.64,23.21
Haryana,Jind,2023,35.8,12.96,95.97,15.89,24.41,95.54,65.93
Mizoram,Serchhip,2017,31.67,15.94,51.84,16.07,35.81,39.61,48.46
Odisha,Puri,2024,49.67,77.73,47.51,75.61,64.22,38.91,90.14
Punjab,Gurdaspur,2019,52.0,68.91,71.67,45.2,23.42,66.81,31.5
Maharashtra,Wardha,2021,22.79,85.09,40.36,81.46,58.32,73.33,75.97
Telangana,Hanamkonda,2022,56.35,87.01,35.69,83.17,54.97,51.08,16.8
Madhya Pradesh,Panna,2020,72.58,93.67,60.34,57.26,91.71,30.98,72.42
Rajasthan,Balotra,2021,10.35,81.93,16.94,99.08,97.9,12.66,55.13
Telangana,Rajanna Sircilla,2021,74.73,61.22,46.7,57.87,10.08,19.28,58.76
Manipur,Senapati,2020,79.04,84.89,23.17,43.94,13.14,56.72,51.3
Madhya Pradesh,Mandsaur,2017,51.21,45.64,82.85,35.31,71.58,92.85,37.34
Madhya Pradesh,Sheopur,2022,71.33,27.05,57.87,87.21,76.42,97.16,26.04
Andhra Pradesh,Vizianagaram,2024,19.12,58.77,87.25,91.1,10.99,74.87,41.61
Andhra Pradesh,Palnadu,2022,31.23,18.34,74.14,99.73,73.27,61.2,71.29
Uttar Pradesh,Shamli,2024,35.83,69.41,30.91,49.56,17.57,87.35,89.29
Jharkhand,Khunti,2019,61.41,70.23,32.82,21.96,73.85,91.85,20.48
Assam,Kokrajhar,2018,81.89,76.43,31.03,15.78,13.04,64.6,21.79
Rajasthan,Anupgarh,2025,40.79,77.95,93.35,77.59,23.46,67.58,83.99
