state,district,year,district_gdp,per_capita_income,industrial_output,agriculture_output,service_sector_output
Haryana,Ambala,2024,10336,297482,11429,55442,80313
Haryana,Ambala,2025,25739,97926,43081,23399,18555
Haryana,Bhiwani,2015,109062,276148,48975,11767,71215
Haryana,Bhiwani,2016,16534,98797,12768,51115,25448
Haryana,Bhiwani,2017,130752,132724,46623,59158,24194
Haryana,Bhiwani,2018,74364,156242,20633,22015,61638
Haryana,Bhiwani,2019,97121,80660,11896,3900,36111
Haryana,Bhiwani,2020,156288,185914,4221,9596,8758
Haryana,Bhiwani,2021,197364,118483,1932,32346,89505
Haryana,Bhiwani,2022,194102,286395,60997,58593,14749
Haryana,Bhiwani,2023,127891,274227,35054,25223,46452
Haryana,Bhiwani,2024,94421,147880,27114,7132,22688
Haryana,Bhiwani,2025,110904,272728,69309,45567,78293
Haryana,Charkhi Dadri,2015,98389,295154,35128,31975,32527
Haryana,Charkhi Dadri,2016,91234,247283,58405,3657,86855
Haryana,Charkhi Dadri,2017,37487,274740,3772,59796,82349
Haryana,Charkhi Dadri,2018,145755,154651,18322,55315,89940
Haryana,Charkhi Dadri,2019,190303,125766,26263,39178,76414
Haryana,Charkhi Dadri,2020,35889,109259,62458,49904,80504
Haryana,Charkhi Dadri,2021,46893,195439,76665,7496,13138
Haryana,Charkhi Dadri,2022,18092,59305,60809,6944,23921
Haryana,Charkhi Dadri,2023,52899,122739,41534,24858,70124
Haryana,Charkhi Dadri,2024,148572,231490,1617,5365,89390
Haryana,Charkhi Dadri,2025,104027,144285,68131,30087,89330
Haryana,Faridabad,2015,138001,150565,56088,6333,85903
Haryana,Faridabad,2016,191600,171841,38517,24874,60835
Haryana,Faridabad,2017,113224,210131,48498,59982,57133
Haryana,Faridabad,2018,84023,129921,25520,34695,55104
Haryana,Faridabad,2019,99283,188111,52811,51869,14142
Haryana,Faridabad,2020,196276,91053,34569,48561,36861
Haryana,Faridabad,2021,5586,94889,35412,33216,49991
Haryana,Faridabad,2022,96064,131709,78834,1822,5801
Haryana,Faridabad,2023,55659,204271,62040,16387,9425
Haryana,Faridabad,2024,85084,90601,66226,53498,39872
Haryana,Faridabad,2025,148172,112676,76077,44053,74995
Haryana,Fatehabad,2015,199538,76113,58900,26773,2918
Haryana,Fatehabad,2016,152640,126900,33542,35493,83888
Haryana,Fatehabad,2017,22786,282257,72638,28752,82125
Haryana,Fatehabad,2018,189310,265482,22986,47387,43198
Haryana,Fatehabad,2019,58345,255525,37950,59501,83277
Haryana,Fatehabad,2020,125325,129787,32239,46253,7539
Haryana,Fatehabad,2021,144928,216356,55402,7440,49574
Haryana,Fatehabad,2022,32835,257195,20836,17424,69963
Haryana,Fatehabad,2023,53576,94743,2695,5289,78909
Haryana,Fatehabad,2024,52920,261168,6750,28286,75750
Haryana,Fatehabad,2025,56379,269858,79723,40741,85512
Haryana,Gurugram,2015,48734,233796,28664,58270,29786
Haryana,Gurugram,2016,124423,231453,5718,53228,59978
Haryana,Gurugram,2017,66413,156048,4266,4302,2062
Haryana,Gurugram,2018,35398,136915,42888,22174,53870
Haryana,Gurugram,2019,52453,256054,73798,10939,69948
Haryana,Gurugram,2020,80639,64900,22211,19616,67124
Haryana,Gurugram,2021,150051,217826,74851,17985,56420
Haryana,Gurugram,2022,81298,175133,39751,16459,68706
Haryana,Gurugram,2023,181732,117470,6874,39603,82792
Haryana,Gurugram,2024,153168,180618,14691,31569,76896
Haryana,Gurugram,2025,184716,190547,44735,59801,35808
Haryana,Hisar,2015,190682,226454,38507,30836,15530
Haryana,Hisar,2016,190126,172685,55022,46909,19950
Haryana,Hisar,2017,87283,173655,28715,36325,35458
Haryana,Hisar,2018,123547,225439,60322,42010,79097
Haryana,Hisar,2019,53181,261786,57109,53807,68339
Haryana,Hisar,2020,163717,123639,2776,23590,39762
Haryana,Hisar,2021,40716,121814,71099,12958,39548
Haryana,Hisar,2022,10011,154674,31184,51010,31946
Haryana,Hisar,2023,109970,240365,77286,43747,64023
Haryana,Hisar,2024,110665,210550,11841,40532,46251
Haryana,Hisar,2025,114692,63658,36750,35029,88297
Haryana,Jhajjar,2015,86413,129072,21850,11568,59061
Haryana,Jhajjar,2016,114303,204689,26195,38561,19261
Haryana,Jhajjar,2017,171430,99757,1544,54170,42619
Haryana,Jhajjar,2018,178902,136845,45804,11528,86803
Haryana,Jhajjar,2019,152398,246702,70776,18024,70931
Haryana,Jhajjar,2020,162282,85863,27638,39482,16176
Haryana,Jhajjar,2021,15367,139507,26095,32344,62459
Haryana,Jhajjar,2022,51919,111150,30662,42327,78428
Haryana,Jhajjar,2023,29877,94861,76772,50546,80996
Haryana,Jhajjar,2024,8641,220647,53230,19242,44534
Haryana,Jhajjar,2025,86137,289310,68555,55058,87870
Haryana,Jind,2015,141202,102905,6943,54151,55132
Haryana,Jind,2016,33206,165341,79239,25438,31926
Haryana,Jind,2017,43233,244037,11369,5610,40161
Haryana,Jind,2018,80560,124106,37340,6582,35643
Haryana,Jind,2019,150300,115075,31667,26194,12860
Haryana,Jind,2020,34483,157501,20914,36699,4193
Haryana,Jind,2021,147834,103825,36686,19667,8547
Haryana,Jind,2022,80780,270052,57269,41435,80550
Haryana,Jind,2023,100503,170846,6493,44410,26836
Haryana,Jind,2024,31142,68165,22236,1491,49219
Haryana,Jind,2025,6608,246024,14680,41958,22513
Haryana,Kaithal,2015,99493,91749,17638,10503,20233
Haryana,Kaithal,2016,105878,191890,77738,29801,35016
Haryana,Kaithal,2017,91572,292776,67055,6935,42930
Haryana,Kaithal,2018,47063,215634,14813,18841,57305
Haryana,Kaithal,2019,113573,180149,56999,59107,12993
Haryana,Kaithal,2020,5402,146791,61054,20094,45983
Haryana,Kaithal,2021,90365,99796,71732,51008,60995
Haryana,Kaithal,2022,112721,285694,19448,35209,46409
Haryana,Kaithal,2023,51192,226999,28337,26643,55529
Haryana,Kaithal,2024,110986,197115,3601,26655,13747
Haryana,Kaithal,2025,77400,59244,61612,5451,8904
Haryana,Karnal,2015,184043,252796,40448,18552,82537
Haryana,Karnal,2016,87025,204548,12899,21494,3324
Haryana,Karnal,2017,29180,263382,13905,43741,88027
Haryana,Karnal,2018,174318,290137,2546,35592,45218
Haryana,Karnal,2019,63181,115610,48979,32130,82325
Haryana,Karnal,2020,98320,292485,77880,33835,56670
Haryana,Karnal,2021,193444,170448,5569,4801,30727
Haryana,Karnal,2022,51190,110247,10110,51624,78362
Haryana,Karnal,2023,37993,296496,64406,25874,2381
Haryana,Karnal,2024,199267,265906,54019,39241,83985
Haryana,Karnal,2025,120427,156559,18416,3476,67904
Haryana,Kurukshetra,2015,93779,256709,23839,7201,48152
Haryana,Kurukshetra,2016,73713,123077,56809,11699,66884
Haryana,Kurukshetra,2017,84721,100593,56339,17869,83133
Haryana,Kurukshetra,2018,12494,214839,44416,30643,38702
Haryana,Kurukshetra,2019,43851,133653,17061,7537,18703
Haryana,Kurukshetra,2020,117667,179534,9601,6877,21586
Haryana,Kurukshetra,2021,61691,91627,49113,49326,30736
Haryana,Kurukshetra,2022,53111,54238,77192,20122,44840
Haryana,Kurukshetra,2023,100427,56222,36543,19682,75229
Haryana,Kurukshetra,2024,60934,136433,50031,37616,3208
Haryana,Kurukshetra,2025,5658,76164,34352,49048,17322
Haryana,Mahendragarh,2015,23577,102515,5413,59829,89602
Haryana,Mahendragarh,2016,57132,137194,24047,12806,59598
Haryana,Mahendragarh,2017,106512,282031,1169,43677,36032
Haryana,Mahendragarh,2018,68306,179677,63729,7726,53716
Haryana,Mahendragarh,2019,28264,255725,15748,50443,82849
Haryana,Mahendragarh,2020,84019,258528,36375,45184,18904
Haryana,Mahendragarh,2021,26712,127659,66711,25027,78064
Haryana,Mahendragarh,2022,106762,73501,66662,34223,58080
Haryana,Mahendragarh,2023,194845,144793,70857,4497,18765
Haryana,Mahendragarh,2024,162413,288572,50099,40081,52856
Haryana,Mahendragarh,2025,96536,276587,76871,12522,38533
Haryana,Nuh,2015,39118,127308,2416,57619,87500
Haryana,Nuh,2016,141768,162593,50450,52811,72933
Haryana,Nuh,2017,30621,247833,45743,57570,72124
Haryana,Nuh,2018,142778,81571,62984,36465,76634
Haryana,Nuh,2019,11745,149030,61512,41830,76423
Haryana,Nuh,2020,25637,57891,34807,6627,38068
Haryana,Nuh,2021,109334,118706,38471,38634,57703
Haryana,Nuh,2022,18318,83456,59645,26646,27988
Haryana,Nuh,2023,113106,204501,41831,18660,14309
Haryana,Nuh,2024,53592,184981,33877,36337,27799
Haryana,Nuh,2025,126116,77323,46983,47356,6153
Haryana,Palwal,2015,182580,100250,19609,41868,88400
Haryana,Palwal,2016,146909,91683,23995,12725,44353
Haryana,Palwal,2017,170736,262903,43490,32296,38333
Haryana,Palwal,2018,166642,214503,13339,2389,19420
Haryana,Palwal,2019,165539,111131,9131,36387,81361
Haryana,Palwal,2020,103952,192812,77763,18011,76504
Haryana,Palwal,2021,42638,214946,6208,47410,57942
Haryana,Palwal,2022,119886,225373,60876,6716,32835
Haryana,Palwal,2023,56633,97390,39360,22975,37966
Haryana,Palwal,2024,187865,170561,28213,44748,46838
Haryana,Palwal,2025,110775,199903,42813,8710,58510
Haryana,Panchkula,2015,137035,212909,59956,52715,16894
Haryana,Panchkula,2016,102586,89947,13202,5398,36319
Haryana,Panchkula,2017,146064,65947,76807,1197,43936
Haryana,Panchkula,2018,142577,260059,73817,18317,20199
Haryana,Panchkula,2019,27142,233394,74741,29660,62790
Haryana,Panchkula,2020,48142,97312,12332,2612,63105
Haryana,Panchkula,2021,23282,96115,29377,29495,32635
Haryana,Panchkula,2022,40859,66289,24062,29249,3271
Haryana,Panchkula,2023,147480,181624,24260,39155,6706
Haryana,Panchkula,2024,182008,200454,37487,6290,83165
Haryana,Panchkula,2025,118595,260662,47213,11125,67131
Haryana,Panipat,2015,43875,251109,51562,16987,43541
Haryana,Panipat,2016,187499,191121,11608,32891,81548
Haryana,Panipat,2017,22288,137870,71881,17841,32888
Haryana,Panipat,2018,138353,215733,39947,50626,78641
Haryana,Panipat,2019,50141,65948,73308,30974,44147
Haryana,Panipat,2020,185907,136173,29083,11371,31864
Haryana,Panipat,2021,17659,241378,74806,43378,68316
Haryana,Panipat,2022,90788,214171,74939,34809,16910
Haryana,Panipat,2023,60193,128920,53514,6251,71639
Haryana,Panipat,2024,198915,114654,61883,36828,60161
Haryana,Panipat,2025,13532,106248,54138,34478,58174
Haryana,Rewari,2015,32876,106539,46953,19583,75371
Haryana,Rewari,2016,195990,62965,25929,56495,37572
Haryana,Rewari,2017,145060,241466,4731,14128,68246
Haryana,Rewari,2018,115958,293611,40576,36482,23520
Haryana,Rewari,2019,109978,67651,59177,48962,10686
Haryana,Rewari,2020,60498,225711,65844,58534,39193
Haryana,Rewari,2021,17116,274527,4488,46391,23453
Haryana,Rewari,2022,134208,210801,16213,26427,11944
Haryana,Rewari,2023,36429,140675,49414,13934,23377
Haryana,Rewari,2024,79077,173068,26240,28706,48393
Haryana,Rewari,2025,185518,107989,23945,33155,31134
Haryana,Rohtak,2015,82461,159253,25925,55626,33021
Haryana,Rohtak,2016,136526,239089,63943,58873,75851
Haryana,Rohtak,2017,41518,96974,68598,10165,62732
Haryana,Rohtak,2018,39188,271640,62776,37592,30733
Haryana,Rohtak,2019,29816,162931,69815,6973,53835
Haryana,Rohtak,2020,23397,129352,33462,40318,89758
Haryana,Rohtak,2021,104007,208950,48700,14601,20158
Haryana,Rohtak,2022,116379,120284,25778,10031,46258
Haryana,Rohtak,2023,120533,75362,6308,47211,87312
Haryana,Rohtak,2024,113285,77891,25205,13552,9591
Haryana,Rohtak,2025,36595,222252,39198,35281,51437
Haryana,Sirsa,2015,9860,245732,7923,34283,17208
Haryana,Sirsa,2016,110447,235363,34308,44669,79681
Haryana,Sirsa,2017,11805,207660,36754,22471,45266
Haryana,Sirsa,2018,151355,176368,3718,27787,37420
Haryana,Sirsa,2019,40415,126157,43959,15450,73039
Haryana,Sirsa,2020,12286,171159,60054,4756,7479
Haryana,Sirsa,2021,36388,177341,73121,45186,11606
Haryana,Sirsa,2022,164683,266700,19665,8054,89111
Haryana,Sirsa,2023,100884,130531,11490,42022,10225
Haryana,Sirsa,2024,68644,144327,37497,23865,2505
Haryana,Sirsa,2025,108435,233473,66235,35433,66382
Haryana,Sonipat,2015,32236,155353,9221,13306,6604
Haryana,Sonipat,2016,11120,255255,27738,46987,15958
Haryana,Sonipat,2017,175937,237437,11063,27471,18924
Haryana,Sonipat,2018,189719,196592,1308,20887,15750
Haryana,Sonipat,2019,152676,255847,19466,13195,52121
Haryana,Sonipat,2020,35922,267118,45691,15427,14624
Haryana,Sonipat,2021,155042,296638,47903,19961,56972
Haryana,Sonipat,2022,91757,266296,67176,31407,84774
Haryana,Sonipat,2023,86172,107725,73663,48091,28374
Haryana,Sonipat,2024,5012,288877,40075,32884,68379
Haryana,Sonipat,2025,182387,289803,31058,47242,76605
Haryana,Yamunanagar,2015,194895,296303,56966,14531,39646
Haryana,Yamunanagar,2016,149561,275194,33465,51739,20365
Haryana,Yamunanagar,2017,77856,141842,31615,11261,51157
Haryana,Yamunanagar,2018,32074,249147,64774,51608,41953
Haryana,Yamunanagar,2019,141395,114986,9511,17941,60506
Haryana,Yamunanagar,2020,177102,160481,25889,31355,87081
Haryana,Yamunanagar,2021,69132,161168,50154,9228,17894
Haryana,Yamunanagar,2022,21759,156282,29890,26157,69188
Haryana,Yamunanagar,2023,91214,127350,73821,11045,38046
Haryana,Yamunanagar,2024,7011,274663,18545,57183,25171
Haryana,Yamunanagar,2025,183243,211310,63944,37750,67304
Himachal Pradesh,Bilaspur,2015,92669,155401,78422,27451,87393
Himachal Pradesh,Bilaspur,2016,46090,245935,11961,51590,78179
Himachal Pradesh,Bilaspur,2017,138329,207384,14505,26047,9506
Himachal Pradesh,Bilaspur,2018,118783,185119,69333,43238,10220
Himachal Pradesh,Bilaspur,2019,158279,114066,42997,8093,2401
Himachal Pradesh,Bilaspur,2020,191976,170803,34471,57134,32540
Himachal Pradesh,Bilaspur,2021,151625,164882,36249,39446,66019
Himachal Pradesh,Bilaspur,2022,180013,184518,36061,18059,25267
Himachal Pradesh,Bilaspur,2023,88221,276926,15998,52590,13211
Himachal Pradesh,Bilaspur,2024,8552,278171,38624,49260,13320
Himachal Pradesh,Bilaspur,2025,161381,233926,79406,37680,59973
Himachal Pradesh,Chamba,2015,54709,276510,53300,52414,59449
Himachal Pradesh,Chamba,2016,150904,181504,9513,28545,56875
Himachal Pradesh,Chamba,2017,146632,228988,6451,28882,15362
Himachal Pradesh,Chamba,2018,167263,285126,30066,32684,33741
Himachal Pradesh,Chamba,2019,190017,79244,5335,6735,76968
Himachal Pradesh,Chamba,2020,145888,138670,56006,8545,18568
Himachal Pradesh,Chamba,2021,195417,98118,55879,22887,80811
Himachal Pradesh,Chamba,2022,159736,54010,69597,57105,5277
Himachal Pradesh,Chamba,2023,147281,188840,23987,50818,63498
Himachal Pradesh,Chamba,2024,122214,116203,9523,41011,43652
Himachal Pradesh,Chamba,2025,91766,269709,13880,16244,14697
Himachal Pradesh,Hamirpur,2015,150776,115715,55305,56445,31191
Himachal Pradesh,Hamirpur,2016,27006,77708,72352,29779,37204
Himachal Pradesh,Hamirpur,2017,45869,247870,62684,4484,63240
Himachal Pradesh,Hamirpur,2018,129713,299530,32823,49329,59915
Himachal Pradesh,Hamirpur,2019,130379,114681,10242,8679,48651
Himachal Pradesh,Hamirpur,2020,16339,150565,62878,17109,61279
Himachal Pradesh,Hamirpur,2021,131871,222063,44671,23790,46653
Himachal Pradesh,Hamirpur,2022,116259,255161,9230,33936,12529
Himachal Pradesh,Hamirpur,2023,62396,68132,37309,47950,2455
Himachal Pradesh,Hamirpur,2024,76055,297132,49835,22860,39232
Himachal Pradesh,Hamirpur,2025,23004,78086,74093,21892,10392
Himachal Pradesh,Kangra,2015,139140,156570,46529,27392,37994
Himachal Pradesh,Kangra,2016,136716,233886,33580,16738,29883
Himachal Pradesh,Kangra,2017,54732,184998,23975,22610,23052
Himachal Pradesh,Kangra,2018,182207,264813,10493,19705,43674
Himachal Pradesh,Kangra,2019,108109,59999,30159,58087,12414
Himachal Pradesh,Kangra,2020,33900,75453,76694,44532,67143
Himachal Pradesh,Kangra,2021,172665,106566,24055,28846,56658
Himachal Pradesh,Kangra,2022,41103,85780,17887,8002,78571
Himachal Pradesh,Kangra,2023,110411,131703,52012,35048,21077
Himachal Pradesh,Kangra,2024,164200,89998,50211,18905,65173
Himachal Pradesh,Kangra,2025,141657,104655,4200,19658,60638
Himachal Pradesh,Kinnaur,2015,108261,116857,60856,28089,56182
Himachal Pradesh,Kinnaur,2016,174383,238096,65838,10071,64566
Himachal Pradesh,Kinnaur,2017,133431,70854,30080,40189,26450
Himachal Pradesh,Kinnaur,2018,63671,206328,63984,37472,39284
Himachal Pradesh,Kinnaur,2019,69854,295386,6758,24449,24299
Himachal Pradesh,Kinnaur,2020,153656,184587,71944,49931,28292
Himachal Pradesh,Kinnaur,2021,191976,131456,24230,14259,41341
Himachal Pradesh,Kinnaur,2022,188416,155153,66445,14571,18810
Himachal Pradesh,Kinnaur,2023,68862,97702,37690,24621,19425
Himachal Pradesh,Kinnaur,2024,130097,95927,4743,59288,49330
Himachal Pradesh,Kinnaur,2025,129219,60625,70495,1011,11296
Himachal Pradesh,Kullu,2015,88804,106870,63379,44775,9805
Himachal Pradesh,Kullu,2016,23327,158244,44433,10655,87151
Himachal Pradesh,Kullu,2017,147044,57538,12317,24901,37998
Himachal Pradesh,Kullu,2018,169021,216714,41149,14856,69713
Himachal Pradesh,Kullu,2019,24265,228336,3232,37429,21119
Himachal Pradesh,Kullu,2020,166330,237550,21931,56095,28708
Himachal Pradesh,Kullu,2021,97476,60793,7936,6327,4465
Himachal Pradesh,Kullu,2022,115799,113472,39466,25809,33246
Himachal Pradesh,Kullu,2023,58598,167912,65864,13902,89715
Himachal Pradesh,Kullu,2024,144484,111215,51486,6231,43759
Himachal Pradesh,Kullu,2025,179604,180763,23615,39400,19550
Himachal Pradesh,Lahaul & Spiti,2015,130511,173185,5237,5702,88493
Himachal Pradesh,Lahaul & Spiti,2016,79836,251393,62932,25166,68294
Himachal Pradesh,Lahaul & Spiti,2017,41719,98117,75307,18867,42444
Himachal Pradesh,Lahaul & Spiti,2018,129763,207487,73413,37445,19458
Himachal Pradesh,Lahaul & Spiti,2019,37265,298230,37537,22028,9869
Himachal Pradesh,Lahaul & Spiti,2020,160094,208747,14569,54575,27118
Himachal Pradesh,Lahaul & Spiti,2021,64040,154994,44229,9119,8812
Himachal Pradesh,Lahaul & Spiti,2022,198560,296313,62413,13340,41355
Himachal Pradesh,Lahaul & Spiti,2023,14602,201975,43677,37883,69238
Himachal Pradesh,Lahaul & Spiti,2024,159346,137742,49933,31359,16384
Himachal Pradesh,Lahaul & Spiti,2025,158970,174408,4796,52523,70026
Himachal Pradesh,Mandi,2015,95630,105946,35663,48697,24835
Himachal Pradesh,Mandi,2016,62691,191515,34001,49793,78383
Himachal Pradesh,Mandi,2017,138695,158087,52759,21627,60013
Himachal Pradesh,Mandi,2018,69794,218063,8843,12123,85989
Himachal Pradesh,Mandi,2019,149117,291961,48642,47776,18367
Himachal Pradesh,Mandi,2020,102646,91672,50130,31008,44798
Himachal Pradesh,Mandi,2021,171843,145664,2324,18960,62450
Himachal Pradesh,Mandi,2022,166965,209724,44707,35164,25518
Himachal Pradesh,Mandi,2023,89105,98592,57847,49310,27538
Himachal Pradesh,Mandi,2024,122678,256474,37015,39621,56270
Himachal Pradesh,Mandi,2025,107870,83725,12199,21857,36702
Himachal Pradesh,Shimla,2015,63030,236225,22383,46891,68911
Himachal Pradesh,Shimla,2016,23701,189317,53272,16663,21735
Himachal Pradesh,Shimla,2017,94909,275339,32566,21805,32905
Himachal Pradesh,Shimla,2018,148617,229525,24197,40306,70201
Himachal Pradesh,Shimla,2019,139224,130868,66926,46315,23014
Himachal Pradesh,Shimla,2020,199992,91555,77031,16205,36322
Himachal Pradesh,Shimla,2021,108014,59103,79059,44460,13406
Himachal Pradesh,Shimla,2022,63253,80449,75596,54010,51545
Himachal Pradesh,Shimla,2023,123866,220116,77935,39355,8564
Himachal Pradesh,Shimla,2024,199544,126315,15379,54337,24472
Himachal Pradesh,Shimla,2025,172554,268678,6344,43440,65409
Himachal Pradesh,Sirmaur,2015,107725,205540,49367,29406,18763
Himachal Pradesh,Sirmaur,2016,98654,86615,37020,37613,21416
Himachal Pradesh,Sirmaur,2017,90608,120731,59215,47414,58543
Himachal Pradesh,Sirmaur,2018,79869,193660,23906,13048,74095
Himachal Pradesh,Sirmaur,2019,84855,118537,15682,39408,18612
Himachal Pradesh,Sirmaur,2020,141037,175678,5571,9642,7634
Himachal Pradesh,Sirmaur,2021,166843,143282,21075,18607,54445
Himachal Pradesh,Sirmaur,2022,30817,246304,20690,47439,65187
Himachal Pradesh,Sirmaur,2023,180270,122465,33907,54778,17740
Himachal Pradesh,Sirmaur,2024,199189,66010,12916,49827,51809
Himachal Pradesh,Sirmaur,2025,12810,199353,27955,5390,30748
Himachal Pradesh,Solan,2015,173047,249410,63141,20573,43363
Himachal Pradesh,Solan,2016,108877,56063,30509,47793,12257
Himachal Pradesh,Solan,2017,178403,293402,63564,44154,64035
Himachal Pradesh,Solan,2018,164058,188028,73863,3836,50262
Himachal Pradesh,Solan,2019,52916,208719,24200,23622,51805
Himachal Pradesh,Solan,2020,137321,271827,3377,50979,52685
Himachal Pradesh,Solan,2021,68696,258695,59360,17547,33881
Himachal Pradesh,Solan,2022,121242,76294,25683,33186,82383
Himachal Pradesh,Solan,2023,16316,262792,52346,51508,45270
Himachal Pradesh,Solan,2024,84311,107936,58244,13278,69898
Himachal Pradesh,Solan,2025,129494,57285,72005,6039,20221
Himachal Pradesh,Una,2015,23214,199396,77674,16426,85913
Himachal Pradesh,Una,2016,71278,209182,55488,37801,60074
Himachal Pradesh,Una,2017,147536,286381,36152,7535,4944
Himachal Pradesh,Una,2018,39937,177915,21306,10062,31557
Himachal Pradesh,Una,2019,46746,161161,72861,57166,34212
Himachal Pradesh,Una,2020,83358,73617,38060,22515,34080
Himachal Pradesh,Una,2021,135226,275734,28976,33181,79011
Himachal Pradesh,Una,2022,162888,269400,9836,36432,68504
Himachal Pradesh,Una,2023,156184,243912,50729,20510,40815
Himachal Pradesh,Una,2024,45766,225653,15085,34395,33807
Himachal Pradesh,Una,2025,49459,108333,9007,52269,39681
Jharkhand,Bokaro,2015,166449,279414,50751,19526,53321
Jharkhand,Bokaro,2016,112748,297076,57816,30812,66250
Jharkhand,Bokaro,2017,84478,70755,71877,58470,18631
Jharkhand,Bokaro,2018,73064,195766,27553,4375,27389
Jharkhand,Bokaro,2019,165616,167227,79376,33221,64827
Jharkhand,Bokaro,2020,134613,203883,57071,3789,84356
Jharkhand,Bokaro,2021,199538,298752,53143,20852,11169
Jharkhand,Bokaro,2022,160023,73556,59788,18010,69847
Jharkhand,Bokaro,2023,83949,269339,77100,23825,34379
Jharkhand,Bokaro,2024,173753,298877,76206,3063,10283
Jharkhand,Bokaro,2025,13582,260497,30169,31847,73202
Jharkhand,Chatra,2015,31397,138712,19362,28499,32793
Jharkhand,Chatra,2016,82666,91882,65781,33166,86093
Jharkhand,Chatra,2017,121044,256643,1764,43412,68306
Jharkhand,Chatra,2018,135745,199868,35762,28055,16778
Jharkhand,Chatra,2019,133995,244044,58054,19001,7288
Jharkhand,Chatra,2020,187278,175686,40799,47098,72797
Jharkhand,Chatra,2021,80660,86631,51938,14045,19919
Jharkhand,Chatra,2022,44040,253160,59838,46061,6272
Jharkhand,Chatra,2023,38407,93553,77268,31276,16467
Jharkhand,Chatra,2024,192224,229851,20504,9134,40455
Jharkhand,Chatra,2025,114502,244298,32831,2559,89769
Jharkhand,Deoghar,2015,21786,240767,30529,6643,23995
Jharkhand,Deoghar,2016,90165,179332,26075,27709,53222
Jharkhand,Deoghar,2017,189019,201905,11893,53631,57267
Jharkhand,Deoghar,2018,153196,228221,51639,26412,68301
Jharkhand,Deoghar,2019,191377,123566,58591,52335,50172
Jharkhand,Deoghar,2020,156514,205504,49583,41187,10736
Jharkhand,Deoghar,2021,114682,58726,78600,52091,73370
Jharkhand,Deoghar,2022,180421,88329,45998,24981,69313
Jharkhand,Deoghar,2023,195659,188784,61563,57677,54603
Jharkhand,Deoghar,2024,141315,254871,58433,40798,59823
Jharkhand,Deoghar,2025,10060,126062,17899,54761,34549
Jharkhand,Dhanbad,2015,65765,131273,22211,19110,69537
Jharkhand,Dhanbad,2016,6795,99536,21549,47393,67303
Jharkhand,Dhanbad,2017,110849,291365,79108,22365,65133
Jharkhand,Dhanbad,2018,189104,208866,79223,10856,38616
Jharkhand,Dhanbad,2019,176675,220592,17692,15096,25446
Jharkhand,Dhanbad,2020,179933,283976,50952,30214,55975
Jharkhand,Dhanbad,2021,24628,219822,18886,22620,46143
Jharkhand,Dhanbad,2022,73365,278581,8440,20466,33132
Jharkhand,Dhanbad,2023,26761,90894,46674,38196,71242
Jharkhand,Dhanbad,2024,7241,165913,26464,22948,30755
Jharkhand,Dhanbad,2025,7069,130057,8235,12646,56357
Jharkhand,Dumka,2015,141605,143161,62846,11625,12039
Jharkhand,Dumka,2016,176528,57670,11254,45076,54917
Jharkhand,Dumka,2017,120388,290942,3492,34533,31421
Jharkhand,Dumka,2018,38453,237457,7929,42841,42214
Jharkhand,Dumka,2019,126012,219826,20285,4903,72098
Jharkhand,Dumka,2020,157078,165476,35003,15688,26788
Jharkhand,Dumka,2021,55829,158455,75484,46309,61384
Jharkhand,Dumka,2022,110311,75286,29582,35220,2320
Jharkhand,Dumka,2023,180903,92691,67840,27975,86929
Jharkhand,Dumka,2024,107648,262102,26998,25618,11818
Jharkhand,Dumka,2025,26687,89885,43801,21893,44852
Jharkhand,East Singhbhum,2015,11163,210721,18648,24511,56884
Jharkhand,East Singhbhum,2016,111469,116428,61040,3338,42283
Jharkhand,East Singhbhum,2017,154806,166929,26452,4442,31123
Jharkhand,East Singhbhum,2018,176497,259703,59980,19215,11794
Jharkhand,East Singhbhum,2019,103865,55358,16821,28925,68015
Jharkhand,East Singhbhum,2020,41905,182905,67432,26835,65339
Jharkhand,East Singhbhum,2021,124991,211794,48592,57928,28492
Jharkhand,East Singhbhum,2022,115767,275113,50067,10949,73904
Jharkhand,East Singhbhum,2023,151052,59146,74884,57824,21663
Jharkhand,East Singhbhum,2024,117364,109134,59198,18889,67794
Jharkhand,East Singhbhum,2025,169859,156706,1387,29094,81879
Jharkhand,Garhwa,2015,103764,59896,9290,23064,19997
Jharkhand,Garhwa,2016,58404,250901,8345,15483,76174
Jharkhand,Garhwa,2017,98404,185704,32448,21785,51614
Jharkhand,Garhwa,2018,179260,299323,77282,16669,65572
Jharkhand,Garhwa,2019,37684,248007,21223,29360,32054
Jharkhand,Garhwa,2020,34651,54535,54566,18512,70175
Jharkhand,Garhwa,2021,75580,180987,28697,23559,69930
Jharkhand,Garhwa,2022,98592,120967,32800,22265,27806
Jharkhand,Garhwa,2023,63329,203950,48538,40901,72187
Jharkhand,Garhwa,2024,58815,124433,48098,16654,32715
Jharkhand,Garhwa,2025,117662,105297,11790,47687,86734
Jharkhand,Giridih,2015,117043,285641,26287,25052,84499
Jharkhand,Giridih,2016,137210,79760,53487,10024,64884
Jharkhand,Giridih,2017,104906,162974,58023,43491,42039
Jharkhand,Giridih,2018,184078,190406,18417,4967,21962
Jharkhand,Giridih,2019,46900,173053,29016,4295,28584
Jharkhand,Giridih,2020,29615,206200,18523,12674,8498
Jharkhand,Giridih,2021,87813,156809,52653,23194,47829
Jharkhand,Giridih,2022,52373,276206,38585,25297,85277
Jharkhand,Giridih,2023,193686,282067,17292,25100,32279
