state,district,year,metro_length,urban_projects,smart_city_score,traffic_index,public_transport_score,road_development,urban_population
Sikkim,Gangtok,2018,92.94,14.91,78.62,99.92,80.05,25.69,91.91
Andhra Pradesh,Kakinada,2025,68.84,75.09,63.96,99.86,43.6,83.19,66.39
Karnataka,Belagavi,2022,66.65,66.33,98.2,49.56,79.51,50.58,64.4
Madhya Pradesh,Damoh,2022,53.98,25.06,85.7,50.81,84.16,51.19,61.08
Kerala,Malappuram,2020,61.49,29.66,46.43,90.87,87.9,82.22,89.82
Rajasthan,Bikaner,2021,63.41,80.93,69.85,76.58,91.27,62.72,50.31
Gujarat,Botad,2022,70.48,35.04,99.86,85.34,69.25,91.24,10.45
West Bengal,Dakshin Dinajpur,2020,25.13,53.09,42.67,26.42,34.72,35.77,27.42
Karnataka,Davanagere,2025,54.59,49.81,89.24,46.81,10.33,66.5,86.45
Kerala,Kozhikode,2023,25.19,81.26,30.31,33.79,66.42,84.27,44.04
Assam,Kamrup,2024,56.47,79.32,56.77,65.48,71.09,49.13,13.64
Punjab,Ferozepur,2017,58.37,28.94,69.65,44.78,47.9,71.91,76.69
Arunachal Pradesh,East Siang,2025,75.08,33.77,92.08,27.18,92.42,94.18,56.31
Assam,Goalpara,2021,44.97,50.37,88.74,95.08,72.76,44.12,95.96
Madhya Pradesh,Panna,2023,57.23,30.98,48.9,37.78,79.3,90.6,11.96
Uttar Pradesh,Hardoi,2021,35.3,90.55,34.99,84.19,78.82,81.55,94.54
Gujarat,Mehsana,2024,77.03,16.75,95.19,80.99,89.91,96.05,76.36
Odisha,Sonepur,2025,19.99,37.25,58.15,14.86,67.81,67.49,81.81
Rajasthan,Nagaur,2019,66.41,51.41,71.0,77.18,66.68,94.39,16.39
Rajasthan,Rajsamand,2021,85.07,10.67,86.27,33.56,90.58,69.7,50.63
Chhattisgarh,Balrampur,2019,43.88,31.96,28.95,11.17,69.91,32.59,60.85
Maharashtra,Yavatmal,2016,73.24,65.18,26.57,90.85,97.24,91.79,21.53
Bihar,Khagaria,2017,93.71,79.09,25.78,17.87,35.99,18.96,86.46
Arunachal Pradesh,Pakke-Kessang,2018,33.33,60.97,46.59,28.66,98.64,45.53,10.39
West Bengal,Paschim Medinipur,2023,51.95,91.26,66.77,20.23,42.27,77.92,19.21
Andhra Pradesh,Chittoor,2025,38.28,47.95,87.77,63.27,17.13,70.82,40.38
Uttar Pradesh,Ambedkar Nagar,2015,82.85,92.95,41.24,36.44,45.31,38.46,30.63
Punjab,Kapurthala,2020,20.72,14.86,53.81,17.25,35.25,31.64,44.48
Tamil Nadu,Viluppuram,2023,86.08,44.64,93.05,56.75,16.03,58.28,92.03
Gujarat,Bhavnagar,2021,10.28,78.65,73.98,94.15,96.2,59.52,66.16
Gujarat,Panchmahal,2015,99.16,70.56,58.04,50.1,69.05,97.26,32.79
Kerala,Idukki,2023,83.05,15.38,83.81,60.8,59.58,26.8,93.73
Madhya Pradesh,Sehore,2019,61.89,93.71,80.22,90.75,37.97,95.17,87.84
Sikkim,Namchi,2024,41.92,80.64,89.93,58.47,76.51,70.29,39.96
Mizoram,Mamit,2020,13.17,13.33,45.01,95.34,18.78,18.35,84.93
Himachal Pradesh,Hamirpur,2019,89.96,17.92,86.26,87.44,60.23,34.34,36.13
Tamil Nadu,Chennai,2022,59.95,67.66,68.34,64.27,95.2,68.53,62.83
Bihar,Munger,2018,81.5,27.79,21.54,88.17,92.61,94.84,79.67
Maharashtra,Washim,2024,47.08,14.32,18.59,77.79,68.34,80.39,64.14
Haryana,Ambala,2020,84.51,64.63,28.44,87.04,55.36,12.27,84.46
Rajasthan,Sawai Madhopur,2016,68.17,55.95,57.28,80.47,22.28,88.13,94.63
Bihar,Bhojpur,2021,43.59,12.02,46.22,67.04,41.45,57.75,70.27
Jharkhand,East Singhbhum,2018,84.56,39.91,30.33,57.9,35.22,68.54,15.35
Assam,Dibrugarh,2015,80.9,37.01,52.84,50.62,58.62,26.24,57.4
Assam,Hailakandi,2018,15.03,81.3,50.03,28.09,99.19,62.53,56.16
Uttarakhand,Uttarkashi,2023,16.01,56.72,32.07,20.06,51.31,55.84,19.56
Uttar Pradesh,Ballia,2016,59.28,88.87,45.25,45.8,46.65,11.67,93.03
Andhra Pradesh,Kurnool,2018,43.06,51.59,29.61,75.47,17.35,63.7,62.93
Uttar Pradesh,Basti,2024,32.31,27.81,25.41,71.12,14.83,82.14,18.19
Gujarat,Tapi,2018,17.65,60.85,91.06,42.12,98.68,49.88,83.36
Uttar Pradesh,Kaushambi,2017,63.09,31.51,12.29,64.93,74.46,59.6,70.75
Arunachal Pradesh,Lower Subansiri,2019,41.0,74.03,91.94,15.4,28.57,28.14,70.83
Arunachal Pradesh,Leparada,2021,45.14,60.66,87.13,29.4,25.76,90.04,34.61
Telangana,Nalgonda,2025,48.61,98.34,15.09,84.43,94.78,85.34,38.93
Punjab,Moga,2022,28.45,55.61,26.01,96.82,90.44,10.74,56.53
Maharashtra,Raigad,2016,83.56,95.22,19.57,56.8,65.04,27.03,64.32
Uttar Pradesh,Lakhimpur Kheri,2024,27.8,42.75,13.62,45.72,73.8,67.49,30.31
Gujarat,Chhota Udepur,2021,16.44,43.54,32.99,68.09,47.0,24.85,60.82
Chhattisgarh,Mungeli,2020,72.94,10.23,92.55,68.77,74.11,79.27,83.69
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,25.14,19.16,67.55,25.49,72.59,90.61,18.0
Chhattisgarh,Balrampur,2022,91.68,12.47,81.49,54.52,14.82,80.17,43.09
Andhra Pradesh,Anakapalli,2015,53.15,76.58,35.03,94.57,42.69,59.92,93.67
Assam,Kamrup Metropolitan,2021,53.52,71.79,57.47,21.05,89.97,31.22,14.71
Andhra Pradesh,Chittoor,2018,71.39,31.49,74.99,15.04,96.89,38.6,80.26
Odisha,Balasore,2022,91.33,26.86,94.09,70.48,93.16,29.83,79.11
Uttar Pradesh,Shamli,2021,51.81,12.32,17.01,29.1,85.35,14.46,23.55
Telangana,Siddipet,2023,61.18,66.07,66.34,90.78,17.5,73.26,88.37
Tamil Nadu,Theni,2018,36.1,23.12,81.59,37.89,52.31,95.26,74.45
Madhya Pradesh,Vidisha,2016,31.69,78.32,14.13,95.71,54.34,24.97,47.39
Karnataka,Dharwad,2025,68.67,71.14,56.67,71.5,50.93,34.98,74.43
Odisha,Dhenkanal,2020,82.33,12.7,30.61,38.97,14.15,37.3,78.66
Uttar Pradesh,Jaunpur,2023,12.48,29.05,58.32,93.62,85.84,81.59,15.57
Bihar,Aurangabad,2020,99.54,17.03,65.76,13.93,32.81,72.09,56.35
Andhra Pradesh,Guntur,2025,51.53,21.01,41.77,17.83,48.51,80.32,80.16
Tamil Nadu,Thiruvarur,2024,21.42,67.56,51.75,20.02,23.78,41.97,23.3
Chhattisgarh,Korea,2025,17.94,92.28,54.35,23.69,44.73,30.95,40.39
Jharkhand,Garhwa,2025,81.32,19.09,56.17,39.03,58.05,37.57,97.73
Odisha,Mayurbhanj,2023,84.79,87.84,78.94,66.78,67.19,34.45,74.31
Assam,Dhubri,2025,33.52,57.0,66.39,19.72,17.05,17.67,45.39
Chhattisgarh,Korea,2024,87.28,42.72,44.11,43.89,11.86,24.5,72.66
Chhattisgarh,Janjgir-Champa,2021,48.46,97.62,39.51,60.01,61.23,72.06,42.47
Punjab,Kapurthala,2024,43.06,11.86,62.09,53.42,14.43,53.46,51.42
Maharashtra,Jalna,2016,36.33,75.85,94.13,49.17,15.04,93.39,73.12
Telangana,Narayanpet,2024,62.51,72.78,67.29,55.59,58.56,13.22,89.32
Uttar Pradesh,Etah,2024,28.83,76.63,11.94,70.79,79.19,75.32,43.78
Jharkhand,Chatra,2016,57.41,90.93,89.57,28.63,83.23,55.5,23.55
Madhya Pradesh,Anuppur,2023,31.3,26.61,82.91,57.06,36.22,52.45,64.54
Arunachal Pradesh,Lower Subansiri,2025,64.57,28.62,76.2,35.68,74.91,76.18,17.05
Chhattisgarh,Kabirdham,2020,51.66,53.52,96.71,77.45,99.92,33.09,84.62
Uttar Pradesh,Lakhimpur Kheri,2023,89.35,34.4,56.18,91.15,42.78,69.5,26.09
Assam,West Karbi Anglong,2017,65.71,98.64,77.81,84.01,42.15,39.44,86.96
Odisha,Deogarh,2021,14.86,31.35,24.14,32.56,14.2,29.9,38.41
Arunachal Pradesh,Kra Daadi,2016,72.3,35.98,15.52,94.97,55.29,84.86,89.25
Haryana,Panipat,2018,29.94,10.66,69.87,98.36,37.47,93.16,57.67
Tamil Nadu,Thiruvallur,2016,74.01,98.71,76.48,61.46,77.3,22.2,14.35
Uttar Pradesh,Agra,2015,35.19,43.66,66.15,58.2,70.09,93.4,70.58
Gujarat,Dang,2019,70.46,67.73,58.6,32.92,82.67,10.57,76.88
Assam,Chirang,2018,26.87,48.75,80.05,78.94,62.9,86.22,15.97
Chhattisgarh,Sakti,2025,59.79,11.32,91.31,84.9,38.39,85.03,42.42
Meghalaya,West Khasi Hills,2020,78.81,71.32,57.03,39.07,37.81,11.05,37.88
Karnataka,Bagalkot,2018,34.66,57.26,35.76,69.44,67.88,28.82,87.78
Gujarat,Bharuch,2015,54.1,22.54,98.87,79.76,46.35,44.06,91.62
Arunachal Pradesh,Upper Siang,2022,87.07,84.45,71.79,52.25,78.35,41.71,94.93
Rajasthan,Didwana-Kuchaman,2017,54.44,14.75,28.48,35.99,37.84,34.69,13.19
Rajasthan,Rajsamand,2019,47.2,95.98,39.85,24.31,57.85,34.9,40.28
Tamil Nadu,Namakkal,2017,74.06,53.11,26.83,87.42,19.85,40.21,10.39
Bihar,Katihar,2025,72.78,53.81,22.08,98.82,86.56,75.8,37.58
Karnataka,Vijayanagara,2017,20.66,93.63,87.87,75.08,25.59,41.0,73.27
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2017,80.31,66.46,41.93,13.41,78.59,26.16,33.18
Assam,Karimganj,2020,39.0,62.52,40.4,54.42,96.48,59.13,72.68
Maharashtra,Wardha,2025,43.2,16.21,34.88,44.94,89.57,79.8,72.77
Maharashtra,Washim,2015,61.44,84.05,85.99,51.63,40.28,42.98,39.4
Bihar,Bhagalpur,2015,88.85,40.39,24.45,11.86,63.8,80.49,90.6
Bihar,Gaya,2018,96.91,76.76,56.3,13.74,26.98,90.38,55.9
Tamil Nadu,Madurai,2020,52.52,90.52,31.89,15.57,15.52,13.61,17.26
Madhya Pradesh,Shahdol,2023,21.84,54.85,67.5,22.04,47.7,77.37,67.31
Odisha,Khordha,2018,18.65,27.36,20.78,14.35,96.04,74.26,51.56
Kerala,Palakkad,2015,97.53,76.79,44.79,44.67,84.13,32.66,43.55
Bihar,Kishanganj,2024,64.51,46.15,95.07,74.94,35.57,11.52,23.07
Maharashtra,Nandurbar,2018,15.32,97.9,91.06,51.35,53.63,47.44,56.91
Gujarat,Porbandar,2021,46.69,34.63,48.73,89.05,57.44,21.63,91.83
Tamil Nadu,Krishnagiri,2018,92.22,95.1,57.39,23.21,89.39,61.33,31.22
Assam,Charaideo,2019,44.05,48.07,62.89,11.86,32.12,14.51,13.57
Uttar Pradesh,Lucknow,2020,40.74,72.66,54.77,91.86,48.11,85.0,53.98
Haryana,Faridabad,2016,53.42,30.19,14.5,71.57,51.75,33.91,40.64
Rajasthan,Tonk,2021,15.85,25.12,41.42,96.16,62.5,52.6,83.27
Madhya Pradesh,Katni,2017,29.85,44.34,40.51,26.96,99.96,33.32,49.32
Mizoram,Serchhip,2015,52.71,81.01,65.79,12.52,80.26,35.97,81.61
Tamil Nadu,Tiruvannamalai,2019,74.97,95.08,45.2,50.64,35.16,94.2,44.89
Maharashtra,Hingoli,2016,51.03,75.95,97.35,50.12,25.81,13.43,17.23
Tamil Nadu,Thanjavur,2022,70.68,54.81,23.07,21.52,70.44,58.32,38.69
Uttar Pradesh,Agra,2015,96.12,72.24,87.14,78.89,63.34,25.88,16.15
Manipur,Kakching,2022,94.41,95.77,36.73,62.83,24.2,67.07,89.09
Bihar,Saharsa,2015,38.6,30.91,45.92,31.75,35.96,22.62,62.64
Telangana,Warangal,2017,35.6,10.65,38.46,84.7,90.48,32.35,64.73
Andhra Pradesh,YSR Kadapa,2019,67.53,93.87,86.06,26.99,57.66,57.47,59.33
Haryana,Rewari,2016,74.42,68.81,10.97,53.41,38.8,36.85,31.96
Punjab,Rupnagar,2016,61.55,47.25,42.69,94.71,34.85,80.14,86.39
Karnataka,Shivamogga,2025,89.32,82.29,18.94,25.95,73.42,61.01,33.83
Assam,Hailakandi,2016,53.67,33.39,75.19,37.09,40.55,54.46,54.26
Rajasthan,Sawai Madhopur,2021,81.56,95.58,38.07,24.24,54.32,58.57,23.35
West Bengal,Hooghly,2016,28.76,19.29,89.91,12.04,53.78,52.05,95.15
Arunachal Pradesh,West Siang,2017,88.21,17.29,14.23,66.94,81.36,15.82,89.99
Madhya Pradesh,Vidisha,2015,37.54,36.98,17.37,75.14,95.6,97.33,12.65
Telangana,Medchal-Malkajgiri,2020,82.11,49.27,49.6,87.07,71.35,66.48,29.6
Nagaland,Longleng,2017,41.03,32.32,70.38,80.79,82.13,43.35,84.78
Chhattisgarh,Baloda Bazar,2022,66.98,28.3,67.6,19.82,69.85,92.64,21.96
Andhra Pradesh,YSR Kadapa,2017,51.38,43.33,54.69,21.43,54.8,83.57,86.95
Manipur,Imphal West,2020,64.94,94.87,22.24,27.47,40.95,20.1,66.05
Bihar,Jehanabad,2017,32.34,58.05,72.64,75.32,12.33,96.34,48.94
Chhattisgarh,Jashpur,2016,47.39,10.34,25.69,63.87,35.14,40.99,76.72
Bihar,Nalanda,2017,87.9,80.77,30.72,93.71,25.07,82.48,35.21
Maharashtra,Satara,2015,94.93,22.3,76.96,51.52,40.5,74.27,12.21
Bihar,Samastipur,2015,93.66,17.92,51.95,63.64,86.01,23.57,37.27
Tamil Nadu,Nagapattinam,2021,73.25,43.92,57.37,63.95,66.37,24.75,55.35
West Bengal,Paschim Bardhaman,2017,58.19,48.66,96.07,53.12,94.35,77.84,31.53
Chhattisgarh,Gariaband,2022,80.65,80.06,79.7,67.08,64.9,53.66,12.13
Himachal Pradesh,Kangra,2015,56.97,39.75,15.18,91.98,95.14,47.34,63.68
Haryana,Charkhi Dadri,2018,79.69,13.46,72.35,69.08,96.79,98.61,68.31
Jharkhand,Dhanbad,2018,56.12,83.9,72.14,90.01,40.82,23.56,32.35
Odisha,Bhadrak,2025,39.46,50.2,51.26,73.79,36.01,20.06,67.8
Haryana,Bhiwani,2019,93.88,41.14,11.9,76.34,62.32,27.38,46.03
Sikkim,Gyalshing,2022,21.34,13.28,21.78,52.31,30.8,87.73,32.78
Uttar Pradesh,Lalitpur,2025,33.83,70.34,87.85,49.39,91.52,42.61,32.35
Uttar Pradesh,Deoria,2019,62.84,29.61,24.37,18.78,73.39,69.11,25.67
Madhya Pradesh,Sheopur,2025,44.71,55.59,45.43,28.76,17.98,13.68,86.34
Uttar Pradesh,Bhadohi,2015,77.38,73.2,97.77,64.13,43.44,22.28,33.74
Bihar,Bhojpur,2023,83.55,71.99,80.38,75.49,14.95,83.25,48.94
Meghalaya,West Jaintia Hills,2017,80.76,23.38,67.6,55.73,52.89,47.47,35.41
Uttar Pradesh,Hamirpur,2020,18.01,50.04,91.57,73.35,10.79,68.68,40.16
Rajasthan,Shahpura,2019,86.09,77.14,98.35,28.94,44.99,60.64,92.37
Arunachal Pradesh,Siang,2015,27.01,93.43,93.11,98.29,51.09,79.0,46.13
Assam,Morigaon,2025,24.05,72.75,97.6,68.24,24.22,37.56,45.78
Andhra Pradesh,Annamayya,2017,98.36,29.14,69.25,60.85,55.55,10.85,90.75
Chhattisgarh,Korba,2018,61.83,56.23,24.76,63.62,94.54,73.48,89.8
Maharashtra,Sangli,2020,54.08,78.62,33.01,65.33,69.72,96.25,23.59
Tamil Nadu,Viluppuram,2025,79.15,13.44,49.21,42.61,72.47,34.71,53.3
Odisha,Ganjam,2025,71.04,65.74,19.13,89.75,58.01,56.95,32.84
Andhra Pradesh,East Godavari,2021,44.17,30.03,73.45,48.86,76.81,97.06,81.16
Karnataka,Kolar,2015,99.71,35.29,93.26,40.2,36.26,89.44,53.68
Tamil Nadu,Virudhunagar,2015,97.97,74.86,24.28,43.65,92.76,65.59,16.58
Assam,Kokrajhar,2023,67.52,75.26,56.89,35.47,20.77,72.2,98.7
Odisha,Bhadrak,2016,95.9,56.3,72.14,82.5,15.75,20.02,88.33
Uttar Pradesh,Meerut,2021,64.31,64.04,65.38,77.78,42.41,68.05,66.7
Jharkhand,Bokaro,2019,26.64,87.68,93.41,55.3,50.68,78.55,73.84
Maharashtra,Nanded,2022,95.31,52.24,70.23,40.48,23.27,50.32,19.18
Odisha,Deogarh,2023,83.58,49.92,50.58,52.1,51.14,93.56,39.99
Uttar Pradesh,Shamli,2016,38.05,56.54,83.62,49.76,14.81,78.59,40.85
Odisha,Mayurbhanj,2025,90.71,76.81,13.74,25.62,82.52,34.8,48.21
Mizoram,Serchhip,2024,16.79,85.97,95.59,50.2,88.63,67.47,76.97
Odisha,Malkangiri,2024,42.08,96.3,51.66,56.03,58.6,78.96,65.04
Telangana,Mulugu,2018,37.82,44.66,81.95,66.91,34.8,59.33,70.18
Sikkim,Namchi,2025,39.02,51.81,63.86,14.95,19.64,39.58,45.52
Himachal Pradesh,Sirmaur,2025,85.29,47.77,45.1,52.89,11.81,18.47,72.97
Rajasthan,Bhilwara,2017,97.45,45.13,57.94,42.61,57.71,47.15,55.08
Mizoram,Saitual,2024,11.41,34.26,57.56,11.78,57.24,77.88,29.4
Uttar Pradesh,Prayagraj,2021,93.87,44.83,43.43,27.14,71.52,47.6,32.05
Uttar Pradesh,Fatehpur,2020,63.27,28.76,99.14,58.96,45.57,69.36,58.06
Maharashtra,Washim,2022,31.34,29.11,51.3,88.37,92.57,28.87,86.29
Madhya Pradesh,Hoshangabad (Narmadapuram),2017,23.49,86.74,12.08,82.2,63.35,69.11,82.02
Andhra Pradesh,Guntur,2018,41.85,15.51,25.06,32.02,90.61,87.39,91.41
Uttar Pradesh,Gonda,2022,32.97,93.27,38.25,86.57,35.41,49.43,78.32
Uttar Pradesh,Rae Bareli,2022,38.95,21.36,11.05,51.44,82.63,76.47,80.65
Odisha,Nayagarh,2018,79.62,44.66,91.23,40.76,12.32,80.39,55.96
Maharashtra,Nagpur,2021,23.51,32.24,69.32,60.71,11.71,19.5,79.12
Karnataka,Kolar,2021,51.68,32.75,63.76,92.77,27.08,51.49,42.68
Telangana,Peddapalli,2015,88.14,97.25,76.17,84.62,69.57,43.99,13.16
Arunachal Pradesh,West Siang,2022,12.77,67.3,37.51,37.93,76.23,47.07,12.94
Tamil Nadu,Dharmapuri,2021,69.04,93.81,14.81,93.0,12.26,47.96,58.73
Arunachal Pradesh,Lepa Rada,2023,92.06,89.71,20.12,56.59,96.75,87.64,43.09
Tamil Nadu,Dharmapuri,2022,99.36,53.93,77.53,59.3,16.99,97.24,95.61
West Bengal,Purba Bardhaman,2017,44.28,27.62,56.65,51.63,56.13,77.84,27.71
Nagaland,Dimapur,2017,74.18,35.69,98.02,39.4,19.04,63.48,50.79
Nagaland,Kohima,2019,80.88,27.38,46.68,18.61,26.98,83.99,11.35
Uttar Pradesh,Etawah,2025,65.99,70.71,64.51,21.63,40.75,99.47,60.05
Chhattisgarh,Bilaspur,2024,98.84,62.18,77.38,72.62,98.94,76.24,21.04
Himachal Pradesh,Shimla,2018,78.51,72.58,52.82,87.43,32.65,78.32,30.99
Uttar Pradesh,Rae Bareli,2017,79.72,20.05,48.98,58.31,89.11,34.98,92.09
Arunachal Pradesh,Upper Siang,2017,28.16,45.24,59.97,16.18,19.55,23.65,15.59
Arunachal Pradesh,Kra Daadi,2017,63.14,61.53,63.43,94.81,95.48,31.88,90.24
Telangana,Mancherial,2019,79.09,23.1,19.63,18.85,95.18,48.91,63.98
Uttar Pradesh,Hapur,2022,94.49,31.31,93.58,82.44,89.75,23.5,53.57
Chhattisgarh,Raigarh,2024,31.32,38.97,78.96,66.22,67.97,20.46,48.73
Chhattisgarh,Balod,2018,58.27,60.05,24.93,68.07,96.52,41.08,35.28
Uttar Pradesh,Rampur,2017,91.96,53.98,25.65,64.14,19.14,90.54,10.58
Uttar Pradesh,Meerut,2023,69.67,10.09,32.15,21.97,26.94,41.38,53.47
Telangana,Peddapalli,2017,21.66,24.64,67.14,33.28,47.56,54.07,11.63
Telangana,Komaram Bheem Asifabad,2025,43.43,10.62,78.13,97.6,24.25,71.98,99.69
Uttar Pradesh,Ballia,2023,33.46,19.62,33.01,92.44,47.67,43.53,23.94
West Bengal,South 24 Parganas,2019,22.79,84.26,25.97,18.28,29.09,63.12,79.07
Rajasthan,Jhunjhunu,2020,93.2,53.87,90.56,55.41,21.66,77.41,72.51
Madhya Pradesh,Mandsaur,2020,70.04,50.0,16.08,44.8,37.45,92.97,32.54
Gujarat,Valsad,2016,52.68,12.5,10.05,94.73,59.69,24.98,68.16
Telangana,Khammam,2016,48.79,87.4,38.98,28.83,39.8,81.62,72.43
Chhattisgarh,Balod,2019,63.35,52.73,27.59,57.43,39.98,55.99,52.33
Telangana,Jagtial,2020,90.26,35.4,90.07,56.44,97.75,85.99,47.25
Punjab,Ludhiana,2021,86.23,41.23,67.41,47.86,61.28,67.94,57.1
Rajasthan,Nagaur,2023,15.43,29.82,29.13,34.9,73.6,29.15,74.48
Andhra Pradesh,Tirupati,2021,33.46,55.61,24.23,57.76,95.22,36.69,33.82
Karnataka,Dakshina Kannada,2023,98.25,26.19,67.96,12.4,55.89,91.24,68.53
Uttar Pradesh,Basti,2021,89.79,30.53,43.2,73.16,95.85,81.34,97.94
Rajasthan,Khairthal-Tijara,2025,75.78,66.8,58.6,63.52,55.11,63.94,66.47
Uttar Pradesh,Unnao,2023,65.75,69.99,82.39,49.49,18.18,51.37,55.72
Jharkhand,East Singhbhum,2025,79.45,42.6,63.51,37.43,72.15,12.31,45.71
Jharkhand,Dhanbad,2016,53.02,88.49,81.1,88.63,77.84,45.35,63.09
Rajasthan,Tonk,2017,42.04,18.78,68.65,93.97,29.33,52.77,96.04
Assam,Jorhat,2016,91.74,27.51,61.63,90.48,33.38,80.36,10.18
Assam,Bongaigaon,2019,73.79,63.58,70.42,65.47,42.78,69.63,89.58
West Bengal,Murshidabad,2020,94.57,64.99,82.46,17.63,99.29,43.01,43.08
Arunachal Pradesh,Papum Pare,2023,28.53,26.25,49.68,41.63,49.3,14.12,33.86
Uttar Pradesh,Maharajganj,2018,47.2,95.23,42.39,70.29,41.04,23.87,11.03
Uttar Pradesh,Aligarh,2018,97.3,34.29,40.55,37.67,10.93,57.98,70.49
Telangana,Wanaparthy,2024,25.52,55.68,63.9,81.86,22.71,14.04,77.17
Madhya Pradesh,Hoshangabad (Narmadapuram),2018,80.18,10.85,22.41,59.53,40.28,66.52,10.41
Odisha,Nuapada,2019,29.77,78.41,82.09,97.51,26.12,44.93,85.3
Uttar Pradesh,Ghaziabad,2022,12.66,57.45,72.12,11.26,62.67,59.46,28.88
Tamil Nadu,Sivaganga,2025,49.3,94.79,17.8,41.53,15.15,24.86,58.29
Gujarat,Valsad,2015,92.58,81.19,26.85,59.79,32.35,90.04,21.55
Arunachal Pradesh,Lepa Rada,2023,48.54,58.37,39.08,50.88,70.3,74.06,18.05
Haryana,Fatehabad,2019,38.41,93.13,59.65,14.26,47.93,54.63,19.13
Chhattisgarh,Sukma,2016,13.38,38.44,29.87,40.93,62.16,92.5,18.82
Madhya Pradesh,Katni,2017,43.51,76.31,24.61,33.7,75.28,50.09,53.37
Rajasthan,Karauli,2019,28.95,64.15,35.01,87.54,62.32,42.65,78.84
Arunachal Pradesh,Tirap,2022,20.62,60.78,81.65,83.62,15.55,98.67,90.2
Telangana,Medchal-Malkajgiri,2019,34.26,91.56,76.27,60.12,42.18,32.36,95.86
Telangana,Bhadradri Kothagudem,2024,38.76,51.05,70.57,74.79,30.05,85.89,83.39
Gujarat,Sabarkantha,2025,29.53,91.34,51.53,43.11,17.98,51.86,74.15
Assam,Karbi Anglong,2021,48.22,90.94,30.7,68.61,69.75,51.56,18.54
Gujarat,Anand,2020,37.26,67.71,53.69,19.64,11.43,19.62,55.73
Jharkhand,Godda,2018,96.68,70.54,61.46,54.24,37.69,90.44,26.33
Jharkhand,Simdega,2022,46.11,22.14,40.14,11.46,70.27,53.19,37.78
Andhra Pradesh,Kakinada,2020,63.37,87.11,53.88,55.18,57.36,56.14,81.32
Uttar Pradesh,Bulandshahr,2023,87.68,40.67,62.92,30.37,90.08,24.25,19.21
Odisha,Sambalpur,2022,96.45,59.49,83.97,70.66,81.16,54.13,28.27
Arunachal Pradesh,Lower Subansiri,2023,98.71,87.17,51.17,26.35,36.98,45.43,87.72
Odisha,Nuapada,2018,96.32,35.15,78.29,66.06,17.03,91.61,67.88
Gujarat,Amreli,2021,29.14,55.34,75.65,86.33,82.4,14.36,16.83
Assam,Morigaon,2025,63.34,97.56,17.03,10.98,81.65,69.99,93.9
Bihar,Arwal,2022,98.67,82.41,99.35,71.72,66.13,99.35,81.93
Haryana,Rohtak,2015,14.01,51.27,61.98,63.47,53.08,72.65,15.9
Rajasthan,Chittorgarh,2022,31.23,20.55,87.58,25.57,62.89,79.52,29.47
Haryana,Gurugram,2020,30.01,76.67,13.04,13.85,43.3,44.93,60.69
Assam,Sonitpur,2015,56.92,76.76,62.36,63.94,46.21,33.1,42.39
Assam,Tinsukia,2019,66.92,97.37,89.48,72.77,69.25,48.26,39.4
Bihar,Darbhanga,2016,59.65,28.26,57.69,35.15,64.32,34.38,13.9
Maharashtra,Pune,2024,34.92,34.95,70.56,73.37,27.71,25.98,57.53
Andhra Pradesh,Krishna,2025,41.91,60.58,13.78,40.11,40.74,37.69,12.46
Tamil Nadu,Kanchipuram,2024,15.11,68.72,96.23,12.87,88.16,94.84,54.77
Tripura,Sepahijala,2021,94.35,82.69,32.37,51.08,46.67,17.0,98.9
Uttar Pradesh,Hapur,2015,51.32,65.92,87.68,25.69,92.07,84.05,19.63
Tamil Nadu,Karur,2023,14.76,11.2,65.25,25.9,29.93,27.21,11.06
Arunachal Pradesh,Changlang,2018,23.57,38.54,76.68,59.06,73.87,67.6,56.89
Jharkhand,Seraikela-Kharsawan,2015,98.46,64.5,96.17,62.1,15.96,38.54,86.24
Arunachal Pradesh,Dibang Valley,2021,11.85,41.66,77.35,20.03,13.39,59.16,45.68
Jharkhand,Ramgarh,2019,50.21,49.98,20.47,42.21,71.94,39.86,11.69
Uttarakhand,Rudraprayag,2024,87.47,17.14,43.68,50.16,21.51,53.88,28.75
Chhattisgarh,Surajpur,2019,75.34,68.73,61.48,95.8,90.65,77.16,53.6
Gujarat,Panchmahal,2020,21.64,22.72,50.32,68.14,41.16,48.3,38.52
Bihar,Purnia,2021,72.57,80.66,78.65,95.43,37.27,82.92,71.67
Punjab,Moga,2021,34.35,25.2,17.2,12.22,87.83,19.11,39.19
Tamil Nadu,Virudhunagar,2016,45.8,14.0,79.03,44.56,44.99,61.67,38.99
Tripura,Khowai,2023,11.47,45.77,18.48,64.35,94.47,18.59,42.19
Jharkhand,Dumka,2018,81.98,52.01,55.21,18.62,72.22,74.86,74.19
Madhya Pradesh,Dindori,2024,35.89,76.12,28.01,21.87,57.95,78.68,71.68
Assam,Bongaigaon,2022,49.07,44.6,46.51,79.5,17.86,94.38,79.49
Chhattisgarh,Gariaband,2018,66.48,96.7,71.66,29.93,60.54,60.15,97.42
Uttar Pradesh,Rae Bareli,2023,92.19,97.62,95.53,88.86,61.02,48.83,30.52
Mizoram,Lunglei,2021,74.83,89.18,23.44,65.61,80.87,35.77,88.04
Kerala,Idukki,2019,24.91,97.89,91.97,28.05,49.38,70.13,17.12
