state,district,year,houses_built,smart_city_projects,water_supply_coverage,internet_penetration_percent,public_transport_projects
Bihar,Khagaria,2020,27889,40,52.05,32.32,20
Bihar,Khagaria,2021,54599,9,56.29,42.94,29
Bihar,Khagaria,2022,36683,44,48.97,87.02,0
Bihar,Khagaria,2023,197406,1,40.25,60.66,25
Bihar,Khagaria,2024,50589,10,55.57,89.58,20
Bihar,Khagaria,2025,47354,28,65.07,79.78,26
Bihar,Kishanganj,2015,182765,49,55.61,70.65,28
Bihar,Kishanganj,2016,83600,35,51.85,37.02,20
Bihar,Kishanganj,2017,162496,1,74.65,83.83,19
Bihar,Kishanganj,2018,158264,19,84.11,50.25,28
Bihar,Kishanganj,2019,11797,5,93.71,58.55,28
Bihar,Kishanganj,2020,83683,11,61.64,81.31,23
Bihar,Kishanganj,2021,51648,35,51.63,78.97,20
Bihar,Kishanganj,2022,199220,37,69.57,70.77,28
Bihar,Kishanganj,2023,181277,26,46.14,86.05,18
Bihar,Kishanganj,2024,76069,39,74.05,48.11,22
Bihar,Kishanganj,2025,6294,0,55.37,86.02,24
Bihar,Lakhisarai,2015,35101,43,78.17,36.05,6
Bihar,Lakhisarai,2016,185178,10,47.6,48.82,1
Bihar,Lakhisarai,2017,111936,5,93.71,78.5,26
Bihar,Lakhisarai,2018,32896,31,74.69,63.39,14
Bihar,Lakhisarai,2019,77698,12,71.66,32.49,21
Bihar,Lakhisarai,2020,24079,30,87.9,36.12,7
Bihar,Lakhisarai,2021,22137,42,60.22,55.78,16
Bihar,Lakhisarai,2022,17619,6,49.46,67.67,10
Bihar,Lakhisarai,2023,76167,5,53.46,59.06,0
Bihar,Lakhisarai,2024,63849,41,40.29,39.07,15
Bihar,Lakhisarai,2025,141080,1,77.4,37.73,24
Bihar,Madhepura,2015,117608,46,51.2,53.79,25
Bihar,Madhepura,2016,131755,42,58.2,90.79,16
Bihar,Madhepura,2017,161827,37,62.68,31.27,18
Bihar,Madhepura,2018,114620,39,64.84,58.38,15
Bihar,Madhepura,2019,67501,20,60.08,59.1,29
Bihar,Madhepura,2020,142799,27,41.12,76.4,18
Bihar,Madhepura,2021,26225,11,55.19,68.17,5
Bihar,Madhepura,2022,105031,18,50.28,67.79,19
Bihar,Madhepura,2023,166660,6,49.43,33.26,8
Bihar,Madhepura,2024,3345,24,86.54,37.84,26
Bihar,Madhepura,2025,128157,1,58.4,52.64,29
Bihar,Madhubani,2015,46925,41,67.74,34.15,21
Bihar,Madhubani,2016,187517,43,65.43,83.76,25
Bihar,Madhubani,2017,92905,31,51.25,76.99,4
Bihar,Madhubani,2018,83457,15,56.71,32.3,0
Bihar,Madhubani,2019,32983,45,56.5,61.58,4
Bihar,Madhubani,2020,38757,2,58.44,81.41,22
Bihar,Madhubani,2021,99904,6,74.89,68.06,15
Bihar,Madhubani,2022,12817,2,93.82,71.83,21
Bihar,Madhubani,2023,8134,11,74.78,43.81,5
Bihar,Madhubani,2024,80404,5,48.59,77.21,27
Bihar,Madhubani,2025,50942,9,54.34,59.2,12
Bihar,Munger,2015,8585,37,47.49,38.99,27
Bihar,Munger,2016,39207,43,90.9,80.01,12
Bihar,Munger,2017,78658,6,77.45,30.98,12
Bihar,Munger,2018,69019,31,71.03,94.44,24
Bihar,Munger,2019,22866,17,79.63,53.02,5
Bihar,Munger,2020,133023,13,98.77,73.12,24
Bihar,Munger,2021,42892,0,97.83,63.7,21
Bihar,Munger,2022,106484,21,42.01,83.98,2
Bihar,Munger,2023,140720,46,56.45,52.96,0
Bihar,Munger,2024,178220,22,48.78,63.3,28
Bihar,Munger,2025,23684,44,72.71,56.31,2
Bihar,Muzaffarpur,2015,182967,34,82.16,44.46,28
Bihar,Muzaffarpur,2016,123433,35,83.19,64.01,19
Bihar,Muzaffarpur,2017,24306,14,45.54,77.13,23
Bihar,Muzaffarpur,2018,118591,39,50.32,55.86,10
Bihar,Muzaffarpur,2019,47948,39,59.48,33.84,14
Bihar,Muzaffarpur,2020,60135,49,50.05,52.76,2
Bihar,Muzaffarpur,2021,146982,39,56.98,57.27,8
Bihar,Muzaffarpur,2022,91769,44,80.22,90.39,3
Bihar,Muzaffarpur,2023,181471,41,99.19,82.56,5
Bihar,Muzaffarpur,2024,25371,36,41.43,67.77,14
Bihar,Muzaffarpur,2025,198117,37,77.89,42.3,0
Bihar,Nalanda,2015,53448,22,54.04,84.34,7
Bihar,Nalanda,2016,57800,25,53.9,70.11,12
Bihar,Nalanda,2017,133072,27,46.69,60.7,26
Bihar,Nalanda,2018,158763,1,98.61,90.11,12
Bihar,Nalanda,2019,71900,47,80.61,69.02,12
Bihar,Nalanda,2020,12403,37,52.58,72.32,27
Bihar,Nalanda,2021,169464,2,83.62,65.97,16
Bihar,Nalanda,2022,50149,47,90.71,85.71,5
Bihar,Nalanda,2023,182910,24,48.62,68.4,26
Bihar,Nalanda,2024,185926,29,76.64,69.54,15
Bihar,Nalanda,2025,163279,50,45.41,57.46,1
Bihar,Nawada,2015,66655,22,69.72,32.71,25
Bihar,Nawada,2016,167757,41,47.06,86.81,4
Bihar,Nawada,2017,84607,45,87.25,76.19,29
Bihar,Nawada,2018,114581,8,77.11,81.1,8
Bihar,Nawada,2019,91522,1,48.68,58.25,16
Bihar,Nawada,2020,10472,15,42.46,48.27,10
Bihar,Nawada,2021,168238,37,66.43,57.37,25
Bihar,Nawada,2022,132455,16,97.73,59.2,13
Bihar,Nawada,2023,743,0,42.37,91.47,21
Bihar,Nawada,2024,118656,38,80.98,32.52,7
Bihar,Nawada,2025,8618,29,80.11,51.97,29
Bihar,Patna,2015,115074,1,98.98,86.09,8
Bihar,Patna,2016,177388,17,58.06,64.02,15
Bihar,Patna,2017,172049,5,74.07,55.98,10
Bihar,Patna,2018,191880,17,63.47,32.25,15
Bihar,Patna,2019,67252,16,57.59,71.22,29
Bihar,Patna,2020,47326,2,74.69,75.11,22
Bihar,Patna,2021,95417,14,44.46,54.83,29
Bihar,Patna,2022,80741,10,43.01,32.53,3
Bihar,Patna,2023,89155,45,55.08,72.08,11
Bihar,Patna,2024,81242,29,84.34,81.96,16
Bihar,Patna,2025,147107,48,40.12,81.29,16
Bihar,Purnia,2015,63663,43,58.36,30.37,20
Bihar,Purnia,2016,68966,5,79.97,34.84,25
Bihar,Purnia,2017,152544,34,51.26,81.41,26
Bihar,Purnia,2018,175304,50,53.62,62.63,26
Bihar,Purnia,2019,184254,49,42.87,85.23,25
Bihar,Purnia,2020,140234,44,77.4,52.25,18
Bihar,Purnia,2021,159724,31,64.87,37.42,7
Bihar,Purnia,2022,115300,5,79.99,45.63,8
Bihar,Purnia,2023,145071,39,87.55,64.1,25
Bihar,Purnia,2024,81468,30,69.43,35.02,14
Bihar,Purnia,2025,32001,42,52.58,87.32,28
Bihar,Rohtas,2015,36686,1,69.5,77.72,5
Bihar,Rohtas,2016,141260,21,54.68,65.87,25
Bihar,Rohtas,2017,28655,26,51.56,35.55,27
Bihar,Rohtas,2018,71390,49,63.45,82.65,15
Bihar,Rohtas,2019,199598,27,47.77,66.52,14
Bihar,Rohtas,2020,67570,26,73.96,91.37,8
Bihar,Rohtas,2021,195039,6,96.09,90.53,18
Bihar,Rohtas,2022,87779,26,72.94,77.51,0
Bihar,Rohtas,2023,186265,41,47.56,78.33,26
Bihar,Rohtas,2024,9979,43,42.44,40.3,1
Bihar,Rohtas,2025,31257,40,80.03,46.58,25
Bihar,Saharsa,2015,156096,35,78.89,55.9,25
Bihar,Saharsa,2016,89391,17,85.26,38.91,8
Bihar,Saharsa,2017,123511,19,49.29,44.91,1
Bihar,Saharsa,2018,100844,41,52.24,72.01,9
Bihar,Saharsa,2019,77836,11,59.84,67.73,0
Bihar,Saharsa,2020,141364,0,92.7,91.83,27
Bihar,Saharsa,2021,27618,29,93.53,61.11,7
Bihar,Saharsa,2022,108700,39,82.75,88.82,7
Bihar,Saharsa,2023,154015,35,55.31,50.15,13
Bihar,Saharsa,2024,63321,14,91.87,80.65,19
Bihar,Saharsa,2025,194508,41,91.09,88.59,28
Bihar,Samastipur,2015,59778,14,90.15,43.62,27
Bihar,Samastipur,2016,16943,21,89.2,86.63,5
Bihar,Samastipur,2017,148252,16,89.74,37.95,28
Bihar,Samastipur,2018,45607,13,95.15,44.36,2
Bihar,Samastipur,2019,185059,28,94.33,75.7,12
Bihar,Samastipur,2020,169546,29,49.73,59.32,18
Bihar,Samastipur,2021,108084,3,67.48,94.38,1
Bihar,Samastipur,2022,176417,39,47.67,62.86,25
Bihar,Samastipur,2023,155842,14,62.9,80.69,23
Bihar,Samastipur,2024,83332,38,63.98,35.47,4
Bihar,Samastipur,2025,115670,6,70.22,84.41,10
Bihar,Saran,2015,33255,39,91.07,56.67,5
Bihar,Saran,2016,169133,40,63.31,50.64,25
Bihar,Saran,2017,48379,48,66.09,68.63,29
Bihar,Saran,2018,3685,33,44.77,94.69,4
Bihar,Saran,2019,188690,0,97.64,57.56,17
Bihar,Saran,2020,129576,24,77.87,37.29,12
Bihar,Saran,2021,53610,43,43.23,64.45,20
Bihar,Saran,2022,155874,43,42.61,37.22,1
Bihar,Saran,2023,161493,43,86.65,35.89,8
Bihar,Saran,2024,144692,43,74.52,77.2,9
Bihar,Saran,2025,177370,21,69.09,52.94,8
Bihar,Sheikhpura,2015,173476,28,71.8,38.09,15
Bihar,Sheikhpura,2016,130097,2,41.76,58.72,4
Bihar,Sheikhpura,2017,29718,41,78.63,92.49,3
Bihar,Sheikhpura,2018,115921,50,41.98,53.8,14
Bihar,Sheikhpura,2019,10783,22,99.46,64.09,2
Bihar,Sheikhpura,2020,82088,45,79.1,84.65,12
Bihar,Sheikhpura,2021,56753,5,76.09,51.0,25
Bihar,Sheikhpura,2022,179728,29,56.1,45.51,29
Bihar,Sheikhpura,2023,14610,44,97.22,32.54,28
Bihar,Sheikhpura,2024,51523,28,71.44,88.06,24
Bihar,Sheikhpura,2025,134028,40,41.7,74.02,25
Bihar,Sheohar,2015,136740,10,98.11,76.99,4
Bihar,Sheohar,2016,7609,7,53.69,37.22,9
Bihar,Sheohar,2017,25184,3,66.42,75.51,2
Bihar,Sheohar,2018,197191,49,44.19,73.85,15
Bihar,Sheohar,2019,99515,36,61.07,50.91,26
Bihar,Sheohar,2020,45198,29,71.55,30.89,2
Bihar,Sheohar,2021,131392,6,59.53,81.61,11
Bihar,Sheohar,2022,114883,6,88.2,61.85,18
Bihar,Sheohar,2023,82660,26,76.26,73.85,19
Bihar,Sheohar,2024,129753,32,84.12,54.17,18
Bihar,Sheohar,2025,178067,6,98.1,70.28,23
Bihar,Sitamarhi,2015,24898,48,96.08,43.74,30
Bihar,Sitamarhi,2016,121691,3,72.74,35.93,23
Bihar,Sitamarhi,2017,151976,32,60.89,67.28,3
Bihar,Sitamarhi,2018,38569,28,81.79,75.64,1
Bihar,Sitamarhi,2019,91661,28,44.44,85.96,0
Bihar,Sitamarhi,2020,173129,38,64.92,43.38,19
Bihar,Sitamarhi,2021,153049,36,51.11,65.14,13
Bihar,Sitamarhi,2022,51061,42,95.24,63.47,13
Bihar,Sitamarhi,2023,176778,46,50.44,30.53,24
Bihar,Sitamarhi,2024,30146,30,61.22,30.82,13
Bihar,Sitamarhi,2025,105842,12,70.62,60.51,7
Bihar,Siwan,2015,159782,6,81.86,93.67,24
Bihar,Siwan,2016,43235,27,92.11,59.45,29
Bihar,Siwan,2017,8287,25,88.9,88.63,21
Bihar,Siwan,2018,61956,41,94.92,40.7,29
Bihar,Siwan,2019,147338,36,54.8,36.14,27
Bihar,Siwan,2020,89566,10,42.04,64.26,16
Bihar,Siwan,2021,16756,27,93.5,92.29,1
Bihar,Siwan,2022,149826,43,90.95,42.13,3
Bihar,Siwan,2023,62627,26,41.77,66.84,25
Bihar,Siwan,2024,27799,46,65.57,74.5,14
Bihar,Siwan,2025,189391,1,91.16,60.13,11
Bihar,Supaul,2015,189795,32,51.86,75.28,1
Bihar,Supaul,2016,17208,31,79.1,38.62,20
Bihar,Supaul,2017,73302,16,40.33,69.48,25
Bihar,Supaul,2018,62591,30,52.08,82.55,1
Bihar,Supaul,2019,1138,12,50.85,33.41,18
Bihar,Supaul,2020,37943,33,86.49,61.13,21
Bihar,Supaul,2021,110734,21,67.49,80.29,7
Bihar,Supaul,2022,25564,23,70.27,83.09,9
Bihar,Supaul,2023,161969,1,51.58,94.05,30
Bihar,Supaul,2024,115597,22,93.53,84.5,0
Bihar,Supaul,2025,36497,39,73.29,78.46,19
Bihar,Vaishali,2015,170102,4,72.84,47.73,25
Bihar,Vaishali,2016,84609,18,78.15,55.41,25
Bihar,Vaishali,2017,76556,42,86.69,59.92,20
Bihar,Vaishali,2018,178478,25,53.56,53.21,8
Bihar,Vaishali,2019,19118,20,85.41,48.81,9
Bihar,Vaishali,2020,22923,39,81.4,80.71,29
Bihar,Vaishali,2021,183215,17,41.86,85.81,24
Bihar,Vaishali,2022,161255,38,82.03,84.61,4
Bihar,Vaishali,2023,62430,39,57.59,79.03,30
Bihar,Vaishali,2024,155107,37,56.58,53.79,25
Bihar,Vaishali,2025,98538,39,98.4,61.1,28
Bihar,West Champaran,2015,182713,26,82.73,44.42,27
Bihar,West Champaran,2016,11194,30,74.99,51.28,12
Bihar,West Champaran,2017,57171,25,69.26,57.38,8
Bihar,West Champaran,2018,23419,19,82.2,33.72,22
Bihar,West Champaran,2019,45549,14,89.68,88.19,19
Bihar,West Champaran,2020,50243,7,73.36,74.62,18
Bihar,West Champaran,2021,26780,37,64.79,89.64,25
Bihar,West Champaran,2022,176186,18,65.8,45.51,15
Bihar,West Champaran,2023,146114,19,71.89,92.65,7
Bihar,West Champaran,2024,67240,28,73.33,71.14,30
Bihar,West Champaran,2025,77492,50,66.23,89.52,1
Chhattisgarh,Balod,2015,189132,18,49.87,42.29,5
Chhattisgarh,Balod,2016,22777,29,99.95,77.5,7
Chhattisgarh,Balod,2017,91919,46,78.14,37.05,28
Chhattisgarh,Balod,2018,151967,33,82.2,53.97,14
Chhattisgarh,Balod,2019,169592,40,57.89,53.51,22
Chhattisgarh,Balod,2020,123726,6,42.31,33.95,18
Chhattisgarh,Balod,2021,64265,7,63.84,39.13,5
Chhattisgarh,Balod,2022,171617,34,63.88,94.04,20
Chhattisgarh,Balod,2023,37366,12,69.59,64.89,29
Chhattisgarh,Balod,2024,67315,15,81.4,47.33,27
Chhattisgarh,Balod,2025,52745,30,45.18,78.43,11
Chhattisgarh,Baloda Bazar,2015,169356,8,55.03,55.01,30
Chhattisgarh,Baloda Bazar,2016,84008,35,41.59,79.06,12
Chhattisgarh,Baloda Bazar,2017,179529,19,52.39,48.66,3
Chhattisgarh,Baloda Bazar,2018,153048,35,75.92,86.19,2
Chhattisgarh,Baloda Bazar,2019,142742,49,62.76,64.48,1
Chhattisgarh,Baloda Bazar,2020,47453,30,48.86,44.09,7
Chhattisgarh,Baloda Bazar,2021,91447,35,75.22,63.44,14
Chhattisgarh,Baloda Bazar,2022,10015,39,57.9,36.7,17
Chhattisgarh,Baloda Bazar,2023,3207,50,68.3,42.92,14
Chhattisgarh,Baloda Bazar,2024,8212,35,66.78,86.11,28
Chhattisgarh,Baloda Bazar,2025,56399,3,55.39,78.32,12
Chhattisgarh,Balrampur,2015,95914,1,78.88,75.84,18
Chhattisgarh,Balrampur,2016,31622,24,79.06,91.43,5
Chhattisgarh,Balrampur,2017,167566,19,91.72,68.68,6
Chhattisgarh,Balrampur,2018,84597,23,69.06,94.86,5
Chhattisgarh,Balrampur,2019,197633,12,43.1,59.68,15
Chhattisgarh,Balrampur,2020,92089,14,80.47,90.69,26
Chhattisgarh,Balrampur,2021,92678,30,52.84,83.28,14
Chhattisgarh,Balrampur,2022,190958,46,70.69,65.88,1
Chhattisgarh,Balrampur,2023,93749,15,95.27,90.88,13
Chhattisgarh,Balrampur,2024,3417,27,42.71,91.27,16
Chhattisgarh,Balrampur,2025,3566,33,97.04,73.55,1
Chhattisgarh,Bastar,2015,57666,34,96.62,76.8,11
Chhattisgarh,Bastar,2016,64182,46,68.39,49.56,13
Chhattisgarh,Bastar,2017,44906,35,92.37,69.87,26
Chhattisgarh,Bastar,2018,157729,42,87.12,48.71,30
Chhattisgarh,Bastar,2019,75249,17,74.18,84.21,11
Chhattisgarh,Bastar,2020,57258,46,94.02,38.08,26
Chhattisgarh,Bastar,2021,9646,47,64.78,82.11,30
Chhattisgarh,Bastar,2022,118251,19,61.09,59.42,6
Chhattisgarh,Bastar,2023,186135,40,83.47,32.59,12
Chhattisgarh,Bastar,2024,138625,16,74.14,41.66,25
Chhattisgarh,Bastar,2025,43723,38,54.71,59.25,12
Chhattisgarh,Bemetara,2015,135821,23,83.69,50.91,6
Chhattisgarh,Bemetara,2016,55448,43,47.16,75.3,10
Chhattisgarh,Bemetara,2017,108538,23,68.85,86.98,11
Chhattisgarh,Bemetara,2018,117477,43,54.35,82.18,17
Chhattisgarh,Bemetara,2019,49202,34,89.54,64.2,23
Chhattisgarh,Bemetara,2020,180488,33,53.36,71.67,28
Chhattisgarh,Bemetara,2021,97894,40,56.89,86.62,20
Chhattisgarh,Bemetara,2022,24037,41,71.16,75.28,18
Chhattisgarh,Bemetara,2023,34111,17,42.49,35.32,0
Chhattisgarh,Bemetara,2024,59676,33,77.07,35.69,24
Chhattisgarh,Bemetara,2025,69709,32,53.74,88.92,19
Chhattisgarh,Bijapur,2015,166267,25,58.28,59.4,20
Chhattisgarh,Bijapur,2016,58913,36,76.12,42.02,9
Chhattisgarh,Bijapur,2017,28722,3,75.4,36.89,29
Chhattisgarh,Bijapur,2018,81082,34,56.76,59.22,24
Chhattisgarh,Bijapur,2019,36074,35,63.31,40.39,5
Chhattisgarh,Bijapur,2020,149217,11,81.05,56.7,23
Chhattisgarh,Bijapur,2021,165354,46,77.11,53.23,16
Chhattisgarh,Bijapur,2022,163550,29,79.92,85.7,22
Chhattisgarh,Bijapur,2023,13852,47,64.49,62.65,26
Chhattisgarh,Bijapur,2024,61201,45,45.68,70.43,13
Chhattisgarh,Bijapur,2025,102967,14,54.02,49.69,9
Chhattisgarh,Bilaspur,2015,185459,32,92.56,89.87,26
Chhattisgarh,Bilaspur,2016,176422,48,50.66,82.76,18
Chhattisgarh,Bilaspur,2017,67241,35,74.99,92.82,20
Chhattisgarh,Bilaspur,2018,182161,49,97.42,52.8,10
Chhattisgarh,Bilaspur,2019,191380,6,88.96,49.41,16
Chhattisgarh,Bilaspur,2020,75622,42,84.63,39.54,10
Chhattisgarh,Bilaspur,2021,26764,36,41.09,41.82,26
Chhattisgarh,Bilaspur,2022,74811,0,92.99,39.65,30
Chhattisgarh,Bilaspur,2023,39831,49,83.58,30.06,15
Chhattisgarh,Bilaspur,2024,67241,32,88.18,69.15,23
Chhattisgarh,Bilaspur,2025,91388,21,93.6,92.83,13
Chhattisgarh,Dantewada,2015,33048,49,90.62,66.25,6
Chhattisgarh,Dantewada,2016,97297,36,74.3,33.63,20
Chhattisgarh,Dantewada,2017,170477,23,80.54,53.8,23
Chhattisgarh,Dantewada,2018,195852,36,75.4,44.39,0
Chhattisgarh,Dantewada,2019,112065,21,82.59,68.96,10
Chhattisgarh,Dantewada,2020,124002,21,95.33,85.08,15
Chhattisgarh,Dantewada,2021,188678,10,54.95,83.33,27
Chhattisgarh,Dantewada,2022,24541,34,82.52,55.14,21
Chhattisgarh,Dantewada,2023,11735,8,48.82,87.62,15
Chhattisgarh,Dantewada,2024,6021,21,55.29,81.17,5
Chhattisgarh,Dantewada,2025,138317,39,44.99,39.97,22
Chhattisgarh,Dhamtari,2015,57602,17,44.47,69.8,4
Chhattisgarh,Dhamtari,2016,166538,4,51.48,90.81,0
Chhattisgarh,Dhamtari,2017,144399,34,62.37,85.93,20
Chhattisgarh,Dhamtari,2018,198728,12,87.49,35.86,17
Chhattisgarh,Dhamtari,2019,188613,27,60.7,32.46,27
Chhattisgarh,Dhamtari,2020,160945,3,63.64,91.67,13
Chhattisgarh,Dhamtari,2021,102106,16,71.36,92.89,25
Chhattisgarh,Dhamtari,2022,110290,9,62.5,94.54,4
Chhattisgarh,Dhamtari,2023,13154,39,81.25,84.68,1
Chhattisgarh,Dhamtari,2024,89557,42,44.4,46.78,24
Chhattisgarh,Dhamtari,2025,45755,1,69.39,48.29,23
Chhattisgarh,Durg,2015,77834,22,41.6,56.27,25
Chhattisgarh,Durg,2016,120505,33,47.58,60.85,5
Chhattisgarh,Durg,2017,195224,28,92.83,42.38,24
Chhattisgarh,Durg,2018,150082,21,76.0,51.38,4
Chhattisgarh,Durg,2019,80638,36,59.42,36.81,26
Chhattisgarh,Durg,2020,71927,33,42.23,65.97,2
Chhattisgarh,Durg,2021,154389,14,82.24,52.7,10
Chhattisgarh,Durg,2022,41668,13,58.56,65.47,13
Chhattisgarh,Durg,2023,157522,49,60.15,46.77,19
Chhattisgarh,Durg,2024,120429,11,40.57,61.58,27
Chhattisgarh,Durg,2025,84905,22,85.81,94.12,17
Chhattisgarh,Gariaband,2015,65868,26,79.61,94.53,16
Chhattisgarh,Gariaband,2016,17821,49,71.88,80.54,8
Chhattisgarh,Gariaband,2017,125564,45,78.7,89.24,28
Chhattisgarh,Gariaband,2018,30746,21,78.89,43.77,22
Chhattisgarh,Gariaband,2019,16946,20,49.06,60.33,30
Chhattisgarh,Gariaband,2020,199350,18,49.95,91.72,2
Chhattisgarh,Gariaband,2021,149479,36,55.41,55.53,15
Chhattisgarh,Gariaband,2022,181281,48,83.42,85.84,8
Chhattisgarh,Gariaband,2023,53130,7,80.28,32.32,2
Chhattisgarh,Gariaband,2024,90546,49,86.67,75.73,15
Chhattisgarh,Gariaband,2025,163429,30,55.54,42.38,15
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,31326,48,91.87,80.98,9
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,70657,27,61.78,45.79,7
Chhattisgarh,Gaurela-Pendra-Marwahi,2017,32606,38,63.29,79.37,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,162302,19,75.51,67.81,19
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,181268,20,90.95,91.48,27
Chhattisgarh,Gaurela-Pendra-Marwahi,2020,80603,18,56.46,61.59,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,38331,1,50.28,45.01,11
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,109208,22,42.67,48.49,30
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,89983,14,82.15,37.81,8
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,187197,22,86.16,35.01,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,42427,6,75.96,62.24,28
Chhattisgarh,Janjgir-Champa,2015,188720,7,78.89,59.63,10
Chhattisgarh,Janjgir-Champa,2016,167087,20,73.8,51.36,13
Chhattisgarh,Janjgir-Champa,2017,96648,48,72.31,54.31,7
Chhattisgarh,Janjgir-Champa,2018,54692,37,89.68,55.23,0
Chhattisgarh,Janjgir-Champa,2019,156302,47,76.12,76.75,17
Chhattisgarh,Janjgir-Champa,2020,191982,42,89.14,88.99,26
Chhattisgarh,Janjgir-Champa,2021,29853,40,82.57,32.31,27
Chhattisgarh,Janjgir-Champa,2022,129104,39,44.39,53.93,12
Chhattisgarh,Janjgir-Champa,2023,67033,19,94.91,36.47,25
Chhattisgarh,Janjgir-Champa,2024,105962,17,61.11,63.09,29
Chhattisgarh,Janjgir-Champa,2025,27730,39,98.98,45.96,13
Chhattisgarh,Jashpur,2015,140416,7,59.97,49.25,29
Chhattisgarh,Jashpur,2016,54958,16,53.25,87.63,17
Chhattisgarh,Jashpur,2017,197495,41,74.06,78.78,6
Chhattisgarh,Jashpur,2018,12513,2,69.4,76.04,19
Chhattisgarh,Jashpur,2019,43979,37,96.89,41.06,1
Chhattisgarh,Jashpur,2020,26523,15,89.96,82.78,29
Chhattisgarh,Jashpur,2021,2345,25,75.91,78.1,4
Chhattisgarh,Jashpur,2022,130295,46,50.07,75.54,9
Chhattisgarh,Jashpur,2023,82217,18,92.07,72.31,11
Chhattisgarh,Jashpur,2024,127170,39,54.08,57.22,14
Chhattisgarh,Jashpur,2025,24796,36,62.94,87.24,20
Chhattisgarh,Kabirdham,2015,1483,32,58.93,59.73,11
Chhattisgarh,Kabirdham,2016,40904,34,84.32,74.82,18
Chhattisgarh,Kabirdham,2017,171161,20,96.17,51.28,30
Chhattisgarh,Kabirdham,2018,135737,15,85.44,56.75,16
Chhattisgarh,Kabirdham,2019,102630,18,98.38,82.58,7
Chhattisgarh,Kabirdham,2020,114066,0,54.63,71.75,4
Chhattisgarh,Kabirdham,2021,197665,29,76.42,43.9,24
Chhattisgarh,Kabirdham,2022,123980,29,97.15,74.16,8
Chhattisgarh,Kabirdham,2023,50151,35,85.98,39.15,27
Chhattisgarh,Kabirdham,2024,189678,48,65.05,75.42,22
Chhattisgarh,Kabirdham,2025,45868,29,53.53,82.18,1
Chhattisgarh,Kanker,2015,196909,10,56.92,37.1,28
Chhattisgarh,Kanker,2016,62375,22,68.83,72.52,6
Chhattisgarh,Kanker,2017,21005,40,51.63,50.49,11
Chhattisgarh,Kanker,2018,76768,10,43.67,92.14,5
Chhattisgarh,Kanker,2019,48405,27,44.4,57.15,5
Chhattisgarh,Kanker,2020,46879,45,56.43,49.13,5
Chhattisgarh,Kanker,2021,160107,47,88.12,89.0,8
Chhattisgarh,Kanker,2022,48642,0,46.76,39.83,11
Chhattisgarh,Kanker,2023,133844,50,79.17,81.59,20
Chhattisgarh,Kanker,2024,48869,10,64.47,41.33,8
Chhattisgarh,Kanker,2025,172282,8,75.87,42.98,14
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,105876,30,76.97,92.8,20
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2016,105645,32,64.25,93.57,1
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2017,10643,6,80.9,47.56,17
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2018,131095,3,93.11,51.14,25
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,32764,0,60.3,71.8,25
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2020,54105,43,42.85,41.77,5
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,10151,10,88.35,74.68,18
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,44479,25,77.89,48.07,23
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2023,63500,27,41.05,31.99,21
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2024,77658,0,84.08,79.79,26
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,72315,19,56.01,53.29,7
Chhattisgarh,Kondagaon,2015,53192,6,82.34,53.03,11
Chhattisgarh,Kondagaon,2016,14416,21,85.35,69.5,26
Chhattisgarh,Kondagaon,2017,185957,30,61.74,79.07,14
Chhattisgarh,Kondagaon,2018,115984,46,48.6,40.15,7
Chhattisgarh,Kondagaon,2019,87166,12,88.23,62.57,13
Chhattisgarh,Kondagaon,2020,77052,23,43.11,67.34,30
Chhattisgarh,Kondagaon,2021,154221,29,40.35,43.87,17
Chhattisgarh,Kondagaon,2022,122751,38,70.76,71.79,8
Chhattisgarh,Kondagaon,2023,50441,45,46.32,79.77,3
Chhattisgarh,Kondagaon,2024,85654,44,46.36,69.84,30
Chhattisgarh,Kondagaon,2025,182751,25,50.94,44.08,8
Chhattisgarh,Korba,2015,94248,3,63.77,42.95,25
Chhattisgarh,Korba,2016,145586,16,78.81,72.94,1
Chhattisgarh,Korba,2017,38637,10,83.05,81.91,18
Chhattisgarh,Korba,2018,167261,47,67.37,48.41,2
Chhattisgarh,Korba,2019,183336,26,45.17,32.76,17
Chhattisgarh,Korba,2020,10768,0,84.9,50.46,20
