state,district,year,exports,imports,trade_balance,foreign_investment,tariff_rate,trade_partners,export_growth
Manipur,Churachandpur,2023,89.51,12.59,16.23,95.06,41.37,37.96,93.38
Karnataka,Mandya,2016,87.53,42.71,39.26,89.0,44.51,31.16,23.92
West Bengal,South 24 Parganas,2023,67.45,37.14,88.12,73.73,86.9,52.44,46.99
Manipur,Kakching,2019,82.5,53.5,12.43,59.7,67.28,43.65,64.43
Bihar,Buxar,2018,19.87,22.62,82.61,84.55,10.01,97.91,57.39
Arunachal Pradesh,Pakke-Kessang,2023,30.86,23.65,77.92,67.15,36.19,15.05,64.87
Telangana,Narayanpet,2017,82.48,52.81,18.1,42.57,79.77,44.52,75.55
Uttar Pradesh,Mirzapur,2019,26.55,13.14,36.99,82.26,18.29,23.92,53.92
Odisha,Ganjam,2024,37.35,73.69,55.6,38.31,34.32,18.37,78.83
Uttar Pradesh,Prayagraj,2024,93.24,50.36,54.07,11.69,30.44,12.89,42.91
Uttar Pradesh,Bijnor,2020,58.06,61.74,62.83,68.55,88.61,40.84,23.83
Himachal Pradesh,Shimla,2019,82.62,89.61,20.46,80.5,11.58,55.03,89.79
Andhra Pradesh,Anantapur,2018,29.77,66.4,58.89,16.1,80.45,25.89,73.07
Punjab,Jalandhar,2023,22.39,72.63,86.37,55.04,85.46,85.52,59.7
Telangana,Karimnagar,2017,27.9,41.05,20.89,15.34,56.45,40.91,33.92
Bihar,Madhubani,2024,85.45,34.2,22.96,52.66,31.8,33.81,59.53
Madhya Pradesh,Umaria,2020,23.38,53.87,26.43,35.43,41.98,92.07,23.77
Punjab,Pathankot,2017,93.17,81.7,58.43,40.92,83.5,39.65,71.31
Rajasthan,Gangapur City,2020,88.68,77.52,64.41,92.99,54.18,71.99,11.16
Karnataka,Mandya,2021,89.66,72.89,46.01,62.91,21.89,32.16,58.12
Madhya Pradesh,Harda,2019,73.35,77.03,22.76,27.82,53.66,46.54,78.67
Himachal Pradesh,Kullu,2025,99.64,96.12,45.4,37.22,47.11,74.35,65.62
Uttarakhand,Champawat,2025,98.15,22.99,15.56,63.91,61.64,62.03,12.42
Punjab,Ludhiana,2023,26.4,24.9,67.37,82.5,57.98,43.5,98.22
Bihar,Vaishali,2024,51.5,79.01,20.04,84.84,47.47,66.97,58.45
Madhya Pradesh,Rajgarh,2022,16.37,75.14,24.56,97.67,97.31,68.41,41.54
Madhya Pradesh,Agar Malwa,2019,72.89,28.69,49.52,80.42,36.19,50.44,81.39
Arunachal Pradesh,West Siang,2019,36.21,12.33,53.46,57.28,35.16,95.38,94.46
Jharkhand,Lohardaga,2018,97.99,83.42,39.61,94.39,26.63,47.48,43.31
Nagaland,Peren,2017,31.68,68.16,13.46,99.21,24.77,26.97,31.77
Gujarat,Amreli,2021,62.03,24.36,92.42,62.58,38.11,75.03,70.2
Jharkhand,Hazaribagh,2025,62.71,33.24,74.98,23.94,78.53,30.73,36.83
Rajasthan,Balotra,2021,68.92,26.41,56.03,39.34,69.24,72.89,19.49
Odisha,Kendrapara,2024,12.92,31.68,36.99,12.52,49.59,43.37,30.19
Bihar,Jamui,2019,71.39,92.55,87.17,90.42,86.01,16.03,91.68
Chhattisgarh,Bemetara,2023,33.24,21.39,44.28,47.2,79.77,64.17,61.28
Rajasthan,Jaisalmer,2020,17.98,58.58,63.63,42.43,48.44,14.75,80.33
Uttar Pradesh,Kanpur Nagar,2016,76.81,41.35,68.48,69.32,14.46,99.56,14.46
Assam,Sonitpur,2021,94.03,98.08,69.25,39.51,93.83,72.58,48.75
West Bengal,Purba Bardhaman,2023,48.71,44.38,90.96,45.61,84.37,30.62,26.14
Rajasthan,Pratapgarh,2021,16.14,84.29,70.16,84.62,47.89,42.83,96.01
Karnataka,Chikkaballapur,2025,16.08,64.08,31.34,32.83,21.92,38.38,34.45
Manipur,Tengnoupal,2019,36.19,44.0,11.89,54.13,81.95,99.96,56.56
Meghalaya,Ri Bhoi,2019,93.19,74.14,94.46,90.84,48.68,85.72,53.18
Telangana,Medchal-Malkajgiri,2021,41.66,17.34,22.66,96.04,57.28,51.81,20.67
Andhra Pradesh,Srikakulam,2025,75.45,13.63,21.41,15.69,61.03,41.34,18.96
Tamil Nadu,Tirupathur,2024,84.65,22.26,38.26,58.21,46.21,29.2,99.99
Odisha,Khordha,2019,51.48,11.65,64.33,45.38,70.67,42.47,61.67
Madhya Pradesh,Harda,2021,64.18,32.86,51.74,93.43,87.65,87.29,41.44
Bihar,Jehanabad,2019,77.07,64.14,88.44,65.9,92.81,96.18,61.75
Himachal Pradesh,Mandi,2023,77.81,62.84,56.11,18.07,72.05,90.65,28.91
Karnataka,Bengaluru Rural,2018,91.53,28.06,30.33,75.27,39.79,34.38,35.71
Assam,Dhemaji,2024,98.77,66.87,97.02,20.61,42.7,18.78,16.79
Chhattisgarh,Sakti,2023,14.53,42.55,77.12,79.31,47.63,99.78,32.61
Andhra Pradesh,Chittoor,2016,14.06,66.73,78.05,59.84,40.85,19.7,75.54
Karnataka,Raichur,2019,30.04,96.31,28.8,66.04,63.84,78.43,96.58
Gujarat,Dang,2019,32.94,41.92,77.12,37.62,60.22,73.19,24.67
Uttarakhand,Rudraprayag,2019,91.51,64.62,64.62,83.11,20.18,75.08,77.83
Kerala,Kollam,2019,19.44,94.41,41.15,33.72,15.71,30.99,90.06
Madhya Pradesh,Jabalpur,2021,16.9,37.37,90.77,31.4,70.46,43.66,41.2
Telangana,Sangareddy,2021,30.85,25.19,72.82,36.72,89.1,52.86,96.26
Andhra Pradesh,Vizianagaram,2017,27.72,18.34,80.13,63.23,23.87,56.31,88.74
Assam,Hailakandi,2025,14.69,98.98,96.15,24.73,39.56,77.35,92.37
Uttar Pradesh,Kanpur Dehat,2017,81.01,62.5,71.26,65.42,77.59,63.27,58.51
Chhattisgarh,Raipur,2015,79.78,99.11,98.5,98.22,65.2,57.88,72.77
Uttar Pradesh,Banda,2017,92.85,15.09,25.88,90.25,36.13,85.5,99.15
Bihar,Banka,2017,92.1,13.97,95.02,25.01,68.81,93.61,89.45
Rajasthan,Banswara,2021,12.49,52.33,79.4,14.2,69.47,33.11,56.39
Haryana,Ambala,2020,47.27,27.9,62.55,48.0,57.58,82.25,60.69
West Bengal,Nadia,2021,75.89,22.02,71.64,77.23,22.53,44.92,77.35
Nagaland,Kohima,2017,59.61,62.54,27.13,72.81,21.74,19.67,35.92
Goa,South Goa,2024,72.37,95.57,44.25,30.96,62.44,24.64,28.67
Madhya Pradesh,Mandsaur,2016,90.63,98.86,98.63,90.17,12.52,73.15,76.7
Telangana,Vikarabad,2025,52.66,67.74,64.3,54.1,20.39,80.61,45.41
Chhattisgarh,Raipur,2017,50.57,54.37,30.54,96.6,75.25,98.38,67.26
Madhya Pradesh,Chhindwara,2016,73.05,15.75,18.15,26.81,70.98,95.93,94.16
Odisha,Puri,2021,95.14,96.14,10.89,63.49,49.85,57.41,79.2
Haryana,Ambala,2022,55.62,30.05,44.36,73.69,96.14,29.05,55.77
Madhya Pradesh,Chhatarpur,2020,68.13,76.21,66.98,14.91,79.91,47.18,16.87
Chhattisgarh,Raipur,2018,49.27,85.9,19.87,55.06,17.51,13.63,53.71
Tamil Nadu,Ariyalur,2015,71.7,79.16,81.99,39.26,17.87,59.98,83.87
Karnataka,Koppal,2023,53.11,12.97,45.69,82.49,76.9,18.98,83.61
Nagaland,Zunheboto,2019,85.78,43.2,10.08,48.99,87.27,72.52,17.03
Punjab,Fazilka,2022,71.36,23.99,72.03,39.63,83.11,69.9,24.88
Uttar Pradesh,Mirzapur,2021,48.18,11.54,37.13,44.8,20.11,99.76,59.32
Bihar,Buxar,2018,11.91,83.27,19.77,37.37,45.39,83.64,42.08
Madhya Pradesh,Anuppur,2020,27.94,54.94,92.64,20.18,19.9,54.41,64.23
Andhra Pradesh,Visakhapatnam,2022,23.63,14.69,34.67,77.55,12.6,68.9,98.11
Arunachal Pradesh,Upper Siang,2017,30.22,26.7,86.74,69.43,73.87,75.55,10.1
Bihar,Araria,2024,81.52,78.47,95.6,87.13,80.95,62.9,39.61
Uttar Pradesh,Muzaffarnagar,2015,19.66,59.46,98.82,49.6,85.54,34.83,55.56
Nagaland,Mokokchung,2023,98.43,22.38,83.35,11.0,45.09,29.1,74.3
Kerala,Kottayam,2022,68.55,15.1,47.7,49.99,91.86,77.12,32.28
Maharashtra,Wardha,2020,65.12,35.17,21.76,16.69,40.28,36.1,50.61
Maharashtra,Nanded,2024,26.5,35.72,19.25,39.16,85.9,31.67,23.29
Andhra Pradesh,Srikakulam,2017,66.88,89.34,50.34,93.3,73.94,25.57,47.78
Uttar Pradesh,Farrukhabad,2022,49.62,51.67,47.22,51.53,19.9,69.73,54.82
Karnataka,Shivamogga,2025,44.72,73.49,79.39,95.02,66.81,88.58,61.51
Uttar Pradesh,Mirzapur,2024,18.84,50.13,45.16,44.25,51.34,48.59,84.41
Mizoram,Hnahthial,2024,34.51,90.57,11.0,81.93,84.93,51.76,67.23
Madhya Pradesh,Rajgarh,2015,41.76,46.2,11.48,60.49,46.05,63.67,98.07
Haryana,Mahendragarh,2020,63.5,47.11,24.11,86.74,11.75,41.02,83.79
West Bengal,Purba Bardhaman,2017,57.39,54.14,93.76,38.82,75.73,41.38,56.29
Rajasthan,Tonk,2023,94.01,58.5,93.13,18.33,80.07,14.96,31.31
Jharkhand,Dhanbad,2022,15.97,95.94,39.35,54.1,57.03,88.88,47.36
Tamil Nadu,Tiruchirappalli,2021,18.83,21.23,96.99,17.77,50.12,31.73,85.28
Rajasthan,Barmer,2025,84.11,44.78,25.32,42.06,26.99,91.18,36.18
Bihar,Madhepura,2018,82.2,20.19,14.1,24.07,70.85,72.58,62.76
West Bengal,Kolkata,2024,51.21,92.26,88.33,30.91,95.72,73.43,94.75
Telangana,Mancherial,2018,77.32,72.9,91.04,61.8,51.78,86.96,56.75
Chhattisgarh,Bastar,2021,47.53,42.4,44.8,58.0,11.38,29.93,73.81
Uttar Pradesh,Amethi,2020,27.64,17.18,78.94,74.38,33.45,55.19,23.2
Andhra Pradesh,Krishna,2024,21.73,78.32,24.38,58.72,16.86,16.74,54.27
Telangana,Bhadradri Kothagudem,2023,42.85,67.11,85.3,50.7,13.19,28.7,35.86
Bihar,Buxar,2025,98.56,41.88,85.75,95.4,71.08,16.68,56.98
Telangana,Adilabad,2022,51.23,17.44,36.92,46.09,92.07,29.13,19.97
Jharkhand,Bokaro,2021,94.15,78.11,54.29,17.12,62.88,15.74,26.16
West Bengal,Murshidabad,2016,94.93,60.86,33.19,13.33,23.26,84.18,85.31
Rajasthan,Rajsamand,2019,67.45,92.27,44.72,25.49,23.9,28.62,38.54
Uttarakhand,Pauri Garhwal,2022,78.5,35.58,93.17,51.88,93.98,78.41,21.65
Karnataka,Chamarajanagar,2018,12.14,86.95,72.98,82.2,51.73,78.62,20.54
Assam,Morigaon,2021,79.6,45.03,88.28,24.54,56.14,70.52,52.53
Uttar Pradesh,Meerut,2024,68.52,28.22,94.19,97.23,33.34,62.71,62.24
Telangana,Karimnagar,2021,92.64,47.59,44.59,46.57,73.75,40.86,47.68
Madhya Pradesh,Dhar,2022,20.99,63.92,81.58,86.9,65.69,24.45,69.96
Gujarat,Tapi,2017,54.09,14.83,74.4,91.66,55.74,55.41,33.45
West Bengal,Dakshin Dinajpur,2019,51.63,33.94,30.93,10.17,69.97,25.61,93.17
Punjab,Barnala,2022,67.25,48.89,84.42,92.15,38.35,36.46,45.82
Uttar Pradesh,Gorakhpur,2022,98.58,72.75,82.25,64.16,68.18,83.19,86.58
Uttar Pradesh,Mainpuri,2016,62.41,61.39,33.34,64.81,32.08,64.05,54.82
Nagaland,Tuensang,2020,81.35,34.79,98.16,12.24,34.75,44.73,95.91
Madhya Pradesh,Dhar,2022,43.69,69.62,72.34,52.62,67.81,78.52,63.99
Uttarakhand,Uttarkashi,2022,47.9,88.26,84.99,98.04,10.42,52.39,34.66
Meghalaya,Ri Bhoi,2017,48.96,46.97,41.81,72.69,57.37,64.62,55.72
Maharashtra,Washim,2017,96.24,40.8,51.28,26.09,26.88,24.87,66.12
Goa,South Goa,2018,64.16,72.57,65.14,70.83,69.31,47.05,26.77
Uttar Pradesh,Mainpuri,2020,23.68,32.09,50.94,46.97,69.68,85.69,55.94
Mizoram,Hnahthial,2025,12.94,71.56,78.34,37.85,33.24,94.68,95.98
Tamil Nadu,Thoothukudi,2024,93.1,15.05,10.29,44.5,48.83,94.07,84.94
Assam,Morigaon,2017,86.53,30.94,90.86,65.65,35.67,55.17,84.93
Andhra Pradesh,Anantapur,2021,42.52,59.72,35.52,77.19,39.82,50.02,83.06
Rajasthan,Alwar,2023,69.44,80.1,93.56,87.38,64.62,15.07,29.37
Rajasthan,Ajmer,2018,13.54,89.13,37.03,65.46,94.64,78.05,60.89
Madhya Pradesh,Indore,2021,67.16,40.69,73.52,44.8,45.93,82.95,36.95
Madhya Pradesh,Sagar,2023,87.08,49.85,40.69,82.8,62.72,40.89,34.27
Odisha,Bhadrak,2015,44.4,74.53,56.89,92.78,18.57,55.28,29.86
Bihar,Kishanganj,2016,86.44,13.06,16.56,62.1,51.86,19.92,24.96
Telangana,Siddipet,2024,84.13,84.9,87.94,16.27,44.46,60.29,85.32
Madhya Pradesh,Ratlam,2016,24.52,64.11,42.27,34.98,49.2,71.66,63.56
Assam,Kamrup Metropolitan,2020,13.42,11.8,19.63,64.51,50.17,19.2,80.89
Jharkhand,Palamu,2018,82.93,60.71,63.35,85.82,82.98,21.59,95.35
Madhya Pradesh,Vidisha,2015,62.27,14.05,88.54,19.18,90.16,94.73,33.53
Madhya Pradesh,Tikamgarh,2018,51.92,67.09,34.54,59.9,21.0,19.84,97.47
Odisha,Sundargarh,2023,75.93,10.9,44.52,80.3,51.91,10.69,45.77
West Bengal,Kalimpong,2015,44.43,45.48,89.27,99.54,66.37,32.79,88.8
Uttar Pradesh,Kaushambi,2017,57.79,64.13,96.11,85.52,94.67,57.16,79.55
Punjab,Tarn Taran,2015,20.67,53.99,45.83,33.5,63.76,78.85,43.61
Bihar,Darbhanga,2025,55.52,61.15,16.99,55.75,14.19,51.5,47.9
Telangana,Nizamabad,2023,61.35,52.12,51.36,79.51,20.68,67.8,37.76
Gujarat,Bhavnagar,2020,98.64,37.8,98.98,45.71,42.37,15.46,68.21
Andhra Pradesh,Chittoor,2021,70.45,73.65,34.8,22.58,64.16,21.7,94.04
Assam,Darrang,2018,16.63,84.89,13.78,13.91,38.31,99.37,66.1
Punjab,Rupnagar,2023,21.99,42.5,13.44,97.82,84.2,32.72,45.56
Gujarat,Gandhinagar,2023,82.26,28.51,42.95,88.9,98.75,84.61,49.58
Manipur,Ukhrul,2021,86.72,19.95,27.95,52.01,41.08,11.18,69.65
Jharkhand,Koderma,2025,85.02,58.13,61.44,51.48,35.79,30.38,11.4
Gujarat,Dang,2020,32.1,56.56,33.63,53.38,26.36,69.2,86.8
Gujarat,Morbi,2016,36.15,84.93,15.03,12.26,63.75,62.95,17.07
Punjab,Sangrur,2022,78.19,13.04,95.52,19.1,22.09,40.98,87.52
Himachal Pradesh,Kangra,2016,45.62,41.54,97.53,57.2,93.75,61.61,22.56
Rajasthan,Bundi,2024,51.16,63.94,82.44,62.07,32.43,18.44,97.59
Uttar Pradesh,Moradabad,2025,36.92,26.17,34.52,68.28,24.75,74.48,43.43
Bihar,Madhubani,2024,74.32,46.96,54.56,26.8,70.29,70.16,36.75
Uttar Pradesh,Shamli,2021,58.63,33.6,30.11,51.76,43.43,79.44,69.99
Odisha,Deogarh,2024,25.27,37.71,61.34,21.72,49.23,14.11,50.63
Gujarat,Chhota Udepur,2016,58.56,49.04,71.4,26.18,17.38,26.43,47.37
Uttar Pradesh,Kaushambi,2023,71.31,91.47,47.6,33.95,23.8,32.23,89.73
Maharashtra,Dhule,2016,55.91,73.07,49.65,96.04,93.88,26.65,86.98
Rajasthan,Sikar,2022,79.24,35.0,79.83,96.88,95.42,17.23,79.54
Punjab,Fazilka,2020,10.26,35.85,98.63,66.29,72.88,20.56,14.76
Maharashtra,Wardha,2019,24.88,44.98,12.54,44.55,34.46,19.23,69.14
Chhattisgarh,Sarangarh-Bilaigarh,2024,26.12,81.81,97.07,44.92,72.08,82.34,95.01
Rajasthan,Pali,2017,69.37,35.81,89.5,38.35,40.4,49.74,31.09
Arunachal Pradesh,Lepa Rada,2019,10.27,24.94,16.51,81.12,44.55,36.0,12.59
Arunachal Pradesh,Pakke-Kessang,2021,55.7,83.63,96.65,82.13,36.18,10.71,10.51
Telangana,Mahabubabad,2020,89.89,43.32,22.53,89.32,68.89,91.79,30.32
Chhattisgarh,Kondagaon,2019,93.63,37.3,12.11,92.95,60.58,24.92,54.18
Kerala,Palakkad,2019,58.21,23.95,27.35,12.61,62.5,17.66,80.67
Punjab,Ferozepur,2025,39.81,92.65,39.22,26.99,11.05,81.38,95.45
Punjab,Sangrur,2016,38.09,78.59,63.13,94.35,86.56,16.96,93.17
Mizoram,Hnahthial,2020,91.68,57.66,31.84,80.41,53.81,11.55,58.79
Goa,South Goa,2025,77.41,14.12,86.41,90.13,45.94,82.99,60.53
Tamil Nadu,Tenkasi,2021,37.61,60.53,50.0,81.43,75.57,76.79,22.95
Madhya Pradesh,Harda,2025,46.82,63.12,88.4,60.9,63.41,36.8,48.48
Nagaland,Zunheboto,2016,12.81,66.34,24.23,93.56,41.0,53.88,83.77
Madhya Pradesh,Satna,2023,39.14,96.32,42.26,98.91,97.92,24.64,98.45
Madhya Pradesh,Indore,2019,20.25,64.84,75.6,15.52,82.39,56.13,91.23
Uttar Pradesh,Mainpuri,2023,10.03,25.58,91.99,91.76,69.87,51.31,95.26
Madhya Pradesh,Betul,2016,61.39,76.42,85.97,89.37,90.51,93.84,63.68
Himachal Pradesh,Shimla,2021,89.21,41.32,15.48,89.71,66.64,78.05,92.07
Nagaland,Phek,2019,46.67,24.88,92.37,46.02,88.24,84.07,53.46
Sikkim,Gangtok,2017,24.38,49.7,46.23,57.22,65.24,39.83,63.56
Uttar Pradesh,Barabanki,2019,33.61,38.45,97.57,29.88,44.6,61.05,54.77
Jharkhand,West Singhbhum,2020,81.08,46.76,32.43,41.07,76.39,16.86,42.58
Haryana,Charkhi Dadri,2024,18.61,84.86,99.4,73.08,90.35,83.09,91.32
Andhra Pradesh,Eluru,2025,66.36,11.48,54.29,48.59,60.6,74.26,82.92
Rajasthan,Bharatpur,2023,67.34,82.57,72.5,42.48,75.88,11.29,61.15
Maharashtra,Raigad,2021,17.64,20.98,87.91,34.96,56.76,86.73,40.72
Andhra Pradesh,Anakapalli,2021,54.95,59.23,75.02,12.54,26.58,60.05,80.06
Jharkhand,Garhwa,2021,20.0,57.08,66.22,93.81,72.76,88.72,68.05
Uttarakhand,Tehri Garhwal,2025,75.57,74.61,80.78,90.04,28.51,37.26,68.65
Uttarakhand,Haridwar,2016,43.38,79.55,24.55,68.58,35.13,84.25,93.41
Madhya Pradesh,Narsinghpur,2018,37.84,15.23,10.14,82.24,95.46,78.21,45.16
Assam,Kamrup,2020,76.8,60.56,23.06,23.79,27.28,11.61,49.35
Tripura,Gomati,2025,82.06,50.25,27.24,53.63,96.2,56.46,64.3
Odisha,Dhenkanal,2016,60.57,95.45,71.83,39.12,49.56,61.58,11.13
Haryana,Faridabad,2020,45.14,27.44,87.59,46.88,83.49,91.18,18.53
Chhattisgarh,Kanker,2018,70.78,78.15,19.84,47.94,45.41,73.85,68.54
Madhya Pradesh,Gwalior,2023,33.51,55.92,82.33,55.06,86.45,97.8,41.45
Bihar,Sheikhpura,2023,88.5,52.96,29.52,26.87,67.13,97.51,79.76
Assam,Kokrajhar,2017,65.17,36.37,45.44,38.85,81.28,15.87,67.23
Odisha,Bhadrak,2021,14.61,87.13,13.02,46.41,30.89,78.26,69.46
Mizoram,Serchhip,2015,21.29,10.16,52.88,67.07,67.36,58.6,87.5
Uttarakhand,Chamoli,2016,72.55,26.53,18.61,26.48,93.82,74.17,91.79
Rajasthan,Sirohi,2023,76.03,14.1,93.68,50.14,51.7,44.83,44.53
Madhya Pradesh,Chhatarpur,2018,74.99,96.92,60.62,85.15,86.3,93.21,29.71
Arunachal Pradesh,Upper Siang,2018,69.52,94.35,40.5,76.42,24.22,89.14,64.52
West Bengal,Alipurduar,2021,74.06,24.49,21.13,11.59,65.04,50.1,36.25
Uttar Pradesh,Jhansi,2020,96.42,17.0,19.06,58.74,68.15,21.61,87.41
Madhya Pradesh,Ujjain,2021,69.82,70.79,88.24,37.09,44.47,99.53,12.6
Uttar Pradesh,Hamirpur,2019,76.04,96.24,37.21,40.12,25.42,55.19,27.59
Telangana,Ranga Reddy,2018,82.45,70.93,57.38,46.69,28.24,18.06,10.74
Uttar Pradesh,Shravasti,2024,93.78,11.18,48.52,46.38,25.41,42.34,85.52
Uttar Pradesh,Ambedkar Nagar,2024,27.21,47.9,74.73,91.5,92.63,77.14,34.99
Kerala,Kollam,2018,75.56,32.44,21.0,80.25,57.55,22.79,48.71
Uttarakhand,Haridwar,2018,73.46,48.0,66.53,43.37,27.4,22.3,86.04
Uttar Pradesh,Shahjahanpur,2018,22.86,77.81,88.1,70.62,78.51,34.72,12.0
Uttar Pradesh,Baghpat,2022,61.22,11.28,56.8,67.18,75.52,30.9,70.16
Karnataka,Bengaluru Urban,2021,70.68,66.57,97.87,93.56,80.7,37.48,65.54
Nagaland,Mon,2023,98.6,88.85,78.94,78.94,22.78,28.21,28.28
Uttar Pradesh,Fatehpur,2022,31.12,57.11,83.95,55.58,87.35,82.43,21.43
Gujarat,Sabarkantha,2022,94.32,46.0,70.34,52.58,14.02,76.76,88.24
Rajasthan,Karauli,2022,23.75,96.42,17.91,41.31,44.8,78.25,11.72
Chhattisgarh,Surajpur,2020,22.68,69.63,87.95,49.32,18.24,12.41,31.71
Assam,Dhubri,2015,76.94,42.67,38.3,48.87,82.57,74.43,44.32
Madhya Pradesh,Betul,2017,64.95,45.82,25.74,48.75,84.36,15.14,21.81
Haryana,Faridabad,2023,72.95,27.35,58.36,40.78,67.67,15.41,32.45
Bihar,East Champaran,2020,84.58,13.77,92.89,72.27,16.27,18.43,69.65
Karnataka,Belagavi,2018,86.47,13.54,72.21,76.22,32.99,79.94,28.67
Manipur,Tamenglong,2020,92.06,55.39,11.58,39.57,36.4,51.91,76.24
Uttar Pradesh,Firozabad,2022,23.56,53.01,66.94,62.44,25.06,80.03,98.68
Tamil Nadu,Theni,2024,29.05,63.2,43.21,32.72,28.1,26.95,77.92
Tamil Nadu,Tirupathur,2016,59.8,39.18,36.34,68.01,88.78,84.13,89.95
Nagaland,Phek,2022,27.31,16.18,92.68,29.69,24.35,46.06,82.21
Uttar Pradesh,Siddharthnagar,2023,24.39,18.31,95.2,40.59,30.91,55.93,38.7
Karnataka,Raichur,2023,47.73,92.54,82.99,56.76,20.33,28.59,10.49
Rajasthan,Dungarpur,2021,26.16,53.09,73.89,64.27,30.16,66.86,78.72
Telangana,Mahabubabad,2016,29.6,63.34,39.08,75.83,82.72,63.31,76.79
Bihar,Siwan,2021,34.31,55.34,30.34,91.87,98.86,26.89,37.94
Jharkhand,Latehar,2023,39.11,24.24,31.71,73.91,39.67,62.89,49.95
Kerala,Kasaragod,2019,74.98,19.13,30.54,48.64,56.52,35.85,70.13
Andhra Pradesh,Sri Sathya Sai,2016,35.3,71.6,48.94,22.13,67.85,56.49,27.49
Punjab,Amritsar,2017,54.74,23.77,17.81,80.1,29.77,67.78,20.94
Himachal Pradesh,Solan,2021,89.1,85.56,60.41,19.65,88.32,91.46,49.88
Kerala,Idukki,2025,13.61,36.19,72.84,43.94,62.62,16.72,22.46
Chhattisgarh,Durg,2023,72.37,80.44,87.47,84.45,84.63,84.22,28.22
Tamil Nadu,Viluppuram,2022,80.58,76.6,80.54,44.32,45.1,97.5,45.76
Bihar,Patna,2020,91.21,99.93,11.96,16.48,21.31,56.97,15.0
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,74.12,43.35,52.23,18.26,91.82,44.01,74.8
Uttar Pradesh,Bhadohi,2015,56.48,86.34,38.13,50.38,35.41,52.09,37.49
Telangana,Mahabubabad,2024,66.13,20.71,87.78,83.9,87.21,51.03,16.2
Madhya Pradesh,Datia,2018,62.23,24.82,25.26,75.48,46.69,20.93,30.93
Arunachal Pradesh,Tawang,2016,58.11,12.81,93.2,27.92,14.86,56.98,98.95
Karnataka,Udupi,2018,55.4,41.15,56.06,78.79,76.9,12.1,91.58
Uttar Pradesh,Muzaffarnagar,2020,59.91,54.5,34.86,27.13,16.16,87.61,95.72
Maharashtra,Pune,2019,55.53,88.37,83.02,97.55,84.1,71.53,72.49
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,57.81,52.52,82.17,59.28,68.67,80.35,50.61
Bihar,East Champaran,2022,24.86,81.01,90.91,31.53,90.85,53.42,27.49
Assam,Darrang,2015,68.71,85.0,85.81,89.46,14.8,94.68,38.7
Arunachal Pradesh,Upper Subansiri,2021,85.07,27.29,78.3,57.53,22.51,70.48,63.72
Maharashtra,Nanded,2021,67.66,60.92,41.52,78.82,80.37,55.76,27.78
Punjab,Sangrur,2023,70.13,78.93,73.36,23.81,79.89,49.98,33.18
Madhya Pradesh,Ratlam,2018,50.52,17.88,23.89,74.8,86.76,96.47,23.93
Chhattisgarh,Rajnandgaon,2022,84.88,88.43,16.34,43.49,11.83,68.01,38.3
Rajasthan,Rajsamand,2020,65.36,54.81,32.55,89.67,99.38,65.17,74.53
Bihar,Madhepura,2024,70.76,79.23,22.68,34.99,26.58,94.62,98.13
Chhattisgarh,Kabirdham,2021,72.67,27.38,62.36,22.57,73.78,26.09,64.12
Odisha,Sundargarh,2021,12.28,30.78,91.29,77.62,45.11,48.87,67.64
Uttar Pradesh,Kushinagar,2021,24.22,61.05,75.45,31.47,28.51,95.89,62.93
Tripura,North Tripura,2016,90.77,52.98,50.9,31.99,76.35,89.21,65.45
Bihar,Kaimur,2024,52.69,78.58,88.39,36.68,55.8,16.46,23.67
Gujarat,Mehsana,2024,60.44,67.12,77.92,70.74,31.67,85.4,53.7
Bihar,Saharsa,2023,84.72,10.92,57.42,55.39,27.57,37.15,73.34
Telangana,Hanamkonda,2018,33.13,81.42,81.34,72.68,19.96,27.98,83.15
Karnataka,Bengaluru Urban,2021,46.8,73.89,23.1,47.02,63.54,36.75,80.17
Odisha,Cuttack,2022,64.87,90.01,99.19,92.46,70.73,24.68,95.11
Tamil Nadu,Cuddalore,2025,48.9,97.65,70.21,83.26,18.22,97.1,44.75
Uttar Pradesh,Banda,2022,63.12,89.81,93.79,72.09,88.08,47.51,45.67
Tamil Nadu,Chengalpattu,2019,59.84,42.53,18.72,95.6,43.82,59.45,82.44
Nagaland,Tseminyu,2019,59.33,55.41,87.08,31.76,21.43,13.18,23.49
Jharkhand,Hazaribagh,2020,54.76,40.72,71.06,75.17,10.39,54.94,20.06
Meghalaya,East Garo Hills,2017,58.93,26.36,77.21,15.42,81.69,70.47,83.18
Jharkhand,Sahebganj,2015,35.18,66.28,40.84,88.27,61.73,19.6,14.39
Assam,Dhemaji,2018,79.25,88.83,16.73,96.3,89.27,78.68,80.18
Madhya Pradesh,Niwari,2015,66.68,54.74,88.73,97.76,14.82,57.62,77.07
Jharkhand,East Singhbhum,2023,26.79,38.78,58.46,17.25,95.9,74.36,92.06
Maharashtra,Nashik,2024,77.21,80.44,88.45,37.2,64.32,88.58,47.21
Gujarat,Amreli,2021,28.01,60.24,86.12,24.88,92.09,21.75,24.51
Andhra Pradesh,West Godavari,2021,68.29,47.08,78.25,65.08,36.36,97.45,50.42
Bihar,West Champaran,2025,11.6,97.93,49.47,14.85,91.53,72.46,16.9
Chhattisgarh,Bemetara,2018,36.64,45.01,68.37,28.31,29.45,41.0,19.29
