state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Nagaland,Tuensang,2022,71.86,21.58,55.13,61.65,98.78,52.86,82.69
Chhattisgarh,Gariaband,2020,94.57,77.05,86.95,97.51,53.22,17.6,32.21
Madhya Pradesh,Ashoknagar,2022,50.91,94.12,71.32,49.73,48.43,23.71,56.04
Tamil Nadu,Ariyalur,2020,94.65,82.27,57.5,55.61,93.76,35.13,58.35
Gujarat,Patan,2018,46.95,16.6,10.62,75.24,36.98,13.59,43.51
Mizoram,Aizawl,2024,56.83,71.23,56.38,81.21,92.49,40.37,23.56
Assam,Sivasagar,2023,88.53,26.97,41.56,82.76,57.89,70.21,48.06
Arunachal Pradesh,Pakke-Kessang,2025,22.8,91.36,85.12,82.16,75.48,84.06,95.8
Bihar,Aurangabad,2016,77.91,85.49,54.98,16.72,90.33,22.73,63.89
West Bengal,Birbhum,2021,65.51,16.88,24.27,66.55,46.41,15.37,68.12
Himachal Pradesh,Bilaspur,2018,12.38,42.03,58.36,58.98,20.87,33.62,58.1
Assam,Goalpara,2020,23.27,83.81,43.31,90.88,28.59,67.86,77.2
Haryana,Karnal,2023,26.93,61.41,44.21,42.38,67.64,26.16,31.92
Madhya Pradesh,Damoh,2017,33.16,87.6,82.12,27.63,96.35,77.93,39.22
West Bengal,South 24 Parganas,2021,64.16,34.89,41.11,20.6,60.99,25.62,36.9
Sikkim,Gangtok,2023,74.12,28.85,19.05,40.85,33.6,26.39,28.1
Uttar Pradesh,Bulandshahr,2023,93.19,93.03,35.41,13.46,38.12,39.72,95.3
Maharashtra,Palghar,2016,60.51,59.06,42.89,59.49,29.25,26.87,38.77
Assam,Dibrugarh,2025,86.25,36.46,30.75,91.07,46.02,16.42,33.57
Haryana,Gurugram,2020,48.81,15.01,78.34,42.94,23.52,62.56,93.03
Assam,Golaghat,2022,39.85,88.71,21.27,62.17,13.65,78.03,19.01
Chhattisgarh,Bemetara,2022,37.84,69.25,69.42,85.71,25.15,71.77,60.13
Madhya Pradesh,Niwari,2017,78.34,33.09,38.91,71.66,74.67,94.52,99.7
Nagaland,Mon,2024,38.93,55.72,38.89,48.61,30.91,83.39,10.09
Tamil Nadu,Karur,2024,83.45,60.62,21.22,13.93,95.39,70.88,98.14
Uttar Pradesh,Gonda,2023,65.19,20.19,48.79,10.9,89.02,87.51,81.07
Arunachal Pradesh,West Siang,2019,33.92,45.45,95.98,64.15,70.03,75.79,62.23
West Bengal,Jalpaiguri,2020,38.54,92.36,70.0,47.13,72.55,53.53,53.93
Madhya Pradesh,Datia,2022,79.12,19.18,16.22,56.36,34.17,53.69,79.87
Telangana,Mahabubabad,2016,20.83,46.64,64.78,51.39,45.29,59.67,88.65
Haryana,Mahendragarh,2017,49.91,15.99,51.14,89.97,96.26,41.19,44.12
Telangana,Karimnagar,2021,83.3,36.37,50.15,90.59,10.32,37.57,69.13
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2015,67.35,79.89,53.76,54.48,93.3,40.05,64.82
Chhattisgarh,Sukma,2021,19.28,86.16,74.06,85.07,20.81,54.68,16.22
Rajasthan,Dungarpur,2021,60.82,69.16,17.84,34.08,39.51,88.63,40.2
Maharashtra,Jalgaon,2022,41.22,44.83,56.98,10.25,65.35,28.2,62.45
Andhra Pradesh,Krishna,2019,23.33,59.95,77.56,87.88,63.68,50.69,65.6
Telangana,Hanamkonda,2025,27.98,46.25,50.34,89.11,49.53,44.23,12.31
West Bengal,Bankura,2021,93.99,15.44,21.83,26.41,68.66,99.48,49.4
Manipur,Tamenglong,2018,91.81,45.77,95.87,69.16,89.3,36.21,94.02
Uttar Pradesh,Amroha,2015,41.43,23.65,12.8,36.1,52.13,31.86,81.25
Haryana,Rewari,2019,10.73,84.89,21.31,87.14,57.38,88.58,98.41
Maharashtra,Kolhapur,2016,77.71,74.95,76.26,75.08,10.17,30.71,41.14
West Bengal,North 24 Parganas,2018,60.26,29.91,39.39,99.09,40.29,38.54,40.81
Chhattisgarh,Bemetara,2020,30.9,38.69,16.1,92.08,36.92,28.13,94.08
Telangana,Nirmal,2016,63.76,63.47,40.27,85.18,22.07,63.92,93.74
Telangana,Jayashankar Bhupalpally,2023,27.07,63.58,34.31,21.82,79.87,90.1,93.5
Gujarat,Jamnagar,2015,25.56,80.8,80.85,50.4,58.11,28.72,98.29
Assam,Morigaon,2017,64.64,61.51,41.84,25.96,14.56,26.73,99.88
Chhattisgarh,Korea,2019,12.22,57.56,49.84,30.38,43.83,47.61,78.7
Uttar Pradesh,Deoria,2017,54.52,73.25,45.69,33.87,37.89,80.69,83.51
Tamil Nadu,Coimbatore,2015,62.08,33.33,26.18,86.77,97.68,87.81,38.46
Rajasthan,Pali,2018,55.53,95.74,97.67,53.46,57.31,88.47,17.4
Gujarat,Aravalli,2021,24.47,88.98,23.7,24.05,94.81,31.86,18.3
Bihar,Munger,2021,28.09,64.92,45.77,54.39,72.93,73.61,13.88
Madhya Pradesh,Sagar,2020,67.16,12.12,61.28,80.21,65.96,47.16,24.66
Rajasthan,Kekri,2025,61.44,11.57,26.97,50.93,68.26,42.05,81.68
West Bengal,Dakshin Dinajpur,2025,16.31,43.11,45.79,13.6,76.86,24.3,55.04
Chhattisgarh,Bastar,2024,63.85,63.72,37.72,38.36,92.38,85.32,81.83
Haryana,Kurukshetra,2020,61.37,92.11,58.4,62.04,31.04,76.61,25.53
Bihar,Madhepura,2018,52.89,39.6,90.88,59.22,20.59,69.23,63.82
Uttar Pradesh,Sultanpur,2016,33.99,42.34,96.83,90.58,43.38,47.96,26.69
Assam,Tinsukia,2016,38.6,42.04,97.78,45.48,79.06,57.79,13.6
Odisha,Angul,2017,60.93,78.38,13.22,94.18,96.65,92.93,87.25
Odisha,Bargarh,2016,56.69,42.64,12.57,84.46,56.34,68.87,21.2
Punjab,Gurdaspur,2017,65.18,49.16,56.65,54.7,54.03,58.83,85.82
Himachal Pradesh,Kinnaur,2018,95.92,25.42,19.46,82.09,31.09,15.03,67.52
Andhra Pradesh,YSR Kadapa,2023,76.16,63.98,69.67,10.14,11.83,84.8,67.07
Chhattisgarh,Mungeli,2025,64.6,27.58,96.97,57.54,54.02,20.84,96.84
Jharkhand,West Singhbhum,2019,82.51,31.97,14.54,59.27,11.79,60.84,68.57
Chhattisgarh,Surguja,2024,29.67,32.81,77.74,26.39,25.55,45.31,18.27
Assam,West Karbi Anglong,2020,76.05,27.93,69.33,77.71,63.64,25.62,98.11
Haryana,Karnal,2018,20.42,87.82,65.22,92.84,99.42,95.55,50.2
Sikkim,Namchi,2015,36.89,54.89,64.61,91.96,52.27,98.78,98.15
Assam,Kokrajhar,2025,72.78,83.4,81.62,37.11,21.59,48.45,27.85
Madhya Pradesh,Chhindwara,2025,44.44,28.07,98.84,65.41,23.12,45.95,65.66
Maharashtra,Gondia,2020,90.1,73.25,18.83,60.61,43.37,60.39,63.11
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,13.35,31.3,62.83,29.94,68.08,49.24,21.55
Uttar Pradesh,Kaushambi,2025,39.35,94.27,13.27,78.0,62.63,84.11,50.33
Uttar Pradesh,Gonda,2025,16.23,50.08,80.26,38.02,40.88,53.32,63.52
Andhra Pradesh,YSR Kadapa,2022,96.42,25.72,40.25,12.37,16.8,29.09,54.12
Madhya Pradesh,Katni,2018,74.78,12.63,46.65,99.24,69.13,74.28,58.09
Rajasthan,Bundi,2015,39.85,67.03,89.52,25.56,38.75,24.44,98.05
Chhattisgarh,Narayanpur,2015,96.93,97.22,39.11,90.29,49.92,15.12,29.39
Uttar Pradesh,Prayagraj,2023,68.12,36.11,70.27,29.47,90.6,46.25,42.28
Haryana,Ambala,2020,22.36,41.73,60.63,11.44,35.47,53.73,51.2
Tripura,Unakoti,2019,15.09,62.26,80.08,90.6,69.27,58.57,82.33
Uttar Pradesh,Auraiya,2015,56.86,43.74,10.14,38.21,23.59,93.72,14.61
Mizoram,Khawzawl,2024,56.23,11.5,22.03,32.26,46.85,81.47,87.28
Manipur,Imphal West,2016,59.56,81.93,23.56,96.92,76.52,64.7,96.67
Arunachal Pradesh,Upper Subansiri,2016,95.52,45.36,74.86,39.64,41.15,82.66,72.27
Karnataka,Mysuru,2020,96.76,33.7,93.54,82.77,15.71,87.25,58.11
Jharkhand,Hazaribagh,2016,83.87,16.59,10.02,97.33,75.45,69.21,85.28
Haryana,Palwal,2025,99.69,38.83,74.4,78.36,83.61,32.09,58.92
Chhattisgarh,Korba,2023,46.56,91.06,70.27,45.53,96.08,80.47,19.35
Punjab,Ferozepur,2016,90.81,70.98,27.64,41.02,43.36,99.19,10.55
Bihar,Sheohar,2022,74.54,75.7,71.09,18.87,23.38,59.68,90.45
Bihar,Begusarai,2021,96.56,61.11,72.93,47.57,13.81,19.84,91.65
Punjab,Faridkot,2025,70.72,86.63,26.09,22.29,84.43,66.76,14.39
Maharashtra,Buldhana,2022,91.87,51.21,29.82,88.44,90.75,82.62,38.0
Rajasthan,Alwar,2020,86.2,91.91,14.43,15.53,18.34,96.97,47.41
Uttar Pradesh,Sitapur,2017,24.96,30.13,88.4,44.62,49.69,71.03,91.14
Meghalaya,Ri Bhoi,2015,48.03,27.49,79.7,21.16,32.2,45.13,78.52
Karnataka,Raichur,2023,84.19,80.86,41.9,52.04,39.83,64.77,53.75
Tamil Nadu,Salem,2025,26.96,88.87,14.07,92.68,75.29,91.11,74.32
Punjab,Malerkotla,2022,17.0,67.8,30.9,19.37,55.72,48.74,32.45
Odisha,Kendujhar (Keonjhar),2020,45.12,41.16,80.98,71.52,10.67,84.04,67.02
Nagaland,Dimapur,2020,69.84,99.55,29.8,37.04,69.69,29.95,55.97
Rajasthan,Deeg,2020,58.0,61.56,27.56,43.86,72.28,23.55,49.58
Nagaland,Longleng,2021,37.53,28.3,94.72,85.68,70.72,14.12,83.58
Uttarakhand,Rudraprayag,2020,80.38,56.87,32.03,32.52,76.16,73.6,26.6
Assam,Kamrup,2018,67.0,82.76,64.91,18.74,82.5,41.3,84.55
Tamil Nadu,Ranipet,2021,97.35,45.05,55.66,74.52,82.38,72.81,52.0
Himachal Pradesh,Sirmaur,2025,70.26,84.18,99.21,14.84,41.43,91.26,53.45
Madhya Pradesh,Katni,2025,49.2,43.45,12.1,23.38,98.86,55.87,11.4
Tamil Nadu,Tiruvannamalai,2022,34.49,67.89,76.02,88.79,94.92,23.51,62.93
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,53.6,64.33,63.47,84.32,57.13,86.23,66.48
Uttar Pradesh,Ghaziabad,2025,79.46,97.03,79.09,22.9,44.9,11.45,92.65
Uttarakhand,Uttarkashi,2019,24.56,31.54,77.23,58.2,49.61,94.86,33.74
Mizoram,Champhai,2022,14.19,15.92,39.03,22.72,60.08,88.43,40.95
Punjab,Tarn Taran,2022,28.54,69.9,38.03,47.92,88.92,58.83,45.83
Karnataka,Shivamogga,2020,48.71,91.61,41.8,29.78,64.41,98.9,98.8
Rajasthan,Jhunjhunu,2015,37.08,40.93,86.06,81.46,18.19,73.36,26.23
West Bengal,North 24 Parganas,2017,11.95,21.89,52.77,26.74,46.51,55.03,60.17
Uttar Pradesh,Etawah,2024,91.17,31.06,96.34,66.27,91.91,55.26,42.13
Madhya Pradesh,Neemuch,2016,61.1,20.79,82.75,77.01,13.06,43.7,51.0
Kerala,Kasaragod,2018,72.5,21.99,80.92,51.38,89.86,52.23,71.44
Rajasthan,Barmer,2019,58.5,27.8,16.35,33.05,50.13,42.57,53.24
Karnataka,Udupi,2021,46.12,65.08,16.46,87.71,79.61,35.36,66.91
West Bengal,Cooch Behar,2016,52.56,42.16,60.5,40.52,37.6,84.23,69.35
Arunachal Pradesh,Tirap,2020,94.56,37.14,96.55,14.83,50.2,14.22,59.79
Gujarat,Jamnagar,2017,91.38,35.42,68.82,13.93,39.36,66.41,88.89
Rajasthan,Sri Ganganagar,2024,12.32,52.03,32.82,94.14,67.14,32.77,26.55
Maharashtra,Chandrapur,2021,70.02,50.69,15.42,85.63,74.04,92.58,61.77
Odisha,Gajapati,2018,47.58,38.4,63.4,65.89,36.17,93.74,53.56
Rajasthan,Pali,2016,36.5,26.95,44.23,21.35,73.0,65.1,19.87
Uttar Pradesh,Kaushambi,2023,56.1,63.25,61.37,50.42,47.95,33.73,64.83
Andhra Pradesh,Kurnool,2019,64.21,28.47,20.36,67.8,74.77,40.93,84.95
Bihar,Madhepura,2015,44.53,75.2,92.45,22.05,55.05,62.91,11.2
Uttar Pradesh,Barabanki,2021,59.61,40.94,65.49,73.33,82.99,90.31,86.79
Rajasthan,Bhilwara,2017,64.25,73.96,34.22,24.21,59.98,37.0,62.56
Uttar Pradesh,Bijnor,2023,38.6,17.42,11.72,43.14,27.89,99.17,61.51
Karnataka,Gadag,2015,18.92,37.52,54.46,72.72,54.34,34.99,68.93
Rajasthan,Dholpur,2025,39.95,44.35,56.43,16.1,45.86,56.22,43.99
Andhra Pradesh,Visakhapatnam,2025,49.45,89.96,60.98,19.19,48.23,24.62,49.01
Punjab,Jalandhar,2023,48.73,16.93,90.03,41.36,79.16,81.61,27.34
Maharashtra,Kolhapur,2025,48.82,98.94,28.35,15.73,35.68,67.36,46.97
Madhya Pradesh,Sagar,2017,28.53,32.83,21.82,38.71,38.39,80.7,81.42
Gujarat,Valsad,2017,16.08,34.62,38.89,96.2,13.13,61.62,67.96
Telangana,Wanaparthy,2018,36.25,56.89,25.28,57.14,30.87,88.42,40.79
Rajasthan,Gangapur City,2019,38.93,21.49,52.95,44.18,77.21,41.12,80.11
Sikkim,Gangtok,2016,88.94,10.0,29.68,60.5,29.62,10.03,65.65
Telangana,Suryapet,2020,21.62,63.56,89.23,39.49,90.89,27.47,60.27
Rajasthan,Bikaner,2018,35.19,86.54,43.24,14.82,91.87,36.12,48.01
Gujarat,Rajkot,2023,47.82,41.02,42.63,78.34,14.89,50.68,11.91
Nagaland,Noklak,2018,16.57,71.09,24.85,51.5,77.1,88.74,91.09
Punjab,Amritsar,2022,52.11,49.98,10.37,93.57,42.58,83.57,26.92
Kerala,Malappuram,2021,38.18,10.53,80.13,50.81,40.69,47.4,67.33
Uttar Pradesh,Jhansi,2015,23.76,76.61,23.46,90.85,31.81,16.78,90.55
Uttar Pradesh,Maharajganj,2018,43.67,49.55,87.62,30.73,43.03,60.42,40.57
Odisha,Dhenkanal,2022,15.89,25.98,83.04,60.36,86.13,94.66,64.89
Uttar Pradesh,Hathras,2024,97.78,14.4,59.67,42.29,49.2,13.34,66.5
Nagaland,Zunheboto,2021,43.28,75.96,64.12,67.7,39.72,48.6,40.57
Rajasthan,Salumbar,2019,77.43,83.33,68.12,85.2,69.89,34.94,36.83
Bihar,Vaishali,2020,85.97,74.17,51.65,76.1,38.68,12.46,34.57
Uttar Pradesh,Prayagraj,2015,12.02,90.81,35.6,68.79,97.6,46.43,70.76
Sikkim,Mangan,2025,57.42,58.53,80.06,41.75,68.26,29.49,85.0
Gujarat,Patan,2023,90.7,73.25,73.23,81.68,21.51,99.97,12.22
Arunachal Pradesh,Lepa Rada,2021,58.85,12.23,83.6,98.3,87.25,71.29,40.73
Himachal Pradesh,Hamirpur,2016,12.43,41.61,94.78,44.78,28.26,40.53,42.84
Madhya Pradesh,Ratlam,2015,71.53,26.08,67.11,77.6,63.97,63.89,75.91
Manipur,Imphal West,2016,99.85,33.39,15.94,62.37,89.36,36.91,71.85
Bihar,Madhepura,2017,16.88,13.62,90.47,83.45,74.81,22.64,46.88
Himachal Pradesh,Chamba,2020,17.11,23.95,10.82,54.2,97.86,64.92,38.76
Haryana,Fatehabad,2017,38.37,95.7,34.91,43.29,81.85,38.17,50.1
Jharkhand,East Singhbhum,2023,10.9,41.64,51.66,57.83,47.05,40.59,44.59
Arunachal Pradesh,West Siang,2017,60.01,21.68,95.12,90.21,72.31,24.62,77.63
Telangana,Jogulamba Gadwal,2021,10.48,25.69,63.57,76.73,73.06,53.07,87.94
Maharashtra,Mumbai City,2016,15.29,69.15,44.45,93.91,24.18,41.16,92.11
Assam,Karimganj,2022,78.99,90.11,85.19,84.95,96.64,27.56,48.77
Uttar Pradesh,Varanasi,2020,40.73,36.34,97.89,26.41,93.57,76.69,52.8
Bihar,Araria,2019,94.72,83.85,99.45,68.92,48.8,87.97,26.47
Madhya Pradesh,Damoh,2016,32.38,75.3,61.58,49.68,81.31,81.17,42.44
Himachal Pradesh,Kinnaur,2021,55.46,16.27,19.96,69.28,42.08,46.21,73.1
Uttar Pradesh,Lucknow,2016,77.86,39.29,48.0,58.2,32.12,70.16,45.43
Karnataka,Mandya,2025,29.14,48.84,83.34,68.76,20.09,23.46,56.75
Rajasthan,Ajmer,2017,36.59,39.21,53.54,39.78,39.86,12.51,52.73
Maharashtra,Wardha,2018,40.01,43.05,66.77,84.99,89.98,49.48,90.26
Meghalaya,West Jaintia Hills,2015,62.25,42.9,38.72,17.19,34.87,84.99,55.19
Bihar,Nawada,2025,22.71,20.17,51.48,50.26,63.62,52.77,86.18
Gujarat,Narmada,2018,27.0,92.72,72.12,99.53,32.0,71.26,39.24
Assam,Udalguri,2022,62.4,28.88,90.57,58.98,27.45,12.63,56.97
Sikkim,Mangan,2023,32.66,10.94,32.92,43.26,95.19,62.06,11.48
Tamil Nadu,Viluppuram,2020,27.27,99.92,65.34,94.53,55.26,67.63,91.18
Sikkim,Namchi,2023,73.08,99.53,36.06,44.03,12.72,52.73,36.09
Uttar Pradesh,Fatehpur,2019,80.45,17.79,73.01,86.54,83.42,46.35,76.05
Nagaland,Zunheboto,2025,10.32,55.21,67.07,89.69,50.77,81.08,13.31
Madhya Pradesh,Rewa,2025,48.22,20.15,76.23,25.97,88.16,59.89,37.25
Uttar Pradesh,Hathras,2017,40.52,92.18,28.67,79.4,81.0,28.01,12.4
Karnataka,Haveri,2016,75.09,50.45,37.93,40.69,91.58,17.27,41.92
Madhya Pradesh,Burhanpur,2018,67.98,46.94,69.95,73.85,46.93,21.66,21.02
Telangana,Medak,2024,89.2,26.3,81.2,95.1,75.7,27.04,71.8
Maharashtra,Gondia,2016,96.53,53.46,64.4,32.28,63.24,49.28,85.72
Gujarat,Surendranagar,2022,34.03,91.05,69.14,51.4,25.21,44.44,18.85
Himachal Pradesh,Hamirpur,2016,66.44,96.73,73.23,55.36,74.86,57.78,13.55
Rajasthan,Hanumangarh,2021,90.22,37.48,84.4,67.8,54.38,74.56,50.6
Uttar Pradesh,Saharanpur,2016,31.82,31.39,37.32,37.69,15.59,15.16,13.5
Uttar Pradesh,Saharanpur,2020,20.73,51.31,88.67,94.19,76.89,29.89,18.32
Bihar,Katihar,2020,81.73,35.56,21.28,78.88,70.63,18.29,60.11
Meghalaya,Ri Bhoi,2024,23.04,84.16,93.04,58.97,16.84,91.55,35.69
Karnataka,Yadgir,2020,80.59,28.55,81.93,11.96,29.11,73.54,17.8
Kerala,Kannur,2020,68.18,35.14,63.37,99.8,16.53,17.17,17.8
Bihar,Nalanda,2017,57.09,90.22,76.6,32.17,56.96,29.92,86.85
Karnataka,Belagavi,2024,26.92,76.81,93.99,26.86,57.73,33.37,18.39
Gujarat,Tapi,2018,91.04,98.96,31.99,56.12,89.38,67.66,97.41
West Bengal,Birbhum,2019,85.07,95.71,59.5,60.29,67.44,55.02,59.69
Andhra Pradesh,Palnadu,2019,39.7,93.78,46.12,32.07,29.79,40.22,14.91
Telangana,Peddapalli,2020,58.92,75.04,44.3,25.46,35.7,35.52,93.2
Punjab,Hoshiarpur,2016,83.9,88.83,63.44,64.6,25.75,12.94,27.05
Himachal Pradesh,Hamirpur,2020,21.73,15.14,72.14,91.67,12.64,12.6,49.16
Meghalaya,South West Khasi Hills,2022,63.16,61.09,80.91,58.24,87.14,49.47,84.27
Punjab,Ludhiana,2017,55.6,30.37,66.98,96.37,54.97,95.18,73.06
Uttar Pradesh,Kushinagar,2019,47.13,15.13,35.3,13.7,69.45,53.96,25.16
Assam,Biswanath,2022,85.0,29.79,13.72,26.42,44.43,26.08,14.19
Andhra Pradesh,Kakinada,2022,77.27,39.28,60.24,89.74,11.3,81.38,43.83
Andhra Pradesh,Parvathipuram Manyam,2018,72.08,67.41,90.35,16.88,21.79,58.01,33.63
Bihar,West Champaran,2015,55.77,13.19,85.08,34.31,98.61,22.55,32.58
Nagaland,Dimapur,2018,59.04,92.93,83.03,73.19,52.02,95.24,22.63
Himachal Pradesh,Solan,2024,55.03,75.44,79.23,84.12,10.26,51.47,30.88
Sikkim,Gangtok,2025,53.0,68.63,81.65,60.47,43.46,93.49,86.0
Rajasthan,Sawai Madhopur,2018,22.85,52.77,58.49,84.23,93.32,13.2,39.34
Assam,Dhemaji,2025,50.68,71.76,25.97,37.63,78.63,66.73,93.29
Bihar,Siwan,2018,94.38,22.68,80.06,79.6,43.92,93.59,54.92
Punjab,Tarn Taran,2023,43.84,96.27,70.33,62.51,53.41,71.46,56.19
Karnataka,Vijayapura,2021,68.69,48.54,63.48,58.5,90.37,23.05,26.89
Karnataka,Bengaluru Rural,2023,69.24,16.38,17.35,96.19,46.02,62.99,95.75
Rajasthan,Salumbar,2016,41.78,68.55,97.6,57.11,88.6,64.58,23.01
Rajasthan,Chittorgarh,2016,19.63,77.0,38.5,92.89,45.29,37.16,10.19
Meghalaya,North Garo Hills,2025,14.03,20.42,55.45,10.22,70.57,35.52,14.83
Gujarat,Devbhoomi Dwarka,2019,55.4,31.24,93.73,13.57,35.9,58.86,81.88
Assam,Barpeta,2017,87.18,39.03,68.66,43.42,89.36,63.93,78.44
Jharkhand,Seraikela-Kharsawan,2020,49.25,95.01,66.72,52.1,90.36,21.61,58.24
Madhya Pradesh,Shivpuri,2022,48.02,72.05,26.91,32.38,72.72,48.69,70.53
Karnataka,Yadgir,2023,65.83,98.03,66.7,37.53,67.99,97.39,15.67
Haryana,Ambala,2015,33.21,18.04,61.08,73.04,29.5,47.66,34.35
Andhra Pradesh,Anakapalli,2022,16.26,87.58,94.45,72.25,80.32,39.79,42.27
Tamil Nadu,Mayiladuthurai,2020,87.91,70.86,17.62,76.88,59.0,25.27,32.42
Uttar Pradesh,Maharajganj,2024,64.38,10.41,83.14,25.05,35.94,65.52,45.51
Telangana,Mahabubabad,2021,75.52,51.89,26.07,58.0,39.77,26.39,37.36
Tamil Nadu,Salem,2020,48.19,27.02,95.35,18.39,84.01,49.34,34.79
Tamil Nadu,Chengalpattu,2025,63.12,66.72,53.31,27.88,11.87,35.41,78.89
Meghalaya,East Khasi Hills,2021,49.69,58.29,74.21,36.19,37.89,50.89,13.14
Gujarat,Gir Somnath,2016,70.28,13.85,27.51,24.99,72.55,50.72,56.25
Assam,Dhubri,2016,54.86,49.21,96.01,12.5,19.54,31.08,71.4
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2017,38.0,67.81,32.43,91.75,15.12,86.97,52.07
Tamil Nadu,Kallakurichi,2019,89.01,82.69,12.07,52.44,39.9,26.28,32.9
Uttar Pradesh,Pilibhit,2018,63.24,81.29,91.88,83.98,52.46,79.49,90.99
Bihar,Katihar,2025,95.06,57.9,17.95,63.61,51.21,30.5,23.98
Rajasthan,Tonk,2024,40.95,53.95,88.84,80.03,93.93,35.34,74.07
Haryana,Kurukshetra,2016,37.92,93.27,95.07,93.5,30.13,68.2,70.05
Sikkim,Namchi,2018,79.6,49.46,37.35,41.58,86.34,61.16,60.41
Karnataka,Udupi,2015,93.42,39.72,38.94,90.32,19.28,67.8,52.27
Andhra Pradesh,Krishna,2019,33.5,73.0,89.44,93.15,63.37,61.61,49.38
Telangana,Mulugu,2021,87.36,54.77,84.48,56.57,10.85,95.5,82.13
Arunachal Pradesh,Lepa Rada,2023,95.6,88.07,89.6,69.74,54.44,37.64,49.45
Gujarat,Valsad,2016,33.18,17.39,47.3,63.19,14.63,41.97,77.73
Karnataka,Kalaburagi,2023,13.29,17.97,95.13,86.9,53.13,56.25,74.05
Assam,Morigaon,2016,27.35,30.43,48.06,81.22,84.44,42.13,68.79
Rajasthan,Bharatpur,2017,64.27,13.77,50.28,87.97,47.03,67.95,63.12
Manipur,Tengnoupal,2021,24.21,95.14,81.4,22.98,12.92,24.18,21.66
Bihar,East Champaran,2025,46.97,99.35,77.67,71.46,65.67,47.25,26.16
Uttar Pradesh,Chitrakoot,2016,59.69,53.01,36.16,44.67,34.58,80.69,58.74
Arunachal Pradesh,Anjaw,2015,76.01,84.42,93.77,28.93,63.51,40.94,63.18
Karnataka,Chitradurga,2023,11.02,34.62,48.15,50.62,20.25,78.42,41.51
Rajasthan,Dausa,2016,47.83,60.82,94.81,24.01,73.43,52.19,74.41
Andhra Pradesh,Anantapur,2016,45.41,76.32,48.01,60.67,85.25,46.56,24.88
Meghalaya,East Khasi Hills,2021,49.94,36.79,35.92,14.75,70.05,46.7,87.77
Manipur,Tamenglong,2023,28.75,61.22,19.31,14.3,31.27,95.96,16.32
West Bengal,Cooch Behar,2022,85.56,37.94,87.77,26.56,12.93,72.31,31.48
Haryana,Kaithal,2020,48.11,36.44,80.07,34.35,65.37,23.18,82.21
Uttar Pradesh,Banda,2021,72.89,15.81,14.36,14.02,32.26,59.73,84.67
Uttar Pradesh,Chandauli,2016,60.3,16.46,46.96,69.78,25.31,54.4,13.9
Chhattisgarh,Balrampur,2016,50.23,42.75,89.98,83.23,39.88,92.21,89.39
Meghalaya,West Jaintia Hills,2025,17.61,46.11,75.1,63.01,42.63,93.44,52.96
Rajasthan,Balotra,2024,76.47,26.79,64.45,86.45,40.61,53.55,40.39
Tamil Nadu,Theni,2024,50.76,49.38,77.89,68.46,79.86,72.92,63.55
Andhra Pradesh,Prakasam,2018,28.53,74.9,59.39,73.79,73.97,90.79,50.66
West Bengal,South 24 Parganas,2017,67.41,10.65,34.57,71.53,42.55,58.17,39.11
Jharkhand,Lohardaga,2021,18.01,85.6,78.76,45.0,23.4,61.16,12.44
Maharashtra,Ahmednagar,2022,80.58,85.53,39.21,64.28,62.52,26.3,58.48
Tamil Nadu,Virudhunagar,2025,68.48,67.46,38.02,22.45,98.29,17.01,59.19
Manipur,Churachandpur,2018,13.08,88.41,66.15,62.72,72.65,63.92,40.42
Arunachal Pradesh,Dibang Valley,2015,80.64,32.14,14.45,19.31,93.7,65.36,14.08
Rajasthan,Nagaur,2015,42.81,35.39,15.68,95.92,23.1,88.75,75.72
Uttarakhand,Udham Singh Nagar,2015,21.62,55.58,75.85,33.8,23.79,32.19,37.86
Odisha,Sundargarh,2025,63.28,30.35,23.13,11.74,36.61,21.27,84.99
Karnataka,Haveri,2024,58.2,74.6,27.9,30.66,48.01,26.61,89.32
Madhya Pradesh,Maihar,2022,40.9,75.31,62.31,18.06,37.45,85.36,24.91
Uttarakhand,Tehri Garhwal,2022,33.47,85.12,33.94,87.34,88.85,43.3,77.93
Bihar,Lakhisarai,2017,30.31,11.3,27.59,16.33,66.37,52.16,75.88
West Bengal,Paschim Medinipur,2025,89.89,65.26,16.12,61.44,55.2,44.26,62.56
Uttar Pradesh,Kanpur Dehat,2023,67.13,28.53,16.1,89.97,54.45,20.77,63.71
Maharashtra,Satara,2020,37.87,33.48,38.89,17.62,60.15,22.98,57.01
Tamil Nadu,Thoothukudi,2024,44.88,58.53,36.5,79.79,72.65,22.52,86.92
Tamil Nadu,Vellore,2023,59.08,25.9,37.79,92.11,72.15,19.61,47.59
Haryana,Palwal,2020,65.15,94.55,30.85,36.08,46.47,75.15,40.01
Uttarakhand,Haridwar,2019,28.55,94.14,31.4,99.74,57.91,53.7,24.22
Madhya Pradesh,Neemuch,2015,38.12,70.25,73.89,92.13,27.48,16.4,51.56
Arunachal Pradesh,Anjaw,2021,66.53,68.45,87.79,25.03,79.09,34.54,89.61
Jharkhand,Simdega,2024,83.13,54.07,38.85,71.97,29.93,25.33,91.15
