state,district,year,total_hospitals,government_hospitals,private_hospitals,hospital_beds,icu_beds,ventilators,doctors,nurses,ambulances,primary_health_centers,community_health_centers,maternal_mortality_rate,infant_mortality_rate,life_expectancy,vaccination_rate,health_expenditure_per_capita,patients_per_day
Assam,Baksa,2016,33,87,152,3557,339,144,536,2952,54,33,22,71.38,51.15,69.93,93.28,7050,4671
Assam,Baksa,2017,202,65,113,1885,370,192,1285,2265,39,15,26,99.95,11.33,70.76,96.4,2561,3518
Assam,Baksa,2018,206,85,168,909,131,74,1347,1842,61,27,2,87.08,24.21,70.28,74.64,6773,4680
Assam,Baksa,2019,79,36,44,4475,320,178,1046,1572,66,52,36,108.53,12.77,68.91,80.4,5880,3855
Assam,Baksa,2020,133,27,134,4132,53,90,1373,2405,31,63,22,137.28,25.11,73.09,95.24,9903,2671
Assam,Baksa,2021,190,10,177,4075,425,51,251,1963,75,79,9,90.52,10.49,67.29,78.03,5484,1557
Assam,Baksa,2022,155,79,157,2771,135,166,929,2285,76,21,26,193.79,52.73,65.75,64.83,8266,1930
Assam,Baksa,2023,226,29,22,1272,474,88,207,354,65,20,30,169.68,51.88,70.9,81.96,13408,1271
Assam,Baksa,2024,80,49,94,2767,119,34,495,435,76,56,37,63.68,19.25,66.6,63.19,4093,4026
Assam,Baksa,2025,107,19,157,2026,260,36,1419,463,78,14,38,162.5,16.03,66.34,79.74,12916,2532
Assam,Barpeta,2015,272,37,88,4876,381,181,750,1512,90,29,31,144.94,14.13,72.77,62.33,4013,331
Assam,Barpeta,2016,90,26,175,2723,347,11,1299,506,38,68,19,105.13,53.89,74.59,72.04,13833,4293
Assam,Barpeta,2017,38,111,46,3080,235,40,1022,1715,75,67,9,78.5,50.05,69.36,88.47,6493,4467
Assam,Barpeta,2018,97,60,191,2397,59,29,150,1247,91,29,22,121.14,40.38,68.49,79.93,9987,3717
Assam,Barpeta,2019,300,100,17,3356,354,9,194,2328,88,51,14,149.84,51.81,69.59,88.25,5523,3661
Assam,Barpeta,2020,95,62,78,3307,491,131,700,1261,73,42,20,195.08,28.39,67.14,62.76,8089,2950
Assam,Barpeta,2021,81,15,15,4312,188,174,878,2508,76,69,7,167.48,38.82,65.44,70.74,3538,718
Assam,Barpeta,2022,56,43,117,307,449,94,696,2171,61,25,29,110.96,18.08,73.28,70.47,3888,607
Assam,Barpeta,2023,287,8,179,4953,62,57,746,960,51,33,19,81.98,55.07,70.54,69.17,14928,1547
Assam,Barpeta,2024,127,30,134,4325,362,181,451,2578,28,11,4,150.22,24.2,68.12,88.32,5658,4780
Assam,Barpeta,2025,264,42,71,1294,357,43,836,1409,66,28,28,54.48,11.2,70.0,72.78,4271,850
Assam,Biswanath,2015,270,46,149,2695,90,79,484,2932,63,53,25,100.58,43.91,70.01,80.91,8324,1432
Assam,Biswanath,2016,33,15,93,273,498,144,1337,1516,8,68,39,51.5,26.31,72.53,79.27,2497,2625
Assam,Biswanath,2017,292,51,121,4227,66,29,99,2605,107,78,40,187.65,13.41,74.96,91.15,2768,1233
Assam,Biswanath,2018,266,91,197,1897,73,114,1124,2468,18,25,36,133.11,57.69,73.17,86.93,14821,4073
Assam,Biswanath,2019,64,84,86,2033,258,121,204,115,76,33,25,86.06,12.25,69.16,90.53,5287,1740
Assam,Biswanath,2020,169,50,5,4675,61,95,254,2574,5,33,39,190.2,49.21,66.64,91.22,5332,824
Assam,Biswanath,2021,270,49,84,4301,285,50,254,625,116,19,32,78.97,16.27,67.0,73.58,11348,968
Assam,Biswanath,2022,131,96,181,3464,376,60,1126,1531,92,7,9,157.12,55.01,71.65,69.71,2973,1003
Assam,Biswanath,2023,222,43,109,3534,481,104,955,1219,64,32,34,167.43,25.25,68.16,68.08,14181,311
Assam,Biswanath,2024,30,69,27,656,372,168,107,1066,72,46,13,55.25,27.08,74.42,67.1,3536,4316
Assam,Biswanath,2025,218,89,64,3869,77,56,1025,2438,25,65,16,132.67,57.8,72.26,92.63,4267,4819
Assam,Bongaigaon,2015,83,106,82,4957,23,8,117,1296,21,43,31,79.16,52.38,70.24,66.88,8743,1519
Assam,Bongaigaon,2016,46,86,100,3646,44,135,1067,796,78,54,17,72.78,25.15,72.38,80.24,9265,3513
Assam,Bongaigaon,2017,252,15,66,4119,174,171,452,446,26,63,19,61.59,19.77,73.9,89.41,3236,3173
Assam,Bongaigaon,2018,103,99,145,3024,205,30,772,2418,18,74,3,161.34,44.93,72.25,97.36,5775,3992
Assam,Bongaigaon,2019,298,76,86,4075,383,80,1469,892,103,6,39,95.94,49.36,72.83,84.36,5682,2477
Assam,Bongaigaon,2020,224,118,114,1360,48,194,947,2572,75,56,2,122.44,14.72,73.9,85.36,12259,3441
Assam,Bongaigaon,2021,241,34,153,3832,368,132,954,2411,62,10,6,157.34,28.17,67.95,96.22,11803,4083
Assam,Bongaigaon,2022,206,44,76,589,247,164,917,2672,89,37,34,58.93,36.55,73.67,87.54,8681,2013
Assam,Bongaigaon,2023,180,31,171,4141,213,161,413,2397,5,37,22,105.24,58.7,70.81,95.93,11753,2162
Assam,Bongaigaon,2024,92,107,115,3044,251,189,801,638,89,17,36,105.01,48.29,70.97,96.56,11938,3013
Assam,Bongaigaon,2025,107,54,160,4208,272,167,741,762,36,24,37,125.59,10.94,73.64,97.81,8575,611
Assam,Cachar,2015,75,77,38,271,262,12,1009,1486,10,78,10,174.4,36.95,70.58,86.66,7627,4781
Assam,Cachar,2016,101,106,167,2533,167,39,567,523,71,58,33,103.25,15.28,74.5,69.4,5071,3288
Assam,Cachar,2017,199,13,48,4013,233,175,139,399,69,9,39,124.71,35.89,66.39,89.71,14051,2420
Assam,Cachar,2018,130,9,64,3630,305,153,656,2254,20,71,26,134.69,15.76,74.36,83.16,8118,1057
Assam,Cachar,2019,211,35,82,2853,184,61,817,2008,23,52,20,171.19,42.45,70.39,72.46,5341,3486
Assam,Cachar,2020,217,91,197,3739,206,84,556,533,64,6,5,174.97,33.58,73.86,92.61,9652,2663
Assam,Cachar,2021,58,67,72,4446,282,29,614,883,94,34,26,67.2,58.26,71.19,91.89,7814,1473
Assam,Cachar,2022,113,85,83,3072,266,196,854,678,19,11,16,162.27,41.04,73.54,71.03,3424,3407
Assam,Cachar,2023,65,33,172,869,102,174,1252,1169,92,21,10,81.51,19.34,74.46,89.76,2567,1299
Assam,Cachar,2024,126,117,78,1162,22,125,328,2687,109,49,28,64.2,45.93,70.12,94.11,2693,3652
Assam,Cachar,2025,115,120,113,3243,247,200,708,635,98,9,33,51.61,15.23,69.38,80.13,3204,3830
Assam,Charaideo,2015,255,19,192,2863,140,33,360,2358,76,36,21,68.34,15.54,67.59,86.51,3480,756
Assam,Charaideo,2016,249,22,170,2964,390,109,1173,1171,27,21,12,138.87,32.51,72.23,69.5,14413,353
Assam,Charaideo,2017,53,102,186,1051,61,187,927,2151,90,15,27,87.13,42.53,71.37,64.08,13969,3190
Assam,Charaideo,2018,21,120,112,2479,408,32,424,458,83,76,16,78.11,47.89,69.35,87.04,9689,2215
Assam,Charaideo,2019,237,26,140,2561,218,110,820,777,21,7,35,58.55,52.73,65.69,82.23,13564,562
Assam,Charaideo,2020,97,21,122,4838,418,181,486,587,116,45,22,79.73,10.09,74.29,97.34,10171,2916
Assam,Charaideo,2021,226,19,29,4637,130,56,515,353,120,49,30,123.11,43.27,66.78,74.89,6566,2062
Assam,Charaideo,2022,176,101,170,395,272,28,586,1267,5,15,35,61.92,24.62,72.66,96.73,4376,3289
Assam,Charaideo,2023,117,96,109,4248,137,32,713,2428,75,45,17,137.18,29.57,65.75,76.3,8520,1909
Assam,Charaideo,2024,173,79,146,4578,34,93,1187,1032,86,59,20,121.13,11.73,68.56,61.24,8459,2616
Assam,Charaideo,2025,275,31,61,2620,163,199,854,1116,107,8,23,101.37,15.46,65.63,78.59,2167,1484
Assam,Chirang,2015,173,49,68,376,470,184,309,1049,105,21,28,192.92,59.42,65.35,63.95,2750,322
Assam,Chirang,2016,283,30,190,1738,231,28,1122,1838,33,20,4,55.23,39.51,69.03,84.56,10172,4570
Assam,Chirang,2017,144,30,116,3149,26,183,161,1836,66,58,38,134.62,57.78,70.95,92.7,5285,2259
Assam,Chirang,2018,221,59,39,2585,135,9,710,253,66,20,38,155.3,41.4,66.31,70.1,7338,1462
Assam,Chirang,2019,221,17,78,4627,252,88,705,590,74,80,11,115.9,58.69,72.68,82.51,13123,2559
Assam,Chirang,2020,214,103,12,2095,39,45,62,2099,96,75,10,130.85,43.91,68.06,87.62,2628,4607
Assam,Chirang,2021,286,10,151,3052,219,58,1440,625,115,32,15,63.78,46.72,74.49,69.83,11968,4988
Assam,Chirang,2022,161,102,118,3807,475,129,734,367,63,50,34,72.81,13.47,71.14,70.55,9242,1595
Assam,Chirang,2023,32,103,76,4316,388,15,245,255,80,21,7,65.12,50.42,69.92,68.72,5633,4629
Assam,Chirang,2024,275,65,195,1114,408,83,97,1170,119,28,34,193.72,10.44,74.94,72.66,12072,2899
Assam,Chirang,2025,217,106,90,552,118,188,1417,2859,83,28,33,85.03,21.37,74.8,65.06,14683,385
Assam,Darrang,2015,25,22,50,1264,442,99,627,1978,104,48,4,93.19,28.6,74.09,80.74,6001,2272
Assam,Darrang,2016,112,18,8,2239,447,71,1168,1149,78,28,15,173.26,39.35,69.77,72.93,5122,377
Assam,Darrang,2017,260,112,92,1868,494,157,1078,1127,90,40,35,110.95,52.99,70.72,97.62,5931,2448
Assam,Darrang,2018,35,111,9,4956,392,95,255,1027,30,24,16,140.03,39.61,66.48,95.09,7051,328
Assam,Darrang,2019,154,39,146,2725,280,39,1470,2957,73,62,25,71.25,33.7,66.95,64.8,6014,1458
Assam,Darrang,2020,131,60,153,3146,138,33,1235,2220,24,34,17,126.91,33.62,72.0,91.91,7492,3258
Assam,Darrang,2021,102,117,16,1799,183,57,109,1195,30,25,14,178.53,57.13,74.86,68.95,9562,1284
Assam,Darrang,2022,32,35,14,4903,187,43,540,829,31,13,3,129.95,37.33,67.16,84.37,13376,659
Assam,Darrang,2023,49,20,57,4455,271,182,1312,1728,109,50,21,106.97,56.94,70.53,66.59,8373,3352
Assam,Darrang,2024,150,78,53,2631,192,133,119,2471,93,43,4,157.82,56.15,72.33,63.27,4878,1766
Assam,Darrang,2025,191,24,89,2207,412,179,1167,864,8,58,16,106.94,32.6,71.24,75.18,13385,2098
Assam,Dhemaji,2015,152,106,46,718,83,114,810,2893,46,61,14,69.78,53.3,74.08,62.18,3473,854
Assam,Dhemaji,2016,114,87,136,1018,59,193,83,1077,78,40,27,191.83,28.08,68.07,76.09,11598,1110
Assam,Dhemaji,2017,199,44,115,4785,206,60,840,2559,16,63,4,189.61,34.36,70.1,70.84,3917,3207
Assam,Dhemaji,2018,120,77,11,324,39,11,1002,172,43,29,14,52.5,29.59,66.93,82.08,13839,2043
Assam,Dhemaji,2019,281,30,50,1331,311,82,72,529,68,13,5,137.87,47.29,65.57,74.0,11559,4954
Assam,Dhemaji,2020,215,28,180,790,480,16,1393,1667,74,27,18,93.51,30.04,66.49,84.64,5083,2713
Assam,Dhemaji,2021,133,82,111,3051,339,21,471,2451,74,17,3,198.62,47.0,73.75,67.54,14156,2434
Assam,Dhemaji,2022,53,115,155,750,225,159,1017,1855,101,77,18,132.56,27.11,69.87,78.23,11481,1219
Assam,Dhemaji,2023,174,51,26,4132,474,42,781,1211,10,53,35,70.78,26.78,71.74,78.02,5747,2492
Assam,Dhemaji,2024,254,87,24,4749,395,159,1264,1329,114,71,9,158.49,21.71,65.34,94.99,11060,1817
Assam,Dhemaji,2025,95,103,33,3309,81,185,1402,406,118,77,25,72.5,28.72,71.84,95.56,12368,126
Assam,Dhubri,2015,233,93,26,1849,72,104,691,1557,25,33,27,129.24,58.07,69.7,82.62,6424,4416
Assam,Dhubri,2016,223,111,74,900,435,110,342,457,86,21,17,77.21,27.88,74.04,92.62,13008,829
Assam,Dhubri,2017,184,47,154,4074,146,33,1131,1222,10,73,8,144.13,26.54,71.95,91.74,5869,4775
Assam,Dhubri,2018,288,104,93,1856,275,51,968,1354,21,25,5,83.57,20.58,71.61,64.71,12606,1878
Assam,Dhubri,2019,265,17,92,2366,375,169,1083,273,44,29,15,165.27,43.28,69.32,80.46,3605,4066
Assam,Dhubri,2020,182,68,140,2263,26,80,1235,544,108,7,36,142.51,47.65,70.41,74.79,11439,3148
Assam,Dhubri,2021,272,19,138,345,352,5,442,1874,110,23,22,53.37,21.44,67.01,65.58,5909,271
Assam,Dhubri,2022,20,47,83,3951,306,75,715,1118,54,11,16,186.11,50.69,74.08,85.03,8431,3469
Assam,Dhubri,2023,115,76,125,2222,294,15,1206,1537,26,62,26,166.03,18.13,70.01,83.85,11832,1703
Assam,Dhubri,2024,235,42,112,2287,162,194,1430,1798,77,77,16,95.72,53.81,65.86,84.59,7809,3265
Assam,Dhubri,2025,280,8,200,561,500,18,1256,217,120,59,3,85.12,16.52,73.2,67.69,7143,3076
Assam,Dibrugarh,2015,270,12,40,1671,253,93,534,408,6,46,16,108.2,13.99,70.26,62.54,7452,3096
Assam,Dibrugarh,2016,207,42,95,1085,243,86,874,687,118,40,15,199.37,57.02,68.01,90.17,12091,4676
Assam,Dibrugarh,2017,38,78,160,3128,295,9,1096,353,101,27,21,69.0,46.65,72.18,85.47,7794,1122
Assam,Dibrugarh,2018,194,98,108,3978,289,24,367,2356,19,10,9,122.28,44.64,68.91,70.83,13742,2731
Assam,Dibrugarh,2019,80,16,57,2087,103,32,693,2730,96,7,31,96.59,17.04,70.23,60.74,7018,1924
Assam,Dibrugarh,2020,158,9,84,2278,284,12,1281,2950,60,67,35,111.92,36.39,65.53,66.5,13012,2766
Assam,Dibrugarh,2021,47,50,110,2282,230,7,946,395,68,27,20,132.52,13.23,73.07,74.15,5894,956
Assam,Dibrugarh,2022,202,37,194,3598,89,102,835,2023,32,70,30,161.67,59.65,65.28,90.07,11670,2418
Assam,Dibrugarh,2023,250,114,146,4705,367,133,99,2350,64,11,33,64.58,38.91,71.23,64.1,12219,1513
Assam,Dibrugarh,2024,247,44,30,4903,138,41,1131,1134,42,23,12,142.13,52.52,72.92,63.81,11287,3592
Assam,Dibrugarh,2025,38,32,189,3529,122,116,649,912,89,76,2,143.25,33.0,67.92,97.34,14467,3150
Assam,Dima Hasao,2015,63,53,21,3837,120,86,949,1714,60,78,23,58.75,31.93,74.88,84.77,13094,1638
Assam,Dima Hasao,2016,293,97,110,809,196,116,156,2695,67,21,38,93.04,18.35,73.79,97.25,2763,1016
Assam,Dima Hasao,2017,287,27,183,487,38,15,1311,618,112,23,28,159.04,57.81,74.95,87.12,4768,3982
Assam,Dima Hasao,2018,151,112,188,1931,176,52,59,1361,33,6,26,167.88,17.1,67.84,61.42,8393,995
Assam,Dima Hasao,2019,151,12,186,4816,182,173,237,2153,42,7,35,176.78,30.72,66.68,78.15,3359,1562
Assam,Dima Hasao,2020,171,120,165,3157,182,76,1202,878,102,25,40,168.28,45.48,72.63,79.08,2155,2894
Assam,Dima Hasao,2021,268,80,92,645,402,32,82,2888,101,63,18,164.07,30.12,71.93,65.29,3132,4708
Assam,Dima Hasao,2022,191,72,31,352,83,102,368,2016,96,59,11,127.32,16.63,69.35,71.09,9672,2900
Assam,Dima Hasao,2023,173,48,52,4683,498,35,922,2495,30,51,5,159.18,35.56,73.11,87.04,11567,2394
Assam,Dima Hasao,2024,268,22,168,3682,446,62,729,2758,98,27,10,173.23,25.01,71.28,89.1,5487,2919
Assam,Dima Hasao,2025,258,60,19,1342,130,196,792,2708,46,23,35,159.32,32.95,69.71,81.41,8507,4966
Assam,Goalpara,2015,33,120,82,2936,358,166,345,647,22,10,5,54.7,10.67,74.48,61.63,3464,2096
Assam,Goalpara,2016,24,47,101,330,196,139,825,1256,16,5,28,185.49,11.92,69.15,85.16,11449,486
Assam,Goalpara,2017,93,98,16,2947,431,147,880,1636,46,19,16,62.56,11.7,65.51,86.65,2983,1740
Assam,Goalpara,2018,97,110,115,3795,232,115,1011,2719,54,63,23,66.8,56.77,68.91,66.25,8013,597
Assam,Goalpara,2019,178,11,87,4860,453,180,429,1146,18,38,32,68.07,50.07,66.32,66.55,2911,3233
Assam,Goalpara,2020,293,58,11,4713,125,140,541,2562,56,25,5,117.44,42.18,66.99,61.67,5591,1924
Assam,Goalpara,2021,202,36,147,2764,37,41,802,2352,57,68,17,134.05,11.24,70.11,63.83,13698,1217
Assam,Goalpara,2022,287,15,23,3197,284,48,648,2385,90,18,12,159.4,57.99,67.85,95.37,5597,1113
Assam,Goalpara,2023,173,78,31,2224,475,113,1477,1582,81,60,15,198.75,47.55,67.91,89.95,11461,702
Assam,Goalpara,2024,127,76,148,444,100,120,447,1820,5,35,23,125.71,36.39,66.42,72.64,8631,4957
Assam,Goalpara,2025,285,84,147,924,439,139,1344,2136,46,31,13,82.95,11.66,65.45,77.71,6585,2355
Assam,Golaghat,2015,129,19,96,1656,99,41,249,1979,35,22,33,142.47,13.08,73.22,68.05,8622,3223
Assam,Golaghat,2016,34,103,127,1393,222,133,1013,2543,114,56,32,106.11,47.15,74.27,88.72,10282,264
Assam,Golaghat,2017,51,41,6,4397,91,168,985,1207,6,49,40,188.62,26.58,67.2,90.79,7722,1376
Assam,Golaghat,2018,280,22,134,3907,190,25,672,943,75,31,11,157.56,46.4,74.45,74.48,13114,2831
Assam,Golaghat,2019,142,28,163,3492,284,140,1464,2457,95,49,24,107.55,57.21,69.88,79.68,10283,1831
Assam,Golaghat,2020,117,78,172,563,407,54,149,2757,87,74,3,79.4,49.19,74.7,76.07,13412,3985
Assam,Golaghat,2021,193,104,197,4379,142,137,1121,2630,100,12,7,95.54,23.56,72.39,97.52,3522,1589
Assam,Golaghat,2022,37,11,57,1152,134,155,1351,779,70,64,30,131.76,58.79,65.55,88.83,9821,2641
Assam,Golaghat,2023,241,42,49,2405,39,8,838,1614,16,41,25,198.84,39.79,70.27,80.02,8551,599
Assam,Golaghat,2024,75,95,34,1243,325,93,943,495,54,18,38,167.03,21.25,68.67,70.6,7671,1205
Assam,Golaghat,2025,244,69,35,4719,266,25,716,633,87,19,28,139.02,53.76,65.71,85.1,3076,2251
Assam,Hailakandi,2015,82,82,25,4624,365,176,473,2700,53,19,12,199.41,44.67,74.64,75.63,13112,2518
Assam,Hailakandi,2016,106,35,18,3616,212,88,291,2993,36,44,6,117.14,16.78,67.39,97.7,10666,3926
Assam,Hailakandi,2017,300,117,67,4541,419,96,280,2750,84,48,28,56.64,30.74,72.8,71.02,4792,3347
Assam,Hailakandi,2018,171,67,57,4163,95,102,52,1997,79,35,22,106.98,11.65,70.4,74.4,4947,3213
Assam,Hailakandi,2019,289,50,31,1213,381,200,419,556,103,52,23,175.77,57.31,71.51,76.88,13688,344
Assam,Hailakandi,2020,62,22,146,3823,404,60,597,1954,51,8,26,179.98,43.86,74.45,63.02,2494,4497
Assam,Hailakandi,2021,214,71,111,4466,301,118,1363,1589,92,14,37,142.6,32.93,65.73,87.57,7555,3143
Assam,Hailakandi,2022,105,52,155,3668,468,183,342,2236,114,76,7,181.72,22.29,68.65,86.43,11217,1042
Assam,Hailakandi,2023,150,101,70,3531,373,89,614,460,60,27,36,109.75,17.01,65.5,79.07,10786,1634
Assam,Hailakandi,2024,197,94,108,1692,186,155,1403,742,25,24,9,181.64,33.32,67.79,80.97,2258,4213
Assam,Hailakandi,2025,209,16,64,3570,364,32,1226,2378,31,22,7,164.28,20.78,73.19,62.12,9906,167
Assam,Hojai,2015,39,115,107,1377,291,129,265,517,25,57,5,164.59,46.8,65.23,82.98,5093,4318
Assam,Hojai,2016,244,106,70,566,145,56,1467,913,34,70,23,173.51,33.29,69.01,72.91,11425,706
Assam,Hojai,2017,68,98,68,2405,80,91,1051,2508,35,58,17,198.84,55.89,69.87,86.85,4901,3230
Assam,Hojai,2018,93,102,20,2393,283,80,1347,2802,89,9,19,58.78,34.65,74.25,67.76,3512,2045
Assam,Hojai,2019,298,8,45,1483,357,86,1330,2629,5,30,37,178.41,38.89,72.63,73.76,6226,1187
Assam,Hojai,2020,276,81,50,273,398,6,369,1356,60,47,27,66.23,56.13,72.42,62.13,14188,1655
Assam,Hojai,2021,41,32,76,4264,273,45,1299,647,86,42,27,127.84,49.36,70.59,63.68,14585,606
Assam,Hojai,2022,298,55,134,558,426,90,1164,1951,35,32,29,180.91,15.52,72.25,96.15,2402,2575
Assam,Hojai,2023,254,115,188,1688,147,87,1252,776,95,28,4,199.95,20.63,71.47,69.83,12733,3877
Assam,Hojai,2024,85,96,176,291,394,162,1210,2548,18,38,37,185.98,15.51,70.18,80.31,14659,2384
Assam,Hojai,2025,54,14,142,1056,398,81,498,448,77,52,30,79.17,33.35,69.55,95.7,13875,1625
Assam,Jorhat,2015,234,98,197,1003,98,54,107,2941,97,66,20,131.08,39.94,71.37,92.04,3043,3880
Assam,Jorhat,2016,210,48,189,2031,353,141,1157,2858,85,57,39,141.04,50.4,71.88,78.38,14373,2650
Assam,Jorhat,2017,224,47,37,3229,143,127,1486,2159,60,26,20,138.46,52.91,71.69,86.47,7594,4031
Assam,Jorhat,2018,137,73,32,3191,104,105,1175,1367,8,32,6,138.76,56.19,72.76,72.83,12405,4536
Assam,Jorhat,2019,77,77,44,923,481,196,1263,2042,13,48,32,64.39,39.89,69.13,91.88,12007,4813
Assam,Jorhat,2020,39,62,199,3471,141,162,121,1835,88,78,23,93.33,54.28,66.45,62.31,9992,1323
Assam,Jorhat,2021,61,70,33,3963,406,11,503,2218,112,32,4,95.23,37.42,73.65,78.7,6989,2454
Assam,Jorhat,2022,161,33,137,508,201,166,369,1874,113,53,8,198.85,14.38,72.48,71.98,14835,3016
Assam,Jorhat,2023,45,34,130,4823,57,68,763,1276,19,20,6,163.12,12.57,70.61,65.41,8685,1809
Assam,Jorhat,2024,179,51,145,4555,399,173,630,2184,52,77,34,157.29,58.71,70.69,96.41,5541,1228
Assam,Jorhat,2025,53,46,8,1227,66,74,1051,1490,100,25,14,154.2,26.34,70.51,97.91,3961,1487
Assam,Kamrup,2015,71,45,121,1752,100,110,1018,703,59,69,4,197.4,45.14,74.97,81.6,10163,4544
Assam,Kamrup,2016,263,16,53,2492,255,50,81,976,120,17,9,51.34,28.07,69.35,79.41,9082,895
Assam,Kamrup,2017,208,77,82,304,238,78,302,253,23,53,30,83.4,34.18,68.77,92.98,3074,4890
Assam,Kamrup,2018,261,110,175,249,252,140,256,2543,109,41,25,117.92,35.0,69.21,76.94,10838,1694
Assam,Kamrup,2019,84,55,200,3050,471,70,177,1467,50,50,34,150.55,59.82,68.97,85.82,7259,739
Assam,Kamrup,2020,232,42,100,3157,22,177,256,306,106,59,13,76.27,57.81,69.06,72.64,5230,618
Assam,Kamrup,2021,52,46,78,874,140,191,950,826,38,12,12,193.88,21.38,70.31,76.17,4702,4989
Assam,Kamrup,2022,111,45,34,1643,382,116,1279,2039,66,24,35,96.28,15.75,69.54,87.4,9866,4473
Assam,Kamrup,2023,38,58,8,2427,468,15,489,980,16,67,22,71.16,46.55,74.71,79.98,7513,2634
Assam,Kamrup,2024,300,87,57,241,310,42,460,1485,74,69,14,158.12,55.76,72.16,92.07,14967,3910
Assam,Kamrup,2025,118,107,160,1354,74,106,1304,1064,100,56,36,119.23,58.19,69.11,90.18,10741,4959
Assam,Kamrup Metropolitan,2015,247,114,19,2785,180,24,612,714,95,78,31,192.21,23.74,67.91,61.55,13104,935
Assam,Kamrup Metropolitan,2016,299,89,134,3194,267,143,488,2383,52,21,28,129.82,25.63,68.02,70.78,8269,4349
Assam,Kamrup Metropolitan,2017,37,8,107,2295,381,191,166,1767,92,69,20,147.03,24.51,67.5,74.47,9670,3763
Assam,Kamrup Metropolitan,2018,30,48,167,4321,310,109,1190,2381,91,24,25,76.9,24.27,74.63,97.84,3471,191
Assam,Kamrup Metropolitan,2019,131,105,57,943,62,98,884,1601,37,43,11,122.0,41.06,66.15,88.33,9510,1371
Assam,Kamrup Metropolitan,2020,39,35,118,1463,198,182,172,264,115,54,36,69.38,19.29,67.6,89.08,11055,4141
Assam,Kamrup Metropolitan,2021,210,111,184,225,349,178,640,1480,63,14,30,151.62,50.77,69.25,65.24,10414,964
Assam,Kamrup Metropolitan,2022,51,8,91,2145,422,77,1012,2240,37,63,34,81.28,28.83,67.1,62.93,14401,202
Assam,Kamrup Metropolitan,2023,168,78,104,222,174,183,1004,1113,42,64,22,114.85,30.16,66.3,92.83,14092,3079
Assam,Kamrup Metropolitan,2024,196,120,53,2634,258,44,915,662,15,28,30,62.4,48.53,69.32,95.67,12477,743
Assam,Kamrup Metropolitan,2025,136,14,10,2165,84,160,254,1509,90,58,12,170.56,35.82,69.39,79.97,3877,1566
Assam,Karbi Anglong,2015,209,19,34,1678,366,74,507,2134,15,41,38,136.28,45.32,74.46,77.38,12135,2400
Assam,Karbi Anglong,2016,92,85,179,4739,113,194,1087,1154,89,6,36,95.67,15.11,66.23,81.55,3807,4416
Assam,Karbi Anglong,2017,247,56,9,1069,459,188,1230,1010,12,13,14,120.59,54.71,65.53,72.87,14211,4698
Assam,Karbi Anglong,2018,109,98,59,1461,388,26,726,899,90,35,34,137.05,45.27,67.22,67.22,13241,1761
Assam,Karbi Anglong,2019,134,52,51,1980,218,119,362,2031,63,64,8,78.21,43.47,67.11,96.96,8137,1225
Assam,Karbi Anglong,2020,261,16,26,3942,160,172,366,131,69,65,18,151.65,41.12,74.99,74.16,5522,2036
Assam,Karbi Anglong,2021,196,117,26,880,22,193,1091,2115,34,7,24,111.66,21.06,70.7,66.27,7770,3961
Assam,Karbi Anglong,2022,131,18,167,3613,261,39,1210,670,23,48,3,109.9,54.16,72.78,65.51,13103,2559
Assam,Karbi Anglong,2023,130,64,173,1730,359,18,636,207,86,39,12,114.35,16.94,66.84,79.73,6564,1296
Assam,Karbi Anglong,2024,172,72,190,1092,113,193,431,2739,119,67,13,145.6,43.28,66.46,91.62,10565,831
Assam,Karbi Anglong,2025,236,19,169,4221,355,147,1152,307,118,68,5,98.23,11.54,70.3,77.64,14255,1806
Assam,Karimganj,2015,266,94,170,412,191,92,1297,2850,38,80,29,65.78,59.05,67.83,73.84,5924,2699
Assam,Karimganj,2016,132,120,92,1298,481,105,928,152,88,78,25,134.88,28.22,73.14,91.53,9718,2444
Assam,Karimganj,2017,292,80,66,2162,393,168,1191,1083,85,64,35,174.2,46.94,73.89,75.36,2144,4246
Assam,Karimganj,2018,99,118,126,1393,290,163,717,617,78,70,12,105.23,46.03,72.19,84.38,4059,4189
Assam,Karimganj,2019,181,65,53,3818,285,163,924,2035,97,22,32,191.94,40.43,67.43,91.15,2687,2524
Assam,Karimganj,2020,32,45,40,854,83,64,774,1484,46,30,12,161.56,12.97,73.01,91.16,8393,4619
Assam,Karimganj,2021,195,106,56,3985,464,146,556,207,102,12,21,73.17,57.25,67.58,81.59,13588,2384
Assam,Karimganj,2022,94,106,80,2813,356,69,1260,2416,76,71,29,196.57,52.55,69.84,70.98,7101,4477
Assam,Karimganj,2023,252,104,118,3987,224,83,1101,2512,112,36,35,101.66,18.36,74.0,79.49,10974,1062
Assam,Karimganj,2024,204,69,57,2248,384,85,1212,1676,98,22,7,188.96,20.98,71.89,75.33,7535,2207
Assam,Karimganj,2025,248,20,174,3777,298,31,165,712,13,15,29,167.1,32.69,72.35,89.33,5505,1617
Assam,Kokrajhar,2015,147,32,148,1621,223,5,461,1011,104,7,38,178.84,52.68,67.58,88.33,11534,2146
Assam,Kokrajhar,2016,206,55,111,4621,163,104,929,1681,99,6,35,68.09,45.46,73.4,84.78,13287,886
Assam,Kokrajhar,2017,280,18,113,543,452,53,1318,2846,41,76,15,100.07,45.99,68.17,66.51,6381,1667
Assam,Kokrajhar,2018,136,77,17,4144,64,67,549,737,94,22,24,157.24,32.21,73.4,88.39,3921,1133
