state,district,year,internet_users,broadband_users,mobile_subscribers,internet_penetration,5g_coverage,data_usage,digital_services
Uttar Pradesh,Banda,2017,27.43,19.33,95.38,65.66,63.94,42.85,89.14
Telangana,Nizamabad,2015,99.69,39.95,31.23,72.5,71.81,12.21,54.78
Uttar Pradesh,Bijnor,2018,17.28,71.92,74.93,43.42,47.2,65.42,77.63
Gujarat,Surendranagar,2022,30.19,87.24,85.89,43.55,76.08,10.25,39.87
Uttar Pradesh,Banda,2025,92.69,22.89,19.7,48.24,76.15,67.06,75.35
Manipur,Chandel,2021,81.93,18.87,45.57,39.13,14.93,28.53,91.39
West Bengal,Purba Bardhaman,2017,86.34,93.66,78.47,66.47,83.64,48.07,85.72
Madhya Pradesh,Shahdol,2016,23.46,95.67,60.56,37.83,38.46,48.91,84.68
Karnataka,Kodagu,2019,85.99,24.17,81.24,64.47,23.75,81.76,21.47
Kerala,Kozhikode,2023,97.72,30.2,45.7,64.5,24.31,72.81,93.57
Nagaland,Wokha,2025,89.83,15.28,93.43,57.3,41.89,80.63,24.06
Bihar,Saharsa,2016,54.07,57.86,83.81,59.78,77.04,31.77,95.55
Uttar Pradesh,Azamgarh,2025,37.21,21.16,90.77,16.86,61.02,91.13,92.25
Himachal Pradesh,Kangra,2021,48.32,65.03,64.23,30.42,86.71,41.03,38.28
Madhya Pradesh,Maihar,2020,78.78,98.8,81.33,40.63,52.9,53.43,32.37
Maharashtra,Parbhani,2025,36.35,13.52,38.93,31.61,82.38,89.22,96.87
Bihar,Katihar,2016,14.24,60.73,41.1,18.93,46.05,96.35,91.33
Gujarat,Chhota Udepur,2025,12.14,44.84,36.37,70.69,72.07,95.27,96.0
Manipur,Imphal East,2016,74.29,59.18,91.41,75.38,10.57,29.94,38.48
Rajasthan,Sikar,2020,20.45,74.53,78.17,39.68,66.55,93.5,78.87
Uttar Pradesh,Varanasi,2016,13.31,31.47,73.31,44.92,53.13,37.97,97.39
Meghalaya,West Khasi Hills,2021,68.7,61.29,39.66,38.02,51.36,50.24,28.09
Maharashtra,Mumbai City,2015,96.69,92.62,66.32,96.7,85.14,71.92,15.5
Punjab,Faridkot,2023,62.63,15.9,14.27,76.96,26.99,61.09,44.71
Telangana,Bhadradri Kothagudem,2025,66.58,73.68,79.66,98.46,12.22,37.07,74.9
Telangana,Siddipet,2021,37.32,31.2,88.83,73.92,45.67,68.64,98.61
Maharashtra,Latur,2015,48.33,67.75,61.47,17.38,14.61,20.44,80.22
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,91.61,51.39,94.62,13.73,46.36,47.01,64.63
Odisha,Rayagada,2021,30.04,34.76,61.32,15.37,49.92,28.92,83.53
Uttar Pradesh,Rampur,2021,39.45,82.68,28.75,35.44,66.26,58.45,62.02
Madhya Pradesh,Ujjain,2021,40.69,34.45,32.5,55.26,39.66,93.84,20.64
Odisha,Dhenkanal,2020,59.66,72.4,75.82,16.65,97.19,20.12,53.18
Assam,Cachar,2015,98.77,91.41,94.32,49.32,14.3,12.85,78.02
Gujarat,Sabarkantha,2021,43.15,83.34,10.73,43.71,54.56,33.09,24.0
Assam,Charaideo,2022,11.54,61.77,20.98,45.97,58.34,72.62,51.6
Uttar Pradesh,Maharajganj,2025,24.55,75.74,68.52,48.74,46.91,33.1,75.19
Sikkim,Soreng,2025,69.69,22.07,60.46,38.69,95.72,91.99,15.52
Andhra Pradesh,Palnadu,2022,44.28,41.81,33.03,84.84,99.1,64.72,13.23
Maharashtra,Dhule,2022,73.07,47.24,68.86,80.89,91.37,85.41,83.43
Karnataka,Yadgir,2017,40.14,75.63,91.4,59.91,63.69,82.39,81.15
Assam,West Karbi Anglong,2019,58.14,34.93,16.37,16.78,43.53,83.54,97.96
Telangana,Komaram Bheem Asifabad,2023,38.61,15.47,69.0,45.94,29.88,15.81,13.11
Bihar,Saharsa,2019,56.79,73.13,62.39,14.76,87.87,17.66,55.97
Punjab,Jalandhar,2021,53.15,52.54,84.64,90.76,65.44,11.39,75.44
Haryana,Karnal,2019,98.13,11.28,51.97,13.7,62.87,47.87,56.18
Jharkhand,Dhanbad,2018,43.68,91.4,27.43,56.07,16.28,43.43,73.2
Uttarakhand,Pauri Garhwal,2025,91.46,79.45,77.62,52.84,35.92,66.9,98.26
Tamil Nadu,Sivaganga,2022,89.18,46.86,77.27,66.46,36.33,98.87,45.78
Karnataka,Mandya,2022,52.93,40.99,93.63,64.0,28.67,74.22,86.94
Telangana,Suryapet,2016,51.33,63.53,14.1,49.09,88.17,25.85,31.07
Assam,Dima Hasao,2016,39.21,94.53,81.31,31.96,11.86,48.37,23.62
West Bengal,Bankura,2023,80.43,96.5,29.66,81.88,79.73,34.02,71.28
Arunachal Pradesh,Upper Subansiri,2018,48.08,90.05,81.21,72.9,82.91,86.36,19.44
Madhya Pradesh,Chhindwara,2023,23.69,60.27,99.9,19.15,95.26,14.85,51.72
Uttar Pradesh,Varanasi,2025,23.42,73.47,79.12,47.73,86.18,67.13,56.79
Tamil Nadu,Madurai,2017,28.52,34.62,38.05,60.93,58.76,67.85,83.08
Karnataka,Shivamogga,2025,12.54,79.22,94.37,11.99,19.17,46.8,13.68
Haryana,Nuh,2022,47.74,62.58,54.43,55.54,83.6,93.51,35.71
Himachal Pradesh,Lahaul & Spiti,2015,40.04,56.73,93.12,73.35,48.39,58.41,27.7
Uttar Pradesh,Gorakhpur,2024,95.03,26.69,18.68,96.81,36.28,84.69,58.7
Uttar Pradesh,Shahjahanpur,2018,61.13,20.29,72.28,53.81,91.34,12.38,69.49
Chhattisgarh,Dhamtari,2017,73.51,56.1,66.0,20.47,89.43,47.0,69.24
Meghalaya,West Jaintia Hills,2018,88.63,85.2,57.18,58.48,59.67,91.06,95.14
Tamil Nadu,Perambalur,2019,46.98,20.36,79.39,66.64,43.5,91.33,12.74
Uttar Pradesh,Bareilly,2016,59.75,49.82,22.15,71.8,59.7,10.24,53.21
Arunachal Pradesh,Namsai,2020,37.97,75.93,37.9,27.17,78.7,22.64,56.91
West Bengal,South 24 Parganas,2019,48.34,99.46,26.94,79.93,70.33,56.29,44.3
Arunachal Pradesh,Anjaw,2020,76.09,29.78,44.96,15.25,59.25,65.03,65.17
Meghalaya,South West Khasi Hills,2017,56.86,87.47,95.42,43.72,65.18,72.04,62.58
Kerala,Kannur,2015,62.28,39.69,88.35,81.01,13.09,95.62,56.91
Odisha,Nuapada,2024,49.0,38.69,73.46,24.23,49.16,37.94,22.71
Maharashtra,Raigad,2021,43.11,95.85,99.8,88.57,31.21,24.07,82.12
Manipur,Imphal East,2021,47.65,59.69,68.12,42.1,51.91,94.05,49.47
Maharashtra,Solapur,2018,70.51,16.86,67.33,85.23,19.85,21.73,34.68
Telangana,Medak,2021,60.55,61.32,59.99,73.43,74.81,10.44,65.13
Tamil Nadu,Viluppuram,2021,44.75,27.4,33.77,27.04,24.37,13.9,78.99
Maharashtra,Sangli,2015,79.68,14.56,53.89,19.4,60.75,71.54,45.6
Maharashtra,Akola,2016,86.42,36.85,64.97,72.45,57.83,45.13,86.14
Gujarat,Chhota Udepur,2017,17.18,75.76,87.41,56.76,28.01,36.01,92.56
Gujarat,Jamnagar,2019,71.62,98.36,86.33,51.54,60.59,94.73,83.98
Karnataka,Ballari,2023,12.36,23.47,55.48,99.01,62.18,47.16,75.27
Nagaland,Noklak,2023,59.75,12.93,94.02,42.67,63.41,51.73,27.74
Kerala,Thrissur,2022,94.85,41.04,24.66,37.58,71.97,70.01,89.26
Tamil Nadu,Thoothukudi,2024,77.66,42.21,10.39,87.1,45.36,64.13,45.03
Uttar Pradesh,Azamgarh,2020,60.25,99.51,37.35,85.17,55.27,46.18,40.23
Punjab,Patiala,2019,58.22,26.12,96.85,48.96,21.35,53.74,72.28
Maharashtra,Osmanabad (Dharashiv),2017,49.1,83.59,53.17,73.26,66.11,13.75,81.1
Andhra Pradesh,NTR,2015,76.57,97.12,78.29,95.12,47.08,81.3,93.53
Assam,West Karbi Anglong,2025,37.76,64.75,38.8,81.04,14.58,15.87,21.2
Uttarakhand,Rudraprayag,2020,34.76,42.78,88.57,75.85,43.27,30.45,61.83
Uttar Pradesh,Jaunpur,2017,26.63,98.25,79.77,43.3,59.06,95.33,68.43
Uttar Pradesh,Balrampur,2024,86.28,50.24,69.43,77.6,95.6,76.14,46.62
Odisha,Sambalpur,2021,34.73,94.79,64.29,17.94,44.57,63.35,78.32
Tamil Nadu,Ranipet,2018,22.6,15.1,95.64,97.37,78.98,87.17,46.77
West Bengal,Paschim Bardhaman,2019,31.66,30.07,83.29,15.45,57.71,13.14,95.1
Punjab,Barnala,2024,70.36,96.12,35.82,67.93,26.8,65.84,99.93
Chhattisgarh,Kabirdham,2018,91.22,86.05,90.49,78.06,55.07,60.95,45.51
Assam,Nalbari,2018,72.23,16.6,60.92,88.42,65.36,65.84,59.12
Gujarat,Dahod,2023,33.19,91.26,63.18,74.16,79.55,23.03,36.58
Arunachal Pradesh,Upper Siang,2024,29.66,20.45,45.43,34.13,14.74,34.33,67.95
Chhattisgarh,Kanker,2015,90.13,91.87,34.33,21.88,30.73,36.6,80.37
Chhattisgarh,Kanker,2021,71.34,35.0,53.4,40.79,81.46,66.57,35.73
West Bengal,Bankura,2016,28.97,20.1,49.25,26.16,14.63,39.77,99.91
Gujarat,Navsari,2016,60.8,20.35,87.05,67.87,76.01,41.63,59.74
Tamil Nadu,Viluppuram,2016,90.18,71.92,50.16,79.16,15.66,12.2,21.4
West Bengal,Purba Bardhaman,2022,28.88,91.7,45.01,52.59,55.89,32.46,95.75
Karnataka,Ramanagara,2020,55.16,92.77,39.3,19.43,10.05,76.98,90.27
Punjab,Faridkot,2015,12.44,59.9,28.61,40.12,43.29,87.41,41.46
West Bengal,Paschim Bardhaman,2022,55.39,32.44,18.01,59.15,96.51,67.96,13.37
Uttar Pradesh,Mau,2019,64.54,25.55,24.09,38.07,35.26,56.98,75.72
Arunachal Pradesh,Kamle,2019,47.31,11.5,52.06,42.37,18.89,98.16,28.06
Uttar Pradesh,Bulandshahr,2016,71.73,30.93,51.3,45.41,45.49,39.08,98.25
Madhya Pradesh,Khargone,2020,26.0,66.47,50.74,21.04,17.39,87.41,47.23
Arunachal Pradesh,Tawang,2024,77.91,91.77,91.08,36.17,76.15,72.13,40.54
Gujarat,Kheda,2024,78.69,51.79,34.91,64.05,67.88,85.76,96.44
Rajasthan,Bhilwara,2021,11.81,37.43,33.59,63.69,76.23,45.34,40.92
Jharkhand,Deoghar,2017,16.38,22.02,23.69,63.64,52.49,32.54,88.39
Telangana,Vikarabad,2020,89.84,36.58,39.36,84.56,34.37,56.11,63.74
Arunachal Pradesh,Lohit,2016,29.56,35.45,66.36,79.81,39.88,62.71,99.19
Karnataka,Kodagu,2021,40.01,85.31,17.25,12.67,17.97,40.38,13.52
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,75.13,13.37,46.04,64.92,27.03,63.4,88.45
Tamil Nadu,Pudukkottai,2024,72.0,34.77,41.48,66.18,37.44,35.2,36.26
Telangana,Nizamabad,2018,27.46,45.3,55.0,39.92,19.17,22.12,56.53
Madhya Pradesh,Ashoknagar,2025,68.71,19.21,38.85,86.59,90.98,49.75,84.19
Kerala,Kasaragod,2020,16.51,94.1,29.38,52.73,28.16,88.66,92.63
Arunachal Pradesh,Leparada,2022,50.68,61.49,42.44,42.6,44.51,33.67,76.69
West Bengal,North 24 Parganas,2015,87.35,45.66,93.85,40.59,58.37,44.79,57.03
West Bengal,Murshidabad,2017,75.49,91.95,72.97,98.15,77.49,81.86,76.28
Rajasthan,Barmer,2025,52.06,74.98,31.46,31.61,51.69,45.28,73.7
Karnataka,Kalaburagi,2019,70.9,18.23,66.77,54.53,96.65,38.5,49.8
Arunachal Pradesh,Kurung Kumey,2020,95.92,59.93,75.28,74.38,99.54,21.25,64.99
Jharkhand,Palamu,2018,36.0,56.95,27.61,45.85,38.66,71.45,41.69
Odisha,Balangir,2015,81.82,31.14,44.47,79.81,14.99,34.58,83.46
Odisha,Ganjam,2023,84.59,15.1,19.57,52.96,52.73,80.9,39.91
Haryana,Rewari,2015,94.7,93.61,96.78,31.34,63.98,26.09,20.03
Madhya Pradesh,Ashoknagar,2018,90.18,45.88,10.17,97.87,39.62,61.25,71.04
Bihar,Saharsa,2017,28.46,52.07,79.19,49.82,15.99,63.92,35.3
Haryana,Panipat,2018,72.06,23.38,17.55,25.22,21.96,88.03,50.99
Telangana,Peddapalli,2019,11.63,67.96,33.75,95.55,92.31,58.54,27.3
West Bengal,Bankura,2021,25.31,62.37,71.32,73.49,97.88,57.68,33.64
Telangana,Jangaon,2019,18.91,32.22,42.21,38.5,25.12,49.4,55.63
Tamil Nadu,Ariyalur,2017,29.34,38.88,38.05,94.9,88.62,70.58,39.58
Rajasthan,Salumbar,2020,30.36,55.26,33.99,76.33,54.12,45.52,23.16
West Bengal,Cooch Behar,2023,57.18,46.09,87.35,75.88,42.59,38.71,65.19
Bihar,Kaimur,2020,98.05,53.19,44.34,15.51,83.66,68.27,49.28
Karnataka,Vijayanagara,2015,32.37,90.5,70.45,47.42,50.71,53.16,15.32
Odisha,Khordha,2019,61.61,31.64,36.03,29.24,27.92,32.66,24.03
Nagaland,Tseminyu,2018,97.56,86.31,63.64,78.59,72.87,42.43,27.88
Assam,Karimganj,2023,45.77,31.61,14.86,44.05,21.52,81.37,11.13
Maharashtra,Palghar,2021,39.2,79.7,15.12,61.87,31.12,64.43,93.81
Uttar Pradesh,Jhansi,2018,80.78,80.04,27.62,51.44,68.59,28.06,93.93
Rajasthan,Karauli,2015,50.3,55.76,17.89,68.99,30.28,82.32,55.27
Bihar,Aurangabad,2015,86.53,85.49,51.1,60.59,22.73,27.94,65.99
Tamil Nadu,Tiruppur,2024,61.08,68.19,70.7,30.11,82.64,39.21,74.19
Haryana,Mahendragarh,2020,15.39,68.93,48.83,69.33,92.27,11.49,36.23
Bihar,Khagaria,2016,67.69,82.39,49.03,49.47,38.02,62.09,86.7
Gujarat,Mahisagar,2020,59.46,60.77,74.15,63.45,30.5,54.88,55.01
Jharkhand,Latehar,2016,14.03,92.99,40.05,76.93,30.26,22.44,49.54
Uttarakhand,Pauri Garhwal,2021,14.16,71.9,31.11,60.48,54.64,65.14,29.62
Uttar Pradesh,Sonbhadra,2023,12.93,33.11,54.2,41.9,75.01,69.96,21.91
Assam,Sivasagar,2020,66.49,90.64,45.48,81.48,96.7,29.88,46.89
Madhya Pradesh,Niwari,2019,27.38,81.81,72.82,29.49,69.19,30.1,54.86
Arunachal Pradesh,Lower Siang,2021,29.53,40.09,22.42,77.21,86.87,36.75,86.69
Bihar,Siwan,2018,79.67,32.61,11.16,12.6,37.41,64.95,19.55
Kerala,Malappuram,2020,25.58,47.39,53.23,52.65,47.33,91.25,18.56
Punjab,Tarn Taran,2018,89.73,71.49,72.56,79.53,66.65,85.99,95.7
Rajasthan,Chittorgarh,2021,96.71,16.11,81.91,45.4,55.43,93.55,81.76
West Bengal,Purba Bardhaman,2023,61.09,96.65,87.73,39.06,13.55,52.74,90.13
Assam,Majuli,2020,20.91,27.97,50.09,65.33,32.8,71.89,28.75
Arunachal Pradesh,Lower Siang,2025,32.55,24.8,65.99,36.32,35.47,42.51,15.13
West Bengal,Dakshin Dinajpur,2021,53.49,16.0,17.05,95.96,10.89,85.0,56.45
Punjab,Malerkotla,2015,53.29,94.21,15.45,37.56,77.92,15.64,40.44
Bihar,Begusarai,2016,26.76,99.28,95.54,58.79,36.73,15.4,17.2
Uttar Pradesh,Hathras,2018,90.3,76.12,85.55,76.47,70.33,22.39,86.36
Nagaland,Mon,2023,17.49,83.76,40.2,24.27,61.71,50.3,14.46
Telangana,Hyderabad,2021,54.78,59.29,58.79,89.72,55.61,52.29,85.1
Uttar Pradesh,Fatehpur,2020,75.51,83.07,37.07,93.44,83.3,74.08,78.55
Uttar Pradesh,Amroha,2016,59.6,46.97,20.19,80.96,47.17,42.13,96.22
Sikkim,Soreng,2025,38.36,63.17,21.86,36.88,14.0,17.54,73.58
Rajasthan,Bikaner,2020,77.54,63.3,21.96,29.83,76.39,39.81,76.62
Maharashtra,Buldhana,2024,56.07,97.21,44.98,46.21,44.38,58.16,25.47
Haryana,Fatehabad,2018,78.22,66.5,57.59,35.53,12.32,85.01,39.17
Rajasthan,Jodhpur,2020,16.86,32.09,50.6,57.46,73.83,14.34,40.66
Nagaland,Tuensang,2022,41.95,80.29,17.78,81.59,73.16,81.76,74.83
Himachal Pradesh,Shimla,2016,78.51,99.96,13.09,97.48,92.43,36.07,47.06
Rajasthan,Barmer,2023,59.42,28.09,70.81,84.73,75.02,32.58,31.5
Chhattisgarh,Sakti,2017,97.49,62.75,27.38,16.35,59.32,43.65,40.21
Nagaland,Kohima,2024,86.57,77.88,77.42,47.45,51.75,84.77,53.24
Uttar Pradesh,Gonda,2022,94.92,88.89,27.99,96.71,29.66,78.04,51.62
Himachal Pradesh,Kullu,2016,71.48,63.79,16.12,58.73,99.51,46.89,84.58
Odisha,Boudh,2023,15.72,19.54,25.1,96.8,55.51,76.6,48.98
Gujarat,Patan,2017,30.39,48.74,53.32,73.04,34.52,33.9,98.37
Uttar Pradesh,Gonda,2023,82.57,58.24,24.34,23.91,22.4,72.2,74.58
Andhra Pradesh,Anakapalli,2024,95.26,45.28,45.58,88.52,46.65,29.82,87.8
Jharkhand,Giridih,2019,93.12,98.43,79.89,87.54,81.13,25.84,12.06
Uttar Pradesh,Hapur,2018,93.57,28.1,42.26,24.49,30.91,34.94,69.69
Gujarat,Dahod,2025,85.16,46.53,52.77,83.93,97.0,14.08,26.91
Uttar Pradesh,Hapur,2022,45.17,64.32,20.72,41.31,27.59,58.96,47.34
Bihar,Begusarai,2016,59.39,39.32,32.37,33.48,36.9,31.64,57.52
Uttarakhand,Tehri Garhwal,2024,59.24,89.91,83.87,62.09,75.32,29.83,76.2
Bihar,Begusarai,2024,56.64,72.21,29.41,57.93,76.13,65.43,47.16
Uttar Pradesh,Kanpur Nagar,2017,50.53,57.96,24.97,29.68,44.09,80.04,27.73
Jharkhand,Deoghar,2020,64.51,46.02,78.31,98.07,99.48,72.74,81.49
Assam,Cachar,2025,11.71,22.18,90.12,84.18,52.93,69.48,59.97
Uttar Pradesh,Agra,2020,36.3,22.87,74.82,17.66,32.61,42.7,13.33
Chhattisgarh,Sarangarh-Bilaigarh,2023,38.42,50.66,60.61,86.99,51.24,72.74,61.66
Bihar,Sitamarhi,2017,87.58,34.89,31.19,10.32,86.78,56.99,64.75
Bihar,Bhagalpur,2015,42.7,10.67,34.77,35.23,19.73,25.85,78.04
Uttarakhand,Tehri Garhwal,2018,50.17,17.39,15.25,66.96,88.31,15.0,47.69
Assam,Morigaon,2018,33.19,22.24,56.44,76.11,39.16,31.64,95.42
Odisha,Gajapati,2019,30.99,16.98,23.18,81.38,80.46,70.47,63.7
Rajasthan,Bikaner,2020,18.06,46.73,72.41,57.96,94.47,82.67,71.54
Bihar,Nawada,2020,45.92,84.43,38.48,24.69,73.47,42.56,42.47
Goa,South Goa,2016,18.72,17.21,46.96,37.13,12.21,58.3,50.38
Karnataka,Shivamogga,2025,85.43,11.94,60.71,12.57,77.23,27.58,46.97
Bihar,Arwal,2022,44.68,13.78,22.91,67.04,81.02,20.95,30.18
Kerala,Wayanad,2022,90.54,27.92,65.92,84.66,79.26,94.74,76.02
Nagaland,Kohima,2024,67.91,18.57,40.39,84.67,46.7,81.13,27.95
Uttarakhand,Uttarkashi,2022,59.12,20.66,63.37,92.24,92.3,47.82,38.2
Chhattisgarh,Surajpur,2021,89.08,89.34,65.92,54.01,98.27,95.11,55.58
Tripura,Sepahijala,2016,78.15,11.95,14.11,19.64,83.8,80.8,70.15
Uttar Pradesh,Auraiya,2020,61.01,54.11,10.39,23.73,89.9,94.32,40.32
Uttar Pradesh,Bareilly,2015,79.75,24.44,31.85,80.47,23.59,89.55,53.66
Gujarat,Anand,2021,51.81,30.66,54.67,11.36,65.87,57.14,58.34
Andhra Pradesh,Vizianagaram,2021,96.2,20.81,73.99,95.52,98.26,17.84,72.64
Maharashtra,Bhandara,2016,47.19,41.98,63.94,55.18,92.75,48.52,20.99
Arunachal Pradesh,East Siang,2015,36.27,69.19,50.37,61.33,88.91,72.39,94.45
Odisha,Balasore,2022,20.67,98.59,83.36,66.37,15.28,29.12,41.95
Andhra Pradesh,West Godavari,2017,50.25,15.2,98.71,35.66,57.82,56.22,39.41
Odisha,Deogarh,2021,18.0,36.08,52.11,34.87,71.46,19.39,74.9
Mizoram,Khawzawl,2016,13.98,94.41,13.05,51.65,40.57,55.8,61.8
Uttar Pradesh,Ballia,2024,63.96,65.32,57.6,18.88,20.17,66.44,13.28
Arunachal Pradesh,West Siang,2018,33.57,24.05,78.02,93.87,93.27,92.34,91.84
Andhra Pradesh,Chittoor,2025,42.54,12.13,80.22,28.19,94.69,99.51,51.99
Rajasthan,Baran,2015,40.66,77.6,48.47,75.81,54.77,37.67,59.96
Andhra Pradesh,Srikakulam,2022,83.16,53.9,99.04,56.09,78.18,68.29,49.73
Gujarat,Kutch,2020,92.79,40.39,22.55,25.26,21.89,14.47,16.55
Tamil Nadu,Chennai,2021,89.22,60.93,52.02,13.97,62.44,60.66,45.78
Jharkhand,Giridih,2020,88.9,49.47,95.34,57.34,74.64,69.96,27.45
Telangana,Ranga Reddy,2022,60.68,73.3,58.68,72.95,32.8,61.43,73.01
Sikkim,Soreng,2017,33.94,17.87,62.28,13.86,91.99,58.9,79.1
Karnataka,Gadag,2018,13.56,93.75,66.46,63.44,57.4,42.82,69.57
Uttar Pradesh,Unnao,2024,15.6,11.78,81.63,15.43,35.96,69.48,92.09
Uttar Pradesh,Kanpur Nagar,2024,76.15,68.28,93.89,16.34,66.16,94.29,52.88
Gujarat,Navsari,2016,57.35,66.59,47.64,72.36,94.31,50.47,14.33
Odisha,Rayagada,2018,96.58,97.47,23.21,38.36,30.03,35.99,34.51
Bihar,Buxar,2015,27.01,36.03,28.43,73.91,97.41,58.61,39.47
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,48.61,97.4,10.52,66.09,96.64,19.91,43.55
Rajasthan,Sanchore,2020,45.14,55.84,87.6,88.78,83.52,10.58,92.67
Chhattisgarh,Baloda Bazar,2018,89.56,15.77,86.3,58.27,84.9,59.8,51.87
Rajasthan,Kotputli-Behror,2016,17.62,87.49,34.61,23.88,20.97,70.85,40.93
Meghalaya,South West Khasi Hills,2024,63.59,75.25,77.61,27.25,47.6,73.44,25.34
Bihar,Jamui,2025,71.17,43.24,24.29,61.94,74.64,23.76,33.4
Telangana,Wanaparthy,2021,91.52,65.2,62.4,50.4,51.33,61.1,59.77
Assam,Dhemaji,2017,40.54,90.3,63.1,99.14,37.32,12.93,37.54
Telangana,Jayashankar Bhupalpally,2019,40.69,78.22,22.89,29.2,68.98,38.38,91.06
Madhya Pradesh,Mandsaur,2020,30.35,28.47,34.45,17.48,86.15,14.46,77.56
Odisha,Sonepur,2015,28.39,31.21,57.65,75.03,22.61,16.64,61.06
Maharashtra,Washim,2018,83.77,53.64,17.22,46.3,76.68,23.97,18.65
Rajasthan,Salumbar,2023,98.44,49.44,96.62,56.48,23.93,67.04,26.44
Madhya Pradesh,Rajgarh,2025,75.17,32.37,71.49,58.13,49.73,53.54,76.86
Bihar,Buxar,2017,66.63,67.61,74.58,57.65,40.76,15.11,59.14
Chhattisgarh,Kondagaon,2017,11.63,56.09,81.74,39.57,18.34,53.9,85.23
Madhya Pradesh,Agar Malwa,2017,51.17,24.19,90.43,97.11,48.98,22.63,26.97
Telangana,Komaram Bheem Asifabad,2024,82.28,56.26,67.79,91.51,21.36,39.88,19.65
Madhya Pradesh,Harda,2019,93.21,44.35,75.98,42.86,93.7,44.15,48.96
Madhya Pradesh,Mandsaur,2024,66.9,21.62,96.81,15.65,18.81,48.03,35.0
Andhra Pradesh,Parvathipuram Manyam,2018,60.35,12.47,32.56,43.82,18.11,43.07,63.46
West Bengal,Purba Bardhaman,2017,94.62,62.82,57.47,63.76,84.91,93.73,35.2
Uttar Pradesh,Baghpat,2019,27.51,47.33,50.97,27.7,96.87,17.46,56.36
Nagaland,Dimapur,2017,43.21,90.91,25.6,36.92,17.29,71.59,84.74
Uttar Pradesh,Gorakhpur,2018,78.32,79.41,58.35,88.62,94.43,12.92,63.0
Chhattisgarh,Dantewada,2025,71.35,21.45,64.63,52.7,97.48,71.02,49.94
West Bengal,Birbhum,2018,59.29,28.4,45.84,51.74,68.91,33.07,19.03
Manipur,Ukhrul,2018,85.29,36.05,59.97,78.64,66.82,68.19,20.96
Rajasthan,Pali,2017,99.34,75.88,12.05,17.31,65.75,77.52,43.91
Mizoram,Aizawl,2024,63.74,37.26,55.27,51.69,69.87,16.16,85.92
Uttar Pradesh,Ambedkar Nagar,2024,63.94,89.91,36.67,80.39,33.57,25.26,55.01
Madhya Pradesh,Dewas,2023,72.85,78.76,74.29,91.47,98.76,50.51,68.28
Uttar Pradesh,Shamli,2016,53.83,14.19,48.94,72.14,70.6,74.33,10.7
Assam,Chirang,2020,66.77,83.44,72.19,35.78,41.65,36.42,80.47
Tamil Nadu,Vellore,2020,20.95,80.65,27.9,31.97,38.9,49.42,28.02
Punjab,Fatehgarh Sahib,2025,15.72,20.21,80.58,89.63,85.0,26.16,74.1
Karnataka,Mysuru,2021,22.54,47.92,23.22,24.68,45.66,14.21,37.05
Telangana,Hanamkonda,2025,68.12,88.27,48.61,83.2,24.77,11.47,45.85
Karnataka,Kalaburagi,2020,11.31,26.57,86.4,18.57,48.43,25.48,14.13
West Bengal,Cooch Behar,2018,11.28,68.19,60.4,41.39,50.56,90.26,37.33
Odisha,Malkangiri,2016,48.96,58.39,82.32,90.19,18.04,33.59,88.28
Tamil Nadu,Chennai,2016,28.42,72.3,47.56,80.63,73.29,95.34,70.14
Madhya Pradesh,Chhatarpur,2015,58.66,16.05,14.12,34.77,64.52,73.82,67.48
Karnataka,Yadgir,2019,10.27,54.27,65.77,95.1,90.15,43.69,32.03
Rajasthan,Hanumangarh,2018,36.41,87.37,90.25,96.63,86.55,64.18,63.28
West Bengal,Jalpaiguri,2015,17.56,97.5,57.58,62.92,20.91,14.64,58.14
Rajasthan,Balotra,2016,51.92,61.5,94.07,13.75,39.64,56.28,92.31
Chhattisgarh,Baloda Bazar,2018,58.01,51.58,15.92,88.22,37.58,31.23,65.9
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,29.43,94.49,75.01,94.85,23.15,23.57,44.53
Assam,Chirang,2017,86.08,94.9,53.04,82.42,95.7,78.35,60.7
Rajasthan,Salumbar,2017,94.63,99.24,21.65,62.3,26.6,51.18,61.69
Rajasthan,Jodhpur,2019,27.16,11.53,11.79,44.12,86.4,37.11,70.93
Rajasthan,Deeg,2022,33.49,65.03,94.05,77.4,75.84,46.7,22.68
Tamil Nadu,Thiruvarur,2019,33.67,46.66,40.36,44.47,18.75,40.38,66.11
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,20.86,44.49,16.97,39.02,12.34,47.7,52.13
Assam,Nalbari,2022,67.17,77.22,84.09,44.62,16.94,33.29,11.63
Rajasthan,Udaipur,2020,45.62,44.28,95.86,60.68,73.73,19.13,25.06
Madhya Pradesh,Balaghat,2023,94.49,83.66,68.28,25.61,24.91,51.31,43.63
Rajasthan,Pali,2018,41.24,95.29,21.07,69.48,20.24,23.64,66.28
Arunachal Pradesh,Tirap,2024,70.47,37.25,71.96,68.57,50.43,30.99,79.04
Uttar Pradesh,Shahjahanpur,2017,85.34,73.31,68.88,33.93,16.72,17.02,31.83
West Bengal,Kalimpong,2025,80.41,35.79,89.61,93.98,36.53,78.18,36.52
