state,district,year,athletes,sports_events,stadiums,sports_funding,medals_won,youth_participation,fitness_centers
Punjab,Mansa,2015,86.2,57.08,73.17,16.61,72.99,74.46,46.31
Karnataka,Kalaburagi,2023,54.64,70.33,84.57,59.01,34.69,37.72,95.08
Punjab,Sri Muktsar Sahib,2019,77.35,15.16,26.89,47.69,38.5,18.3,68.28
Maharashtra,Bhandara,2022,59.07,55.65,56.06,76.86,56.33,24.72,91.5
Madhya Pradesh,Betul,2019,61.51,86.48,80.01,44.06,13.07,73.38,55.86
Madhya Pradesh,Chhatarpur,2021,56.68,64.95,26.23,23.96,51.82,59.65,61.28
Assam,Kokrajhar,2015,91.86,14.6,43.87,76.26,75.52,27.66,99.79
Assam,Baksa,2016,32.35,35.51,22.26,13.16,85.5,43.39,79.41
Madhya Pradesh,Agar Malwa,2017,53.8,86.56,79.87,20.83,51.44,14.88,92.6
Madhya Pradesh,Alirajpur,2017,83.06,72.05,39.82,91.05,50.87,53.76,86.98
Arunachal Pradesh,Tirap,2016,41.46,38.16,50.75,35.32,84.32,85.1,97.66
Arunachal Pradesh,Lower Subansiri,2019,22.41,39.09,78.86,39.16,12.69,60.87,46.2
Uttarakhand,Almora,2016,37.09,44.72,40.34,90.51,76.67,87.75,16.65
Odisha,Kendrapara,2018,78.13,76.31,17.09,41.72,65.9,40.5,19.64
Gujarat,Ahmedabad,2015,52.83,71.75,88.6,46.11,41.36,58.37,55.93
Maharashtra,Satara,2017,13.05,19.18,76.0,21.41,10.19,34.65,62.0
Rajasthan,Kekri,2016,36.69,61.68,11.62,60.52,44.88,58.06,45.79
Bihar,Lakhisarai,2015,33.6,53.21,65.86,49.31,58.17,61.74,56.24
Meghalaya,East Khasi Hills,2019,81.97,31.41,78.31,22.07,83.48,83.71,46.58
Punjab,Pathankot,2023,83.38,98.26,71.5,60.3,87.52,59.66,37.37
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,85.85,24.81,10.62,12.96,58.35,36.19,38.55
Chhattisgarh,Bastar,2023,68.71,88.27,41.1,10.28,70.07,59.37,43.92
Assam,Bongaigaon,2020,51.61,25.83,40.68,49.15,65.49,74.19,35.59
Maharashtra,Sindhudurg,2021,96.84,62.73,76.5,99.75,51.02,86.43,88.18
Meghalaya,West Khasi Hills,2021,82.07,38.74,23.48,24.41,49.09,95.22,69.18
Andhra Pradesh,Anakapalli,2021,32.15,29.38,44.89,67.91,37.95,59.1,12.89
Punjab,Jalandhar,2023,22.85,41.04,88.21,14.8,30.25,90.72,25.74
Assam,Barpeta,2023,93.76,36.54,66.73,11.79,82.66,69.74,95.07
Chhattisgarh,Narayanpur,2018,41.95,40.42,61.05,60.16,47.07,47.15,51.69
Jharkhand,Deoghar,2022,53.91,40.55,42.28,59.36,62.14,58.74,65.13
Arunachal Pradesh,Kamle,2021,95.55,97.19,94.63,71.99,48.27,74.73,13.02
Bihar,Rohtas,2018,89.81,52.59,92.41,59.88,57.33,11.13,82.6
Tamil Nadu,Nilgiris,2023,37.33,27.55,62.56,29.84,28.53,26.44,46.5
Andhra Pradesh,Sri Sathya Sai,2015,26.82,23.91,13.47,59.11,36.53,97.25,23.25
Mizoram,Khawzawl,2024,93.66,57.21,79.19,89.2,64.42,37.41,38.52
Telangana,Khammam,2018,79.76,91.29,76.13,71.09,90.64,55.27,87.86
Bihar,Madhubani,2022,28.8,21.54,73.76,27.72,78.64,25.82,34.86
Madhya Pradesh,Shahdol,2020,91.07,13.91,40.43,14.12,25.83,77.45,25.24
Kerala,Alappuzha,2022,22.24,27.56,35.45,68.94,15.18,67.87,18.0
Uttar Pradesh,Hardoi,2020,78.91,62.16,14.81,26.16,37.07,34.31,34.39
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2015,66.31,63.99,68.37,93.31,63.83,17.45,24.67
Mizoram,Saitual,2021,33.96,73.93,82.96,11.22,35.59,40.77,41.31
Madhya Pradesh,Sheopur,2025,11.19,27.64,93.72,68.55,65.14,76.64,22.43
Karnataka,Chikkaballapur,2024,36.61,77.83,31.26,88.68,41.42,88.23,61.49
Rajasthan,Jhunjhunu,2019,97.25,21.13,90.16,49.28,38.55,93.05,55.44
Telangana,Kamareddy,2015,61.18,12.17,58.32,94.26,60.42,19.8,71.11
Uttar Pradesh,Shahjahanpur,2020,40.13,26.3,65.67,70.88,99.53,25.22,60.55
Chhattisgarh,Jashpur,2023,38.75,74.66,90.41,82.19,35.93,62.65,67.45
Meghalaya,South West Garo Hills,2017,33.25,28.2,69.73,64.08,82.53,18.3,58.56
Odisha,Koraput,2021,61.42,81.18,56.58,32.3,96.36,25.32,31.43
Rajasthan,Hanumangarh,2024,63.01,18.14,24.65,68.0,15.09,85.53,19.57
Odisha,Jagatsinghpur,2018,46.36,20.58,48.61,20.96,10.39,24.27,57.24
Andhra Pradesh,Eluru,2016,15.11,27.06,62.88,42.99,68.6,26.99,74.06
Bihar,Jamui,2018,17.42,46.95,57.94,44.41,66.29,62.84,32.93
Tamil Nadu,Krishnagiri,2016,86.61,18.1,57.63,45.11,17.97,76.16,98.48
Manipur,Kamjong,2018,83.54,87.06,64.73,11.52,61.0,40.68,13.49
Gujarat,Botad,2020,62.15,20.45,79.9,12.28,83.79,67.58,17.14
Chhattisgarh,Rajnandgaon,2023,21.51,51.37,87.82,75.05,82.82,55.22,88.2
Rajasthan,Shahpura,2021,40.55,38.18,14.94,86.51,98.13,47.53,43.24
West Bengal,Jalpaiguri,2015,95.6,62.76,63.24,33.01,91.81,86.44,48.2
Bihar,Vaishali,2015,81.24,50.62,96.03,32.54,36.71,91.01,96.1
Tripura,Dhalai,2025,87.29,36.04,96.53,62.89,64.74,57.89,87.61
Madhya Pradesh,Datia,2021,24.01,80.5,36.43,41.45,77.94,26.61,10.2
West Bengal,Dakshin Dinajpur,2021,92.24,30.72,45.1,50.4,77.32,14.7,28.59
Gujarat,Bharuch,2019,27.87,64.98,83.51,99.16,72.39,11.29,46.51
Bihar,Araria,2020,58.33,79.74,57.86,14.02,79.09,37.72,35.79
Kerala,Kottayam,2025,99.25,96.45,53.51,84.59,42.82,88.32,86.79
Gujarat,Devbhoomi Dwarka,2023,60.14,56.75,76.03,55.2,51.16,89.87,34.39
Jharkhand,Gumla,2023,59.0,36.42,57.35,31.1,49.59,75.17,65.55
Rajasthan,Sri Ganganagar,2025,70.24,14.44,49.7,92.0,29.01,60.08,84.94
Himachal Pradesh,Mandi,2025,16.93,86.2,82.29,56.01,59.27,60.98,93.25
Uttar Pradesh,Kanpur Nagar,2025,38.82,42.4,48.57,99.01,48.04,98.26,92.4
Uttar Pradesh,Gorakhpur,2018,29.43,15.73,57.01,19.28,47.59,34.92,68.98
Andhra Pradesh,Kurnool,2020,21.04,42.04,43.92,28.48,53.75,34.4,83.99
Manipur,Imphal West,2016,90.79,47.13,21.44,82.4,25.57,96.04,26.69
Bihar,Jehanabad,2023,16.05,11.28,87.34,29.88,83.87,30.7,42.1
Uttar Pradesh,Maharajganj,2015,41.24,43.34,78.77,42.02,95.64,59.88,21.99
Mizoram,Aizawl,2020,52.03,58.8,89.26,87.83,51.92,55.85,89.11
Uttar Pradesh,Bhadohi,2022,35.04,45.39,85.77,60.34,41.83,99.03,99.02
Arunachal Pradesh,East Kameng,2019,59.43,94.56,45.44,97.68,77.74,90.1,78.83
Himachal Pradesh,Chamba,2023,56.41,88.93,22.23,87.99,73.62,77.26,72.99
Gujarat,Anand,2021,68.08,29.23,58.89,84.62,97.97,34.67,43.07
Karnataka,Bengaluru Rural,2019,10.92,74.15,62.25,68.31,93.29,34.96,29.81
Manipur,Kamjong,2015,68.31,47.22,59.8,47.33,23.06,24.95,86.75
Manipur,Tamenglong,2020,39.99,35.24,60.86,22.28,75.46,66.28,99.21
Madhya Pradesh,Panna,2021,82.7,92.36,35.76,47.05,70.01,45.67,95.39
Madhya Pradesh,Jabalpur,2018,70.07,96.65,50.57,70.31,37.67,44.24,21.83
Uttar Pradesh,Shravasti,2020,62.09,37.36,72.77,93.96,25.76,82.25,83.3
Tamil Nadu,Cuddalore,2019,62.03,68.64,42.64,76.58,67.7,10.16,21.02
Manipur,Bishnupur,2020,91.36,23.0,93.27,36.83,50.61,18.49,25.71
Andhra Pradesh,YSR Kadapa,2024,70.39,75.55,45.66,87.37,96.78,50.18,29.96
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,87.84,68.72,14.2,36.72,63.92,59.33,21.32
Kerala,Idukki,2016,78.56,52.79,23.33,65.55,55.0,43.82,72.2
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2024,68.42,33.13,40.33,44.74,52.57,20.7,93.18
Odisha,Bargarh,2019,72.76,80.0,54.37,77.84,55.49,55.04,59.05
Chhattisgarh,Janjgir-Champa,2022,50.31,42.32,53.61,95.38,14.19,80.94,31.97
Nagaland,Kohima,2015,92.49,89.22,96.03,74.41,26.39,86.28,67.47
West Bengal,Purulia,2023,39.86,67.58,40.9,57.45,80.4,95.24,74.92
Jharkhand,Deoghar,2017,45.22,77.06,10.57,70.75,80.98,70.51,90.75
Manipur,Chandel,2015,76.83,34.78,74.31,45.5,45.86,15.21,23.08
Tripura,Unakoti,2022,20.54,40.41,56.88,77.3,41.48,79.11,18.96
Arunachal Pradesh,Lepa Rada,2022,69.16,83.2,88.7,76.77,19.6,99.92,16.59
Haryana,Nuh,2015,89.69,21.9,71.36,20.96,80.62,27.79,92.77
Manipur,Kangpokpi,2025,20.49,79.31,87.37,44.59,19.62,55.64,57.44
Tamil Nadu,Kallakurichi,2019,82.53,64.88,33.18,76.39,39.07,16.8,47.86
Chhattisgarh,Raigarh,2019,16.85,79.79,47.35,63.38,15.5,73.48,82.91
Madhya Pradesh,Dindori,2019,17.12,38.65,56.16,94.05,14.17,29.17,88.55
Rajasthan,Bharatpur,2025,73.22,30.76,95.99,15.91,57.14,50.69,53.79
Madhya Pradesh,Raisen,2021,25.0,29.37,24.35,62.24,32.54,28.18,73.12
Telangana,Nagarkurnool,2016,35.99,72.01,90.81,80.91,29.47,44.16,95.34
Tamil Nadu,Thoothukudi,2019,41.2,10.44,31.91,28.82,77.36,95.76,76.54
Karnataka,Chitradurga,2017,64.61,61.09,31.84,11.7,77.07,77.8,54.35
Madhya Pradesh,Barwani,2025,48.73,26.12,62.82,44.08,54.7,40.11,41.25
Uttar Pradesh,Kushinagar,2022,71.09,95.11,63.43,53.95,90.0,72.03,75.08
West Bengal,Purba Medinipur,2023,84.7,17.99,10.9,39.6,69.1,39.53,10.97
Odisha,Cuttack,2015,51.88,47.47,49.14,88.74,85.05,23.04,77.78
Chhattisgarh,Surajpur,2020,36.82,42.61,43.23,40.86,61.74,34.02,71.11
Karnataka,Vijayanagara,2020,67.15,45.53,18.91,91.95,65.71,87.93,93.4
Andhra Pradesh,YSR Kadapa,2024,23.02,79.55,61.42,15.67,66.75,32.21,60.49
Telangana,Yadadri Bhuvanagiri,2021,21.21,83.74,13.25,24.71,89.15,86.24,80.97
Tamil Nadu,Tiruppur,2018,94.55,48.27,98.99,64.37,76.76,50.65,20.98
Arunachal Pradesh,Kurung Kumey,2023,49.03,58.9,33.41,48.79,86.83,26.31,54.29
Jharkhand,Hazaribagh,2016,66.4,88.3,72.04,69.24,74.7,89.48,71.78
Odisha,Ganjam,2025,88.67,63.62,59.1,51.69,57.83,86.7,22.43
Andhra Pradesh,East Godavari,2016,41.75,95.02,18.04,91.21,14.2,45.89,56.48
Madhya Pradesh,Narsinghpur,2016,77.95,51.1,61.91,41.87,77.21,74.62,66.01
Manipur,Kangpokpi,2020,60.47,71.95,97.85,48.06,49.73,22.71,87.05
Chhattisgarh,Narayanpur,2025,66.71,91.13,68.4,68.62,79.23,31.52,52.76
Nagaland,Wokha,2021,58.01,19.64,44.55,28.02,76.01,28.27,88.35
Uttar Pradesh,Etawah,2017,16.64,34.27,72.38,99.04,57.31,61.29,92.25
Chhattisgarh,Narayanpur,2018,27.17,58.8,17.83,92.32,28.09,40.14,41.47
Uttar Pradesh,Rampur,2022,88.42,91.81,42.02,68.31,85.43,88.01,63.79
Andhra Pradesh,Kurnool,2022,17.92,43.6,54.93,47.13,25.15,96.53,78.8
Maharashtra,Raigad,2018,73.11,54.37,67.81,88.51,38.11,93.98,79.17
Madhya Pradesh,Bhind,2017,44.09,97.75,18.45,82.86,22.08,84.47,42.91
Madhya Pradesh,Alirajpur,2017,32.78,41.35,69.6,43.66,98.1,89.24,98.54
Jharkhand,Sahebganj,2016,67.66,37.97,91.04,24.89,76.6,46.0,82.06
Mizoram,Aizawl,2024,49.03,56.76,48.4,48.86,35.86,14.0,30.52
Uttar Pradesh,Kannauj,2021,99.94,17.76,53.73,51.48,90.15,24.89,51.62
Kerala,Alappuzha,2018,81.89,94.11,18.62,38.21,24.29,61.2,77.17
Assam,Nalbari,2018,45.22,31.1,11.84,27.36,83.12,64.57,53.24
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,43.12,41.43,29.13,72.91,86.69,58.56,57.67
Chhattisgarh,Korea,2025,94.08,21.23,56.32,65.45,89.64,82.95,44.74
Meghalaya,Ri Bhoi,2015,14.46,73.12,70.08,57.58,33.84,33.74,15.08
Andhra Pradesh,Annamayya,2019,88.32,75.36,79.49,45.63,30.02,13.61,29.81
Kerala,Wayanad,2022,80.91,81.88,65.23,26.66,26.64,88.94,59.51
Gujarat,Anand,2023,17.76,55.63,95.73,52.49,58.19,42.71,31.5
West Bengal,Uttar Dinajpur,2023,67.87,94.99,35.17,12.12,12.53,71.75,84.76
Madhya Pradesh,Khargone,2019,75.06,96.13,73.25,27.08,50.52,83.07,15.01
Punjab,Fatehgarh Sahib,2025,10.04,25.43,81.9,93.85,66.02,70.61,43.76
Madhya Pradesh,Umaria,2021,51.45,59.01,61.63,44.72,86.68,84.32,99.74
Tamil Nadu,Ramanathapuram,2019,11.24,30.25,54.22,46.74,37.15,36.02,72.06
Uttar Pradesh,Lucknow,2019,44.67,29.77,16.12,71.15,12.93,29.76,36.87
Nagaland,Mon,2023,42.36,34.18,15.85,91.89,84.32,93.79,35.06
Madhya Pradesh,Khargone,2015,44.26,16.86,97.11,72.73,19.8,14.36,55.65
Chhattisgarh,Sarangarh-Bilaigarh,2021,16.36,78.22,36.33,89.5,92.76,45.99,34.14
Himachal Pradesh,Lahaul & Spiti,2017,91.53,65.34,16.93,54.63,98.09,84.75,38.0
Telangana,Khammam,2023,26.72,88.65,70.3,66.33,94.68,93.92,58.61
Madhya Pradesh,Morena,2023,64.03,15.59,66.67,89.85,89.77,23.97,28.9
Rajasthan,Sri Ganganagar,2016,52.74,27.87,15.48,24.12,32.57,23.55,39.7
Gujarat,Dang,2015,33.53,81.06,78.79,50.02,26.11,61.85,84.55
Uttar Pradesh,Gautam Buddha Nagar,2015,13.12,11.75,71.32,26.76,34.98,47.23,52.14
Chhattisgarh,Balrampur,2023,33.11,83.98,97.02,71.43,81.26,57.16,88.04
Karnataka,Vijayanagara,2021,78.41,65.87,87.43,23.53,36.74,29.02,81.53
Maharashtra,Thane,2017,33.35,76.91,25.33,81.81,30.77,54.51,30.93
Rajasthan,Churu,2024,22.49,79.18,46.51,30.58,10.33,37.84,54.13
Madhya Pradesh,Balaghat,2022,50.23,34.57,37.56,37.12,63.86,71.05,51.59
Madhya Pradesh,Mandla,2017,55.75,78.82,71.76,58.62,32.27,70.49,84.16
Rajasthan,Deeg,2018,13.04,17.73,13.26,57.72,59.06,98.03,32.13
Andhra Pradesh,East Godavari,2016,97.65,32.27,18.37,51.3,86.94,63.83,30.55
Tripura,West Tripura,2016,72.18,27.01,63.66,18.82,67.8,67.92,20.37
Haryana,Bhiwani,2015,46.61,17.58,17.16,90.15,48.63,34.5,51.06
Bihar,Saran,2022,38.99,38.08,75.68,40.42,47.71,98.45,90.8
Bihar,Muzaffarpur,2024,40.82,89.84,39.29,32.87,68.64,80.55,37.86
Gujarat,Botad,2017,69.29,34.45,44.43,30.07,99.5,22.75,51.28
Chhattisgarh,Balod,2015,70.17,68.13,87.55,21.87,58.0,30.74,40.38
Bihar,Kishanganj,2023,17.7,35.62,60.6,53.95,61.93,53.19,11.76
Madhya Pradesh,Shahdol,2015,26.65,65.32,59.56,62.59,31.85,35.55,55.06
Odisha,Cuttack,2024,74.24,57.52,19.9,18.66,32.74,21.02,17.65
Tamil Nadu,Tiruchirappalli,2023,10.68,62.44,80.4,84.48,40.8,55.85,82.1
Rajasthan,Khairthal-Tijara,2017,79.05,25.41,20.15,25.52,53.63,30.9,12.3
Bihar,Jehanabad,2016,15.56,90.47,45.38,12.46,17.74,51.16,31.02
Uttar Pradesh,Prayagraj,2017,98.61,31.41,13.95,59.88,36.01,66.47,71.3
Himachal Pradesh,Hamirpur,2019,29.37,73.68,48.97,97.32,14.57,39.59,46.2
Gujarat,Mahisagar,2018,41.3,91.47,59.87,75.44,73.87,98.04,35.56
Sikkim,Gangtok,2018,82.55,65.05,41.74,57.52,15.84,69.74,68.22
Uttar Pradesh,Lalitpur,2024,90.1,60.64,40.04,34.98,24.46,26.82,94.46
Madhya Pradesh,Anuppur,2018,23.47,45.27,70.17,64.08,51.27,39.91,44.33
Telangana,Mulugu,2019,37.06,73.48,68.21,85.56,71.51,87.47,71.28
Madhya Pradesh,Ratlam,2024,22.11,90.41,59.92,73.7,96.54,57.79,42.59
Telangana,Nalgonda,2022,67.57,83.69,30.29,18.73,35.62,23.3,57.91
Madhya Pradesh,Umaria,2015,78.04,32.37,42.79,19.36,37.28,23.73,28.27
Uttar Pradesh,Mainpuri,2020,48.21,14.38,82.16,53.76,13.84,68.32,33.26
Chhattisgarh,Dhamtari,2017,62.99,90.9,29.66,13.74,82.57,79.27,87.33
Uttar Pradesh,Meerut,2016,15.46,23.02,41.87,97.49,43.95,79.34,27.5
Haryana,Rohtak,2020,48.19,97.41,23.96,66.59,68.78,98.97,82.76
Arunachal Pradesh,Siang,2023,72.56,66.93,93.33,97.09,24.15,25.17,44.23
Chhattisgarh,Sakti,2024,40.81,73.25,98.84,60.97,56.97,24.49,48.23
Odisha,Jajpur,2022,74.89,40.48,41.49,48.05,67.54,86.27,61.89
Uttar Pradesh,Maharajganj,2023,75.12,87.33,35.51,73.42,77.21,52.54,72.08
Bihar,Araria,2018,59.52,35.77,10.55,20.13,90.5,33.79,42.11
West Bengal,Darjeeling,2023,44.26,57.27,72.14,31.39,13.93,49.93,63.95
Rajasthan,Churu,2020,13.48,27.78,77.72,64.96,80.67,45.18,62.11
Telangana,Hyderabad,2025,85.18,89.85,10.69,22.2,50.8,34.36,36.57
Uttar Pradesh,Balrampur,2023,89.33,56.88,43.14,73.68,50.4,65.09,83.89
Odisha,Kalahandi,2023,87.04,14.23,66.24,50.43,60.8,29.7,85.43
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2015,49.86,50.75,78.42,29.37,66.0,72.23,12.48
Odisha,Cuttack,2018,13.29,26.71,91.6,85.3,43.61,26.39,95.78
Uttar Pradesh,Ayodhya,2018,80.85,86.22,80.4,76.24,86.63,79.98,64.37
Arunachal Pradesh,Kurung Kumey,2022,92.49,71.32,22.93,98.72,13.6,66.44,99.55
Karnataka,Ballari,2016,61.45,59.8,36.89,24.32,83.77,19.61,87.41
Manipur,Kakching,2020,45.34,91.89,87.44,51.1,16.42,51.29,75.02
Uttar Pradesh,Bulandshahr,2018,62.89,54.66,15.19,66.47,27.15,11.64,88.95
West Bengal,Murshidabad,2018,91.49,33.91,15.55,42.62,44.88,82.58,74.4
Punjab,Ludhiana,2025,60.51,92.15,62.46,76.63,95.88,24.58,33.73
Assam,Kokrajhar,2015,93.31,65.93,98.09,68.14,20.44,84.58,91.69
Madhya Pradesh,Hoshangabad (Narmadapuram),2018,11.89,89.19,48.43,82.46,32.18,20.44,35.94
Rajasthan,Bundi,2023,89.32,63.92,88.39,73.18,70.19,97.76,16.39
Maharashtra,Hingoli,2015,57.35,11.16,13.97,53.9,56.21,42.13,15.78
Uttar Pradesh,Pilibhit,2017,45.33,32.42,18.77,77.8,29.48,25.38,16.76
Jharkhand,Hazaribagh,2020,32.5,66.44,29.35,76.5,16.06,80.61,99.65
Tamil Nadu,Chennai,2025,97.62,25.36,65.15,35.21,17.36,83.35,48.27
Uttar Pradesh,Shamli,2016,17.52,67.87,83.72,38.88,65.81,10.77,23.54
Punjab,Sri Muktsar Sahib,2023,46.59,10.3,41.46,79.94,10.18,10.04,21.02
Kerala,Idukki,2022,41.61,54.06,64.23,10.77,71.45,70.73,54.67
Bihar,Munger,2018,97.45,98.87,33.06,96.39,53.27,38.6,24.74
Uttar Pradesh,Saharanpur,2017,43.08,71.74,35.91,57.23,28.79,94.7,83.13
Manipur,Kangpokpi,2025,44.62,40.93,78.7,79.22,54.86,18.63,21.74
Uttar Pradesh,Ghaziabad,2018,66.16,38.61,86.32,24.02,34.92,84.71,48.09
Jharkhand,Dhanbad,2021,33.47,38.1,73.28,86.95,57.95,68.47,96.29
Haryana,Gurugram,2021,31.46,28.48,37.49,91.19,85.67,65.62,35.61
Bihar,East Champaran,2015,88.63,10.26,70.62,78.04,72.91,17.31,47.01
Himachal Pradesh,Solan,2023,31.83,46.5,85.36,92.64,86.47,99.02,79.79
Madhya Pradesh,Gwalior,2023,98.31,71.76,21.93,57.19,68.28,76.71,45.36
Rajasthan,Gangapur City,2016,28.79,99.66,50.12,14.13,40.56,26.16,13.35
Mizoram,Saitual,2019,95.41,81.24,28.54,46.99,51.71,28.57,41.28
Jharkhand,East Singhbhum,2019,23.41,78.19,66.29,82.8,40.74,80.36,44.58
Haryana,Faridabad,2017,61.89,57.58,86.8,82.73,61.31,19.58,92.08
Kerala,Ernakulam,2015,52.63,14.9,69.42,42.94,80.04,67.94,37.82
Bihar,Darbhanga,2022,69.2,91.12,94.26,48.59,27.54,43.9,70.88
Andhra Pradesh,Anantapur,2015,66.66,30.44,11.67,26.45,17.74,61.42,89.67
Maharashtra,Pune,2021,32.69,78.57,56.22,71.75,36.32,51.86,41.85
Tamil Nadu,Erode,2017,49.99,86.54,65.91,70.03,58.38,99.91,88.17
Uttar Pradesh,Sambhal,2024,47.82,26.94,36.55,17.72,29.88,79.49,37.8
Telangana,Jangaon,2022,98.67,76.97,23.25,73.68,24.17,45.53,25.99
Maharashtra,Mumbai Suburban,2019,59.59,49.6,14.32,82.74,51.43,70.63,79.81
Uttar Pradesh,Shamli,2016,63.54,17.56,47.54,94.14,21.88,62.59,89.25
Kerala,Alappuzha,2025,92.95,83.48,63.64,32.42,28.99,35.91,46.55
Uttar Pradesh,Gorakhpur,2019,17.55,77.73,33.01,68.95,62.84,28.95,53.77
Himachal Pradesh,Lahaul & Spiti,2023,99.83,14.19,78.1,64.3,43.95,67.57,11.14
Odisha,Sambalpur,2020,42.82,83.15,89.42,13.85,62.1,88.27,33.9
Manipur,Kangpokpi,2021,89.48,63.91,51.86,22.79,61.53,49.22,20.61
Tamil Nadu,Nilgiris,2021,85.16,27.89,34.97,55.04,79.87,74.42,81.02
Bihar,Jehanabad,2021,67.0,60.6,42.38,75.73,54.22,42.73,58.99
Maharashtra,Osmanabad (Dharashiv),2020,88.48,74.06,63.32,94.79,53.19,83.24,76.44
Telangana,Warangal,2025,93.34,13.13,65.18,53.03,52.41,58.59,21.15
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2025,58.93,39.91,20.91,74.93,58.15,62.26,80.8
Punjab,Kapurthala,2025,21.56,61.72,62.84,11.15,42.08,13.13,53.4
Uttar Pradesh,Budaun,2024,63.06,62.81,17.6,60.33,20.77,64.21,89.36
West Bengal,Purba Bardhaman,2016,46.74,59.3,89.86,91.6,60.0,14.9,84.68
Uttar Pradesh,Sambhal,2015,64.93,54.34,81.08,38.79,86.73,93.23,95.77
Uttar Pradesh,Lucknow,2019,46.32,59.02,71.42,72.42,37.49,20.35,53.59
Assam,Kamrup,2025,77.99,41.43,91.88,17.66,74.12,93.24,24.99
Telangana,Karimnagar,2016,20.71,14.51,93.43,49.13,97.79,44.04,27.34
Gujarat,Patan,2023,90.18,51.27,84.83,48.99,26.21,29.88,80.92
Telangana,Medak,2018,81.72,60.38,50.25,52.48,17.8,21.47,72.5
Rajasthan,Hanumangarh,2018,93.81,82.9,37.9,44.55,27.01,41.95,57.24
Kerala,Malappuram,2024,58.61,94.09,10.64,76.11,97.31,28.93,52.93
Jharkhand,Khunti,2020,38.33,65.39,25.72,57.89,48.27,29.74,69.61
Arunachal Pradesh,Lepa Rada,2017,38.27,27.38,99.4,85.24,84.34,85.81,75.33
Rajasthan,Barmer,2025,52.55,23.44,71.61,80.55,69.75,19.57,24.95
Jharkhand,Pakur,2018,67.87,45.69,85.55,11.31,13.75,89.85,67.65
Karnataka,Bengaluru Urban,2022,67.96,75.17,40.91,47.1,27.05,14.58,87.58
Bihar,Gaya,2022,69.95,16.63,47.55,30.64,13.33,15.17,57.8
Odisha,Balangir,2020,35.07,27.69,58.1,95.63,42.95,98.3,20.45
Telangana,Peddapalli,2025,39.89,45.96,16.09,97.08,88.47,74.7,80.5
Gujarat,Kheda,2022,86.74,28.05,34.9,58.62,59.02,94.07,60.37
Meghalaya,South Garo Hills,2016,41.52,90.07,55.1,75.83,35.08,67.01,23.22
Rajasthan,Kekri,2019,71.1,31.41,12.07,83.47,74.96,79.63,22.64
Madhya Pradesh,Rajgarh,2020,31.34,30.98,35.63,97.38,14.13,34.85,96.25
Rajasthan,Sikar,2023,55.67,82.8,91.58,69.0,97.2,99.52,22.3
Assam,Dima Hasao,2016,53.35,30.17,60.72,72.26,37.67,14.58,83.1
Maharashtra,Kolhapur,2018,70.85,18.93,54.77,44.49,39.63,54.12,41.72
Madhya Pradesh,Sidhi,2020,16.19,31.02,29.09,13.46,37.6,44.99,24.98
Karnataka,Mysuru,2018,83.21,35.56,53.44,44.65,40.84,19.86,77.88
Odisha,Cuttack,2023,84.56,21.92,25.38,12.58,96.63,88.93,35.57
Andhra Pradesh,Srikakulam,2015,56.12,67.24,30.2,75.03,39.95,68.21,26.97
Telangana,Warangal,2020,28.28,89.81,94.17,74.6,50.99,38.88,46.21
Rajasthan,Churu,2017,93.4,38.29,72.7,57.88,30.86,65.81,69.04
Jharkhand,East Singhbhum,2016,50.09,30.29,33.65,46.6,54.68,27.38,90.03
West Bengal,Alipurduar,2016,79.95,22.67,39.64,65.26,62.75,21.41,18.25
Meghalaya,West Jaintia Hills,2022,29.18,92.74,54.57,65.74,62.84,97.22,35.47
West Bengal,Dakshin Dinajpur,2023,94.51,80.16,30.18,17.77,76.34,74.54,34.12
Nagaland,Zunheboto,2016,25.35,37.07,95.08,52.66,91.39,83.47,89.63
Madhya Pradesh,Rajgarh,2019,12.24,65.34,81.41,85.19,85.85,51.72,17.88
Telangana,Khammam,2022,44.23,53.48,36.33,97.62,39.17,11.37,41.73
Arunachal Pradesh,Lower Subansiri,2019,10.7,67.28,76.29,81.8,26.4,89.72,74.67
Mizoram,Hnahthial,2015,34.82,80.13,12.13,34.51,12.94,83.03,98.38
Telangana,Sangareddy,2025,59.9,76.98,65.52,72.34,93.4,30.42,81.83
Rajasthan,Sirohi,2024,40.47,11.16,22.12,72.59,66.47,84.48,91.38
Himachal Pradesh,Kullu,2019,21.85,51.38,80.07,87.49,36.62,85.52,13.86
Rajasthan,Phalodi,2021,17.16,35.31,91.49,36.35,86.1,38.23,22.63
Rajasthan,Jodhpur,2023,25.49,11.03,53.79,30.23,77.51,52.6,12.21
Madhya Pradesh,Dindori,2024,69.31,12.61,98.88,55.2,14.91,92.88,94.17
Uttarakhand,Haridwar,2024,38.79,76.88,19.27,31.01,37.42,61.87,60.76
Uttar Pradesh,Gautam Buddha Nagar,2020,59.68,12.24,38.47,96.23,94.18,93.57,67.37
