state,district,year,poverty_rate,below_poverty_line,unemployment_rate,income_per_capita,social_welfare_spending,food_insecurity,homelessness
Chhattisgarh,Sukma,2021,16.25,90.21,69.59,28.25,30.98,93.19,20.44
Madhya Pradesh,Hoshangabad (Narmadapuram),2018,56.97,19.34,13.47,37.12,19.87,12.32,37.18
Arunachal Pradesh,West Siang,2021,16.51,62.33,44.77,56.15,68.37,48.45,53.76
Chhattisgarh,Sakti,2021,18.56,61.02,60.36,73.62,64.88,78.75,86.94
Tamil Nadu,Dindigul,2021,33.72,59.91,52.81,54.52,52.7,85.04,52.31
Gujarat,Mehsana,2020,90.16,44.11,85.03,62.7,24.88,33.4,54.17
Bihar,Purnia,2016,27.91,57.8,21.95,99.85,51.54,87.47,80.43
Haryana,Palwal,2023,49.25,27.07,79.55,35.63,44.07,60.93,37.0
Karnataka,Vijayapura,2015,24.78,67.48,90.28,63.98,92.02,47.56,88.16
Tripura,West Tripura,2024,61.28,63.91,45.69,74.98,11.98,77.16,96.78
Tripura,West Tripura,2015,53.24,72.9,88.65,19.08,43.0,46.96,62.89
Punjab,Gurdaspur,2023,17.21,38.38,72.49,32.06,37.61,72.94,54.02
Odisha,Jajpur,2017,86.71,62.37,42.08,99.5,14.46,81.69,36.65
Assam,Biswanath,2024,67.56,26.17,80.3,18.57,91.12,74.85,52.63
Bihar,Kishanganj,2016,51.05,74.86,72.93,79.77,37.99,81.3,50.78
Rajasthan,Sanchore,2024,18.65,61.89,11.89,79.92,93.4,41.67,77.19
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,22.0,15.56,23.64,17.07,30.28,25.49,29.15
Gujarat,Gir Somnath,2021,36.21,44.21,63.6,49.26,42.06,71.28,64.5
Odisha,Nuapada,2015,18.35,19.32,99.78,34.66,37.78,16.54,36.98
Haryana,Faridabad,2019,74.32,96.34,99.37,19.83,44.38,31.54,10.04
Madhya Pradesh,Jhabua,2022,67.43,94.67,86.28,53.64,84.45,70.51,98.87
Jharkhand,Koderma,2015,23.23,87.07,55.28,65.41,44.07,21.1,83.44
Madhya Pradesh,Morena,2024,31.14,85.63,98.66,85.92,76.87,73.03,33.76
Nagaland,Mokokchung,2016,61.99,70.98,69.3,54.04,26.57,83.73,55.4
Kerala,Ernakulam,2016,30.27,81.45,22.55,61.5,39.81,11.25,24.51
Uttarakhand,Bageshwar,2021,19.87,81.17,96.45,15.08,91.8,20.37,80.63
Odisha,Mayurbhanj,2025,21.2,29.08,65.11,78.68,63.72,29.13,34.42
Uttarakhand,Haridwar,2016,49.24,13.95,95.07,54.04,21.05,14.25,84.63
Haryana,Hisar,2016,12.59,88.14,26.33,17.46,81.98,14.16,51.89
Uttar Pradesh,Gorakhpur,2025,92.65,64.66,69.64,57.61,84.37,21.92,65.48
Karnataka,Chikkaballapur,2022,49.44,97.53,50.75,11.72,10.25,78.23,33.69
Gujarat,Bharuch,2021,42.53,94.97,60.43,65.31,86.13,39.9,49.29
Mizoram,Champhai,2017,72.38,59.28,65.94,87.21,84.89,37.21,74.74
Himachal Pradesh,Kullu,2020,35.48,40.83,98.76,35.8,90.37,60.44,38.31
Telangana,Jogulamba Gadwal,2023,44.76,59.48,83.32,78.86,96.38,46.0,71.55
Rajasthan,Bikaner,2016,69.64,25.09,98.04,51.33,41.85,58.88,34.08
Karnataka,Belagavi,2022,54.34,57.59,32.0,53.08,41.46,41.14,51.58
Mizoram,Khawzawl,2015,45.71,57.04,74.81,19.75,81.07,57.94,68.42
Uttar Pradesh,Ghazipur,2025,68.21,43.4,84.0,80.1,49.11,80.57,26.2
Uttar Pradesh,Sonbhadra,2022,85.29,25.51,22.04,13.79,41.95,54.37,37.75
Madhya Pradesh,Bhopal,2023,54.13,41.59,22.73,85.61,71.59,47.45,65.04
Maharashtra,Nanded,2022,79.1,12.95,80.72,69.19,10.12,99.21,80.31
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2022,65.87,29.47,28.79,53.13,60.86,91.79,97.04
Madhya Pradesh,Sehore,2023,38.32,90.12,46.87,41.51,94.17,76.51,64.08
Gujarat,Devbhoomi Dwarka,2025,64.48,51.13,65.3,53.85,20.62,24.84,97.65
Manipur,Pherzawl,2015,97.57,47.1,98.62,51.31,26.13,56.56,99.05
Uttar Pradesh,Maharajganj,2025,77.49,76.89,17.71,69.25,17.54,47.16,78.21
Uttar Pradesh,Amroha,2016,20.68,27.32,58.69,24.93,91.22,93.2,77.04
Rajasthan,Khairthal-Tijara,2025,83.45,65.31,86.27,49.91,28.57,93.37,80.81
Telangana,Kamareddy,2015,38.77,14.07,59.15,15.17,37.12,91.94,55.6
Nagaland,Noklak,2018,72.58,12.84,79.43,97.2,85.23,46.57,43.53
Gujarat,Gandhinagar,2023,19.99,76.57,36.43,22.99,91.79,71.5,96.44
Karnataka,Yadgir,2025,51.55,78.81,49.44,36.2,97.82,67.77,84.83
Bihar,Darbhanga,2025,30.49,82.87,67.98,18.01,52.12,64.23,90.26
Arunachal Pradesh,Kurung Kumey,2019,71.48,22.91,43.02,36.32,50.18,22.4,80.44
Rajasthan,Kekri,2022,80.04,23.84,83.53,74.77,75.88,18.26,32.74
Nagaland,Tuensang,2021,95.63,16.21,94.98,27.76,57.11,49.21,51.66
Meghalaya,North Garo Hills,2023,80.66,87.87,75.03,86.45,41.34,39.12,24.47
Tamil Nadu,Ranipet,2022,26.46,22.76,24.66,18.73,84.91,89.56,81.25
Uttar Pradesh,Moradabad,2016,84.06,68.91,42.74,73.61,72.53,18.32,95.15
Maharashtra,Gadchiroli,2022,39.57,13.6,16.38,61.99,96.99,66.2,32.83
Karnataka,Kodagu,2019,62.31,13.57,28.29,46.36,95.73,42.2,75.32
Madhya Pradesh,Shivpuri,2024,32.37,77.61,52.05,39.58,25.46,15.98,58.87
Maharashtra,Chandrapur,2020,99.9,62.03,62.39,93.43,19.5,12.93,46.45
Chhattisgarh,Bilaspur,2023,58.88,50.69,51.13,64.29,26.97,90.36,15.46
Himachal Pradesh,Hamirpur,2022,27.61,11.47,62.15,68.8,84.15,70.65,51.16
Uttar Pradesh,Ghaziabad,2016,55.97,13.02,84.74,19.3,64.21,54.37,75.69
Punjab,Fazilka,2015,60.85,44.2,28.13,35.43,47.93,89.91,62.12
Karnataka,Koppal,2018,17.35,79.6,22.7,34.51,93.45,25.44,83.98
Karnataka,Kodagu,2021,28.76,33.63,70.09,80.35,37.82,58.78,54.18
Uttar Pradesh,Jhansi,2017,13.53,36.86,23.79,89.82,14.49,41.65,29.72
Madhya Pradesh,Gwalior,2016,43.1,38.15,31.12,41.42,99.49,80.63,56.64
Rajasthan,Neem Ka Thana,2025,69.93,90.19,40.34,44.94,32.62,42.71,83.16
Maharashtra,Osmanabad (Dharashiv),2021,10.38,82.45,15.31,30.63,78.19,71.72,38.05
Kerala,Ernakulam,2016,81.81,14.28,73.14,74.76,93.11,49.77,22.73
Meghalaya,East Jaintia Hills,2015,76.18,71.11,84.98,25.81,12.76,67.38,57.08
Nagaland,Chümoukedima,2024,19.52,82.14,56.7,71.59,95.5,68.57,36.93
Uttar Pradesh,Sambhal,2017,74.66,15.81,98.33,96.08,41.88,87.5,43.15
Odisha,Malkangiri,2016,91.15,38.5,33.16,67.17,41.06,61.37,73.23
Assam,Karbi Anglong,2016,15.99,20.14,24.64,40.06,24.01,58.78,85.14
Bihar,Banka,2023,31.54,40.82,84.0,66.93,46.76,74.28,73.69
Jharkhand,Khunti,2018,70.78,43.93,26.63,76.78,16.75,90.43,58.4
Jharkhand,Bokaro,2023,39.01,18.67,17.08,14.71,75.06,53.45,32.45
Nagaland,Tseminyu,2023,85.72,65.81,54.28,58.31,41.17,71.82,43.32
West Bengal,Jhargram,2019,26.85,81.15,80.59,10.66,21.62,50.77,16.9
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2017,22.89,23.61,95.68,12.96,61.88,98.07,18.41
Maharashtra,Yavatmal,2021,59.95,72.57,88.44,41.34,50.38,77.95,69.85
Rajasthan,Banswara,2018,39.58,97.23,91.3,93.12,78.08,54.27,30.78
Maharashtra,Gondia,2017,92.35,13.76,12.05,59.77,96.28,52.72,92.66
Rajasthan,Dausa,2023,20.9,21.19,67.65,51.93,33.03,65.9,32.73
Rajasthan,Bharatpur,2025,32.15,80.29,68.58,26.54,47.16,40.11,73.98
Uttar Pradesh,Bhadohi,2017,17.48,38.93,96.96,39.64,21.75,32.63,92.97
Uttarakhand,Dehradun,2016,67.16,23.28,28.56,68.62,44.87,85.23,21.01
Andhra Pradesh,Tirupati,2020,27.11,85.19,95.42,88.97,79.7,78.95,12.99
Andhra Pradesh,Guntur,2018,93.21,20.3,52.94,69.21,15.85,43.66,87.6
Madhya Pradesh,Katni,2025,58.06,85.1,73.56,51.95,89.84,17.74,28.75
Telangana,Rajanna Sircilla,2020,80.11,97.95,96.75,47.44,49.03,26.18,19.61
Uttar Pradesh,Banda,2024,25.69,76.03,83.8,95.47,58.53,26.56,61.48
Maharashtra,Washim,2016,61.67,34.16,40.13,57.83,98.4,24.54,98.88
Gujarat,Aravalli,2022,25.04,43.58,26.91,73.94,97.79,60.03,57.46
Assam,Morigaon,2021,21.54,94.23,30.84,53.0,29.16,31.58,79.93
Sikkim,Namchi,2023,60.39,19.47,40.59,77.48,78.51,38.97,82.82
Madhya Pradesh,Sheopur,2016,85.03,69.36,82.65,42.55,58.38,79.53,72.28
Rajasthan,Pali,2025,56.67,88.73,21.82,81.59,90.75,56.08,43.96
Andhra Pradesh,Anantapur,2018,43.52,91.28,75.84,36.8,46.35,40.75,51.41
Telangana,Sangareddy,2021,70.53,84.16,44.15,85.23,83.76,66.38,72.06
Andhra Pradesh,Sri Sathya Sai,2021,65.18,93.38,20.89,41.34,38.15,44.67,71.7
Punjab,Jalandhar,2015,45.47,66.81,10.09,58.26,79.39,54.19,65.58
Rajasthan,Sri Ganganagar,2017,30.61,45.39,28.27,29.73,58.76,68.75,39.73
Tamil Nadu,Salem,2015,70.26,58.4,63.53,47.85,46.0,97.86,19.24
Jharkhand,Khunti,2022,54.58,52.38,75.68,70.29,37.03,75.3,42.14
Arunachal Pradesh,Kra Daadi,2016,31.54,96.03,78.13,45.93,54.18,21.33,56.43
Uttar Pradesh,Shravasti,2018,48.79,95.07,62.18,26.43,74.77,27.24,61.69
Uttar Pradesh,Mahoba,2019,20.25,76.7,47.69,81.43,60.6,97.87,81.98
Rajasthan,Gangapur City,2022,56.36,63.19,75.76,91.71,15.08,99.2,76.98
Bihar,Buxar,2024,81.48,35.0,63.09,27.05,80.97,38.66,60.41
Uttar Pradesh,Shahjahanpur,2024,14.39,34.23,40.86,42.6,60.49,12.69,11.96
Jharkhand,Koderma,2017,74.04,69.11,22.95,23.55,42.21,85.92,20.47
Telangana,Komaram Bheem Asifabad,2015,79.05,42.82,66.98,87.45,29.54,50.23,11.46
Bihar,Patna,2020,89.64,86.44,52.23,84.43,36.24,40.07,29.73
Bihar,Sitamarhi,2021,36.47,88.39,77.92,88.76,98.98,28.53,49.54
Uttar Pradesh,Azamgarh,2024,51.57,48.71,50.19,50.25,51.84,86.1,74.55
Karnataka,Udupi,2023,70.71,19.57,70.27,39.94,10.06,91.73,15.71
Uttar Pradesh,Bahraich,2022,59.65,99.54,52.91,60.84,97.8,82.66,85.98
Madhya Pradesh,Sehore,2015,44.36,68.63,13.85,90.47,70.32,96.82,52.43
Uttar Pradesh,Meerut,2019,38.33,27.19,92.14,44.58,66.26,42.45,46.94
Tamil Nadu,Viluppuram,2022,74.73,97.1,85.2,62.45,94.08,81.21,58.95
Meghalaya,East Garo Hills,2022,37.66,85.78,16.4,48.84,97.95,85.85,88.0
Haryana,Ambala,2024,17.31,42.97,17.57,55.25,72.48,34.29,92.12
Himachal Pradesh,Bilaspur,2025,89.56,96.25,73.99,19.9,94.65,54.12,49.32
Karnataka,Kodagu,2024,60.37,74.24,35.11,69.7,33.25,37.22,66.21
Bihar,Sitamarhi,2025,84.11,70.99,91.95,27.94,78.51,81.88,25.14
Nagaland,Tuensang,2025,88.9,70.81,79.82,64.25,28.71,26.23,72.63
Tamil Nadu,Kanchipuram,2017,97.18,25.85,34.54,77.93,57.18,68.86,53.06
Tamil Nadu,Madurai,2022,59.61,16.76,84.56,37.97,81.46,40.17,25.92
Telangana,Medchal-Malkajgiri,2017,66.99,10.15,63.49,92.85,95.98,53.89,76.3
Uttar Pradesh,Hathras,2020,42.08,11.76,24.36,39.37,67.84,12.61,11.77
Uttar Pradesh,Amethi,2018,67.54,51.69,34.18,71.32,10.38,61.78,41.04
Tamil Nadu,Thiruvarur,2017,13.94,77.73,22.1,94.22,58.99,43.43,34.48
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2020,25.41,63.22,86.53,98.85,76.13,41.11,84.58
Punjab,Amritsar,2025,62.47,28.49,27.17,23.99,26.0,32.41,57.21
Uttar Pradesh,Kanpur Nagar,2022,91.39,26.26,63.61,90.03,41.96,86.86,11.57
West Bengal,Kolkata,2022,56.98,53.48,98.66,34.09,67.69,40.74,61.53
Madhya Pradesh,Alirajpur,2020,20.51,84.56,85.0,52.21,88.89,88.92,90.73
Haryana,Bhiwani,2024,58.05,38.74,85.71,31.38,93.39,42.82,21.52
Tamil Nadu,Tirupathur,2016,80.08,71.44,15.46,25.13,24.36,19.97,86.31
Gujarat,Anand,2015,46.75,74.17,78.62,67.88,73.12,96.55,62.58
Tamil Nadu,Namakkal,2021,63.19,20.43,28.02,51.27,49.19,74.56,60.33
Manipur,Tengnoupal,2024,27.89,57.83,65.58,75.18,23.92,65.23,37.62
Arunachal Pradesh,East Kameng,2023,48.59,28.03,82.68,50.52,56.25,90.17,57.9
Punjab,Bathinda,2019,94.57,59.44,95.45,25.7,59.24,99.81,25.85
Andhra Pradesh,Annamayya,2016,99.62,79.68,68.88,70.82,28.99,97.92,10.21
Uttar Pradesh,Siddharthnagar,2016,92.21,42.12,49.78,30.91,66.19,94.88,51.08
Chhattisgarh,Korba,2023,77.07,53.76,50.44,81.16,27.52,49.43,73.69
Madhya Pradesh,Satna,2023,38.11,34.61,57.59,11.33,24.31,33.28,56.59
Uttar Pradesh,Budaun,2017,74.17,97.44,54.23,65.72,85.12,35.53,82.26
Odisha,Boudh,2017,31.32,39.19,66.74,85.87,77.97,55.01,31.3
West Bengal,Uttar Dinajpur,2017,15.05,34.82,39.48,77.08,88.42,12.18,49.46
Tamil Nadu,Namakkal,2020,89.65,69.23,19.9,50.29,58.43,41.38,44.49
Punjab,Sangrur,2018,34.55,58.45,56.8,69.95,58.28,68.33,78.32
Gujarat,Jamnagar,2020,66.56,40.96,70.01,74.96,15.18,77.45,62.53
Madhya Pradesh,Agar Malwa,2018,28.71,14.12,29.78,94.48,98.11,41.38,29.08
Jharkhand,Pakur,2025,90.34,77.55,83.54,35.11,22.28,76.97,50.72
Telangana,Jangaon,2015,53.29,77.02,64.65,86.48,49.94,98.29,86.99
Haryana,Ambala,2017,40.31,34.43,41.41,27.85,43.42,66.15,65.91
Uttar Pradesh,Mathura,2017,64.6,46.17,82.18,60.39,29.29,85.51,52.98
Tripura,Dhalai,2024,28.25,33.19,17.43,44.39,46.43,58.27,51.51
Telangana,Medchal-Malkajgiri,2017,63.3,30.39,58.22,75.45,98.32,79.22,24.3
West Bengal,Purba Medinipur,2019,31.05,85.98,86.68,37.31,60.85,15.74,17.37
Uttarakhand,Uttarkashi,2023,13.55,62.62,14.11,47.4,56.1,32.06,28.03
Andhra Pradesh,NTR,2020,85.68,10.96,85.02,45.02,25.76,92.61,45.86
Telangana,Medchal-Malkajgiri,2019,68.55,95.4,90.23,25.62,10.24,17.17,94.34
Karnataka,Chikkaballapur,2015,20.42,68.01,23.11,56.41,58.5,47.42,44.48
Bihar,Madhepura,2023,16.13,70.97,71.17,49.99,76.98,80.06,38.3
Karnataka,Kalaburagi,2016,37.79,61.82,69.19,30.7,62.57,94.12,91.47
Jharkhand,West Singhbhum,2020,52.45,46.11,88.47,17.82,44.08,59.45,76.5
Telangana,Siddipet,2017,36.1,64.89,59.49,11.78,28.33,60.03,29.61
Chhattisgarh,Durg,2021,34.19,21.2,37.55,40.45,42.81,90.69,93.08
Maharashtra,Pune,2022,38.04,31.41,69.51,34.8,23.11,81.7,59.62
Himachal Pradesh,Kullu,2020,18.88,92.32,37.91,62.97,81.46,21.33,75.81
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,41.76,35.44,73.53,16.82,50.64,93.25,48.04
Uttar Pradesh,Meerut,2016,12.23,20.31,57.59,60.05,27.76,56.03,27.25
Jharkhand,Giridih,2020,36.75,60.79,97.24,35.17,98.12,10.84,41.51
Uttarakhand,Rudraprayag,2019,27.16,81.44,37.62,75.1,28.88,11.89,72.45
Uttar Pradesh,Sultanpur,2016,90.19,80.11,79.8,97.86,19.32,40.83,20.12
Bihar,Nalanda,2016,43.3,71.72,80.39,15.37,51.26,32.93,71.24
Karnataka,Uttara Kannada,2017,27.11,18.94,43.63,31.22,88.99,43.68,37.32
Uttar Pradesh,Kannauj,2015,58.52,96.89,49.26,96.84,40.22,79.04,92.79
Maharashtra,Gondia,2025,92.26,73.09,23.51,50.97,95.73,70.42,77.15
Maharashtra,Yavatmal,2025,90.81,58.55,89.42,40.61,10.11,20.42,68.03
Rajasthan,Dholpur,2023,50.61,36.94,73.5,62.25,21.44,15.42,24.06
Uttar Pradesh,Bahraich,2022,62.75,20.3,26.94,76.09,42.99,87.84,75.56
Karnataka,Uttara Kannada,2024,43.85,37.91,69.71,29.69,86.39,51.73,86.53
Rajasthan,Bhilwara,2025,35.64,76.58,71.79,71.32,53.41,90.93,42.73
Jharkhand,Palamu,2020,11.06,86.9,98.18,81.07,30.47,84.01,65.91
West Bengal,South 24 Parganas,2020,50.34,32.21,88.77,17.69,34.97,25.12,10.08
West Bengal,Paschim Bardhaman,2023,84.18,46.93,83.7,59.09,78.0,33.7,50.35
Madhya Pradesh,Chhatarpur,2024,62.71,33.67,69.01,10.07,14.2,88.39,38.4
Tamil Nadu,Kanchipuram,2022,61.42,29.23,25.63,78.3,26.81,94.8,58.18
Bihar,Kaimur,2017,96.54,41.08,91.45,85.17,21.53,19.01,69.8
Tamil Nadu,Chengalpattu,2024,20.29,14.13,38.72,95.8,93.07,81.54,71.71
Uttar Pradesh,Lalitpur,2021,93.55,89.28,22.26,26.19,79.0,22.73,30.56
Rajasthan,Beawar,2020,44.58,52.91,48.89,83.96,73.09,80.94,10.78
Assam,Kamrup,2025,58.42,94.02,63.87,76.34,91.86,70.78,40.54
Assam,Baksa,2018,18.2,10.61,16.84,40.87,80.62,63.6,35.48
Madhya Pradesh,Bhopal,2021,73.57,42.04,91.51,61.62,77.23,63.41,23.67
Karnataka,Shivamogga,2024,21.81,94.79,53.57,60.37,26.14,80.86,94.42
Uttar Pradesh,Mathura,2025,10.37,18.21,24.82,28.81,83.17,48.92,93.38
Bihar,Kishanganj,2020,76.1,64.6,99.62,26.23,69.92,35.22,38.69
Maharashtra,Sangli,2017,47.51,89.61,79.68,18.32,52.06,95.12,33.89
Himachal Pradesh,Lahaul & Spiti,2024,81.0,19.44,34.98,23.75,72.43,45.84,12.5
Rajasthan,Karauli,2024,26.81,27.12,95.25,68.07,73.18,39.87,72.48
Chhattisgarh,Baloda Bazar,2021,48.16,18.66,76.19,98.29,11.77,24.22,53.44
Chhattisgarh,Rajnandgaon,2021,82.85,35.27,34.19,65.64,86.44,81.47,14.51
West Bengal,Birbhum,2017,43.4,14.03,26.75,16.87,25.02,12.75,88.74
Sikkim,Gyalshing,2024,23.22,42.78,34.08,58.37,53.39,25.7,77.96
Bihar,East Champaran,2023,98.03,13.61,32.78,26.47,81.57,41.53,58.42
Mizoram,Champhai,2015,95.43,59.55,28.2,18.58,58.89,21.77,81.45
Haryana,Jind,2022,35.92,66.7,67.71,92.73,81.46,98.71,72.24
Uttar Pradesh,Ghazipur,2021,98.42,42.12,75.72,55.96,57.0,13.95,38.34
West Bengal,Birbhum,2023,76.21,23.94,78.34,83.24,50.46,21.35,40.17
Sikkim,Mangan,2023,73.87,92.72,74.47,96.34,77.32,12.04,43.36
West Bengal,Murshidabad,2022,10.6,16.32,72.81,33.45,82.57,80.36,35.37
Bihar,Aurangabad,2024,63.6,95.09,32.14,98.5,93.23,88.86,84.08
Andhra Pradesh,Palnadu,2019,77.85,79.36,34.08,14.41,14.76,34.3,32.64
Haryana,Nuh,2016,70.54,46.34,48.13,69.51,58.09,49.01,32.05
Rajasthan,Jaisalmer,2016,20.14,94.58,76.3,36.07,16.4,23.22,63.37
Punjab,Jalandhar,2015,39.46,43.42,79.45,67.77,68.72,23.87,22.93
Uttar Pradesh,Amethi,2024,26.79,87.34,52.54,15.75,56.31,62.41,58.9
Odisha,Malkangiri,2018,91.33,43.06,58.16,19.6,46.77,23.91,82.6
Kerala,Kottayam,2016,62.82,25.82,29.74,28.61,72.68,78.11,42.07
Mizoram,Lunglei,2016,32.58,10.58,16.89,53.66,32.54,69.24,50.02
West Bengal,Bankura,2023,85.34,80.43,85.25,78.1,40.35,44.48,70.16
Andhra Pradesh,YSR Kadapa,2025,83.72,73.24,22.3,39.09,66.37,21.07,79.65
Tamil Nadu,Kallakurichi,2016,41.0,63.58,12.19,48.75,28.67,28.18,55.71
Tamil Nadu,Tiruvannamalai,2016,70.12,52.46,87.39,65.43,96.91,98.76,79.78
Meghalaya,South West Garo Hills,2019,44.75,64.48,14.7,46.8,91.5,57.67,40.99
Karnataka,Mysuru,2022,19.89,83.74,95.48,87.35,48.59,56.62,53.67
Gujarat,Tapi,2024,50.96,94.84,11.41,21.07,15.89,55.51,80.13
Telangana,Jagtial,2024,61.03,82.55,91.62,33.92,35.75,31.58,20.96
Punjab,Hoshiarpur,2015,90.14,92.19,85.66,91.16,63.77,55.63,37.69
Chhattisgarh,Bemetara,2019,25.51,49.15,35.42,39.43,17.3,20.87,10.92
Tamil Nadu,Nagapattinam,2015,97.79,95.2,98.57,49.55,38.85,14.4,40.63
Uttar Pradesh,Rae Bareli,2021,80.84,95.0,40.66,51.64,25.31,10.79,77.98
Rajasthan,Beawar,2017,34.88,80.34,82.95,84.23,14.07,73.77,67.63
Gujarat,Vadodara,2024,29.65,89.95,63.99,69.29,46.88,35.17,72.38
Telangana,Peddapalli,2019,40.16,29.73,25.31,40.14,34.19,41.95,87.45
Assam,Dhemaji,2016,13.22,26.0,10.93,28.98,94.64,80.58,80.51
Uttar Pradesh,Prayagraj,2018,83.55,40.74,39.94,20.44,96.83,28.4,81.7
Bihar,Sheohar,2020,12.07,19.23,64.09,92.47,57.02,54.12,45.85
Mizoram,Khawzawl,2016,19.37,17.91,48.71,69.65,33.71,72.54,72.36
Tripura,South Tripura,2024,82.39,42.74,43.18,28.31,98.8,96.12,20.51
Rajasthan,Rajsamand,2016,62.36,93.22,13.3,61.55,26.3,64.33,65.79
Sikkim,Pakyong,2021,89.89,39.5,24.71,93.84,60.42,43.63,12.28
West Bengal,Nadia,2022,71.19,30.92,43.14,31.5,14.8,63.86,40.57
Tamil Nadu,Sivaganga,2020,63.37,78.02,53.23,60.61,67.14,19.62,60.66
Jharkhand,Lohardaga,2017,14.11,96.85,86.34,60.75,83.09,67.44,41.51
Bihar,Arwal,2021,97.03,52.86,58.58,22.76,87.89,53.33,76.2
Arunachal Pradesh,Siang,2016,84.65,83.41,31.59,49.29,58.07,79.63,92.07
Gujarat,Mehsana,2021,76.59,64.56,45.22,72.58,98.74,50.95,77.25
Assam,Lakhimpur,2017,52.24,25.2,81.62,50.05,85.11,72.08,66.19
Chhattisgarh,Bijapur,2015,73.6,50.87,71.22,79.57,49.63,79.02,16.17
Meghalaya,East Jaintia Hills,2025,19.07,45.13,98.98,62.41,11.86,94.79,97.11
Rajasthan,Jalore,2025,38.89,22.19,91.66,63.66,22.64,55.05,29.23
Andhra Pradesh,Bapatla,2025,98.66,54.83,57.04,44.7,99.01,53.6,42.07
Karnataka,Vijayanagara,2024,49.1,33.03,79.54,32.03,91.16,59.65,99.3
West Bengal,Birbhum,2022,49.8,73.79,76.16,97.01,16.28,48.97,96.82
Madhya Pradesh,Narsinghpur,2024,30.74,66.31,38.59,99.28,33.28,24.41,40.47
Tamil Nadu,Pudukkottai,2017,95.07,80.8,23.81,66.1,53.81,81.81,75.65
Tamil Nadu,Theni,2015,35.79,18.25,32.27,58.13,89.95,16.69,68.62
Nagaland,Kiphire,2019,70.71,43.42,80.8,12.08,62.7,86.8,39.29
Rajasthan,Jhunjhunu,2020,40.18,69.79,69.78,15.07,70.8,38.02,20.77
Uttar Pradesh,Bareilly,2023,25.54,19.69,11.26,42.34,19.76,45.83,57.03
Gujarat,Banaskantha,2019,63.04,43.38,41.75,60.72,68.13,93.95,17.74
Gujarat,Aravalli,2024,47.27,56.64,74.1,53.36,19.22,72.73,69.19
Uttar Pradesh,Lakhimpur Kheri,2024,81.93,76.3,18.71,61.99,26.74,89.63,19.91
West Bengal,Malda,2018,63.52,31.93,44.88,58.51,23.88,73.16,73.84
Mizoram,Kolasib,2023,17.92,62.18,53.34,55.44,86.98,74.43,38.02
Punjab,Tarn Taran,2018,76.97,11.16,84.88,19.8,79.52,71.08,96.44
Bihar,Sheikhpura,2019,25.69,27.18,72.91,14.16,62.82,47.22,86.53
Meghalaya,Ri Bhoi,2025,96.43,87.97,97.42,56.09,31.44,35.83,33.94
Tripura,Unakoti,2023,71.66,11.39,54.28,86.35,20.68,81.11,95.76
Manipur,Chandel,2019,19.76,78.02,62.23,35.47,28.94,89.63,66.56
Rajasthan,Dholpur,2019,76.39,85.83,79.65,30.32,36.26,56.22,11.13
Chhattisgarh,Surajpur,2020,62.64,84.1,52.54,65.31,98.42,40.12,71.83
Telangana,Karimnagar,2015,54.48,16.73,96.93,73.94,26.49,87.79,72.5
Gujarat,Jamnagar,2023,98.54,48.12,49.56,45.21,10.82,45.7,73.84
Tamil Nadu,Ariyalur,2025,10.14,42.6,54.91,97.11,96.39,88.64,29.76
Tamil Nadu,Kallakurichi,2017,93.27,56.14,96.82,74.97,33.75,54.97,12.26
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,39.01,13.71,81.45,23.63,79.74,33.12,46.6
Jharkhand,Koderma,2023,52.49,44.64,62.46,90.06,82.65,24.46,94.49
Chhattisgarh,Bastar,2020,96.75,17.17,59.59,65.94,46.37,33.88,97.7
Bihar,Sheohar,2021,28.82,87.04,90.49,73.47,15.01,19.94,69.34
Haryana,Panipat,2018,59.12,60.45,40.03,90.33,64.77,12.38,73.48
Madhya Pradesh,Bhind,2021,17.19,47.53,64.17,86.62,29.62,55.03,28.41
Tamil Nadu,Tiruchirappalli,2022,88.01,99.83,20.64,20.63,94.54,69.21,99.95
Andhra Pradesh,Guntur,2020,41.47,15.25,38.77,45.29,50.15,84.53,12.33
Rajasthan,Khairthal-Tijara,2018,68.57,62.52,35.01,63.06,87.35,39.68,12.57
Arunachal Pradesh,Papum Pare,2017,10.49,93.09,23.83,63.82,85.6,54.1,19.5
Manipur,Chandel,2021,78.18,43.28,98.1,50.13,87.21,69.65,29.56
Bihar,Begusarai,2018,36.73,78.26,13.48,47.21,89.99,61.12,21.9
Maharashtra,Aurangabad (Chhatrapati Sambhajinagar),2018,50.73,74.85,24.72,94.1,34.18,28.28,57.65
Uttar Pradesh,Lalitpur,2018,83.11,90.17,84.85,91.94,89.89,49.33,28.05
Meghalaya,North Garo Hills,2023,60.5,25.47,14.19,61.75,33.71,89.1,60.82
Rajasthan,Bhilwara,2017,22.4,50.53,21.2,60.75,71.67,91.86,50.52
Telangana,Sangareddy,2019,47.15,35.38,23.48,97.37,95.19,94.67,12.84
Tamil Nadu,Cuddalore,2019,26.28,22.66,25.84,46.38,82.12,12.0,22.37
