state,district,year,population,male_population,female_population,population_growth_rate,urban_population,rural_population
Gujarat,Gir Somnath,2023,3623082,1757128,589910,1.15,22824,118041
Gujarat,Gir Somnath,2024,3817975,35320,1731300,1.02,927730,2031759
Gujarat,Gir Somnath,2025,1774616,2321305,798340,2.86,1597001,623233
Gujarat,Jamnagar,2015,671166,1636219,578222,2.68,397033,2645057
Gujarat,Jamnagar,2016,3563775,1838303,1725972,2.37,1351158,2305871
Gujarat,Jamnagar,2017,629210,204837,1666507,2.7,1503873,852284
Gujarat,Jamnagar,2018,4545254,1942830,1732536,1.1,1597082,1065620
Gujarat,Jamnagar,2019,1820821,1373203,537264,0.82,1729039,2810094
Gujarat,Jamnagar,2020,3469207,633055,1895108,3.14,31362,835873
Gujarat,Jamnagar,2021,3374674,2157494,2296728,3.46,820364,660184
Gujarat,Jamnagar,2022,484332,2093073,180598,3.46,1176863,1148728
Gujarat,Jamnagar,2023,3857656,2012891,1654928,3.2,595221,509566
Gujarat,Jamnagar,2024,2830929,1665718,1346890,1.21,46933,2104036
Gujarat,Jamnagar,2025,2617730,1623812,1718955,0.99,1757678,531952
Gujarat,Junagadh,2015,3013775,1000407,1119373,0.89,1679179,2836947
Gujarat,Junagadh,2016,915943,907918,511553,3.08,997394,1973205
Gujarat,Junagadh,2017,4593114,414826,1161875,1.45,433069,550489
Gujarat,Junagadh,2018,2386562,844840,2114104,1.11,1183929,320550
Gujarat,Junagadh,2019,3274973,1299196,1283869,1.79,78620,2569479
Gujarat,Junagadh,2020,1364231,1646362,75576,1.54,479223,2164119
Gujarat,Junagadh,2021,694987,2090227,1701917,0.89,1114951,215150
Gujarat,Junagadh,2022,4728010,56365,1112119,1.53,1224513,1767123
Gujarat,Junagadh,2023,4917328,873077,842365,1.57,1173207,1208645
Gujarat,Junagadh,2024,4951927,2278877,1785248,1.31,1912708,2338842
Gujarat,Junagadh,2025,4066633,1183265,1688651,0.85,155016,46684
Gujarat,Kheda,2015,4152193,917306,1275173,1.41,449749,1944189
Gujarat,Kheda,2016,1793461,224060,1705099,3.14,1232288,2221690
Gujarat,Kheda,2017,962946,1168763,1998726,3.13,1236270,549299
Gujarat,Kheda,2018,2810899,1693993,1054443,3.48,90661,925735
Gujarat,Kheda,2019,2638110,618642,1656401,1.17,1251292,2430388
Gujarat,Kheda,2020,2161348,1682123,2367302,1.37,1948892,2346510
Gujarat,Kheda,2021,3128166,205111,1255809,1.65,884483,2015870
Gujarat,Kheda,2022,3290838,134945,587845,1.94,1969414,1804059
Gujarat,Kheda,2023,930103,638855,1422292,1.04,69198,1425104
Gujarat,Kheda,2024,690391,1472109,898058,1.53,532121,2676068
Gujarat,Kheda,2025,3362205,487575,1937337,2.81,1041072,2273741
Gujarat,Kutch,2015,1656047,693892,1469616,0.52,372094,601230
Gujarat,Kutch,2016,4785819,1637792,1322587,2.1,1436746,1247753
Gujarat,Kutch,2017,2984251,2057314,1676769,2.89,655246,1162334
Gujarat,Kutch,2018,2781464,1217045,842213,2.96,1689112,1900333
Gujarat,Kutch,2019,4351068,751553,2254837,2.33,1228876,178994
Gujarat,Kutch,2020,451246,648036,726656,1.59,1130823,175967
Gujarat,Kutch,2021,4987708,1865470,1201370,2.99,997324,2291852
Gujarat,Kutch,2022,2989026,1770311,459032,2.88,968880,469440
Gujarat,Kutch,2023,4193017,628502,1943343,2.65,583804,763524
Gujarat,Kutch,2024,1762849,1309410,2257244,1.78,1619103,1553896
Gujarat,Kutch,2025,966660,748886,75761,2.23,265098,1520079
Gujarat,Mahisagar,2015,3953786,1578431,1612298,2.44,1219922,1068349
Gujarat,Mahisagar,2016,1735117,1640621,1810000,2.71,1176438,1005512
Gujarat,Mahisagar,2017,4613680,1168328,1092580,0.89,675302,347278
Gujarat,Mahisagar,2018,1001579,698476,1745752,2.45,1050085,1026634
Gujarat,Mahisagar,2019,4938105,1219294,2194989,0.56,331195,1517111
Gujarat,Mahisagar,2020,2849892,759531,2397258,3.07,568779,2123528
Gujarat,Mahisagar,2021,2283613,252427,972377,1.78,1246052,146347
Gujarat,Mahisagar,2022,1109983,51601,2417591,0.78,542416,2904472
Gujarat,Mahisagar,2023,3557507,1482068,2234906,3.26,353873,1486632
Gujarat,Mahisagar,2024,3275532,1742470,931033,1.27,1599014,2945120
Gujarat,Mahisagar,2025,4053673,1521180,2020573,2.48,1023412,333294
Gujarat,Mehsana,2015,4674463,2371884,876312,2.74,1336813,1021553
Gujarat,Mehsana,2016,1222106,2155820,2308734,1.48,1983899,2828179
Gujarat,Mehsana,2017,4894440,587228,189795,1.1,134948,2474801
Gujarat,Mehsana,2018,4589538,245475,643122,2.45,1751589,2547612
Gujarat,Mehsana,2019,3899282,1387076,1403932,2.89,1903698,49625
Gujarat,Mehsana,2020,4995617,1690976,77847,2.34,99433,2703740
Gujarat,Mehsana,2021,3277938,1261521,2138618,2.32,906461,1465512
Gujarat,Mehsana,2022,1272002,200827,2366984,1.57,816434,181129
Gujarat,Mehsana,2023,3350064,52151,1507081,1.89,1348711,1383506
Gujarat,Mehsana,2024,1166052,211446,1274753,0.62,1439498,2482379
Gujarat,Mehsana,2025,4359374,76445,2128352,0.7,1459870,1662485
Gujarat,Morbi,2015,3913798,714113,1165254,2.61,536869,1655069
Gujarat,Morbi,2016,2541133,1620794,115324,1.13,23735,2041575
Gujarat,Morbi,2017,801443,79573,970081,2.34,609948,2359792
Gujarat,Morbi,2018,4026612,936169,1589647,2.03,352037,2953496
Gujarat,Morbi,2019,1508270,680738,1090394,1.29,1982576,32059
Gujarat,Morbi,2020,795273,40832,2160829,3.16,1120111,2618403
Gujarat,Morbi,2021,240427,1959753,1681373,1.94,917866,2427710
Gujarat,Morbi,2022,3107779,1473689,1211617,2.05,941504,1828645
Gujarat,Morbi,2023,4720597,1806380,141168,1.79,398826,1920061
Gujarat,Morbi,2024,2732880,264810,2097784,1.04,858593,2897332
Gujarat,Morbi,2025,4028661,2249808,337726,1.93,672634,2374589
Gujarat,Narmada,2015,115215,2333915,2241509,3.08,1128291,2126674
Gujarat,Narmada,2016,597006,1841899,253486,2.9,1312896,2399082
Gujarat,Narmada,2017,527054,2081017,1082767,3.26,368397,1853017
Gujarat,Narmada,2018,2890992,1995514,609251,1.8,458024,1553392
Gujarat,Narmada,2019,2423930,172501,423705,0.91,192096,1572128
Gujarat,Narmada,2020,4702344,258772,1961404,1.84,1652186,1936149
Gujarat,Narmada,2021,1747447,613420,2494564,1.04,1612898,1603672
Gujarat,Narmada,2022,4947707,1448239,2049290,2.37,967126,1794117
Gujarat,Narmada,2023,1437489,165488,1163037,2.43,1900241,840911
Gujarat,Narmada,2024,1392766,959224,1366250,1.19,784008,920423
Gujarat,Narmada,2025,2728897,1098704,952717,3.15,1434208,2279193
Gujarat,Navsari,2015,2804584,394158,1447590,2.97,1410936,2231563
Gujarat,Navsari,2016,3368742,2360171,1283457,1.0,486707,642327
Gujarat,Navsari,2017,819677,393122,864065,2.43,73539,295308
Gujarat,Navsari,2018,4308219,1759284,1042691,1.8,251339,27695
Gujarat,Navsari,2019,4197283,356923,1861760,1.62,1901030,1420578
Gujarat,Navsari,2020,1563149,1106238,119624,1.11,1722337,331308
Gujarat,Navsari,2021,1064176,1679536,1210512,2.29,1052215,1421246
Gujarat,Navsari,2022,3363143,2095770,536129,0.69,707401,349431
Gujarat,Navsari,2023,1695147,993270,1656812,1.64,1827666,1688651
Gujarat,Navsari,2024,1921361,1825442,1077969,1.9,1054578,2795317
Gujarat,Navsari,2025,3136313,705494,1788731,1.1,1501318,2271167
Gujarat,Panchmahal,2015,3951203,154651,284068,1.89,266342,2998446
Gujarat,Panchmahal,2016,1720499,1779341,1223130,2.18,138218,2242142
Gujarat,Panchmahal,2017,2664712,1764089,922236,3.13,482279,2776633
Gujarat,Panchmahal,2018,2662818,1953510,710892,1.95,868166,2877770
Gujarat,Panchmahal,2019,4247611,1617474,1545225,0.53,939432,2918208
Gujarat,Panchmahal,2020,596256,1597575,1991876,0.67,237990,2625383
Gujarat,Panchmahal,2021,3300096,1754485,1472561,2.17,194919,45822
Gujarat,Panchmahal,2022,2488349,2410570,2220253,2.24,730512,2596548
Gujarat,Panchmahal,2023,1498428,2445373,1214571,2.43,96200,1702778
Gujarat,Panchmahal,2024,854985,1129473,2231485,3.21,1541008,2092078
Gujarat,Panchmahal,2025,4457130,1020339,444073,1.97,1427106,912962
Gujarat,Patan,2015,1508863,985843,2333885,1.04,1451970,2455964
Gujarat,Patan,2016,399492,1763263,588101,1.22,1209236,777759
Gujarat,Patan,2017,4947831,551354,355194,2.32,183006,591438
Gujarat,Patan,2018,654227,1859271,1118515,3.45,160929,1244969
Gujarat,Patan,2019,4523872,48544,2341927,2.5,56964,2223210
Gujarat,Patan,2020,3119770,1030872,2321488,0.9,1042079,2632661
Gujarat,Patan,2021,3646116,325707,1629095,1.2,512887,374096
Gujarat,Patan,2022,1055501,1506958,325026,2.76,118109,1380270
Gujarat,Patan,2023,1299833,1870803,1371866,0.8,1933903,854019
Gujarat,Patan,2024,3781151,108479,824471,1.06,103426,963617
Gujarat,Patan,2025,2957742,1438378,558036,2.06,1334991,27560
Gujarat,Porbandar,2015,1992766,696948,1327511,3.41,616093,1428559
Gujarat,Porbandar,2016,1292932,1874460,2439482,0.74,1502544,1290197
Gujarat,Porbandar,2017,2654372,268271,1836910,3.38,766038,1301084
Gujarat,Porbandar,2018,2214670,1565772,1898352,0.55,552722,596334
Gujarat,Porbandar,2019,444949,150951,814824,2.51,138033,367060
Gujarat,Porbandar,2020,4176316,325598,1732350,2.92,448627,439574
Gujarat,Porbandar,2021,1599729,2264146,430095,2.92,1675522,1841832
Gujarat,Porbandar,2022,2599242,156249,2423482,1.46,200718,2992240
Gujarat,Porbandar,2023,2233231,2417945,1940409,2.3,209147,2056598
Gujarat,Porbandar,2024,1768936,939383,1066401,1.83,446908,1701473
Gujarat,Porbandar,2025,3522520,2127117,2318494,0.93,1151700,2309406
Gujarat,Rajkot,2015,2266179,2430289,555136,2.89,1899099,144810
Gujarat,Rajkot,2016,2691340,2384756,1325096,1.04,1593446,1379048
Gujarat,Rajkot,2017,2317112,1026910,2152138,2.0,1920203,1863108
Gujarat,Rajkot,2018,4512804,1009448,797033,3.37,428418,1651864
Gujarat,Rajkot,2019,760215,608267,738159,1.28,1729924,770661
Gujarat,Rajkot,2020,3913514,2402531,418312,0.93,593595,2068456
Gujarat,Rajkot,2021,3340740,154193,1851962,2.89,1280957,478472
Gujarat,Rajkot,2022,316268,1108015,1269326,1.32,98452,1510254
Gujarat,Rajkot,2023,1373438,1488776,2133731,3.36,1299065,2108948
Gujarat,Rajkot,2024,2640628,1268230,1935445,1.79,854141,2404006
Gujarat,Rajkot,2025,4360435,380435,1636558,2.66,549456,2894879
Gujarat,Sabarkantha,2015,235625,1245870,1100688,1.96,255374,358072
Gujarat,Sabarkantha,2016,3556284,1069524,41578,1.87,797045,264800
Gujarat,Sabarkantha,2017,805903,1721060,126607,2.37,1442193,2402199
Gujarat,Sabarkantha,2018,2308597,637914,2006810,1.68,1058553,1724076
Gujarat,Sabarkantha,2019,1013802,1591587,1723979,1.06,1647151,2246390
Gujarat,Sabarkantha,2020,659360,627672,2477322,1.17,1438909,1878476
Gujarat,Sabarkantha,2021,4383719,995955,1426181,1.0,973645,552721
Gujarat,Sabarkantha,2022,4901439,2402512,391442,3.11,721839,1496627
Gujarat,Sabarkantha,2023,866394,2317287,900855,3.5,1008569,1083340
Gujarat,Sabarkantha,2024,4629012,867474,271848,1.81,1482480,47568
Gujarat,Sabarkantha,2025,4122916,1405612,500255,3.0,27057,440737
Gujarat,Surat,2015,933374,2355517,1080265,2.72,563701,2895132
Gujarat,Surat,2016,3897019,2320423,1249255,0.63,1304102,340602
Gujarat,Surat,2017,3925199,668293,155872,1.12,77645,474307
Gujarat,Surat,2018,1074713,799413,2438747,2.87,1369348,2789460
Gujarat,Surat,2019,2685466,854375,1340759,0.52,1872577,2577663
Gujarat,Surat,2020,1226796,1085677,1149736,2.26,977664,2005936
Gujarat,Surat,2021,799937,2419844,1003505,0.6,1431275,1335920
Gujarat,Surat,2022,1685755,1564741,2392224,1.75,218294,1614053
Gujarat,Surat,2023,2771356,486543,620514,2.87,701869,2983550
Gujarat,Surat,2024,4298399,2422283,993951,3.15,1226182,2193069
Gujarat,Surat,2025,96045,1849200,1025192,2.06,643519,1205666
Gujarat,Surendranagar,2015,2092039,1404118,128147,2.48,1464786,97403
Gujarat,Surendranagar,2016,3420302,2297643,1349925,2.07,52779,1895766
Gujarat,Surendranagar,2017,2642047,1510408,1557633,0.78,525991,454441
Gujarat,Surendranagar,2018,2577098,1006887,325244,1.91,1086305,2493225
Gujarat,Surendranagar,2019,1436539,2220612,2068308,1.23,1880138,65097
Gujarat,Surendranagar,2020,1779154,1203891,1834872,2.12,1338596,1506403
Gujarat,Surendranagar,2021,4520638,622166,113082,1.03,1266840,961674
Gujarat,Surendranagar,2022,1628047,1811091,2076705,2.07,336743,1805619
Gujarat,Surendranagar,2023,274487,1079861,2147525,1.38,147968,717119
Gujarat,Surendranagar,2024,3234657,1584810,841967,2.8,1713429,1124230
Gujarat,Surendranagar,2025,4072220,847831,1953339,1.91,300352,2106811
Gujarat,Tapi,2015,1807923,510564,25116,3.43,1605328,2052439
Gujarat,Tapi,2016,4226250,204527,1088549,3.48,122222,1668002
Gujarat,Tapi,2017,2248514,1173951,1335591,1.42,1256625,1595319
Gujarat,Tapi,2018,2476314,642140,926639,2.0,1341618,1189590
Gujarat,Tapi,2019,1279634,1333108,925387,3.09,93962,407071
Gujarat,Tapi,2020,2892068,2288100,1310414,3.13,253763,120283
Gujarat,Tapi,2021,241942,1490371,1631893,2.12,989697,1632536
Gujarat,Tapi,2022,1502780,968740,1545479,3.23,1765388,2971903
Gujarat,Tapi,2023,3698727,518047,1531509,2.89,1920825,409390
Gujarat,Tapi,2024,4854437,1061484,1329578,1.4,1543858,1334847
Gujarat,Tapi,2025,4858290,1847945,262179,3.38,288883,2426532
Gujarat,Vadodara,2015,2966284,804257,2496299,2.75,1404666,1299678
Gujarat,Vadodara,2016,1012481,667478,897172,2.62,1581602,2384467
Gujarat,Vadodara,2017,3733562,2241507,447536,1.13,1965905,167948
Gujarat,Vadodara,2018,586999,2245168,2218660,0.85,1802646,2043008
Gujarat,Vadodara,2019,3104832,1717683,1950398,3.2,1145997,954434
Gujarat,Vadodara,2020,3050420,1056996,2013678,2.54,370715,2638093
Gujarat,Vadodara,2021,824325,1803018,941674,2.88,910777,1049267
Gujarat,Vadodara,2022,3469311,2437791,219664,1.95,1605062,1509728
Gujarat,Vadodara,2023,2784235,1295087,1950802,1.53,74559,2837078
Gujarat,Vadodara,2024,3643281,460251,1932495,2.34,784513,2368288
Gujarat,Vadodara,2025,485845,1294413,806675,3.36,807440,1517099
Gujarat,Valsad,2015,1685997,2070273,662041,3.4,629466,865117
Gujarat,Valsad,2016,4794758,276001,2400181,0.8,1402602,368592
Gujarat,Valsad,2017,644243,1692075,1581888,1.53,263842,872368
Gujarat,Valsad,2018,3849703,479883,1424371,0.72,1244444,771021
Gujarat,Valsad,2019,3921126,146002,487062,2.37,1976042,1356093
Gujarat,Valsad,2020,4891133,920354,1740915,3.05,1163499,1571950
Gujarat,Valsad,2021,1701793,137417,1168379,3.13,1137614,37823
Gujarat,Valsad,2022,2669029,1164114,761391,0.79,1381426,2764050
Gujarat,Valsad,2023,731834,1764838,437567,3.36,922469,614990
Gujarat,Valsad,2024,3406296,673276,2181741,1.64,1225220,511657
Gujarat,Valsad,2025,163658,904969,1431187,3.21,408842,1068996
Haryana,Ambala,2015,4297328,1360878,393301,0.85,376836,306899
Haryana,Ambala,2016,1605186,2420177,1457066,2.06,1048573,131215
Haryana,Ambala,2017,4335531,2265611,464456,1.22,1718903,1537241
Haryana,Ambala,2018,3392275,1134992,1292897,1.62,401179,1573863
Haryana,Ambala,2019,4505798,1777012,1664780,1.41,1937948,1714873
Haryana,Ambala,2020,4419162,1430385,1607018,1.73,1494728,1021466
Haryana,Ambala,2021,2156545,2321693,2358659,0.56,656090,1069711
Haryana,Ambala,2022,741466,979416,2496171,1.21,1825636,1912094
Haryana,Ambala,2023,2240984,357239,677177,0.68,688917,161319
Haryana,Ambala,2024,4758355,499773,1704624,2.36,1105043,1822405
Haryana,Ambala,2025,3750547,1436346,1590064,2.2,1341971,2658107
Haryana,Bhiwani,2015,4975021,928710,424199,1.56,1224191,1140579
Haryana,Bhiwani,2016,983067,2286485,758832,1.59,889959,380354
Haryana,Bhiwani,2017,2809387,304608,2216199,1.8,611290,2325855
Haryana,Bhiwani,2018,3593144,915901,648159,2.47,1807838,248089
Haryana,Bhiwani,2019,3645587,795298,1982225,0.93,394999,1084669
Haryana,Bhiwani,2020,3545094,1432409,1026499,1.67,1800748,2663068
Haryana,Bhiwani,2021,3137276,2371113,1836325,3.38,297554,1869991
Haryana,Bhiwani,2022,3641246,793627,2437781,3.05,152208,2133938
Haryana,Bhiwani,2023,4447912,920870,1896064,2.62,277609,1766034
Haryana,Bhiwani,2024,4551574,2384564,375275,1.42,1232674,106101
Haryana,Bhiwani,2025,1692368,1981704,1529150,2.51,621768,2805528
Haryana,Charkhi Dadri,2015,3400861,988831,155770,1.73,1697971,1914208
Haryana,Charkhi Dadri,2016,4741237,1776630,610925,1.66,1346073,775831
Haryana,Charkhi Dadri,2017,4802215,2373400,580654,1.89,982452,141033
Haryana,Charkhi Dadri,2018,2217265,1202070,653643,1.53,909204,136045
Haryana,Charkhi Dadri,2019,4978262,2474609,2329962,2.77,1922933,2498720
Haryana,Charkhi Dadri,2020,2113123,2370641,1204048,2.49,149752,408660
Haryana,Charkhi Dadri,2021,4747097,353247,1315300,3.21,758934,2432167
Haryana,Charkhi Dadri,2022,4216301,647402,330034,1.45,1038969,759989
Haryana,Charkhi Dadri,2023,211218,1603539,32879,3.23,1386966,2480864
Haryana,Charkhi Dadri,2024,2455708,1556609,2383962,2.46,723875,1368138
Haryana,Charkhi Dadri,2025,384645,1725488,1335231,1.33,1658775,1569291
Haryana,Faridabad,2015,3904006,635190,884805,0.85,1783255,1029586
Haryana,Faridabad,2016,3028265,206743,533229,0.72,493897,1955995
Haryana,Faridabad,2017,3121925,2253230,1038398,1.34,375069,1496649
Haryana,Faridabad,2018,1194995,569547,1881268,2.82,1239076,1975923
Haryana,Faridabad,2019,2248000,1311024,1850344,1.38,1809397,747881
Haryana,Faridabad,2020,248943,980648,125751,1.15,883278,1599309
Haryana,Faridabad,2021,2025684,1848828,2176526,1.2,423962,2301767
Haryana,Faridabad,2022,2145286,1099490,2180191,3.21,199804,2323017
Haryana,Faridabad,2023,1794442,1714169,196314,1.3,1496591,479185
Haryana,Faridabad,2024,1158200,2022071,481609,1.99,1019467,937239
Haryana,Faridabad,2025,1895888,414008,2483315,1.8,572669,1440033
Haryana,Fatehabad,2015,2275417,1570685,1287139,3.1,1938226,2224219
Haryana,Fatehabad,2016,2193477,1437564,2391316,1.05,850565,2719163
Haryana,Fatehabad,2017,2183062,1586183,2029606,0.65,260888,2345788
Haryana,Fatehabad,2018,4632417,344592,1854765,1.57,1331773,1240628
Haryana,Fatehabad,2019,426157,268272,95572,0.51,1812752,493763
Haryana,Fatehabad,2020,2778641,1494447,542743,2.65,1061357,554670
Haryana,Fatehabad,2021,1940931,2282681,2201860,0.53,157688,1377802
Haryana,Fatehabad,2022,3073728,954996,636387,1.35,1906719,489733
Haryana,Fatehabad,2023,3345085,1368616,2093694,3.4,1740579,794088
Haryana,Fatehabad,2024,367518,1128942,2367424,0.67,1673359,175467
Haryana,Fatehabad,2025,4667795,646549,2375801,1.2,68508,1961402
Haryana,Gurugram,2015,727723,53926,1685878,1.08,1611588,934532
Haryana,Gurugram,2016,1086504,1812172,350468,1.4,185900,27088
Haryana,Gurugram,2017,4608204,2298737,1386896,2.32,882772,133137
Haryana,Gurugram,2018,2728770,2454953,1098694,2.29,718331,2983603
Haryana,Gurugram,2019,2309306,2388743,2302656,2.22,1198657,268710
Haryana,Gurugram,2020,3892720,919659,2292716,1.48,552426,290202
Haryana,Gurugram,2021,2204354,2206509,1231798,3.32,516920,2626475
Haryana,Gurugram,2022,898224,737713,474725,2.72,1653415,149312
Haryana,Gurugram,2023,4931254,1423917,403891,2.2,1189379,2441139
Haryana,Gurugram,2024,931896,1983621,2346444,1.08,722889,1191699
Haryana,Gurugram,2025,786065,1244503,2228648,1.01,645814,675192
Haryana,Hisar,2015,1453299,1955766,1812825,1.42,106615,505205
Haryana,Hisar,2016,915294,753144,2385714,1.36,789684,715641
Haryana,Hisar,2017,4721173,2352058,2149453,0.87,56762,1188152
Haryana,Hisar,2018,3502084,386886,826916,2.84,1077580,2992352
Haryana,Hisar,2019,163512,453911,461772,1.22,1583071,1750065
Haryana,Hisar,2020,238387,1969934,867058,2.94,395006,1014005
Haryana,Hisar,2021,3402109,93250,1738105,3.45,1192213,106286
Haryana,Hisar,2022,1229266,1929384,1140111,2.09,1597184,2116289
Haryana,Hisar,2023,4607097,791450,926545,2.19,453087,1216088
Haryana,Hisar,2024,3047513,1938570,2125848,0.9,1397891,2575945
Haryana,Hisar,2025,2201566,1489615,1887319,0.84,254429,2105348
Haryana,Jhajjar,2015,697366,2314403,25214,2.87,1028943,1157561
Haryana,Jhajjar,2016,1902681,1634357,1490762,2.3,796956,22657
Haryana,Jhajjar,2017,3831875,600041,1468790,1.69,371174,2110629
Haryana,Jhajjar,2018,3992815,1780214,810733,3.49,171022,2358894
Haryana,Jhajjar,2019,3537538,449156,836915,1.69,1943829,1176522
Haryana,Jhajjar,2020,2005047,482110,2125592,2.11,199439,1827112
Haryana,Jhajjar,2021,3493747,1065325,2472934,3.47,272903,204765
Haryana,Jhajjar,2022,3499397,451349,2462989,1.75,1086227,2225421
Haryana,Jhajjar,2023,1445120,572303,823294,1.46,1106885,2837929
Haryana,Jhajjar,2024,2812678,1022330,169196,3.1,1086244,1434299
Haryana,Jhajjar,2025,2475003,324123,381984,0.79,286933,1863715
Haryana,Jind,2015,1759475,2348239,894008,0.6,1121649,1625105
Haryana,Jind,2016,4085258,99576,2206322,1.5,1294033,1384229
Haryana,Jind,2017,4475658,404954,982476,2.1,970128,285235
Haryana,Jind,2018,4461162,2168287,241164,2.19,1864968,432747
Haryana,Jind,2019,1910532,1489488,1479676,3.39,1677086,851532
Haryana,Jind,2020,1315785,1115682,2325983,2.99,1017051,1943152
Haryana,Jind,2021,1336207,2241620,1066584,0.83,1224571,130824
Haryana,Jind,2022,1327301,1550642,1189149,1.36,1978700,230309
Haryana,Jind,2023,224030,233225,2274587,1.33,1592897,967154
Haryana,Jind,2024,3593211,57987,2449229,2.6,428898,1076105
Haryana,Jind,2025,2992820,1755707,2452494,2.02,1607057,2819690
Haryana,Kaithal,2015,915790,1387381,2306911,2.57,989157,549179
Haryana,Kaithal,2016,3628555,488352,2114297,2.85,1028503,2594043
Haryana,Kaithal,2017,2829227,1735188,1203026,3.26,1587372,178717
Haryana,Kaithal,2018,2994184,1103343,550280,3.01,82505,1600470
Haryana,Kaithal,2019,3188728,1680126,1299312,3.44,174212,1431540
Haryana,Kaithal,2020,1905252,1863732,901793,2.64,1840030,1498316
Haryana,Kaithal,2021,1224398,2141773,1072657,3.03,1953272,739927
Haryana,Kaithal,2022,2191378,1133315,2451064,1.27,1178253,441886
Haryana,Kaithal,2023,595102,1298959,664205,1.13,698097,1264898
Haryana,Kaithal,2024,2391335,501364,786493,0.94,268550,724753
Haryana,Kaithal,2025,908641,692300,721802,1.9,276831,1477515
Haryana,Karnal,2015,4134020,2476076,2367451,2.46,657869,2171898
Haryana,Karnal,2016,1780273,1522167,208308,2.79,1349303,2658117
Haryana,Karnal,2017,1050262,1837405,756590,2.88,749566,1749509
Haryana,Karnal,2018,2893613,2278568,1439897,0.75,1993815,866356
Haryana,Karnal,2019,1962002,1600025,2241658,1.23,1264851,1488904
Haryana,Karnal,2020,2852557,2212016,1323821,2.11,184335,1948389
Haryana,Karnal,2021,2890569,1938908,2445664,2.17,1687425,673008
Haryana,Karnal,2022,1239611,2248417,1416497,1.76,114326,2798396
Haryana,Karnal,2023,3313484,360780,1940467,1.97,1033747,1978720
Haryana,Karnal,2024,1127244,2362636,2434324,1.42,1406426,1009926
Haryana,Karnal,2025,2756310,496725,1672690,2.71,925699,1474674
Haryana,Kurukshetra,2015,666356,2097618,1688434,1.99,1280511,494927
Haryana,Kurukshetra,2016,3703859,522808,1211407,1.07,713811,2582908
Haryana,Kurukshetra,2017,4483185,1038720,397399,0.63,121883,1119809
Haryana,Kurukshetra,2018,4975731,1095576,2387672,3.35,995343,1351232
Haryana,Kurukshetra,2019,1502341,2391975,2334633,3.04,739864,246231
Haryana,Kurukshetra,2020,3757654,1082817,798950,3.28,1256250,2939085
Haryana,Kurukshetra,2021,1477648,2244534,2193144,2.71,835528,1013058
Haryana,Kurukshetra,2022,2238067,1791761,496382,1.46,317898,2707618
Haryana,Kurukshetra,2023,3611126,1509574,930597,2.8,1710236,2677575
Haryana,Kurukshetra,2024,4858491,1129063,1593836,3.26,1668472,673743
Haryana,Kurukshetra,2025,4127992,745847,1729036,1.72,1981790,877937
Haryana,Mahendragarh,2015,940678,1410594,1654125,1.38,1724570,424335
Haryana,Mahendragarh,2016,1892049,185567,2378988,3.46,1070725,2603145
Haryana,Mahendragarh,2017,925236,1038620,303631,2.95,1523925,68093
Haryana,Mahendragarh,2018,4935373,343446,2205161,2.79,643047,2992144
Haryana,Mahendragarh,2019,2914302,2100280,2001594,3.46,1908852,248632
Haryana,Mahendragarh,2020,4581884,617375,881795,0.77,1526098,1109138
Haryana,Mahendragarh,2021,2351124,747639,1120935,1.01,911928,1980379
Haryana,Mahendragarh,2022,518489,631513,201418,1.22,144985,1499678
Haryana,Mahendragarh,2023,226539,1705346,2211359,3.43,1102514,293433
Haryana,Mahendragarh,2024,1958167,2229847,1999269,1.81,273056,1151612
Haryana,Mahendragarh,2025,988842,1538155,997727,2.74,962532,1806206
Haryana,Nuh,2015,1060578,1567920,409237,3.32,842475,1820301
Haryana,Nuh,2016,1113470,93806,876201,3.04,1392129,1293768
Haryana,Nuh,2017,429131,427125,1157690,1.51,360483,863038
Haryana,Nuh,2018,233411,1486172,2360631,1.81,355728,1171821
Haryana,Nuh,2019,3909622,1215744,1011444,2.45,684737,2175726
Haryana,Nuh,2020,825778,1136385,1870356,0.86,735029,54110
Haryana,Nuh,2021,660159,2081836,2331564,2.24,916393,262582
Haryana,Nuh,2022,3524342,1664187,440619,1.24,56703,1552076
Haryana,Nuh,2023,2890465,1946241,2312503,1.18,1171948,2318648
Haryana,Nuh,2024,1886154,309883,1829888,0.99,991282,1338821
Haryana,Nuh,2025,116916,357405,2434848,2.57,1609647,2007999
Haryana,Palwal,2015,1145388,112627,1159520,2.85,711276,1278921
Haryana,Palwal,2016,1782794,1684512,624683,0.5,1311398,1596170
Haryana,Palwal,2017,3510579,869195,1639548,2.72,861252,1519709
Haryana,Palwal,2018,3029681,679872,1582016,1.46,1094369,754391
Haryana,Palwal,2019,2669411,1741596,1159045,2.45,1053173,1517413
Haryana,Palwal,2020,333368,665436,394551,2.73,525596,301032
Haryana,Palwal,2021,4788899,2460141,1104244,2.01,818114,1027931
Haryana,Palwal,2022,492849,187888,947908,2.35,1992520,1443547
Haryana,Palwal,2023,2155885,61561,281134,0.98,1642291,1400019
Haryana,Palwal,2024,2677035,1849067,729505,1.16,418286,2703806
Haryana,Palwal,2025,2434940,2317753,227858,3.13,1817874,1101716
Haryana,Panchkula,2015,4907561,1610266,1006598,3.33,1662024,2130962
Haryana,Panchkula,2016,3519532,465176,1407078,1.75,1852783,1161914
