state,district,year,road_length_km,railway_stations,buses_operating,registered_vehicles,airports_nearby
Bihar,Kishanganj,2020,6446,27,1969,558710,2
Bihar,Kishanganj,2021,6866,13,1611,1823518,0
Bihar,Kishanganj,2022,7587,9,276,1555660,3
Bihar,Kishanganj,2023,8244,23,296,1210208,3
Bihar,Kishanganj,2024,9143,26,378,1880698,2
Bihar,Kishanganj,2025,3732,45,255,1795714,0
Bihar,Lakhisarai,2015,4685,42,449,678993,0
Bihar,Lakhisarai,2016,4766,19,1327,1805647,2
Bihar,Lakhisarai,2017,319,21,293,1356922,2
Bihar,Lakhisarai,2018,5994,7,782,1775812,3
Bihar,Lakhisarai,2019,4370,28,832,1831645,2
Bihar,Lakhisarai,2020,7654,28,993,1848829,0
Bihar,Lakhisarai,2021,9528,4,1592,800120,3
Bihar,Lakhisarai,2022,5316,1,1889,928232,0
Bihar,Lakhisarai,2023,9193,47,215,388851,1
Bihar,Lakhisarai,2024,9645,13,1043,721141,1
Bihar,Lakhisarai,2025,1313,25,553,1076739,0
Bihar,Madhepura,2015,1286,43,438,978395,3
Bihar,Madhepura,2016,4085,9,1898,23374,0
Bihar,Madhepura,2017,7858,48,1292,1697605,3
Bihar,Madhepura,2018,1484,17,188,1887742,3
Bihar,Madhepura,2019,1019,44,1957,1633879,3
Bihar,Madhepura,2020,2435,17,714,1436289,2
Bihar,Madhepura,2021,369,49,369,933983,2
Bihar,Madhepura,2022,5511,24,922,448215,0
Bihar,Madhepura,2023,1390,28,1373,57485,0
Bihar,Madhepura,2024,5265,15,585,1251411,3
Bihar,Madhepura,2025,8304,42,91,537841,2
Bihar,Madhubani,2015,4604,30,343,1096169,2
Bihar,Madhubani,2016,4682,26,120,32614,0
Bihar,Madhubani,2017,2339,34,1514,1136626,0
Bihar,Madhubani,2018,7384,1,1089,49580,3
Bihar,Madhubani,2019,7236,32,1757,1254857,1
Bihar,Madhubani,2020,6334,48,210,661156,1
Bihar,Madhubani,2021,3237,17,1886,794171,0
Bihar,Madhubani,2022,7915,18,1017,1767227,3
Bihar,Madhubani,2023,7414,42,59,451662,1
Bihar,Madhubani,2024,8567,17,1548,814892,1
Bihar,Madhubani,2025,9025,37,1790,84759,3
Bihar,Munger,2015,7089,35,651,1369330,3
Bihar,Munger,2016,6157,46,1788,1974227,1
Bihar,Munger,2017,3560,32,1602,1777705,3
Bihar,Munger,2018,4498,19,1153,1165416,0
Bihar,Munger,2019,6441,32,1783,1606371,2
Bihar,Munger,2020,4537,36,1736,1722629,3
Bihar,Munger,2021,8905,20,1439,786528,3
Bihar,Munger,2022,306,12,118,505242,2
Bihar,Munger,2023,9920,44,1341,75271,1
Bihar,Munger,2024,318,14,1278,738794,2
Bihar,Munger,2025,3931,18,562,930512,1
Bihar,Muzaffarpur,2015,4293,12,1604,980870,3
Bihar,Muzaffarpur,2016,1328,46,975,132676,1
Bihar,Muzaffarpur,2017,2114,30,1635,361616,1
Bihar,Muzaffarpur,2018,9829,50,513,1596192,2
Bihar,Muzaffarpur,2019,9622,38,193,1792863,2
Bihar,Muzaffarpur,2020,3089,16,1606,1434027,0
Bihar,Muzaffarpur,2021,1960,44,1290,370670,3
Bihar,Muzaffarpur,2022,9075,31,927,1749109,0
Bihar,Muzaffarpur,2023,1780,36,774,975146,2
Bihar,Muzaffarpur,2024,2604,16,1005,1077934,2
Bihar,Muzaffarpur,2025,6682,36,1093,1717792,1
Bihar,Nalanda,2015,4551,20,1596,748294,0
Bihar,Nalanda,2016,871,18,340,981218,1
Bihar,Nalanda,2017,3210,13,1667,1299530,1
Bihar,Nalanda,2018,7257,16,1477,564193,1
Bihar,Nalanda,2019,6714,22,1427,1312156,3
Bihar,Nalanda,2020,2016,19,567,132994,0
Bihar,Nalanda,2021,8571,5,1199,1642848,2
Bihar,Nalanda,2022,1216,48,728,502398,3
Bihar,Nalanda,2023,9930,47,1608,315923,1
Bihar,Nalanda,2024,6192,7,272,497902,2
Bihar,Nalanda,2025,4180,1,905,138701,2
Bihar,Nawada,2015,7893,37,1096,1148698,2
Bihar,Nawada,2016,4769,8,1449,894036,2
Bihar,Nawada,2017,1349,16,453,1887242,3
Bihar,Nawada,2018,851,18,1096,1971486,0
Bihar,Nawada,2019,4348,9,1282,1477332,3
Bihar,Nawada,2020,2116,36,635,1814002,3
Bihar,Nawada,2021,4664,49,815,737634,2
Bihar,Nawada,2022,7214,9,774,1152020,3
Bihar,Nawada,2023,2095,4,882,376105,2
Bihar,Nawada,2024,854,43,1882,1267822,2
Bihar,Nawada,2025,5629,30,913,217413,1
Bihar,Patna,2015,6864,35,1934,510491,1
Bihar,Patna,2016,7323,22,363,1250189,2
Bihar,Patna,2017,6637,41,1580,1458092,2
Bihar,Patna,2018,3232,38,701,671358,3
Bihar,Patna,2019,2366,48,761,64196,3
Bihar,Patna,2020,1135,7,1537,758308,0
Bihar,Patna,2021,5492,32,766,952345,1
Bihar,Patna,2022,6853,38,103,72020,3
Bihar,Patna,2023,2839,22,442,330711,0
Bihar,Patna,2024,7510,10,1800,525430,3
Bihar,Patna,2025,6909,11,335,1486863,2
Bihar,Purnia,2015,9256,30,1345,1980552,3
Bihar,Purnia,2016,9156,50,1386,1918635,3
Bihar,Purnia,2017,1711,31,1445,1806049,2
Bihar,Purnia,2018,4318,34,1215,978579,0
Bihar,Purnia,2019,3948,37,327,517721,2
Bihar,Purnia,2020,6973,8,614,1826287,2
Bihar,Purnia,2021,437,17,1476,709841,2
Bihar,Purnia,2022,1039,37,459,150299,0
Bihar,Purnia,2023,828,5,1429,1852269,0
Bihar,Purnia,2024,7614,48,612,177581,2
Bihar,Purnia,2025,3945,15,715,754929,2
Bihar,Rohtas,2015,6727,45,678,1586635,2
Bihar,Rohtas,2016,1804,13,1979,1624163,0
Bihar,Rohtas,2017,2501,48,1111,1307399,1
Bihar,Rohtas,2018,2990,34,1469,221886,2
Bihar,Rohtas,2019,4218,9,659,1959315,3
Bihar,Rohtas,2020,8032,31,890,229047,2
Bihar,Rohtas,2021,348,14,518,351173,0
Bihar,Rohtas,2022,8330,29,1104,906422,3
Bihar,Rohtas,2023,1333,46,723,1522546,3
Bihar,Rohtas,2024,7355,50,531,1813921,2
Bihar,Rohtas,2025,8702,19,464,1321914,1
Bihar,Saharsa,2015,9158,24,1424,1905787,0
Bihar,Saharsa,2016,8132,21,250,64553,0
Bihar,Saharsa,2017,6511,22,531,1546498,2
Bihar,Saharsa,2018,8878,29,642,1466117,1
Bihar,Saharsa,2019,509,33,855,312481,3
Bihar,Saharsa,2020,4965,4,1727,1065743,0
Bihar,Saharsa,2021,4657,21,555,1612025,3
Bihar,Saharsa,2022,7236,6,464,1599222,1
Bihar,Saharsa,2023,7632,20,421,736398,0
Bihar,Saharsa,2024,505,45,1923,581799,3
Bihar,Saharsa,2025,3777,48,423,107566,3
Bihar,Samastipur,2015,2540,46,708,785239,2
Bihar,Samastipur,2016,5689,40,109,702239,1
Bihar,Samastipur,2017,347,30,1929,1226233,2
Bihar,Samastipur,2018,7329,39,1910,234576,2
Bihar,Samastipur,2019,1006,18,572,1224643,0
Bihar,Samastipur,2020,6028,28,1754,1123631,2
Bihar,Samastipur,2021,6910,5,109,18843,3
Bihar,Samastipur,2022,2015,47,1805,496180,1
Bihar,Samastipur,2023,9428,21,1878,903166,0
Bihar,Samastipur,2024,7912,46,1904,140278,3
Bihar,Samastipur,2025,9676,38,964,1358932,3
Bihar,Saran,2015,1447,30,921,150951,0
Bihar,Saran,2016,9094,10,1202,689172,2
Bihar,Saran,2017,9314,39,473,135709,3
Bihar,Saran,2018,2246,47,1739,108538,3
Bihar,Saran,2019,4389,5,624,1010235,1
Bihar,Saran,2020,7241,26,1234,1391210,3
Bihar,Saran,2021,6942,25,1635,906376,1
Bihar,Saran,2022,7660,40,348,1469357,2
Bihar,Saran,2023,3840,9,1864,643598,1
Bihar,Saran,2024,9016,27,1251,1544961,2
Bihar,Saran,2025,3760,47,395,1819914,2
Bihar,Sheikhpura,2015,273,36,1107,824597,3
Bihar,Sheikhpura,2016,7480,33,1673,407221,3
Bihar,Sheikhpura,2017,4223,18,1879,1122526,0
Bihar,Sheikhpura,2018,6494,23,715,521536,3
Bihar,Sheikhpura,2019,6099,37,753,403155,0
Bihar,Sheikhpura,2020,6719,24,486,1584694,3
Bihar,Sheikhpura,2021,5409,11,813,1093368,3
Bihar,Sheikhpura,2022,8237,27,468,1522834,0
Bihar,Sheikhpura,2023,6857,35,1277,1512847,2
Bihar,Sheikhpura,2024,5136,37,1686,1365314,1
Bihar,Sheikhpura,2025,7233,25,1540,1794977,3
Bihar,Sheohar,2015,4814,6,1704,498124,1
Bihar,Sheohar,2016,234,36,1432,1232380,0
Bihar,Sheohar,2017,6080,39,1866,717138,2
Bihar,Sheohar,2018,709,41,804,243939,2
Bihar,Sheohar,2019,8926,6,1217,914733,1
Bihar,Sheohar,2020,9356,47,952,1377793,0
Bihar,Sheohar,2021,7475,1,1824,561904,2
Bihar,Sheohar,2022,8085,7,485,198543,1
Bihar,Sheohar,2023,8091,23,1977,1051738,1
Bihar,Sheohar,2024,4719,22,900,612477,1
Bihar,Sheohar,2025,4538,42,1567,888515,0
Bihar,Sitamarhi,2015,8795,15,813,1237625,2
Bihar,Sitamarhi,2016,3895,1,913,103092,1
Bihar,Sitamarhi,2017,8508,10,554,310812,0
Bihar,Sitamarhi,2018,4544,3,255,990996,3
Bihar,Sitamarhi,2019,7919,31,845,13093,2
Bihar,Sitamarhi,2020,1782,10,1051,311262,0
Bihar,Sitamarhi,2021,3091,3,1410,1858869,3
Bihar,Sitamarhi,2022,4380,39,882,614796,2
Bihar,Sitamarhi,2023,5094,13,1989,1050569,2
Bihar,Sitamarhi,2024,5596,9,1478,919801,3
Bihar,Sitamarhi,2025,8602,36,745,1585885,0
Bihar,Siwan,2015,6878,32,394,119540,0
Bihar,Siwan,2016,7378,19,998,418922,0
Bihar,Siwan,2017,5535,28,1856,1108757,0
Bihar,Siwan,2018,9903,42,1069,1007269,2
Bihar,Siwan,2019,8568,3,289,370214,3
Bihar,Siwan,2020,719,36,1603,588235,0
Bihar,Siwan,2021,8326,47,1056,974963,1
Bihar,Siwan,2022,2333,40,1418,1369167,2
Bihar,Siwan,2023,7088,48,961,296215,2
Bihar,Siwan,2024,9523,13,513,1357084,1
Bihar,Siwan,2025,5218,43,1757,530197,2
Bihar,Supaul,2015,6495,42,528,1299294,3
Bihar,Supaul,2016,5782,38,1531,1854625,3
Bihar,Supaul,2017,1862,42,711,1790724,1
Bihar,Supaul,2018,3013,1,307,1161311,0
Bihar,Supaul,2019,5659,41,916,1876507,2
Bihar,Supaul,2020,7505,33,141,1127083,1
Bihar,Supaul,2021,3663,11,1653,1948597,3
Bihar,Supaul,2022,2752,29,1814,1171438,2
Bihar,Supaul,2023,322,40,901,935201,3
Bihar,Supaul,2024,7909,35,1551,1808251,1
Bihar,Supaul,2025,1361,42,963,1499721,2
Bihar,Vaishali,2015,6768,30,101,1408694,2
Bihar,Vaishali,2016,2068,5,961,1389992,3
Bihar,Vaishali,2017,9712,10,234,1878240,1
Bihar,Vaishali,2018,4719,10,279,1155423,2
Bihar,Vaishali,2019,3450,34,1982,1475416,0
Bihar,Vaishali,2020,8237,29,212,1923847,3
Bihar,Vaishali,2021,861,21,755,1143112,1
Bihar,Vaishali,2022,4708,39,1961,1994443,1
Bihar,Vaishali,2023,7532,41,474,1904813,0
Bihar,Vaishali,2024,6294,31,919,1645058,2
Bihar,Vaishali,2025,316,15,800,484482,1
Bihar,West Champaran,2015,6004,46,262,860893,0
Bihar,West Champaran,2016,3343,20,1651,1641905,3
Bihar,West Champaran,2017,4996,33,1104,1175694,3
Bihar,West Champaran,2018,9981,40,1824,502868,0
Bihar,West Champaran,2019,3761,14,300,72911,1
Bihar,West Champaran,2020,1021,9,1183,358327,3
Bihar,West Champaran,2021,9212,11,205,1184935,2
Bihar,West Champaran,2022,7967,12,336,597496,2
Bihar,West Champaran,2023,6882,5,82,1532002,3
Bihar,West Champaran,2024,1112,22,153,680595,3
Bihar,West Champaran,2025,6521,39,1301,895865,0
Chhattisgarh,Balod,2015,1891,13,1406,1875105,2
Chhattisgarh,Balod,2016,9674,26,1773,1746243,2
Chhattisgarh,Balod,2017,3283,2,1648,986948,1
Chhattisgarh,Balod,2018,7333,20,1164,486036,2
Chhattisgarh,Balod,2019,3985,23,1248,1279251,2
Chhattisgarh,Balod,2020,6745,23,1271,798069,3
Chhattisgarh,Balod,2021,1479,22,1201,1346631,3
Chhattisgarh,Balod,2022,1143,45,1808,1135282,3
Chhattisgarh,Balod,2023,9938,36,1217,1272962,3
Chhattisgarh,Balod,2024,3420,38,1739,1961884,1
Chhattisgarh,Balod,2025,872,34,840,1091776,0
Chhattisgarh,Baloda Bazar,2015,871,35,803,299290,3
Chhattisgarh,Baloda Bazar,2016,8105,12,656,1183079,1
Chhattisgarh,Baloda Bazar,2017,6669,21,1547,763483,2
Chhattisgarh,Baloda Bazar,2018,224,13,1963,159748,2
Chhattisgarh,Baloda Bazar,2019,3428,45,1507,1135097,2
Chhattisgarh,Baloda Bazar,2020,4587,8,462,405237,1
Chhattisgarh,Baloda Bazar,2021,5117,14,1833,888014,0
Chhattisgarh,Baloda Bazar,2022,3436,35,1955,238780,2
Chhattisgarh,Baloda Bazar,2023,6241,23,1059,1145501,2
Chhattisgarh,Baloda Bazar,2024,7915,50,1963,1639799,3
Chhattisgarh,Baloda Bazar,2025,6001,29,762,1288556,2
Chhattisgarh,Balrampur,2015,7039,14,485,1440549,3
Chhattisgarh,Balrampur,2016,7180,13,1146,1309324,0
Chhattisgarh,Balrampur,2017,1768,3,425,1614978,3
Chhattisgarh,Balrampur,2018,7687,41,202,348736,2
Chhattisgarh,Balrampur,2019,692,13,332,376292,3
Chhattisgarh,Balrampur,2020,7812,7,1965,174870,1
Chhattisgarh,Balrampur,2021,4755,32,367,1424624,0
Chhattisgarh,Balrampur,2022,5441,33,804,143034,0
Chhattisgarh,Balrampur,2023,4049,30,1616,893771,1
Chhattisgarh,Balrampur,2024,2779,35,791,1288601,3
Chhattisgarh,Balrampur,2025,8588,41,1140,953436,3
Chhattisgarh,Bastar,2015,4401,25,627,825493,3
Chhattisgarh,Bastar,2016,6674,46,1974,803332,2
Chhattisgarh,Bastar,2017,6010,42,127,235387,3
Chhattisgarh,Bastar,2018,5240,33,737,508433,0
Chhattisgarh,Bastar,2019,1273,37,1268,557697,3
Chhattisgarh,Bastar,2020,3199,22,1054,256386,1
Chhattisgarh,Bastar,2021,2509,8,1256,906810,2
Chhattisgarh,Bastar,2022,9777,25,1331,1740306,3
Chhattisgarh,Bastar,2023,3995,20,963,644067,2
Chhattisgarh,Bastar,2024,1479,3,975,344747,0
Chhattisgarh,Bastar,2025,7769,21,675,1526216,0
Chhattisgarh,Bemetara,2015,1040,19,377,946449,0
Chhattisgarh,Bemetara,2016,3735,48,1931,1078669,0
Chhattisgarh,Bemetara,2017,1396,48,1871,977289,0
Chhattisgarh,Bemetara,2018,5011,6,273,1069513,0
Chhattisgarh,Bemetara,2019,6976,16,1340,344813,3
Chhattisgarh,Bemetara,2020,5273,44,697,176813,3
Chhattisgarh,Bemetara,2021,5239,19,1806,1507051,1
Chhattisgarh,Bemetara,2022,8813,29,953,1236405,3
Chhattisgarh,Bemetara,2023,5810,16,1914,1074488,1
Chhattisgarh,Bemetara,2024,1577,8,740,185311,0
Chhattisgarh,Bemetara,2025,1348,4,1364,659973,0
Chhattisgarh,Bijapur,2015,225,10,1914,416452,3
Chhattisgarh,Bijapur,2016,5508,5,61,1788734,0
Chhattisgarh,Bijapur,2017,4086,22,791,1475622,3
Chhattisgarh,Bijapur,2018,8361,42,993,179089,2
Chhattisgarh,Bijapur,2019,863,42,1410,1781937,2
Chhattisgarh,Bijapur,2020,8983,5,1866,1455582,3
Chhattisgarh,Bijapur,2021,485,25,1228,1823042,2
Chhattisgarh,Bijapur,2022,6611,29,1679,678456,0
Chhattisgarh,Bijapur,2023,4751,45,239,1385561,3
Chhattisgarh,Bijapur,2024,7115,30,1621,402062,3
Chhattisgarh,Bijapur,2025,2549,3,88,170317,0
Chhattisgarh,Bilaspur,2015,7063,46,1048,1779308,2
Chhattisgarh,Bilaspur,2016,3569,50,255,1812552,2
Chhattisgarh,Bilaspur,2017,8908,50,1029,1258731,2
Chhattisgarh,Bilaspur,2018,6014,29,1361,1322337,2
Chhattisgarh,Bilaspur,2019,8789,12,1167,147234,2
Chhattisgarh,Bilaspur,2020,7541,16,1189,437971,1
Chhattisgarh,Bilaspur,2021,272,45,630,1502936,2
Chhattisgarh,Bilaspur,2022,4697,23,1919,204888,1
Chhattisgarh,Bilaspur,2023,5392,28,598,1591940,2
Chhattisgarh,Bilaspur,2024,8250,15,1786,527927,3
Chhattisgarh,Bilaspur,2025,6915,42,382,44710,0
Chhattisgarh,Dantewada,2015,7525,50,314,1621589,2
Chhattisgarh,Dantewada,2016,8256,15,989,430766,3
Chhattisgarh,Dantewada,2017,3244,3,1659,1883040,2
Chhattisgarh,Dantewada,2018,6287,11,1852,1451358,1
Chhattisgarh,Dantewada,2019,368,35,239,1112013,2
Chhattisgarh,Dantewada,2020,6517,24,1520,1552538,0
Chhattisgarh,Dantewada,2021,6220,32,523,538136,2
Chhattisgarh,Dantewada,2022,1536,40,1129,233471,2
Chhattisgarh,Dantewada,2023,8123,40,185,1224123,1
Chhattisgarh,Dantewada,2024,6857,31,1314,302977,3
Chhattisgarh,Dantewada,2025,9470,10,1141,655140,3
Chhattisgarh,Dhamtari,2015,1619,45,482,381814,2
Chhattisgarh,Dhamtari,2016,1523,10,398,1231326,0
Chhattisgarh,Dhamtari,2017,2429,2,796,918872,3
Chhattisgarh,Dhamtari,2018,7209,38,1737,872554,1
Chhattisgarh,Dhamtari,2019,7616,26,1245,652941,1
Chhattisgarh,Dhamtari,2020,1836,44,962,1400447,3
Chhattisgarh,Dhamtari,2021,6446,46,1630,798295,2
Chhattisgarh,Dhamtari,2022,7333,32,382,426482,0
Chhattisgarh,Dhamtari,2023,9030,34,626,1692748,1
Chhattisgarh,Dhamtari,2024,7051,3,1107,1534167,1
Chhattisgarh,Dhamtari,2025,475,4,449,1352800,2
Chhattisgarh,Durg,2015,4554,28,1664,881419,2
Chhattisgarh,Durg,2016,5438,30,611,107435,2
Chhattisgarh,Durg,2017,4581,30,1145,98621,3
Chhattisgarh,Durg,2018,8831,24,848,1824383,3
Chhattisgarh,Durg,2019,5279,1,1349,1226519,1
Chhattisgarh,Durg,2020,1792,34,1992,445276,3
Chhattisgarh,Durg,2021,5579,13,1558,1910785,1
Chhattisgarh,Durg,2022,7402,28,692,1624136,2
Chhattisgarh,Durg,2023,3180,8,797,1379365,1
Chhattisgarh,Durg,2024,8916,32,743,555579,3
Chhattisgarh,Durg,2025,8298,26,1239,1491197,1
Chhattisgarh,Gariaband,2015,5758,8,1530,1150530,0
Chhattisgarh,Gariaband,2016,1597,9,1953,1419154,3
Chhattisgarh,Gariaband,2017,5361,38,466,1716093,1
Chhattisgarh,Gariaband,2018,3545,26,303,1918660,3
Chhattisgarh,Gariaband,2019,2317,35,1561,1734506,0
Chhattisgarh,Gariaband,2020,7983,31,1502,1197600,3
Chhattisgarh,Gariaband,2021,9460,48,711,833754,3
Chhattisgarh,Gariaband,2022,6025,8,294,1943946,3
Chhattisgarh,Gariaband,2023,5245,21,325,1425819,1
Chhattisgarh,Gariaband,2024,9273,38,1471,1169623,2
Chhattisgarh,Gariaband,2025,1819,9,940,707299,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,7656,50,996,1802920,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,9361,6,1436,1859655,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2017,7046,25,595,1046836,2
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,9519,36,1447,193679,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,585,32,233,1127641,2
Chhattisgarh,Gaurela-Pendra-Marwahi,2020,8094,42,485,786952,2
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,7930,28,552,937141,1
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,2481,25,1416,1866204,2
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,4729,13,434,944511,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,6661,1,1687,685857,3
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,6820,16,248,167773,1
Chhattisgarh,Janjgir-Champa,2015,1726,21,648,368318,2
Chhattisgarh,Janjgir-Champa,2016,5925,42,153,1248121,1
Chhattisgarh,Janjgir-Champa,2017,7642,48,982,65560,3
Chhattisgarh,Janjgir-Champa,2018,2221,50,318,999217,3
Chhattisgarh,Janjgir-Champa,2019,2968,7,1829,1425507,2
Chhattisgarh,Janjgir-Champa,2020,4262,17,501,1541697,3
Chhattisgarh,Janjgir-Champa,2021,3542,29,886,348821,3
Chhattisgarh,Janjgir-Champa,2022,4454,31,828,1670816,0
Chhattisgarh,Janjgir-Champa,2023,3033,16,730,867162,1
Chhattisgarh,Janjgir-Champa,2024,5861,7,234,625703,0
Chhattisgarh,Janjgir-Champa,2025,5029,46,956,1600081,2
Chhattisgarh,Jashpur,2015,1840,27,1998,283160,3
Chhattisgarh,Jashpur,2016,1577,33,1017,1835964,3
Chhattisgarh,Jashpur,2017,7089,8,1338,1761822,0
Chhattisgarh,Jashpur,2018,9903,40,1157,908730,2
Chhattisgarh,Jashpur,2019,6944,36,115,229924,2
Chhattisgarh,Jashpur,2020,7160,38,549,894456,1
Chhattisgarh,Jashpur,2021,6211,50,470,1243882,2
Chhattisgarh,Jashpur,2022,3482,27,1053,931712,1
Chhattisgarh,Jashpur,2023,5789,34,422,249051,1
Chhattisgarh,Jashpur,2024,7448,48,1025,798354,0
Chhattisgarh,Jashpur,2025,8080,21,955,140900,1
Chhattisgarh,Kabirdham,2015,7634,35,389,430950,0
Chhattisgarh,Kabirdham,2016,2819,7,664,317572,1
Chhattisgarh,Kabirdham,2017,5945,2,1765,1082604,0
Chhattisgarh,Kabirdham,2018,5068,45,1283,1497716,3
Chhattisgarh,Kabirdham,2019,8117,46,218,1704581,0
Chhattisgarh,Kabirdham,2020,726,16,367,454894,2
Chhattisgarh,Kabirdham,2021,8984,40,1717,443335,0
Chhattisgarh,Kabirdham,2022,577,12,1946,1530948,3
Chhattisgarh,Kabirdham,2023,6960,19,895,1802232,1
Chhattisgarh,Kabirdham,2024,2889,40,1952,1556681,2
Chhattisgarh,Kabirdham,2025,5600,8,1043,1114835,2
Chhattisgarh,Kanker,2015,2319,6,1594,1526392,2
Chhattisgarh,Kanker,2016,7184,39,265,1537319,3
Chhattisgarh,Kanker,2017,3893,45,1273,1191098,2
Chhattisgarh,Kanker,2018,6038,3,559,1904098,2
Chhattisgarh,Kanker,2019,4755,32,1520,1593366,0
Chhattisgarh,Kanker,2020,2832,44,693,998932,3
Chhattisgarh,Kanker,2021,2349,12,1997,314610,0
Chhattisgarh,Kanker,2022,5694,10,114,470744,3
Chhattisgarh,Kanker,2023,1958,29,103,1359165,0
Chhattisgarh,Kanker,2024,5176,9,602,657544,1
Chhattisgarh,Kanker,2025,4093,35,598,1215535,3
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,7805,12,1620,891924,1
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2016,502,27,1243,1644339,0
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2017,9836,27,1510,444012,2
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2018,8813,8,970,572375,2
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,242,1,248,17492,2
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2020,2253,46,1720,1358992,0
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,6037,20,1447,1417558,2
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,9241,23,288,768720,0
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2023,9961,18,1466,1690030,3
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2024,303,14,1514,598500,1
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,6118,23,1267,127818,2
Chhattisgarh,Kondagaon,2015,1740,29,1661,800609,0
Chhattisgarh,Kondagaon,2016,4449,30,327,1812182,0
Chhattisgarh,Kondagaon,2017,965,26,1652,1241810,1
Chhattisgarh,Kondagaon,2018,841,39,1913,1719917,2
Chhattisgarh,Kondagaon,2019,6792,19,1632,1832155,3
Chhattisgarh,Kondagaon,2020,6291,50,1354,208230,2
Chhattisgarh,Kondagaon,2021,6063,45,1904,854254,0
Chhattisgarh,Kondagaon,2022,6005,38,1345,1193383,0
Chhattisgarh,Kondagaon,2023,3675,28,1744,1755738,3
Chhattisgarh,Kondagaon,2024,1481,47,1236,1629355,0
Chhattisgarh,Kondagaon,2025,8007,9,705,111878,3
Chhattisgarh,Korba,2015,8743,47,659,848946,0
Chhattisgarh,Korba,2016,9837,16,832,1304493,3
Chhattisgarh,Korba,2017,9199,18,242,1208586,2
Chhattisgarh,Korba,2018,6096,42,68,459158,1
Chhattisgarh,Korba,2019,4584,41,511,1528443,1
Chhattisgarh,Korba,2020,1785,38,227,826804,1
Chhattisgarh,Korba,2021,2268,38,590,1121749,2
Chhattisgarh,Korba,2022,9524,3,1522,632592,0
Chhattisgarh,Korba,2023,6404,33,460,428332,0
Chhattisgarh,Korba,2024,8155,5,596,531266,2
Chhattisgarh,Korba,2025,6924,39,405,1264762,3
Chhattisgarh,Korea,2015,206,18,636,1362505,3
Chhattisgarh,Korea,2016,6754,13,1157,704418,0
Chhattisgarh,Korea,2017,2105,24,1619,315169,0
Chhattisgarh,Korea,2018,9359,29,677,1223141,3
Chhattisgarh,Korea,2019,4241,26,1267,1225616,1
Chhattisgarh,Korea,2020,7390,48,774,884891,3
Chhattisgarh,Korea,2021,5571,35,1599,408838,1
Chhattisgarh,Korea,2022,5770,31,1094,1060660,2
Chhattisgarh,Korea,2023,3184,11,1692,642573,3
Chhattisgarh,Korea,2024,1239,40,1485,96817,2
Chhattisgarh,Korea,2025,8613,12,1806,154942,2
Chhattisgarh,Mahasamund,2015,3992,19,923,1868974,1
Chhattisgarh,Mahasamund,2016,8722,39,1880,1599423,0
Chhattisgarh,Mahasamund,2017,6098,22,291,101183,1
Chhattisgarh,Mahasamund,2018,9249,6,349,1452452,0
Chhattisgarh,Mahasamund,2019,8125,32,1671,1234251,3
Chhattisgarh,Mahasamund,2020,3528,29,297,1123537,2
Chhattisgarh,Mahasamund,2021,8731,46,1704,374743,1
Chhattisgarh,Mahasamund,2022,394,20,1854,1777940,0
Chhattisgarh,Mahasamund,2023,2347,1,1457,759871,0
Chhattisgarh,Mahasamund,2024,6843,47,189,1064013,1
Chhattisgarh,Mahasamund,2025,7590,7,922,917779,1
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2015,2613,9,930,660959,3
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,4851,12,1621,1442741,2
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2017,4682,49,486,565760,2
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2018,2396,28,1163,1491027,3
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,4061,17,1091,675921,3
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2020,2847,9,1211,948932,0
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2021,4180,14,481,405766,2
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2022,5559,48,1507,1217424,1
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,4181,43,1042,231519,0
