state,district,year,factories,industrial_output,manufacturing_index,employment_rate,electricity_usage,export_value,industrial_growth
Bihar,Vaishali,2020,29.87,10.37,83.37,35.52,61.82,95.54,31.45
Rajasthan,Dausa,2017,39.03,24.35,78.0,38.83,38.13,36.13,71.72
Madhya Pradesh,Khandwa,2015,34.98,49.17,34.7,37.7,30.48,84.59,81.96
Chhattisgarh,Korea,2021,28.05,60.77,35.88,95.35,69.91,95.87,96.01
Himachal Pradesh,Lahaul & Spiti,2023,30.81,64.53,91.57,12.46,58.81,42.43,19.94
Tamil Nadu,Nilgiris,2018,68.57,90.1,73.93,91.8,92.13,48.24,97.53
Andhra Pradesh,West Godavari,2015,69.11,84.48,18.64,23.98,47.77,33.97,14.73
Maharashtra,Palghar,2024,95.13,26.86,57.86,16.46,99.78,57.49,20.38
Uttar Pradesh,Kannauj,2021,50.82,89.51,46.53,79.12,40.07,56.91,61.01
Chhattisgarh,Balrampur,2018,75.77,33.42,42.84,51.18,28.46,82.39,17.08
Haryana,Nuh,2019,83.6,87.18,16.28,23.4,39.79,24.45,88.54
Rajasthan,Beawar,2017,80.93,26.06,87.64,44.04,49.34,97.01,63.21
Rajasthan,Phalodi,2015,86.09,34.74,37.19,81.85,37.24,12.72,17.03
Tripura,South Tripura,2023,34.95,17.98,80.57,50.87,27.63,23.27,39.45
Karnataka,Chikkamagaluru,2024,38.53,31.95,75.44,28.02,24.45,40.87,41.65
Assam,Dhemaji,2015,87.75,62.76,70.51,91.25,48.72,10.18,39.88
Bihar,Kishanganj,2019,73.93,22.56,19.41,46.78,32.3,68.78,43.78
Andhra Pradesh,Visakhapatnam,2018,21.86,60.38,37.44,51.27,61.9,21.26,61.07
Bihar,Saran,2016,51.16,91.86,69.19,61.68,41.34,72.99,15.21
Rajasthan,Deeg,2018,56.51,92.26,67.68,31.44,67.12,10.03,68.66
Maharashtra,Jalgaon,2016,14.06,89.82,93.92,91.89,35.98,99.25,25.65
Gujarat,Junagadh,2018,26.3,11.6,62.43,19.0,36.08,53.57,58.1
West Bengal,Malda,2017,51.51,66.5,67.43,56.03,50.28,33.33,28.19
Assam,Sonitpur,2016,62.26,77.91,45.13,99.74,40.04,73.08,99.75
Andhra Pradesh,Visakhapatnam,2020,79.49,35.12,83.29,82.72,89.16,45.29,10.56
Maharashtra,Buldhana,2017,29.69,19.04,12.23,87.6,61.81,37.58,82.64
Assam,Sonitpur,2015,61.54,31.14,79.32,39.93,90.91,72.21,59.23
Madhya Pradesh,Harda,2023,60.45,59.11,97.98,39.98,16.1,39.55,14.13
Karnataka,Belagavi,2022,52.99,16.24,78.96,68.26,54.8,79.66,19.79
Kerala,Ernakulam,2025,89.2,77.2,67.96,88.56,20.04,87.26,90.05
Jharkhand,Hazaribagh,2019,93.47,13.36,67.32,53.16,24.83,38.75,97.39
Uttar Pradesh,Shamli,2025,78.24,37.73,32.06,35.46,84.86,57.21,70.52
Haryana,Jind,2020,64.74,92.52,48.01,47.69,93.31,43.63,25.03
Kerala,Pathanamthitta,2024,19.3,26.25,36.08,68.61,75.93,94.09,10.79
Uttar Pradesh,Amroha,2018,40.8,79.83,10.76,26.02,54.64,69.7,49.56
Maharashtra,Nanded,2024,63.9,69.45,21.82,11.71,70.32,71.65,40.36
Maharashtra,Nanded,2015,73.64,53.01,95.79,39.68,60.04,52.13,97.37
Mizoram,Champhai,2018,88.89,48.2,76.33,31.9,26.8,34.09,53.6
Rajasthan,Jhalawar,2017,21.16,17.38,83.56,44.82,50.06,45.3,96.52
Rajasthan,Anupgarh,2024,55.28,10.04,65.15,69.05,52.48,41.7,59.88
Assam,Kamrup Metropolitan,2018,36.71,14.64,53.44,16.7,63.68,22.75,67.92
Rajasthan,Jalore,2019,62.45,88.26,91.97,70.01,94.84,54.68,79.82
Meghalaya,West Garo Hills,2022,36.65,88.47,47.29,20.81,22.62,14.34,86.49
Assam,Hojai,2015,58.67,27.65,74.18,70.05,89.57,39.17,47.18
Tamil Nadu,Tirunelveli,2017,58.56,96.48,96.75,49.21,88.91,53.68,95.96
Maharashtra,Raigad,2020,94.66,63.3,36.34,77.41,57.5,91.15,58.03
Punjab,Hoshiarpur,2024,76.04,89.23,80.54,33.13,58.48,48.84,98.53
Uttar Pradesh,Azamgarh,2015,62.3,55.8,69.2,79.56,56.45,95.48,82.05
Haryana,Ambala,2020,12.93,22.2,26.32,16.96,28.24,60.83,76.37
Assam,Sivasagar,2023,65.44,85.97,10.95,36.15,64.59,86.7,28.51
Maharashtra,Buldhana,2020,19.58,98.74,26.53,82.23,46.96,37.66,36.56
Arunachal Pradesh,Anjaw,2016,49.5,51.54,55.21,57.44,81.68,47.11,43.36
Uttar Pradesh,Bareilly,2018,67.16,86.31,81.04,44.66,71.93,42.82,30.49
Andhra Pradesh,Annamayya,2023,51.88,61.52,79.89,98.37,70.19,50.88,78.52
Telangana,Siddipet,2018,57.46,76.18,22.45,70.34,35.75,76.49,85.03
Madhya Pradesh,Satna,2019,71.45,17.07,89.09,40.6,21.12,84.55,80.28
West Bengal,North 24 Parganas,2018,44.4,19.35,65.21,97.5,63.43,27.1,88.01
Telangana,Komaram Bheem Asifabad,2025,37.07,18.49,19.33,52.65,61.58,34.85,23.87
Himachal Pradesh,Mandi,2016,92.13,37.73,57.31,11.98,86.24,75.52,97.06
Karnataka,Kalaburagi,2018,15.64,51.85,15.49,74.76,78.29,43.47,17.12
Rajasthan,Balotra,2023,13.41,47.73,74.51,59.16,47.78,90.41,27.76
Bihar,Muzaffarpur,2015,64.5,29.02,24.17,37.78,96.9,73.08,78.0
Rajasthan,Sanchore,2020,76.03,71.7,99.56,15.16,48.55,46.03,14.02
Haryana,Panchkula,2016,12.94,46.25,27.65,81.72,17.26,22.21,97.74
Karnataka,Tumakuru,2021,86.89,56.89,80.22,70.44,29.54,98.41,61.99
Madhya Pradesh,Burhanpur,2016,29.53,10.1,56.21,96.13,35.76,55.75,82.47
Rajasthan,Bharatpur,2024,95.67,68.89,97.85,40.67,24.19,96.47,87.39
Kerala,Wayanad,2022,78.35,76.01,35.26,49.09,23.09,74.96,13.05
Chhattisgarh,Dantewada,2020,35.64,48.26,23.96,61.48,53.52,20.84,14.31
Tamil Nadu,Pudukkottai,2018,11.63,72.48,30.9,29.49,68.84,15.59,17.47
Tamil Nadu,Sivaganga,2021,79.66,89.75,37.47,67.16,89.63,36.87,96.16
Telangana,Rajanna Sircilla,2015,94.35,35.99,60.84,10.94,47.77,56.12,44.92
Madhya Pradesh,Rewa,2022,56.2,74.62,22.75,26.41,52.15,24.82,99.42
Bihar,Araria,2018,72.7,38.98,90.47,20.86,32.65,99.09,54.13
Uttar Pradesh,Gonda,2015,53.48,31.71,70.41,81.0,74.05,21.96,57.41
Rajasthan,Nagaur,2015,74.88,51.03,22.22,48.65,71.18,68.57,26.85
Uttar Pradesh,Baghpat,2025,73.96,93.04,20.46,40.27,80.11,59.92,36.03
Madhya Pradesh,Anuppur,2015,30.91,48.68,52.34,32.86,54.63,13.03,97.68
Bihar,Vaishali,2017,98.49,19.25,83.96,78.11,34.46,59.33,19.42
Madhya Pradesh,Sagar,2017,67.52,70.55,54.6,42.26,41.42,10.81,74.0
West Bengal,Darjeeling,2018,52.09,30.33,43.09,43.74,25.64,87.03,97.13
Himachal Pradesh,Kangra,2019,60.26,88.88,17.27,55.47,36.72,43.1,73.63
Jharkhand,Ranchi,2021,97.83,54.75,19.04,95.49,45.49,11.16,91.22
Haryana,Sonipat,2024,88.16,71.75,31.82,15.52,46.25,65.65,18.43
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,30.41,83.87,82.0,58.67,23.03,19.4,28.34
Arunachal Pradesh,Lower Dibang Valley,2017,33.96,91.12,93.21,44.56,88.31,99.23,79.84
Assam,Darrang,2019,55.7,65.09,62.99,94.1,24.21,55.86,57.55
Punjab,Barnala,2015,57.63,44.58,87.36,47.22,69.11,42.84,72.36
Madhya Pradesh,Mandla,2015,33.25,26.05,54.05,46.58,61.57,42.57,20.5
Arunachal Pradesh,Kra Daadi,2023,41.02,79.77,95.24,33.33,95.84,15.08,33.31
Sikkim,Gyalshing,2018,99.51,73.96,89.88,33.27,60.22,77.89,83.75
Punjab,Gurdaspur,2024,99.35,15.93,48.38,21.17,67.96,29.08,75.31
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2021,52.26,40.75,41.59,44.19,51.0,63.54,86.45
Nagaland,Dimapur,2021,44.65,16.23,14.29,79.09,66.48,93.21,30.86
West Bengal,Jalpaiguri,2021,69.82,74.81,28.25,63.21,66.0,93.32,71.41
Kerala,Kozhikode,2025,70.01,72.76,34.32,50.17,39.39,84.4,91.8
Telangana,Mancherial,2024,85.57,33.62,54.18,99.35,17.4,40.03,21.45
West Bengal,Birbhum,2023,69.86,10.03,68.27,92.35,23.2,38.07,63.24
Rajasthan,Pratapgarh,2024,53.36,70.92,75.62,34.99,18.32,75.64,41.51
Telangana,Ranga Reddy,2021,12.52,71.98,23.03,94.35,42.76,13.7,27.1
Himachal Pradesh,Solan,2021,78.56,98.42,54.58,88.08,54.29,41.81,46.06
Himachal Pradesh,Una,2025,58.55,65.63,33.01,15.52,96.2,57.48,28.95
Telangana,Nalgonda,2022,82.41,23.53,18.57,76.59,90.44,57.19,21.1
Maharashtra,Satara,2018,21.98,10.34,81.98,11.88,68.25,81.13,24.87
Telangana,Karimnagar,2020,21.98,81.12,56.47,42.58,46.85,14.18,27.34
Chhattisgarh,Bijapur,2023,60.79,15.81,61.66,57.62,80.1,34.89,37.99
Arunachal Pradesh,Tawang,2024,21.26,11.84,38.34,17.2,40.29,83.77,64.38
Madhya Pradesh,Ujjain,2024,11.83,33.99,88.07,92.22,76.34,17.27,36.06
Manipur,Kamjong,2023,69.98,41.37,46.39,21.21,40.33,51.13,39.99
Nagaland,Shamator,2024,63.1,37.23,28.18,99.53,54.83,75.61,95.8
Madhya Pradesh,Panna,2017,33.88,83.09,82.51,81.39,98.28,32.8,22.11
Nagaland,Tseminyu,2016,18.67,86.27,48.51,27.37,84.38,57.18,43.6
Uttar Pradesh,Chitrakoot,2024,24.9,26.12,97.51,79.12,75.28,35.87,90.23
Nagaland,Kohima,2021,82.98,70.02,40.24,98.54,66.66,50.17,52.02
Telangana,Nagarkurnool,2015,96.83,33.7,99.01,36.44,42.53,17.32,47.07
Jharkhand,Lohardaga,2015,29.72,73.66,98.5,10.46,52.54,19.4,85.6
West Bengal,Howrah,2020,32.39,31.09,43.06,97.78,15.04,58.26,16.41
Assam,Nalbari,2018,34.69,95.2,57.45,46.29,34.0,30.4,58.04
Manipur,Senapati,2018,74.78,15.59,59.65,79.75,30.19,74.64,68.33
Odisha,Nayagarh,2023,25.46,70.18,73.14,89.11,97.01,62.12,45.2
Arunachal Pradesh,Papum Pare,2018,25.67,66.06,53.26,67.93,16.13,99.41,68.78
Punjab,Ludhiana,2024,71.78,44.66,53.86,80.01,43.19,97.15,87.04
Gujarat,Chhota Udepur,2016,64.97,43.69,65.66,35.4,10.58,59.12,75.67
Maharashtra,Akola,2021,92.22,92.52,50.69,67.41,60.14,56.56,96.94
Telangana,Adilabad,2018,11.49,65.72,96.63,70.03,68.55,19.23,68.68
Punjab,Sahibzada Ajit Singh Nagar (Mohali),2024,15.96,37.47,23.05,58.91,77.85,32.92,95.6
Mizoram,Saitual,2021,85.21,32.91,89.4,98.67,45.32,71.02,33.63
Tamil Nadu,Tiruvannamalai,2018,43.34,56.53,27.12,23.24,36.54,96.59,23.66
Meghalaya,North Garo Hills,2017,33.1,37.01,48.31,20.03,47.57,14.42,47.13
Rajasthan,Anupgarh,2016,23.96,95.85,25.24,95.14,36.28,67.72,63.23
Uttar Pradesh,Gonda,2020,10.51,35.74,22.07,60.85,43.56,98.52,31.21
Chhattisgarh,Raigarh,2018,41.02,22.02,71.36,11.59,21.47,23.16,52.05
Uttar Pradesh,Kanpur Nagar,2016,77.48,36.23,96.33,45.89,57.79,56.63,17.28
Karnataka,Ballari,2024,53.52,39.85,74.84,14.09,38.18,76.75,71.99
Himachal Pradesh,Mandi,2023,16.07,78.08,86.98,81.42,16.21,91.89,60.49
Jharkhand,Ranchi,2017,45.0,36.88,92.35,80.42,47.69,49.45,26.77
Chhattisgarh,Raipur,2017,33.3,26.67,45.83,76.77,11.93,74.76,26.7
Rajasthan,Gangapur City,2016,52.83,28.72,23.3,43.38,95.07,32.69,19.47
Gujarat,Jamnagar,2015,57.14,74.89,72.97,63.78,72.1,99.0,50.56
Madhya Pradesh,Sidhi,2016,24.52,10.1,87.36,60.47,33.41,55.31,51.97
Nagaland,Phek,2016,57.02,47.1,18.94,41.02,86.0,44.14,62.26
Odisha,Rayagada,2018,39.38,89.22,98.2,17.43,83.59,47.98,97.65
Madhya Pradesh,Sidhi,2023,88.21,22.71,18.19,43.14,78.45,92.76,13.32
Maharashtra,Akola,2021,91.71,45.71,67.75,53.17,73.35,86.14,14.94
Bihar,Jamui,2023,49.47,37.22,41.66,83.94,90.63,37.39,34.42
Assam,Biswanath,2021,98.07,22.77,93.14,52.28,16.67,29.36,47.56
Gujarat,Aravalli,2019,74.09,17.21,46.0,11.2,89.35,27.05,72.93
Tamil Nadu,Coimbatore,2020,23.89,65.54,35.71,21.36,65.96,70.71,39.15
Rajasthan,Dausa,2019,11.79,76.98,66.72,92.91,99.49,42.94,68.27
Uttar Pradesh,Mau,2015,59.84,91.13,96.59,27.89,48.87,19.38,51.12
Chhattisgarh,Balod,2019,53.57,89.78,76.78,59.71,61.01,11.6,40.06
Assam,Chirang,2024,34.23,80.66,90.49,96.96,51.69,70.56,93.58
Nagaland,Mokokchung,2016,74.8,94.69,43.24,77.42,47.13,63.05,49.12
Odisha,Nuapada,2024,86.26,62.96,78.42,80.19,76.89,68.93,30.93
Haryana,Yamunanagar,2017,62.5,71.81,32.52,18.29,88.18,71.38,96.98
Chhattisgarh,Sukma,2021,71.66,66.83,59.97,77.82,12.57,19.19,54.78
Himachal Pradesh,Lahaul & Spiti,2016,15.58,79.04,24.41,16.94,27.09,76.56,78.3
Andhra Pradesh,Krishna,2020,34.9,60.74,31.57,60.03,45.87,39.94,72.45
Nagaland,Kiphire,2019,51.22,77.18,93.39,37.16,43.7,66.52,54.23
Uttar Pradesh,Moradabad,2024,57.14,31.31,95.62,32.27,54.0,95.84,24.27
Maharashtra,Pune,2024,73.08,96.7,62.15,70.62,11.93,60.39,27.42
Meghalaya,South West Khasi Hills,2021,60.95,61.89,37.62,42.18,73.88,13.41,34.53
Tamil Nadu,Virudhunagar,2018,46.05,12.9,27.57,69.53,94.02,12.09,83.14
Uttar Pradesh,Amroha,2016,61.44,76.25,79.64,64.33,90.83,41.44,48.33
Madhya Pradesh,Gwalior,2021,84.08,58.43,55.25,17.48,47.45,94.47,36.72
Madhya Pradesh,Shahdol,2022,92.96,61.66,85.68,49.82,72.71,13.08,74.2
Uttar Pradesh,Maharajganj,2018,10.34,37.78,68.2,88.61,87.14,98.74,50.11
Chhattisgarh,Rajnandgaon,2019,64.99,51.55,89.41,91.64,49.81,98.48,52.63
Assam,Lakhimpur,2023,92.88,15.65,78.23,65.88,84.06,95.14,82.18
West Bengal,Purba Bardhaman,2023,25.68,85.69,81.27,37.45,47.38,39.89,17.52
Chhattisgarh,Bemetara,2019,16.42,31.65,71.13,35.76,62.44,18.26,53.48
Rajasthan,Karauli,2017,22.77,77.78,10.64,76.61,48.78,54.86,70.85
Rajasthan,Dholpur,2020,55.0,26.35,16.16,34.46,77.9,14.12,50.15
Jharkhand,Giridih,2020,50.77,96.86,75.79,87.14,17.38,28.25,47.35
Bihar,Bhagalpur,2018,69.76,15.27,37.37,17.61,64.33,78.26,29.67
Odisha,Nayagarh,2022,77.77,32.77,28.73,98.62,26.33,54.14,53.28
Tamil Nadu,Dharmapuri,2025,54.69,36.12,63.42,65.19,27.79,51.32,83.64
Uttar Pradesh,Shahjahanpur,2015,87.27,96.97,32.29,13.34,93.37,37.81,49.44
Chhattisgarh,Dhamtari,2016,59.65,79.32,81.37,74.01,38.37,82.63,58.23
Karnataka,Chamarajanagar,2015,68.31,41.8,32.91,22.68,26.25,38.93,39.33
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2019,51.98,42.17,60.48,54.25,84.66,92.94,64.61
Nagaland,Chümoukedima,2024,45.26,38.29,29.56,18.99,37.38,90.96,84.45
Assam,Karimganj,2023,22.1,22.48,31.01,38.43,66.28,26.73,89.03
Tripura,West Tripura,2017,83.27,94.56,33.66,74.69,21.51,91.93,55.31
Odisha,Nuapada,2018,27.26,98.31,89.14,25.12,83.06,78.48,99.96
Madhya Pradesh,Morena,2022,82.97,38.91,14.45,32.78,39.17,56.59,48.77
Odisha,Ganjam,2023,91.51,20.56,28.82,50.44,69.72,43.39,29.34
Gujarat,Mahisagar,2022,67.56,85.43,68.9,39.45,69.43,83.59,73.69
Odisha,Ganjam,2022,79.81,41.38,57.61,12.08,51.6,29.58,57.9
Punjab,Jalandhar,2018,83.98,43.3,34.82,57.74,83.03,41.04,75.37
Maharashtra,Kolhapur,2019,26.03,41.9,28.11,55.87,12.02,28.9,87.01
Uttarakhand,Tehri Garhwal,2016,11.07,68.48,20.59,39.56,79.27,75.2,86.49
Uttar Pradesh,Hathras,2018,14.66,62.25,21.89,76.64,36.28,56.38,31.9
Andhra Pradesh,Tirupati,2017,60.51,53.24,94.96,74.79,71.54,33.96,72.46
Himachal Pradesh,Kullu,2024,28.01,26.17,27.4,72.68,69.45,51.55,67.37
Madhya Pradesh,Alirajpur,2020,35.72,34.28,57.88,33.43,80.41,27.58,64.17
Manipur,Chandel,2023,46.72,49.66,55.09,18.44,47.48,17.0,51.42
Odisha,Jajpur,2024,45.81,68.71,56.17,75.53,75.0,32.97,78.63
Telangana,Rajanna Sircilla,2019,46.24,74.21,36.82,29.96,45.33,59.15,37.63
Maharashtra,Jalna,2017,22.57,90.4,62.87,38.79,43.14,57.84,25.28
Telangana,Nirmal,2016,82.01,10.77,81.1,28.38,10.65,83.85,88.37
Assam,Majuli,2021,29.67,38.4,53.14,68.49,87.46,20.97,75.27
Haryana,Mahendragarh,2024,60.7,78.07,31.0,34.96,20.08,36.56,90.73
Andhra Pradesh,Kurnool,2021,70.55,90.03,63.01,32.32,30.14,72.17,22.18
Arunachal Pradesh,Siang,2021,53.41,56.4,99.8,21.3,78.64,20.33,55.24
Himachal Pradesh,Shimla,2019,22.61,82.28,31.02,46.89,29.58,51.32,35.64
Arunachal Pradesh,Siang,2019,33.15,95.64,75.66,44.36,89.31,84.86,41.73
Chhattisgarh,Kondagaon,2015,62.51,53.56,31.27,75.01,27.56,23.9,93.35
Punjab,Gurdaspur,2019,32.56,21.76,19.5,51.66,30.5,91.46,22.32
Rajasthan,Sirohi,2025,74.84,15.05,73.2,68.66,71.61,17.44,92.62
Manipur,Chandel,2019,91.07,83.98,76.19,29.17,98.37,82.98,52.94
Haryana,Sirsa,2015,29.98,31.53,23.54,45.81,23.36,35.05,28.57
Gujarat,Kheda,2020,89.3,65.65,42.34,92.49,68.85,14.73,21.91
Madhya Pradesh,Anuppur,2019,85.2,55.39,87.86,58.93,24.63,85.47,28.05
Tamil Nadu,Tirunelveli,2024,94.91,49.61,25.84,18.17,25.31,96.45,25.95
Rajasthan,Udaipur,2023,38.77,91.56,65.45,46.18,75.92,54.71,68.15
Rajasthan,Nagaur,2015,29.28,73.17,13.23,80.11,94.86,48.44,53.21
Nagaland,Zunheboto,2021,90.62,77.78,66.28,92.7,53.12,22.21,80.56
Gujarat,Amreli,2018,95.34,74.54,56.54,85.11,48.62,59.82,18.87
Odisha,Sonepur,2017,59.32,69.28,56.55,66.13,82.5,63.39,14.73
Uttar Pradesh,Aligarh,2020,84.16,63.0,36.03,64.15,12.49,48.44,36.92
Arunachal Pradesh,Lower Siang,2020,72.47,44.47,12.08,12.33,36.67,37.72,83.06
Madhya Pradesh,Maihar,2019,12.73,62.27,68.13,87.05,84.08,63.07,78.22
Kerala,Idukki,2024,34.48,56.84,64.96,90.81,69.83,34.26,52.79
Maharashtra,Jalgaon,2022,75.36,10.34,39.71,34.01,98.27,39.87,12.97
Uttar Pradesh,Farrukhabad,2017,79.87,13.91,80.13,26.41,66.84,24.79,59.94
Odisha,Gajapati,2019,82.56,34.62,74.54,27.01,58.42,29.43,91.76
Mizoram,Kolasib,2024,62.5,84.61,77.01,48.07,28.25,11.86,54.19
Tamil Nadu,Tenkasi,2019,67.41,77.71,16.38,68.2,33.34,47.91,64.91
Kerala,Kasaragod,2024,24.87,59.02,33.46,69.05,27.67,56.26,94.81
Madhya Pradesh,Sidhi,2023,74.86,80.61,50.03,55.59,53.64,80.32,43.22
Chhattisgarh,Bijapur,2023,77.57,59.51,89.34,40.66,86.87,85.49,19.19
Uttar Pradesh,Balrampur,2017,84.34,64.21,84.04,52.24,87.83,59.29,18.48
Manipur,Jiribam,2024,40.75,88.55,58.85,47.45,47.68,38.93,30.64
Meghalaya,West Garo Hills,2020,73.54,96.26,45.02,10.51,40.67,58.39,13.12
Gujarat,Surendranagar,2023,59.22,93.03,87.45,94.25,84.75,70.07,78.67
Uttar Pradesh,Maharajganj,2015,24.95,72.44,61.37,97.57,48.18,24.97,35.42
Telangana,Nagarkurnool,2015,43.56,98.93,10.22,84.07,94.15,30.31,22.83
Assam,Majuli,2023,84.3,59.71,74.35,24.5,58.46,19.52,79.78
Meghalaya,East Jaintia Hills,2022,37.61,89.47,36.62,84.92,52.27,98.98,66.36
Karnataka,Chikkamagaluru,2022,41.89,47.2,51.49,46.32,24.79,44.49,68.09
Jharkhand,Dumka,2023,45.65,76.88,20.77,23.77,95.65,15.86,17.96
Uttar Pradesh,Maharajganj,2024,78.03,95.66,17.63,10.38,84.97,21.08,30.05
West Bengal,Purba Medinipur,2018,47.07,16.51,94.51,90.22,78.34,49.39,54.25
Maharashtra,Buldhana,2020,75.53,48.28,89.13,99.42,42.87,24.02,88.76
Tamil Nadu,Krishnagiri,2021,20.91,89.64,16.43,71.29,61.85,43.9,92.61
Nagaland,Zunheboto,2020,39.56,83.95,96.83,78.65,34.93,25.29,61.06
Odisha,Kalahandi,2015,47.85,98.96,21.84,80.92,49.45,85.85,58.56
Bihar,Vaishali,2016,59.63,65.75,81.25,64.68,41.73,20.42,95.52
Madhya Pradesh,Panna,2018,58.42,47.86,86.28,87.83,40.29,13.18,64.36
Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),2024,20.2,92.61,13.45,52.61,77.2,13.14,78.11
Uttar Pradesh,Aligarh,2021,74.64,42.37,55.45,86.18,13.49,64.72,11.18
Uttar Pradesh,Shravasti,2016,91.02,33.41,22.36,73.91,94.78,31.66,50.98
Chhattisgarh,Korea,2025,74.52,70.62,38.29,39.22,67.2,20.59,41.33
Maharashtra,Nanded,2016,85.07,83.45,85.44,56.86,32.57,20.25,86.07
Chhattisgarh,Korea,2016,43.63,87.08,40.86,62.87,40.14,16.76,14.17
Nagaland,Dimapur,2017,38.13,23.74,44.7,59.08,20.6,90.76,66.58
Bihar,Darbhanga,2020,25.61,89.64,25.99,88.1,82.75,76.71,41.55
Assam,Barpeta,2016,67.05,89.48,36.59,86.12,85.99,77.97,35.03
Goa,South Goa,2019,50.06,70.46,13.81,40.27,87.21,77.92,66.98
Chhattisgarh,Gariaband,2015,45.08,40.57,81.93,16.55,80.46,32.45,55.44
Tripura,North Tripura,2019,21.68,25.51,71.84,59.08,66.94,87.55,78.11
Telangana,Nalgonda,2024,77.02,72.63,66.2,62.23,90.73,46.27,61.14
Bihar,Jamui,2019,69.05,51.86,50.9,57.42,78.33,42.05,36.73
Tripura,Gomati,2023,66.43,29.34,43.94,99.0,16.24,36.65,36.6
Madhya Pradesh,Maihar,2023,85.14,33.31,15.54,86.67,22.31,97.18,25.1
Tamil Nadu,Tiruvannamalai,2024,56.49,88.4,90.91,60.6,99.52,88.02,56.5
Bihar,Bhojpur,2019,69.83,57.11,66.77,55.72,78.71,18.53,31.88
Odisha,Dhenkanal,2022,32.87,53.59,20.59,47.54,19.17,47.35,10.07
Maharashtra,Solapur,2017,92.15,97.21,43.88,50.18,58.0,65.41,96.39
Bihar,Gopalganj,2022,59.45,25.7,56.87,54.91,84.94,94.4,32.21
Rajasthan,Jhunjhunu,2020,32.96,61.78,30.43,73.67,46.05,53.11,45.6
Madhya Pradesh,Raisen,2024,23.86,62.94,73.2,91.83,78.52,27.67,34.3
Haryana,Bhiwani,2022,12.91,28.73,70.57,64.34,78.31,33.88,67.04
Chhattisgarh,Korea,2025,58.94,14.48,33.02,68.2,45.17,35.88,53.86
West Bengal,Alipurduar,2023,48.51,66.21,27.85,41.2,75.77,45.95,69.37
Madhya Pradesh,Umaria,2016,17.58,90.59,51.82,36.77,70.36,12.86,46.94
Uttarakhand,Haridwar,2018,47.06,97.57,77.64,82.26,44.36,36.38,59.87
Chhattisgarh,Sukma,2017,93.17,81.16,92.01,94.96,44.78,22.36,58.99
Punjab,Sri Muktsar Sahib,2025,85.55,34.62,72.6,50.04,47.38,52.24,98.63
Assam,Sivasagar,2022,30.16,18.06,20.19,75.34,91.87,16.36,68.83
Assam,Dima Hasao,2016,17.37,16.78,43.6,20.19,60.68,90.78,12.89
Jharkhand,Dumka,2022,37.79,39.41,70.12,96.55,50.48,74.34,62.89
Sikkim,Mangan,2017,24.24,50.69,11.64,69.38,97.39,56.77,91.7
West Bengal,Alipurduar,2019,19.04,82.4,26.23,83.05,73.11,31.89,58.14
Karnataka,Shivamogga,2015,42.88,64.82,82.23,94.48,67.24,43.63,57.73
Maharashtra,Bhandara,2022,38.09,84.29,24.06,93.13,39.05,37.57,75.74
West Bengal,Paschim Medinipur,2021,90.09,10.12,35.24,68.53,77.18,17.64,52.1
West Bengal,Kolkata,2023,22.57,77.18,59.01,67.17,51.28,90.35,42.27
Uttar Pradesh,Farrukhabad,2019,35.99,36.04,81.03,50.47,16.61,65.2,58.24
Uttar Pradesh,Etah,2025,58.93,80.03,27.57,10.29,23.47,12.68,83.37
West Bengal,Jalpaiguri,2024,93.3,74.16,14.54,47.88,59.12,91.9,43.59
Karnataka,Ramanagara,2025,42.02,53.06,81.25,53.21,52.01,81.46,53.45
Rajasthan,Gangapur City,2015,56.45,17.62,62.97,34.93,22.16,70.93,31.97
Madhya Pradesh,Ujjain,2017,64.06,18.13,24.41,49.5,95.38,42.37,73.53
Arunachal Pradesh,Lower Dibang Valley,2016,28.77,98.79,48.91,10.71,18.11,63.15,49.95
Uttar Pradesh,Hardoi,2017,78.56,52.68,33.44,99.96,72.61,57.79,70.68
Madhya Pradesh,Hoshangabad (Narmadapuram),2017,61.3,23.2,98.67,21.63,49.39,76.13,94.97
Telangana,Sangareddy,2020,99.77,30.71,36.2,89.61,48.96,82.77,54.88
Arunachal Pradesh,East Kameng,2024,87.3,23.12,73.25,32.19,84.36,51.52,49.65
Maharashtra,Latur,2022,98.86,34.96,25.69,87.45,34.46,46.32,88.93
Assam,Barpeta,2024,84.41,16.4,50.56,84.18,12.2,93.3,98.38
Nagaland,Phek,2020,81.66,36.29,89.12,81.18,79.9,49.42,99.37
Uttar Pradesh,Azamgarh,2024,30.39,45.69,39.69,31.08,40.1,27.11,19.8
Odisha,Malkangiri,2022,11.74,33.44,65.57,45.7,55.22,91.45,72.12
Tripura,Unakoti,2016,63.81,58.69,76.94,12.43,70.15,84.17,66.53
Tamil Nadu,Ramanathapuram,2024,28.61,31.63,69.15,16.65,27.69,76.47,70.41
Tamil Nadu,Coimbatore,2015,11.68,87.08,94.93,60.78,12.15,74.92,51.38
Arunachal Pradesh,West Siang,2022,36.78,75.57,31.77,41.41,41.41,45.35,49.22
Uttar Pradesh,Moradabad,2017,42.62,22.37,88.71,52.59,52.77,24.7,84.08
