state,district,year,power_consumption_mwh,renewable_energy_mwh,solar_installations,wind_energy_mwh,electricity_access_percent
Bihar,Vaishali,2022,486868,172111,13963,130552,82.64
Bihar,Vaishali,2023,194535,195916,5640,25651,95.08
Bihar,Vaishali,2024,448218,89080,1696,34249,78.43
Bihar,Vaishali,2025,497582,187024,1032,35735,93.55
Bihar,West Champaran,2015,6096,7858,7523,10415,74.48
Bihar,West Champaran,2016,42799,175410,19833,80125,97.12
Bihar,West Champaran,2017,248615,122632,8471,111900,73.66
Bihar,West Champaran,2018,219315,142807,12447,122896,72.32
Bihar,West Champaran,2019,245881,6338,9591,133706,72.56
Bihar,West Champaran,2020,242160,39170,17777,74850,82.57
Bihar,West Champaran,2021,306871,148933,2861,78462,96.92
Bihar,West Champaran,2022,333361,18528,18079,7552,84.16
Bihar,West Champaran,2023,292086,107657,9119,110533,84.96
Bihar,West Champaran,2024,6012,195058,1782,35957,95.99
Bihar,West Champaran,2025,327120,147469,16374,56406,96.51
Chhattisgarh,Balod,2015,304205,28931,6812,57685,71.95
Chhattisgarh,Balod,2016,313492,129710,8178,138329,71.04
Chhattisgarh,Balod,2017,492708,35946,2790,85317,71.11
Chhattisgarh,Balod,2018,216907,49854,19186,123608,84.7
Chhattisgarh,Balod,2019,428480,31583,6007,38066,82.22
Chhattisgarh,Balod,2020,327886,91299,19863,135680,99.74
Chhattisgarh,Balod,2021,206439,54472,6316,76886,88.61
Chhattisgarh,Balod,2022,103163,53498,16429,88236,78.82
Chhattisgarh,Balod,2023,118847,71361,7227,26282,95.69
Chhattisgarh,Balod,2024,78927,918,14300,12885,73.72
Chhattisgarh,Balod,2025,460695,75685,16808,49667,93.18
Chhattisgarh,Baloda Bazar,2015,205951,87332,7031,5585,91.7
Chhattisgarh,Baloda Bazar,2016,389692,60140,19060,101583,97.3
Chhattisgarh,Baloda Bazar,2017,54339,109623,18534,101662,79.01
Chhattisgarh,Baloda Bazar,2018,232756,68423,12600,56576,93.06
Chhattisgarh,Baloda Bazar,2019,477810,175302,3818,111743,84.2
Chhattisgarh,Baloda Bazar,2020,132857,58173,18234,93936,78.57
Chhattisgarh,Baloda Bazar,2021,289011,44981,19017,141127,88.25
Chhattisgarh,Baloda Bazar,2022,389166,105548,18185,98310,90.06
Chhattisgarh,Baloda Bazar,2023,118978,154312,9549,74898,77.8
Chhattisgarh,Baloda Bazar,2024,214473,137506,6327,9968,97.53
Chhattisgarh,Baloda Bazar,2025,449167,685,13837,128357,84.42
Chhattisgarh,Balrampur,2015,271440,122529,11895,43940,88.85
Chhattisgarh,Balrampur,2016,241760,177561,4271,146836,94.11
Chhattisgarh,Balrampur,2017,335645,155851,17431,45174,70.26
Chhattisgarh,Balrampur,2018,415616,156684,11339,6463,81.77
Chhattisgarh,Balrampur,2019,293044,37881,2617,51505,83.31
Chhattisgarh,Balrampur,2020,300319,161538,6357,22244,84.97
Chhattisgarh,Balrampur,2021,232872,138768,18741,34825,99.52
Chhattisgarh,Balrampur,2022,439127,189001,15457,69109,96.64
Chhattisgarh,Balrampur,2023,312891,91848,19367,28879,87.03
Chhattisgarh,Balrampur,2024,416539,61756,3150,45507,80.19
Chhattisgarh,Balrampur,2025,20401,74071,8048,66789,84.7
Chhattisgarh,Bastar,2015,487375,197471,12161,130804,76.7
Chhattisgarh,Bastar,2016,82664,104762,10677,3881,78.04
Chhattisgarh,Bastar,2017,365748,73632,10272,51714,71.58
Chhattisgarh,Bastar,2018,186459,171712,9985,29858,75.31
Chhattisgarh,Bastar,2019,437685,172254,215,30250,81.4
Chhattisgarh,Bastar,2020,236742,161705,712,143644,86.19
Chhattisgarh,Bastar,2021,208226,52259,7441,136488,74.44
Chhattisgarh,Bastar,2022,481226,23444,886,44388,97.04
Chhattisgarh,Bastar,2023,454932,51907,19685,18687,77.74
Chhattisgarh,Bastar,2024,328913,186102,9436,19035,92.02
Chhattisgarh,Bastar,2025,370578,83323,12655,4084,85.31
Chhattisgarh,Bemetara,2015,328759,175950,9913,46683,81.08
Chhattisgarh,Bemetara,2016,5198,14379,5873,124453,72.28
Chhattisgarh,Bemetara,2017,163406,29810,16305,92620,72.8
Chhattisgarh,Bemetara,2018,196474,90924,6604,89878,95.34
Chhattisgarh,Bemetara,2019,304644,150897,6207,116784,85.16
Chhattisgarh,Bemetara,2020,271161,45579,18226,68041,74.51
Chhattisgarh,Bemetara,2021,267137,513,13402,22729,93.16
Chhattisgarh,Bemetara,2022,412803,134873,8052,132854,70.21
Chhattisgarh,Bemetara,2023,323462,161984,10030,42855,83.1
Chhattisgarh,Bemetara,2024,314859,154183,6432,33149,88.04
Chhattisgarh,Bemetara,2025,197135,115569,10609,58586,97.67
Chhattisgarh,Bijapur,2015,96135,129220,6390,130106,99.73
Chhattisgarh,Bijapur,2016,426864,92196,10519,51558,82.91
Chhattisgarh,Bijapur,2017,1727,171751,14535,27025,88.52
Chhattisgarh,Bijapur,2018,243198,41834,16698,26949,78.56
Chhattisgarh,Bijapur,2019,485886,187331,11526,61683,79.15
Chhattisgarh,Bijapur,2020,381706,77204,18532,144883,72.63
Chhattisgarh,Bijapur,2021,242518,187492,12643,81412,79.48
Chhattisgarh,Bijapur,2022,382961,63853,16726,46401,88.71
Chhattisgarh,Bijapur,2023,486353,144726,3196,129837,78.22
Chhattisgarh,Bijapur,2024,36080,16066,5558,8371,99.36
Chhattisgarh,Bijapur,2025,55312,7433,1170,16772,77.8
Chhattisgarh,Bilaspur,2015,22961,143049,1816,25003,95.71
Chhattisgarh,Bilaspur,2016,336904,33802,19716,98957,75.65
Chhattisgarh,Bilaspur,2017,103289,121035,2785,20058,95.36
Chhattisgarh,Bilaspur,2018,457002,164916,7234,148248,79.0
Chhattisgarh,Bilaspur,2019,427866,194907,16516,132960,81.25
Chhattisgarh,Bilaspur,2020,159433,124153,15509,1798,78.08
Chhattisgarh,Bilaspur,2021,408499,37284,18436,66965,92.61
Chhattisgarh,Bilaspur,2022,76795,43206,17442,143321,80.12
Chhattisgarh,Bilaspur,2023,179167,142979,19619,97376,79.65
Chhattisgarh,Bilaspur,2024,393366,88543,11182,64802,95.97
Chhattisgarh,Bilaspur,2025,487397,147912,16153,73006,72.64
Chhattisgarh,Dantewada,2015,137204,125432,15160,57099,90.31
Chhattisgarh,Dantewada,2016,333037,134669,5053,33895,85.52
Chhattisgarh,Dantewada,2017,401328,19737,6869,39867,76.84
Chhattisgarh,Dantewada,2018,361676,71470,15384,1515,98.31
Chhattisgarh,Dantewada,2019,103469,77135,16603,74161,77.31
Chhattisgarh,Dantewada,2020,169250,5747,19271,78038,85.64
Chhattisgarh,Dantewada,2021,291380,62696,335,78891,83.89
Chhattisgarh,Dantewada,2022,223142,59218,8953,42085,77.46
Chhattisgarh,Dantewada,2023,109234,68658,4060,1863,76.02
Chhattisgarh,Dantewada,2024,79011,153048,1185,12688,84.96
Chhattisgarh,Dantewada,2025,164817,125477,2305,50228,72.7
Chhattisgarh,Dhamtari,2015,103342,1104,2671,126904,77.39
Chhattisgarh,Dhamtari,2016,149379,31677,2456,91526,94.15
Chhattisgarh,Dhamtari,2017,221631,40275,15634,139619,73.96
Chhattisgarh,Dhamtari,2018,372003,40123,14337,18937,88.31
Chhattisgarh,Dhamtari,2019,388151,155353,11196,95723,75.79
Chhattisgarh,Dhamtari,2020,364404,69131,13269,80020,74.27
Chhattisgarh,Dhamtari,2021,63101,119458,10235,94301,96.19
Chhattisgarh,Dhamtari,2022,243324,97717,17449,69708,80.79
Chhattisgarh,Dhamtari,2023,183626,68331,12100,13562,77.65
Chhattisgarh,Dhamtari,2024,457811,146684,14001,147179,72.54
Chhattisgarh,Dhamtari,2025,328630,38518,10669,123744,73.43
Chhattisgarh,Durg,2015,82005,143849,2423,120177,79.08
Chhattisgarh,Durg,2016,462256,2478,4814,61107,73.85
Chhattisgarh,Durg,2017,355144,101506,13198,72740,85.65
Chhattisgarh,Durg,2018,368839,159841,8829,123863,99.26
Chhattisgarh,Durg,2019,184585,167480,6099,23330,88.57
Chhattisgarh,Durg,2020,168596,37318,15310,146976,74.8
Chhattisgarh,Durg,2021,351568,46070,16167,58292,71.36
Chhattisgarh,Durg,2022,255561,198269,9662,59044,75.72
Chhattisgarh,Durg,2023,48399,106862,8341,111794,91.15
Chhattisgarh,Durg,2024,278686,195367,7403,21561,94.11
Chhattisgarh,Durg,2025,337935,60531,15727,105159,84.13
Chhattisgarh,Gariaband,2015,375231,99432,6367,115694,82.79
Chhattisgarh,Gariaband,2016,140778,49852,8873,47530,76.97
Chhattisgarh,Gariaband,2017,454199,169979,17829,98241,92.27
Chhattisgarh,Gariaband,2018,69233,183044,17815,2762,99.18
Chhattisgarh,Gariaband,2019,280873,153771,19903,111171,80.86
Chhattisgarh,Gariaband,2020,201805,150046,544,6504,79.69
Chhattisgarh,Gariaband,2021,126846,94400,17097,28815,80.26
Chhattisgarh,Gariaband,2022,448780,150553,5201,14613,93.78
Chhattisgarh,Gariaband,2023,340050,126456,11925,93524,99.51
Chhattisgarh,Gariaband,2024,245686,6964,3635,124569,87.84
Chhattisgarh,Gariaband,2025,323147,154898,2342,109075,99.72
Chhattisgarh,Gaurela-Pendra-Marwahi,2015,339711,43232,12286,27609,89.81
Chhattisgarh,Gaurela-Pendra-Marwahi,2016,41059,78036,7037,67548,90.53
Chhattisgarh,Gaurela-Pendra-Marwahi,2017,257290,96228,9717,84986,79.27
Chhattisgarh,Gaurela-Pendra-Marwahi,2018,416057,149529,987,101110,91.32
Chhattisgarh,Gaurela-Pendra-Marwahi,2019,119320,104139,19424,143750,72.6
Chhattisgarh,Gaurela-Pendra-Marwahi,2020,455019,65657,14863,56528,97.42
Chhattisgarh,Gaurela-Pendra-Marwahi,2021,253651,78421,7351,66015,86.74
Chhattisgarh,Gaurela-Pendra-Marwahi,2022,134793,109851,13708,124962,82.09
Chhattisgarh,Gaurela-Pendra-Marwahi,2023,131231,36073,14857,101976,81.72
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,496077,130676,1295,106638,95.38
Chhattisgarh,Gaurela-Pendra-Marwahi,2025,241059,28892,8023,108273,72.26
Chhattisgarh,Janjgir-Champa,2015,282528,153433,5597,135746,79.0
Chhattisgarh,Janjgir-Champa,2016,243424,63144,1424,76654,99.34
Chhattisgarh,Janjgir-Champa,2017,451685,152521,8287,134661,94.86
Chhattisgarh,Janjgir-Champa,2018,449089,181351,1366,87734,89.9
Chhattisgarh,Janjgir-Champa,2019,240372,90074,19711,148732,70.06
Chhattisgarh,Janjgir-Champa,2020,402741,167706,4977,38219,97.04
Chhattisgarh,Janjgir-Champa,2021,467607,158384,19257,7124,78.4
Chhattisgarh,Janjgir-Champa,2022,46299,32879,13827,35684,97.59
Chhattisgarh,Janjgir-Champa,2023,280301,153998,9509,92253,86.38
Chhattisgarh,Janjgir-Champa,2024,8496,165411,14776,15298,78.08
Chhattisgarh,Janjgir-Champa,2025,207181,1886,5720,65720,91.84
Chhattisgarh,Jashpur,2015,390861,90941,16156,66945,71.54
Chhattisgarh,Jashpur,2016,143921,89752,11558,105667,89.79
Chhattisgarh,Jashpur,2017,384699,25960,7417,18327,95.03
Chhattisgarh,Jashpur,2018,385837,197311,15103,42007,81.71
Chhattisgarh,Jashpur,2019,195627,115093,19405,48359,80.21
Chhattisgarh,Jashpur,2020,337118,55158,6492,72225,87.26
Chhattisgarh,Jashpur,2021,209699,21956,8524,95691,76.72
Chhattisgarh,Jashpur,2022,473078,139683,11877,55296,96.34
Chhattisgarh,Jashpur,2023,261926,68438,477,46025,94.02
Chhattisgarh,Jashpur,2024,75381,43074,17184,108950,87.17
Chhattisgarh,Jashpur,2025,336690,69639,1102,88010,91.7
Chhattisgarh,Kabirdham,2015,433273,181533,15747,57312,76.09
Chhattisgarh,Kabirdham,2016,51900,124472,11741,28792,92.77
Chhattisgarh,Kabirdham,2017,139614,168265,5553,9189,82.39
Chhattisgarh,Kabirdham,2018,46436,12890,12681,78154,80.92
Chhattisgarh,Kabirdham,2019,269811,47676,13309,9471,96.13
Chhattisgarh,Kabirdham,2020,296810,159161,11379,36608,89.33
Chhattisgarh,Kabirdham,2021,445328,195108,8986,121143,74.17
Chhattisgarh,Kabirdham,2022,469126,149667,6594,108672,77.22
Chhattisgarh,Kabirdham,2023,49307,119400,2134,102493,88.83
Chhattisgarh,Kabirdham,2024,111017,138042,12552,46623,89.72
Chhattisgarh,Kabirdham,2025,348531,65791,15126,116523,94.13
Chhattisgarh,Kanker,2015,191648,92791,436,3617,80.49
Chhattisgarh,Kanker,2016,291464,126967,14803,104025,83.51
Chhattisgarh,Kanker,2017,474224,105062,11441,127121,96.27
Chhattisgarh,Kanker,2018,493771,44111,60,129575,70.13
Chhattisgarh,Kanker,2019,478513,8978,19960,90926,71.32
Chhattisgarh,Kanker,2020,364394,7481,14565,48037,80.69
Chhattisgarh,Kanker,2021,186750,66389,4109,27021,70.41
Chhattisgarh,Kanker,2022,98103,171911,18721,61044,88.69
Chhattisgarh,Kanker,2023,251331,104580,18024,12137,85.3
Chhattisgarh,Kanker,2024,337365,193935,4917,57879,83.6
Chhattisgarh,Kanker,2025,357274,30822,2839,111553,79.85
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2015,248154,20792,17632,115175,85.72
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2016,262783,171121,12766,57022,72.62
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2017,106860,144441,10779,6849,86.78
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2018,216040,136076,1801,75503,83.32
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2019,395687,110789,10566,30057,80.92
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2020,427242,91137,3942,146747,97.51
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2021,370102,32337,18625,5075,87.64
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2022,133554,23195,7427,132357,89.48
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2023,485663,28339,10582,77604,70.74
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2024,225332,135371,12359,41688,90.29
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,2025,181979,11868,1976,70910,74.34
Chhattisgarh,Kondagaon,2015,481032,126857,8646,7572,84.34
Chhattisgarh,Kondagaon,2016,20577,132751,692,32280,72.85
Chhattisgarh,Kondagaon,2017,45381,71047,12406,75078,95.87
Chhattisgarh,Kondagaon,2018,7380,142956,9739,97534,97.08
Chhattisgarh,Kondagaon,2019,32435,184785,10040,95535,86.93
Chhattisgarh,Kondagaon,2020,350139,110016,1499,41582,91.93
Chhattisgarh,Kondagaon,2021,318138,31242,19130,57504,85.74
Chhattisgarh,Kondagaon,2022,263610,183978,17263,45618,75.4
Chhattisgarh,Kondagaon,2023,339419,128164,15636,24447,78.79
Chhattisgarh,Kondagaon,2024,62627,10312,19105,121353,87.4
Chhattisgarh,Kondagaon,2025,319850,166254,4793,127935,73.9
Chhattisgarh,Korba,2015,419313,138492,16175,92138,90.07
Chhattisgarh,Korba,2016,123134,64557,14447,70086,75.72
Chhattisgarh,Korba,2017,391578,196610,3461,144330,76.77
Chhattisgarh,Korba,2018,220337,101035,12897,11345,72.95
Chhattisgarh,Korba,2019,260245,147727,9596,9226,75.32
Chhattisgarh,Korba,2020,446662,5205,15890,84809,90.75
Chhattisgarh,Korba,2021,108733,12795,565,90557,79.6
Chhattisgarh,Korba,2022,139962,33494,16171,39331,72.63
Chhattisgarh,Korba,2023,298326,174081,16291,137824,95.56
Chhattisgarh,Korba,2024,430273,61939,5842,51829,85.47
Chhattisgarh,Korba,2025,80657,64574,1760,57211,81.31
Chhattisgarh,Korea,2015,222343,198474,9609,118633,71.57
Chhattisgarh,Korea,2016,206742,47139,10792,9671,91.74
Chhattisgarh,Korea,2017,412743,148870,7269,110651,91.84
Chhattisgarh,Korea,2018,451148,81750,14631,90251,80.47
Chhattisgarh,Korea,2019,18319,28155,16948,44187,86.08
Chhattisgarh,Korea,2020,21768,145252,15184,1454,91.54
Chhattisgarh,Korea,2021,463502,177271,15337,61608,75.85
Chhattisgarh,Korea,2022,344505,150109,17061,646,81.62
Chhattisgarh,Korea,2023,35369,145946,4496,6787,84.04
Chhattisgarh,Korea,2024,304003,35289,10822,137545,76.91
Chhattisgarh,Korea,2025,314613,91406,123,121167,99.9
Chhattisgarh,Mahasamund,2015,124856,39759,19746,16746,87.61
Chhattisgarh,Mahasamund,2016,153412,162354,98,149686,81.74
Chhattisgarh,Mahasamund,2017,304602,63441,12414,107993,79.26
Chhattisgarh,Mahasamund,2018,466771,109426,19582,31646,85.07
Chhattisgarh,Mahasamund,2019,194653,43887,755,135246,89.11
Chhattisgarh,Mahasamund,2020,159363,178270,11723,121919,90.14
Chhattisgarh,Mahasamund,2021,7242,41143,10631,14073,97.31
Chhattisgarh,Mahasamund,2022,138620,110208,7158,34353,94.63
Chhattisgarh,Mahasamund,2023,390387,91120,8974,145424,88.18
Chhattisgarh,Mahasamund,2024,355949,53976,18098,41682,74.54
Chhattisgarh,Mahasamund,2025,355109,61814,6969,121813,77.31
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2015,5990,199087,10392,145566,91.24
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2016,6356,29790,5589,83050,79.29
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2017,126850,136616,19906,25286,96.13
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2018,318545,42809,11913,17891,73.64
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,158893,75945,10690,142856,73.28
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2020,64505,151413,10314,115206,73.01
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2021,257513,13641,17774,79577,95.71
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2022,2434,156209,6532,96084,85.21
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2023,201678,161673,10850,57642,84.52
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2024,465959,99327,17496,96760,97.44
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2025,388996,138345,6332,123082,88.22
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2015,369922,101354,7433,18191,70.47
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2016,28972,163722,19711,117552,73.7
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2017,6730,139606,19500,131844,72.55
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,112898,46675,718,60237,90.98
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2019,160706,80379,11530,46885,77.39
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2020,295045,175216,3926,76337,73.15
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2021,253270,44442,4287,53583,89.47
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2022,307151,31692,129,98097,94.77
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2023,336272,75264,14705,136284,84.65
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2024,16643,15172,9836,71838,77.82
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2025,221257,128420,3050,136546,80.87
Chhattisgarh,Mungeli,2015,286487,152227,16775,91018,84.1
Chhattisgarh,Mungeli,2016,425146,55978,6743,40847,85.71
Chhattisgarh,Mungeli,2017,192541,94462,5476,21989,95.16
Chhattisgarh,Mungeli,2018,490525,107012,15962,81578,90.75
Chhattisgarh,Mungeli,2019,415128,158746,3326,124095,70.74
Chhattisgarh,Mungeli,2020,334401,37996,9270,24063,87.54
Chhattisgarh,Mungeli,2021,88367,152387,17033,72119,72.31
Chhattisgarh,Mungeli,2022,194372,110631,15717,74661,88.82
Chhattisgarh,Mungeli,2023,6517,148669,1048,33238,80.93
Chhattisgarh,Mungeli,2024,235274,196536,13386,85592,82.79
Chhattisgarh,Mungeli,2025,195378,30479,17036,143681,83.63
Chhattisgarh,Narayanpur,2015,322569,86981,11828,54743,94.15
Chhattisgarh,Narayanpur,2016,476588,108124,12728,73994,87.18
Chhattisgarh,Narayanpur,2017,95361,130217,12166,99219,98.34
Chhattisgarh,Narayanpur,2018,250838,3581,8389,144167,89.17
Chhattisgarh,Narayanpur,2019,34398,10914,8341,12261,88.78
Chhattisgarh,Narayanpur,2020,411765,136931,7207,136433,80.15
Chhattisgarh,Narayanpur,2021,108372,183903,17659,94260,82.09
Chhattisgarh,Narayanpur,2022,479540,105173,1253,47672,70.66
Chhattisgarh,Narayanpur,2023,402747,114099,8217,27766,87.29
Chhattisgarh,Narayanpur,2024,356883,145530,1869,79021,89.54
Chhattisgarh,Narayanpur,2025,79433,193508,4609,79449,91.77
Chhattisgarh,Raigarh,2015,476037,20358,7087,64498,98.12
Chhattisgarh,Raigarh,2016,300176,187674,4754,28644,85.75
Chhattisgarh,Raigarh,2017,160844,193329,6421,143749,83.56
Chhattisgarh,Raigarh,2018,167867,84793,2868,96415,80.9
Chhattisgarh,Raigarh,2019,53601,120262,3777,54292,99.16
Chhattisgarh,Raigarh,2020,197531,51569,7531,53423,89.58
Chhattisgarh,Raigarh,2021,83726,187006,16663,104518,88.72
Chhattisgarh,Raigarh,2022,328940,112705,5490,61381,95.83
Chhattisgarh,Raigarh,2023,18510,31049,2715,7356,75.48
Chhattisgarh,Raigarh,2024,448768,96494,7392,41722,74.95
Chhattisgarh,Raigarh,2025,329314,108634,12560,140428,93.46
Chhattisgarh,Raipur,2015,50841,181735,3803,11248,78.49
Chhattisgarh,Raipur,2016,171287,168783,17102,54773,84.24
Chhattisgarh,Raipur,2017,77838,79928,18385,33954,74.18
Chhattisgarh,Raipur,2018,66220,36137,18608,2298,72.19
Chhattisgarh,Raipur,2019,236490,154434,13049,78283,72.0
Chhattisgarh,Raipur,2020,190793,192179,5403,118866,84.14
Chhattisgarh,Raipur,2021,462399,16603,1098,131067,79.88
Chhattisgarh,Raipur,2022,222716,48188,18037,65850,86.6
Chhattisgarh,Raipur,2023,442087,16917,18585,29228,99.34
Chhattisgarh,Raipur,2024,469172,140657,1373,145397,90.65
Chhattisgarh,Raipur,2025,123632,160551,3437,66164,91.84
Chhattisgarh,Rajnandgaon,2015,251406,57464,850,101305,76.68
Chhattisgarh,Rajnandgaon,2016,96040,158182,10180,44595,88.04
Chhattisgarh,Rajnandgaon,2017,133708,198798,19575,121084,78.5
Chhattisgarh,Rajnandgaon,2018,188019,119451,15132,51436,93.5
Chhattisgarh,Rajnandgaon,2019,69371,56288,14076,73310,78.09
Chhattisgarh,Rajnandgaon,2020,492902,156406,5327,1990,71.82
Chhattisgarh,Rajnandgaon,2021,307376,18546,8219,98106,78.06
Chhattisgarh,Rajnandgaon,2022,352901,100035,1623,102527,81.64
Chhattisgarh,Rajnandgaon,2023,409859,187870,19521,107053,83.9
Chhattisgarh,Rajnandgaon,2024,257900,125145,3805,29233,95.46
Chhattisgarh,Rajnandgaon,2025,497997,16499,14120,100380,93.06
Chhattisgarh,Sakti,2015,474622,82263,4358,102616,75.91
Chhattisgarh,Sakti,2016,244711,14453,19979,9181,76.57
Chhattisgarh,Sakti,2017,202897,36876,18992,142752,76.66
Chhattisgarh,Sakti,2018,463490,3097,17296,75970,88.7
Chhattisgarh,Sakti,2019,221368,176399,4067,58059,99.74
Chhattisgarh,Sakti,2020,459505,196176,5457,96123,96.03
Chhattisgarh,Sakti,2021,321554,175297,10353,140916,76.54
Chhattisgarh,Sakti,2022,477660,33843,9474,109340,77.04
Chhattisgarh,Sakti,2023,175337,134389,13511,34715,95.96
Chhattisgarh,Sakti,2024,110085,3192,6390,41054,96.61
Chhattisgarh,Sakti,2025,420357,143381,16005,121070,98.52
Chhattisgarh,Sarangarh-Bilaigarh,2015,382197,186788,3507,44747,91.07
Chhattisgarh,Sarangarh-Bilaigarh,2016,289086,30049,2320,26923,83.92
Chhattisgarh,Sarangarh-Bilaigarh,2017,314715,2627,18049,13001,79.53
Chhattisgarh,Sarangarh-Bilaigarh,2018,173220,98990,11917,2892,77.38
Chhattisgarh,Sarangarh-Bilaigarh,2019,310374,86888,4797,45468,86.62
Chhattisgarh,Sarangarh-Bilaigarh,2020,486236,51986,12981,37883,78.13
Chhattisgarh,Sarangarh-Bilaigarh,2021,125276,10246,16933,38568,89.46
Chhattisgarh,Sarangarh-Bilaigarh,2022,472221,47741,4528,23753,82.32
Chhattisgarh,Sarangarh-Bilaigarh,2023,63296,62001,11816,61397,71.75
Chhattisgarh,Sarangarh-Bilaigarh,2024,410460,149486,18248,24117,89.38
Chhattisgarh,Sarangarh-Bilaigarh,2025,477634,54117,2808,109697,92.64
Chhattisgarh,Sukma,2015,208067,191037,19593,54767,82.91
Chhattisgarh,Sukma,2016,20613,71724,6803,51194,83.95
Chhattisgarh,Sukma,2017,259940,181382,7438,134995,80.2
Chhattisgarh,Sukma,2018,218723,184281,13340,39639,88.38
Chhattisgarh,Sukma,2019,44872,47155,18786,68655,97.58
Chhattisgarh,Sukma,2020,217957,96442,8863,12776,89.95
Chhattisgarh,Sukma,2021,279629,57660,15711,12023,94.14
Chhattisgarh,Sukma,2022,456914,168887,9872,136715,96.7
Chhattisgarh,Sukma,2023,331505,179812,6517,8779,74.4
Chhattisgarh,Sukma,2024,63742,188644,10564,48924,91.83
Chhattisgarh,Sukma,2025,219632,98354,5928,120387,87.69
Chhattisgarh,Surajpur,2015,7991,148524,14864,56763,79.88
Chhattisgarh,Surajpur,2016,9531,67368,7350,114976,95.64
Chhattisgarh,Surajpur,2017,351087,145364,4219,66616,92.06
Chhattisgarh,Surajpur,2018,72311,99531,8458,70949,84.52
Chhattisgarh,Surajpur,2019,51209,90001,18312,140310,84.13
Chhattisgarh,Surajpur,2020,232496,98725,17790,121145,89.51
Chhattisgarh,Surajpur,2021,167766,194030,13020,105806,79.36
Chhattisgarh,Surajpur,2022,338284,129696,10410,34977,72.09
Chhattisgarh,Surajpur,2023,485374,152903,16298,34202,78.39
Chhattisgarh,Surajpur,2024,118288,9784,14560,100223,84.57
Chhattisgarh,Surajpur,2025,208458,45288,16253,90981,71.74
Chhattisgarh,Surguja,2015,297292,3518,17227,101264,75.43
Chhattisgarh,Surguja,2016,303256,107895,4802,52051,95.8
Chhattisgarh,Surguja,2017,37950,181917,2814,100455,79.26
Chhattisgarh,Surguja,2018,310673,21096,1112,45778,81.92
Chhattisgarh,Surguja,2019,142268,119132,5188,88523,75.7
Chhattisgarh,Surguja,2020,412502,30116,4790,125432,72.21
Chhattisgarh,Surguja,2021,390507,34341,804,77914,75.62
Chhattisgarh,Surguja,2022,380906,14194,8477,102271,84.25
Chhattisgarh,Surguja,2023,52785,58893,3938,49127,70.8
Chhattisgarh,Surguja,2024,270453,147008,3374,20213,82.19
Chhattisgarh,Surguja,2025,249639,174666,5861,147559,95.61
Goa,North Goa,2015,408123,103829,979,84860,71.89
Goa,North Goa,2016,26655,7892,19253,130128,93.33
Goa,North Goa,2017,464581,105663,19423,27186,85.25
Goa,North Goa,2018,481197,172204,12067,27638,86.58
Goa,North Goa,2019,220665,80812,3364,18609,78.5
Goa,North Goa,2020,46192,186567,569,77977,82.35
Goa,North Goa,2021,436203,88653,9229,121184,88.39
Goa,North Goa,2022,11743,37212,11155,74590,81.57
Goa,North Goa,2023,392468,172256,7735,85539,94.89
Goa,North Goa,2024,220679,177988,1773,32606,72.55
Goa,North Goa,2025,357447,138423,13194,127626,93.76
Goa,South Goa,2015,278268,166307,3684,68340,77.78
Goa,South Goa,2016,497204,127916,10458,79547,97.16
Goa,South Goa,2017,479460,8490,2062,118620,80.47
Goa,South Goa,2018,289356,41278,10057,473,75.49
